end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AdditionalPaidInCapital,Assets,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherTaxExpenseBenefit,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProfessionalFees,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-09-30,2021-12-17,10-Q,"Entertainment Holdings, Inc./OK",XRXH,CIK0001875746,USD,10180.0,6033.0,-19357.0,0.0,0.0,0.0,0.0001,500000000.0,88992975.0,88992975.0,8899.0,0.0,575.0,-5755.0,0.0,-278.0,6033.0,0.0,16213.0,0.0,16213.0,0.0,0.0,0.0,-5755.0,5755.0,-5755.0,0.0,0.0001,100000000.0,0.0,0.0,0.0,5180.0,-5755.0,0.0,-16213.0,88992975.0
2021-12-31,2022-02-15,10-Q,"Entertainment Holdings, Inc./OK",XRXH,CIK0001875746,USD,13077.0,6978.0,-19357.0,0.0,0.0,,0.0001,500000000.0,88992975.0,88992975.0,8899.0,0.0,744.0,,,,,,20055.0,0.0,20055.0,,,,-3842.0,3842.0,-3842.0,0.0,0.0001,100000000.0,0.0,0.0,0.0,3098.0,-9597.0,0.0,-20055.0,88992975.0
