end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,Assets,Capital,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConversionOfStockAmountConverted1,ConversionOfStockSharesConverted1,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CustomerDepositsCurrent,DebtInstrumentCarryingAmount,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInInventories,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInReceivables,InterestExpenseOther,InventoryNet,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OtherAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,ReceivablesNetCurrent,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfLongtermLoansFromVendors,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,ShareBasedCompensation,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRepurchasedAndRetiredDuringPeriodShares,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2017-09-30,2017-11-20,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,250.0,,,,,1250.0,,,,,,,,,,,,-250.0,,,250.0,,,,,,,,,,,,,,,,-250.0,,,,,,,,,,,,,,,,,,,,20000000.0
2017-12-31,2018-04-04,10-K,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,,,,2000.0,471.0,,,380.0,,380.0,380.0,,,0.0001,,100000000.0,20000000.0,20000000.0,2000.0,,,,,,-1070.0,,,,1070.0,1070.0,,,,,,,,,,,,,,,,,,380.0,3000.0,,,,,1000.0,,,,0.0001,20000000.0,0.0,0.0,,,,,,,,,,,,,,,,-5091.0,,,,,,-2620.0,,,,,,,,
2018-03-31,2018-05-15,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,,,,,,,,,,,485.0,105.0,,,,,,,,,,,,,,,,,,,,,0.0,,498.0,153.0,-345.0,,450.0,,,,,,,,,,,,105.0,-345.0,,,498.0,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,-2965.0,,,,,,,,20000000.0
2018-06-30,2018-10-09,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,775.0,,5700.0,1250.0,4221.0,,,83248.0,,1308.0,1308.0,,,0.0001,,100000000.0,4200000.0,4200000.0,420.0,,,,,57.0,,81940.0,,,,,,,0.0,,808.0,143.0,-6923.0,5700.0,,,,,,,,,,83248.0,90965.0,,,-6923.0,,7000.0,7066.0,-6923.0,,0.0001,20000000.0,0.0,0.0,81940.0,,,,,,,,6258.0,,82040.0,,,,,-12359.0,200.0,200.0,,,,-7717.0,,,,,91.0,,,17916484.0
2018-09-30,2018-12-20,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,16896.0,,7300.0,,3921.0,,,225385.0,,52644.0,52644.0,,,0.0001,,100000000.0,11800000.0,11800000.0,1180.0,,,,,271272.0,,163980.0,,,,,,2635.0,0.0,,11515.0,82038.0,42132.0,7300.0,,,,,,,,,13600.0,225385.0,197811.0,,,34832.0,,7000.0,39906.0,42132.0,,0.0001,20000000.0,0.0,0.0,91181.0,,,,,,,,10797.0,42132.0,67960.0,,,,,22473.0,353310.0,,,,,27574.0,,,,,459.0,,,10367501.0
2018-12-31,2019-04-15,10-K,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,89565.0,4373.0,6748.0,,13920.0,,,205448.0,,67351.0,67351.0,66971.0,,0.0001,30.0,100000000.0,12410000.0,12410000.0,1241.0,59671.0,,,,576066.0,6748.0,,,,1070.0,1070.0,8666.0,,0.0,0.21,34471.0,169099.0,32133.0,6748.0,98686.0,,59671.0,,19764.0,62173.0,56160.0,,19764.0,205448.0,170023.0,21976.0,44995.0,25385.0,,1000.0,136966.0,32133.0,,0.0001,20000000.0,0.0,0.0,62173.0,2400.0,,10910.0,10910.0,,8666.0,8666.0,69040.0,,56160.0,4800.0,,,,20294.0,745165.0,745165.0,,,,35425.0,30.0,,5005000.0,,10500.0,,,15101877.0
2019-03-31,2019-08-07,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,109418.0,9347.0,6748.0,,13920.0,,,239529.0,,24179.0,24179.0,-43172.0,,0.0001,,100000000.0,12410000.0,12410000.0,1241.0,104441.0,,,,209870.0,,,,,,,9270.0,,0.0,,51124.0,62943.0,-36150.0,,24827.0,,44770.0,,22688.0,608.0,53957.0,,42452.0,239529.0,240224.0,634.0,-43806.0,-36150.0,,1000.0,99093.0,-36150.0,,0.0001,20000000.0,0.0,0.0,62781.0,,,,30.0,,604.0,,35216.0,,110117.0,500.0,,,,-15856.0,272813.0,272813.0,,,,-695.0,30.0,,,,,,,12410000.0
2019-06-30,2019-09-10,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,144843.0,12747.0,,,163420.0,,,75494.0,,25855.0,25855.0,,,0.0001,,100000000.0,17410000.0,17410000.0,1741.0,,,,,118698.0,,,,,,,18162.0,,-0.02,,73484.0,47167.0,-250563.0,,,,,,,,,516.0,37039.0,75494.0,176752.0,,,-250563.0,-516.0,1000.0,297214.0,-250047.0,,0.0001,20000000.0,0.0,0.0,10487.0,,,,,,,,69816.0,,2113.0,153600.0,,,,-266419.0,165865.0,,,,,-101258.0,30.0,,,,,,,15871538.0
2019-09-30,2019-11-14,10-Q,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,155861.0,12845.0,,,344572.0,,,237583.0,,85088.0,85088.0,,,0.0001,,100000000.0,18385000.0,18385000.0,1839.0,59215.0,,,,15161.0,,,,,,,9498.0,,0.0,,70163.0,62103.0,-80828.0,,,,,,,,,1903.0,39734.0,237583.0,238419.0,,,-80828.0,-1903.0,1000.0,141028.0,-78925.0,,0.0001,20000000.0,0.0,0.0,54129.0,,,,,,,,56120.0,,58632.0,3350.0,,,,-347247.0,77264.0,,,,,-836.0,30.0,,,31250.0,150000.0,,,17878478.0
2019-12-31,2020-04-08,10-K,"ELECTRONIC SERVITOR PUBLICATION NETWORK, INC.",XESP,CIK0001709542,USD,124796.0,9857.0,,,358317.0,,,137460.0,,80021.0,80021.0,12670.0,,0.0001,,100000000.0,18775000.0,18775000.0,1844.0,54660.0,,,,461606.0,-93000.0,,15000.0,,88700.0,88700.0,9498.0,,-0.02,0.21,267895.0,224794.0,-442806.0,,33966.0,,-5011.0,,30828.0,-56462.0,-55024.0,4451.0,50592.0,137460.0,199811.0,152113.0,-139443.0,-442806.0,-4451.0,1000.0,663149.0,-438355.0,1567.0,0.0001,20000000.0,1000.0,1000.0,4145.0,1250.0,,150030.0,,,12450.0,,211192.0,,1135.0,158500.0,,,11617.0,-422512.0,686400.0,686400.0,193750.0,0.25,0.25,-62351.0,30.0,175000.0,850000.0,43750.0,150030.0,,,17773836.0
