end,filed,form,Name,Ticker,CIK,Currency,AccountsAndNotesReceivableNet,AccountsPayableCurrent,AccountsReceivableSale,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockSharesConverted1,ConvertibleDebt,ConvertibleDebtNoncurrent,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfRevenue,CostsAndExpenses,DebtInstrumentConvertibleBeneficialConversionFeature,DeferredCompensationShareBasedArrangementsLiabilityCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOther,DeferredTaxAssetsValuationAllowance,DueFromRelatedParties,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInOtherDeposits,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,InsuranceRecoveries,InterestExpense,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LossContingencyDamagesSoughtValue,MarketingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,OfficersCompensation,OperatingExpenses,OtherExpenses,OtherGeneralExpense,OtherLaborRelatedExpenses,OtherNoncashExpense,PaymentsToAcquireSoftware,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,ReceivablesFromCustomers,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RestructuringCharges,RetainedEarningsAccumulatedDeficit,Revenues,SellingAndMarketingExpense,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockRepurchasedAndRetiredDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-06-30,2019-08-19,10-Q,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,1232261.0,161048.0,,,,-804317.0,,6484918.0,6484918.0,104372.0,-480054.0,-480054.0,,0.0,1000000000.0,700706621.0,700706621.0,3555190.0,,,,184188.0,2791217.0,2791217.0,1484715.0,,,1916162.0,,,-1916162.0,,,,,0.0001,271000.0,1554194.0,,69479.0,,,0.0,-834093.0,29776.0,834093.0,,0.0,,,78434.0,,4845490.0,6484918.0,345236.0,4500254.0,,,-131366.0,386150.0,-734838.0,69479.0,,4460574.0,,1406281.0,78434.0,,,,,0.0,50000.0,34289.0,34289.0,400.0,271405.0,0.0,386150.0,0.0,-132006.0,640.0,,,107261.0,-132006.0,,,,-1916162.0,4345411.0,458210.0,1639428.0,,,,,700706621.0
2019-09-30,2019-11-18,10-Q,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,563414.0,171008.0,43847.0,,,190224.0,,6332571.0,6332571.0,68476.0,-35896.0,-35896.0,,0.0,1000000000.0,700836384.0,700836384.0,3565065.0,,,,248002.0,2181802.0,2181802.0,1952787.0,,,2421130.0,,,-2421130.0,,,,,-0.0007,172461.0,1447819.0,,-504968.0,,,0.0,43847.0,75682.0,,-500000.0,570696.0,570695.0,,84764.0,,5188236.0,6332571.0,419010.0,4769226.0,,,268972.0,9875.0,-314744.0,-504968.0,,4728906.0,,1868023.0,84764.0,,,,,0.0,50000.0,34289.0,34289.0,400.0,823801.0,,9875.0,0.0,268332.0,640.0,,,63414.0,268332.0,,0.0,,-2421130.0,3629621.0,1695562.0,1144335.0,,,,,700836384.0
2019-12-31,2020-07-23,10-K,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,974617.0,1673501.0,,1626589.0,1626589.0,-101741.0,,6124894.0,6124894.0,70581.0,-513844.0,,,1e-05,1500000000.0,700836384.0,700836384.0,3995840.0,56000.0,,4192539.0,358949.0,,10244236.0,8314435.0,,0.0,5404935.0,0.0,0.0,5404935.0,0.0,40960.0,,32000.0,-0.00499,1791840.0,4816604.0,-3497831.0,-3367831.0,-0.00499,0.0,0.0,,1192467.0,1294207.0,,,,35870.0,334139.0,,5907000.0,6124894.0,1673501.0,4233499.0,,3065069.0,632339.0,2453389.0,-3599572.0,-3497831.0,3842550.0,4192539.0,130000.0,7980296.0,1408.0,15263.0,937970.0,334139.0,22922.0,1e-05,50000.0,34289.0,34289.0,400.0,9000.0,,826800.0,0.0,,,612809.0,-3497831.0,325305.0,-629779.0,-2560.0,0.0,1948505.0,5404935.0,15060840.0,4109951.0,217894.0,216150.0,826800.0,,,700836384.0
2020-03-31,2020-08-17,10-Q,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,649312.0,1410430.0,,1626589.0,,-117356.0,,5934063.0,5934063.0,25467.0,-45114.0,,,0.0,1500000000.0,727836384.0,727836384.0,4088360.0,56000.0,,4183998.0,,,952627.0,1365258.0,,0.0,5417314.0,0.0,0.0,-5417314.0,0.0,,,41600.0,-0.01,400586.0,1352880.0,,-12378.0,,,,,-263071.0,0.0,,-145716.0,,,89620.0,,5636028.0,5934063.0,1410430.0,4225598.0,,,84620.0,0.0,-129734.0,-12378.0,,,,1275638.0,89620.0,,,,,0.0,50000000.0,34289.0,34289.0,400.0,0.0,,0.0,0.0,,,,,0.0,8540.0,-640.0,,,-5417314.0,2305507.0,489395.0,298035.0,92520.0,92520.0,,,727836384.0
2020-06-30,2020-09-08,10-Q,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,649312.0,1613959.0,,1626589.0,,119930.0,,6209227.0,6209227.0,36666.0,191565.0,,,0.0,1500000000.0,727836384.0,727836384.0,4088360.0,,,4267978.0,,,2041561.0,950841.0,,0.0,5429659.0,0.0,0.0,-5429659.0,0.0,,,41600.0,0.0,191165.0,938497.0,,-12345.0,,,0.0,,203529.0,83599.0,,0.0,,,91480.0,,5923537.0,6209227.0,1613959.0,4309578.0,,,83980.0,0.0,107585.0,-12345.0,,,,859362.0,91480.0,,,,,0.0,50000000.0,34289.0,34289.0,400.0,0.0,0.0,0.0,0.0,83980.0,0.0,,,0.0,,,,,-5429659.0,2980057.0,457649.0,285690.0,,,,,727836384.0
2020-09-30,2020-11-20,10-Q,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,649312.0,1199770.0,,1626589.0,,379137.0,,5399991.0,5399991.0,33628.0,-3038.0,,,0.0,1500000000.0,779836384.0,779836384.0,4185656.0,,,,319161.0,,1682902.0,1270573.0,,0.0,6289482.0,0.0,0.0,-6289482.0,,,,26412.0,-0.0006,437242.0,803776.0,,-466797.0,,,0.0,,-427074.0,,,54401.0,,,90122.0,,5876828.0,5399991.0,1518930.0,4357898.0,,,-12674.0,97296.0,-87660.0,-466797.0,4036182.0,,,1180451.0,90122.0,,,,,0.0,50000.0,34289.0,34289.0,400.0,,,97296.0,,1962.0,-14636.0,,,,,,0.0,,-6289482.0,2486678.0,743209.0,-476837.0,,,,,779836384.0
2020-12-31,2021-09-28,10-K,"PotNetwork Holdings, Inc.",POTN,CIK0001746563,USD,669366.0,502299.0,,1626589.0,,4222079.0,3012449.0,709931.0,709931.0,40565.0,-30016.0,,,1e-05,1500000000.0,836260638.0,836260638.0,5065208.0,,8333.0,,,,6252339.0,5305376.0,,0.0,10989604.0,0.0,0.0,10989604.0,,18372.0,3012449.0,,-0.00668,1405884.0,3428205.0,-1877171.0,,-0.00224,-3707497.0,0.0,,-1051963.0,-2261592.0,,,,37020.0,374623.0,289342.0,5007338.0,709931.0,510632.0,4496705.0,34825.0,,263206.0,1069368.0,-1362590.0,-5584669.0,,4188991.0,142400.0,4930753.0,2871.0,7775.0,890541.0,,67661.0,1e-05,50000.0,34289.0,34289.0,400.0,0.0,,1069368.0,,,,346269.0,-5584669.0,20054.0,,,0.0,1891757.0,10989604.0,9680543.0,1490713.0,-4297407.0,174777.0,1069368.0,,,836260638.0
