end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableRelatedPartiesCurrent,AccruedProfessionalFeesCurrent,AccruedRentNoncurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvancesToAffiliate,AdvertisingCostsCapitalizedDirectResponseAdvertisingWriteDown,AdvertisingExpense,AllowanceForNotesAndLoansReceivableCurrent,Assets,AssetsCurrent,AssetsNoncurrent,BenefitsLossesAndExpenses,CapitalLeasesContingentRentalPaymentsDue,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CashPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CostOfRevenue,CostsAndExpensesRelatedParty,CurrentIncomeTaxExpenseBenefit,DebtAndEquitySecuritiesGainLoss,DebtInstrumentIncreaseDecreaseOtherNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DemutualizationCostAndExpense,DepositAssets,Depreciation,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EmployeeRelatedLiabilitiesCurrent,EquipmentExpense,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,ExtinguishmentOfDebtGainLossNetOfTax,FiniteLivedIntangibleAssetsNet,FurnitureAndFixturesGross,GainLossOnSaleOfProperty,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDeposits,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansAndLeasesReceivableRelatedParties,LoansPayable,LoansPayableCurrent,LoansReceivableFairValueDisclosure,LongTermInvestmentsAndReceivablesNet,LongTermNotesPayable,LossContingencyAccrualAtCarryingValue,LossContingencyAccrualCarryingValueNoncurrent,LossContingencyLossInPeriod,LossContingencyRelatedReceivableCarryingValuePeriodIncreaseDecrease,MachineryAndEquipmentGross,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAllocatedToLimitedPartners,NonoperatingGainsLosses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherCostAndExpenseOperating,OtherNoncashIncomeExpense,PaymentsForProceedsFromProductiveAssets,PaymentsForRent,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireInvestments,PaymentsToAcquireLoansReceivable,PaymentsToAcquireOtherProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfLoansHeldForInvestment,ProceedsFromSaleOfLoansReceivable,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertySubjectToOrAvailableForOperatingLeaseNet,RealEstateInvestmentPropertyAccumulatedDepreciation,RelatedPartyTransactionDueFromToRelatedPartyCurrent,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-03-31,2017-05-03,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,,,,,,,,,0.0,,,,,,,786.0,,,,,,,75000000.0,,5000000.0,0.001,,,,,,,,2425.0,,243.0,,243.0,,,,0.0,572.0,,,,,,,0.0,0.0,,,7709.0,1500.0,,-6209.0,0.0,,0.0,,,,,,,838.0,0.0,,,,,,,,,,,,,,,,,4850.0,572.0,5700.0,,,-5128.0,,-6209.0,,,7709.0,-6209.0,,-2425.0,,,,,675.0,,,5700.0,,,,,,,,,0.0,5700.0,,,-6209.0,4607.0,,,,,,1500.0,,,-2132.0,,,,,,5000000.0,,5000000.0
2017-06-30,2017-07-28,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,,,,,31402.0,,,,,,9295.0,16162.0,25457.0,,,9222.0,9222.0,,,,,,75000000.0,6088.0,5000000.0,0.001,,,,,,,,6913.0,,,,,,,,0.0,,,,,,,,,0.0,,,20111.0,6910.0,,-13202.0,0.0,,,,,,,,,,,,,25457.0,,8300.0,8300.0,,,8300.0,,,,,,,,9950.0,,,,,,,13201.0,,,20111.0,-13201.0,,-6913.0,,,,,,,,,,,6940.0,,,,,,,,,,-13201.0,9295.0,,,,,-20333.0,6910.0,,,17157.0,,,32490.0,,,5573231.0,,5573231.0
2017-09-30,2017-11-14,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,,,,,,31402.0,,,,,25128.0,2979.0,,,,209.0,209.0,,,,,0.0,75000000.0,6087500.0,6087500.0,6088.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,22149.0,,,0.0,,,28129.0,27800.0,,,0.0,,,,,,,,,,,,,8300.0,25128.0,,,,,,,,8300.0,,,,,,,,,,,,329.0,,,28129.0,-329.0,,,,0.0,,,,,,,,,2770.0,,,,,,,,,,-329.0,,,,,,-20662.0,27800.0,27800.0,,16828.0,16828.0,,,,,6087500.0,,6087500.0
2017-12-31,2018-04-18,10-K,CRONA CORP.,CCCP,CIK0001696411,USD,0.0,,,2700.0,31403.0,31403.0,,4637.0,,,26190.0,5439.0,20751.0,0.0,,31.0,31.0,-183.0,31.0,-183.0,,0.0,75000000.0,6088.0,6087500.0,0.001,,,,0.0,,,0.0,4236.0,,,,2725.0,,2725.0,,0.0,,8300.0,23970.0,-3922.0,,20751.0,4825.0,,0.0,,,11915.0,,,,0.0,,0.0,,0.0,,,,-3795.0,,0.0,,19003.0,17890.0,26190.0,8300.0,8300.0,,,,,,8300.0,,,-18678.0,,18650.0,,38190.0,-18625.0,-18625.0,-19748.0,-18625.0,-18678.0,,,54888.0,-18678.0,,-4236.0,,0.0,-3795.0,0.0,,-18625.0,,5700.0,0.0,,5408.0,5408.0,,32490.0,,5700.0,,,,19003.0,-18678.0,20751.0,20751.0,-2724.0,,23970.0,-19601.0,36210.0,36210.0,,17890.0,17890.0,32491.0,,3922.0,4236.0,5679688.0,,5679688.0
2018-03-31,2020-07-01,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,,,,,31403.0,,,1987.0,1325.0,,2776.0,2776.0,0.0,0.0,,31.0,31.0,,,,,,75000000.0,6088.0,6087500.0,0.001,,,,,,,0.0,7410.0,,1029.0,,1029.0,,,,0.0,0.0,0.0,,-3174.0,,,0.0,11421.0,2047.0,,,13066.0,0.0,,,0.0,,0.0,,0.0,,,,2662.0,2663.0,0.0,675.0,,2776.0,2776.0,0.0,0.0,,,,,,,,,-15113.0,,0.0,0.0,0.0,,,0.0,,-15113.0,,,13066.0,-15113.0,,-7410.0,7410.0,,,17675.0,675.0,,,,,,2745.0,,,,,,8300.0,0.0,,,-15113.0,0.0,0.0,0.0,,,-34715.0,0.0,,,2776.0,,,,3174.0,,,,6087500.0
2018-06-30,2020-07-01,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,1000.0,,,,31403.0,,,,,8040.0,776.0,776.0,0.0,,,31.0,31.0,,,,,,75000000.0,6088.0,6087500.0,,,,,,,,0.0,8040.0,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,3000.0,0.0,,,0.0,,,,,,,,,,,,,-224.0,776.0,1000.0,1000.0,,,,,,,,,,,0.0,,,,,,,3000.0,,,3000.0,-3000.0,,-8040.0,8245.0,,,,,,,,,,745.0,,,,,,,,,,-3000.0,0.0,0.0,0.0,,,-37715.0,0.0,,,-224.0,,,,,,,,6087500.0
2018-09-30,2020-07-01,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,1300.0,,,,31403.0,,,,,8245.0,101.0,101.0,0.0,,,31.0,31.0,,,,,,75000000.0,6088.0,6087500.0,0.001,,,,,,,0.0,8425.0,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,,,975.0,0.0,,,0.0,,,,,,,,,,,,,-1199.0,101.0,1300.0,1300.0,,,,,,,,,,,0.0,,,,,,,975.0,,,975.0,-975.0,,-8245.0,,,,,,,,,,,70.0,,,,,,,,,,-975.0,0.0,0.0,0.0,,,-38690.0,0.0,,,-1199.0,,,,,,,,6087500.0
2018-12-31,2020-08-11,10-K,CRONA CORP.,CCCP,CIK0001696411,USD,1600.0,,,2095.0,31403.0,,,3313.0,3313.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,-31.0,,,75000000.0,6088.0,6087500.0,0.001,,,,,,,0.0,8329.0,,,,1029.0,,1029.0,,0.0,,0.0,0.0,-4093.0,,,,,2047.0,,,6468.0,,,,0.0,-4093.0,0.0,,1600.0,,,,5408.0,,0.0,2095.0,,-1600.0,0.0,1600.0,1600.0,,,,,,,,,-19490.0,,,,9375.0,,0.0,-9406.0,0.0,-19490.0,,2047.0,17443.0,-19490.0,,-8329.0,8329.0,,,17675.0,,,,9375.0,,,,0.0,,0.0,,,,,9375.0,10975.0,-19490.0,0.0,,,,,-39091.0,0.0,,,-1600.0,,,,4093.0,8329.0,,,6087500.0
2019-03-31,2020-09-24,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,1900.0,,,,31403.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,75000000.0,6088.0,6087500.0,0.001,,,,,,0.0,0.0,8392.0,,,,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,,,300.0,0.0,,,0.0,-63.0,0.0,,300.0,,,,0.0,,0.0,0.0,,-1900.0,0.0,1900.0,1900.0,,,,,,,39391.0,,-300.0,,,,0.0,,,0.0,,-300.0,,,300.0,-300.0,,-8392.0,8392.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,300.0,-300.0,,,,,,-39391.0,0.0,,,-1900.0,,,,63.0,,,,6087500.0
2019-06-30,2020-10-01,10-Q,CRONA CORP.,CCCP,CIK0001696411,USD,2200.0,,,,31403.0,,,,,,0.0,,,,,0.0,,,,,,,75000000.0,6088.0,6087500.0,0.001,,,,,,,0.0,8455.0,,,,,,,,0.0,,,,,0.0,,,,0.0,,,300.0,0.0,,,0.0,,,,,,,,,,,,,-2200.0,0.0,2200.0,2200.0,,,,,,,39691.0,,,,,,,,,,,-300.0,,,300.0,-300.0,,-8455.0,8455.0,,,,,,,,,,,,,,,,,,,300.0,-300.0,,,,,,-39691.0,0.0,,,-2200.0,,,,,,,,6087500.0
