end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostsAndExpensesRelatedParty,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInPrepaidExpense,InterestPaid,InterestPaidNet,LeaseAndRentalExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiabilityNoncurrent,PaymentsForRepurchaseOfCommonStock,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TreasuryStockAcquiredAverageCostPerShare,TreasuryStockCommonShares,TreasuryStockShares,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2019-02-28,2019-04-05,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,2702.0,,97.0,,97.0,,,0.001,200000000.0,4000000.0,4000000.0,4000.0,,,,,6136.0,0.0,,443.0,,0.0,,,,,,,,,,,97.0,8838.0,,,,-2943.0,,2943.0,,,,,,,,2500.0,-2943.0,-12741.0,,,,-8741.0,,,,,,,4000000.0
2019-05-31,2019-08-22,10-K,CocoLuv Inc.,CCLV,CIK0001729637,USD,4702.0,-196000.0,54.0,54.0,54.0,-3955.0,0.0,0.001,200000000.0,200000000.0,200000000.0,200000.0,6635.0,0.0,3570.0,-3570.0,8353.0,0.0,0.21,2591.0,-15291.0,0.0,0.0,,0.0,0.0,4702.0,-3211.0,,,0.0,,54.0,13055.0,0.0,0.0,-3955.0,-15291.0,,15291.0,,,,,,0.0,0.0,12700.0,-15291.0,-17001.0,0.0,,,-13001.0,,,,,,3211.0,200000000.0
2019-08-31,2019-10-10,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,7113.0,,2996.0,,2996.0,-2942.0,,0.001,200000000.0,4000000.0,4000000.0,4000.0,4892.0,,,,13265.0,0.0,,1081.0,,,,,0.0,,2411.0,,,,0.0,,2996.0,20378.0,3020.0,0.0,-78.0,-7381.0,,-7381.0,,,,,3000.0,,20.0,6300.0,-7381.0,-24382.0,0.0,,0.05,-17382.0,,3000.0,,,,,200000000.0
2019-11-30,2020-01-15,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,4400.0,,3234.0,,3234.0,,,0.001,200000000.0,4000000.0,4000000.0,4000.0,,,,,21769.0,0.0,,2053.0,,,,,,,,,,,,,3234.0,26169.0,,,,-5953.0,,-5953.0,,,,,,,,3900.0,-5953.0,-30335.0,0.0,,0.05,-22935.0,,400.0,,,,,200000000.0
2020-02-29,2020-04-14,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,6550.0,,332.0,,332.0,,,0.001,200000000.0,4000000.0,4000000.0,4000.0,,,,,24428.0,0.0,,811.0,,,,,,,,,,,,,332.0,30978.0,,,,-15711.0,,15711.0,,,,,,,,14900.0,-15711.0,-46046.0,0.0,,0.05,-30646.0,,,,,,,200000000.0
2020-05-31,2020-08-31,10-K,CocoLuv Inc.,CCLV,CIK0001729637,USD,6500.0,-46010.0,494.0,494.0,494.0,440.0,0.0,0.001,200000000.0,64900000.0,64900000.0,64900.0,19874.0,0.0,11225.0,11225.0,28557.0,0.0,0.21,4652.0,-35453.0,,0.0,,0.0,0.0,1798.0,-7655.0,0.0,,0.0,,494.0,35057.0,15220.0,0.0,-14780.0,-36452.0,-36452.0,36452.0,,,10.0,0.0,14900.0,14900.0,330.0,31800.0,-36452.0,-53453.0,0.0,,,34563.0,-10.0,14900.0,,,,7655.0,196794536.0
2020-08-31,2020-10-09,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,11000.0,-46010.0,461.0,461.0,461.0,-33.0,,0.001,200000000.0,64900000.0,64900000.0,64900.0,2229.0,,,,30786.0,0.0,,762.0,,,,0.0,0.0,,4500.0,,0.0,0.0,0.0,,461.0,41786.0,0.0,0.0,-33.0,-6762.0,-6762.0,-6762.0,,,0.0,,0.0,,0.0,6000.0,,-60215.0,0.0,,,-41325.0,,,,,,,64900000.0
2020-11-30,2021-01-14,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,399.0,-46010.0,428.0,428.0,461.0,,,0.001,200000000.0,64900000.0,64900000.0,64900.0,,,,,50355.0,0.0,,3001.0,,,,,,,,,,,,,428.0,50754.0,,,,-9001.0,-9001.0,-9001.0,,,,,,,,6000.0,-9001.0,-69216.0,0.0,,,-69216.0,,,,,,,64900000.0
2021-02-28,2021-04-12,10-Q,CocoLuv Inc.,CCLV,CIK0001729637,USD,5019.0,-46010.0,385.0,385.0,385.0,,0.0,0.001,200000000.0,64900000.0,64900000.0,64900.0,,,,,57991.0,0.0,,1299.0,,,,,,,,,,,,,385.0,63010.0,,,,-12299.0,,12299.0,,-81515.0,,,,,,11000.0,,-81515.0,0.0,,,-62625.0,,,,,,,64900000.0
2021-05-31,2021-08-30,10-K,CocoLuv Inc.,CCLV,CIK0001729637,USD,4206.0,-46010.0,20352.0,352.0,352.0,-142.0,,0.001,200000000.0,64900000.0,64900000.0,64900.0,52841.0,0.0,17670.0,17670.0,81398.0,0.0,0.21,6189.0,-30689.0,,0.0,,0.0,0.0,-2294.0,-6445.0,-20000.0,,0.0,,20352.0,85604.0,0.0,0.0,-142.0,-30689.0,-30689.0,,,84142.0,0.0,20000.0,0.0,,0.0,24500.0,,-84142.0,0.0,,,-65252.0,,,,,,6445.0,64950000.0
