end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccruedLiabilitiesCurrent,AccruedUtilitiesCurrent,AdditionalPaidInCapital,AllocatedShareBasedCompensationExpense,AreaOfLand,Assets,AssetsCurrent,AssetsNet,BusinessAcquisitionsPurchasePriceAllocationYearOfAcquisitionNetEffectOnIncome,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,CostOfRevenue,CustomerDepositsCurrent,CustomerDepositsNoncurrent,DebtConversionConvertedInstrumentAmount1,DebtInstrumentAnnualPrincipalPayment,DebtInstrumentDecreaseForgiveness,DebtInstrumentPeriodicPaymentInterest,DebtInstrumentPeriodicPaymentPrincipal,DebtInstrumentPeriodicPaymentTermsBalloonPaymentToBePaid,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsSharebasedCompensationStock,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,FairValueOfAssetsAcquired,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnExtinguishmentOfDebtBeforeWriteOffOfDeferredDebtIssuanceCost,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,InventoryNet,InventoryWriteDown,InvestmentBuildingAndBuildingImprovements,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,LongTermLoansPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherDepreciationAndAmortization,OtherIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireAssetsInvestingActivities,PaymentsToAcquireBuildings,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfTreasuryStock,ProceedsFromSecuredNotesPayable,ProceedsFromShortTermDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionDueFromToRelatedParty,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalariesWagesAndOfficersCompensation,ShareBasedCompensation,SharesIssuedPricePerShare,SharesOutstanding,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesShareBasedCompensationGross,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2011-09-30,2011-12-05,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,11716.0,,37311.0,,,25662.0,25662.0,,,25662.0,,25662.0,,,,0.001,500000000.0,2759400.0,2759400.0,2759.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1975.0,,,-9136.0,,-9136.0,0.0,,,,,,,,,,,,,,,,,,,,11716.0,25662.0,11716.0,,,,,,,-9136.0,1500.0,9136.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,7161.0,-9136.0,,,,,,,-26124.0,0.0,,,,0.0,,,13946.0,,,,,,,,,363385386.0
2011-12-31,2012-02-14,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,3488.0,,86311.0,,,10381.0,10381.0,,,10381.0,,10381.0,,,,0.001,500000000.0,3759400.0,3759400.0,3759.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,52250.0,,-57053.0,-57053.0,,-57053.0,0.0,,,,,,,,,,,,,,,,,,,,3488.0,10381.0,3488.0,,,,,,,-57053.0,51500.0,57053.0,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,4803.0,-57053.0,,,,,,,-83177.0,0.0,,,,0.0,,,6893.0,,,,,,,,,406082655.0
2012-03-31,2012-06-28,10-K,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,23706.0,,-405005.0,,,7813.0,7813.0,,,7813.0,,7813.0,-17187.0,,,0.001,1500000000.0,495075386.0,495075386.0,495075.0,,,,,,,,,,,,,,,,,,-105963.0,,,-0.03,,,,,,,,1485.0,,,,,-96788.0,0.0,0.0,,,,,16531.0,,,,,,-13070.0,,,0.0,,,,,23706.0,7813.0,23706.0,,,,13070.0,,-30257.0,,55500.0,96788.0,,,,,,,,,,0.001,25000000.0,0.0,0.0,0.0,,0.0,,,,0.0,,,39803.0,-96788.0,,,,,,,-105963.0,0.0,,50000.0,,0.0,,-15893.0,-15893.0,,0.0,,,,,,50000.0,
2012-06-30,2012-08-13,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,23053.0,,86311.0,,,699.0,699.0,,,699.0,,699.0,-7114.0,,,0.001,500000000.0,3759400.0,3759400.0,3759.0,,,,,,,,,,,,,,,,,,-115244.0,,2820.0,0.0,,,,,,,,144.0,,,-9281.0,,,,,,,,,-653.0,,,,,,,,,,,,,,25873.0,699.0,25873.0,,,,2820.0,,-9934.0,-9281.0,1500.0,9281.0,,,,,,,,,,0.001,10000000.0,,,,,,,,,,,2820.0,7637.0,,,,,,,,,,1500.0,,,,,-25174.0,,,,,,,,,,3759400.0
2012-09-30,2012-11-19,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,31429.0,,-377016.0,,,20275.0,20275.0,,,,,,,,,0.001,1500000000.0,500075386.0,500075386.0,500075.0,,,,,,,,,,,,,,,,,,-188555.0,,54342.0,0.0,,,,,,,,8443.0,,,-73311.0,,,,,,,,,,,,,,,,,,,,,,,85771.0,20275.0,85771.0,,,,,,,-73311.0,,73311.0,,,,,,,,,,0.001,25000000.0,,,,20275.0,,,,,,,,64868.0,,,,,,,,,,,,,,,-65496.0,,,,,,,,,,496488386.0
2012-12-31,2013-02-12,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,16634.0,,-376516.0,,,21210.0,21210.0,,,460.0,,460.0,,,,0.001,1500000000.0,500075386.0,500075386.0,500075.0,,,,,,,,,,,,,,,,,,-252093.0,,133110.0,0.0,,,,,,,,7264.0,,-62371.0,-62288.0,,,,,,,,,,,,,,,,,,,,,,,149744.0,21210.0,149744.0,,,,,,,-62288.0,,62371.0,,,,,-83.0,,-83.0,,,0.001,25000000.0,,,,20270.0,,,,,,,,55107.0,,,,,,,,,,,,,,,-128534.0,,,,,,,,,,500075386.0
2020-03-31,2020-04-29,10-K,SOLLENSYS CORP,SOLS,CIK0001519177,USD,0.0,,31429.0,,497891.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.001,300000000.0,4183962.0,4183962.0,4184.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,54342.0,-0.01,0.0,0.21,-0.21,0.0,,0.0,,26100.0,0.0,,,-10062.0,-26100.0,0.0,0.0,5481.0,-5481.0,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,111871.0,0.0,111871.0,26100.0,26100.0,,36162.0,,-36162.0,-36162.0,,36162.0,-36162.0,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,0.0,0.0,36162.0,,,,,,,,26100.0,,10062.0,,-613946.0,0.0,,0.0,,,,-111871.0,,,,,,,,,,8367924.0
2020-06-30,2020-07-15,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,,,,,,1900000.0,,,,,,,,0.0,,0.0,,0.001,1500000000.0,502075402.0,502075402.0,502075.0,,0.0,,,,,,,,,,,,,,,,,,,-0.44,,,,,,85771.0,85771.0,12418.0,0.0,,,-1912418.0,-1826647.0,,,,,,,,,,,,,,,,,,,,,38518.0,,38518.0,38518.0,,,12418.0,,-12418.0,-1826647.0,,1912418.0,-1912418.0,,,,85771.0,85771.0,85771.0,,,,,,,1900000.0,,,,,12418.0,,,,,,,,38518.0,,1900000.0,,-2440593.0,0.0,,,,,,-38518.0,,,,,,,1900000.0,19000000.0,,4183962.0
2020-09-30,2020-11-09,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,135000.0,,0.0,,2426334.0,,,135485.0,135485.0,,,,,45485.0,,45485.0,,0.001,300000000.0,4183962.0,4183962.0,4184.0,,45000.0,,,46943.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,,98440.0,90000.0,,,,,,,,,,,,,,,,,,,0.0,,90000.0,,,,135000.0,135485.0,135000.0,,0.0,,,,,-8440.0,,98440.0,-8440.0,,,,0.0,0.0,,,,0.001,25000000.0,19000000.0,19000000.0,19000.0,,,500.0,,,,,,,,,,,,,,-2449033.0,135000.0,,,,,,485.0,,,,,,,,,,4183962.0
2021-03-31,2021-05-17,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,42508.0,,117695.0,,3501677.0,,,76151.0,76151.0,-155481.0,,,,22151.0,-107473.0,22151.0,,0.001,300000000.0,99391119.0,99391119.0,99392.0,,32344.0,71429.0,210000.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,563557.0,39085.0,,,-524472.0,,0.0,0.0,,,,42508.0,71561.0,,191429.0,,,,,,,0.0,54000.0,,,,441632.0,76151.0,231632.0,,,,111501.0,,-218974.0,-524472.0,,563557.0,-524472.0,,,,,0.0,,,,0.001,10000000.0,0.0,0.0,0.0,,,,111501.0,0.0,,,,,,,,,,0.0,,-3966550.0,71429.0,,,,,,-365481.0,,,,,,111501.0,,,,99374928.0
2021-06-30,2021-08-16,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,21544.0,78204.0,338024.0,158714.0,4486870.0,,,2903103.0,449754.0,-41175.0,,,,347205.0,,347205.0,0.0,0.001,300000000.0,99635377.0,99635377.0,99635.0,,30400.0,92857.0,214286.0,,2500000.0,,,,2270000.0,,,,,,,,,,,-0.01,,,,,,,,882989.0,7815.0,,,,,,,,,,,,,,,,,,,9896.0,,54000.0,,2500000.0,,3166711.0,2903103.0,490929.0,,38504.0,2461496.0,,,,-883563.0,,882989.0,-875175.0,,62345.0,,1508.0,-8388.0,,,,0.001,10000000.0,0.0,0.0,0.0,48549.0,,,,,,,,,,,2453349.0,,,0.0,,-4850113.0,38214.0,,,,,38504.0,-263608.0,,,,,,751076.0,,,,99469218.0
2021-09-30,2021-11-15,10-Q,SOLLENSYS CORP,SOLS,CIK0001519177,USD,116093.0,57500.0,307921.0,127287.0,5730905.0,,,3222475.0,321375.0,-402600.0,,,,146406.0,,146406.0,0.0,0.001,300000000.0,100002492.0,100002492.0,100003.0,,104608.0,236429.0,201428.0,,2500000.0,,,,2270000.0,,,,,,,,,,,-0.01,,,,,,0.0,,1058574.0,-68894.0,,,,,,,,,,,,,,,,,,,20871.0,,78000.0,,2500000.0,,3387852.0,3222475.0,723975.0,20550.0,5431.0,2441899.0,,,,-1146172.0,,1058574.0,-1127468.0,,64147.0,,2167.0,-18704.0,,,,0.001,10000000.0,0.0,0.0,0.0,96969.0,,,,,,,,,,2901110.0,233854.0,,,,,-5996285.0,35714.0,,,,,58101.0,-165377.0,,,,,,,,,,99802328.0
