end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccruedInvestmentIncomeReceivable,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueAmountOffsetAgainstCollateralNet,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2008-12-31,2009-03-10,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,,,,,,28145987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-08,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,1152708.0,,,,,15134140.0,-13011847.0,,,,,,,,,-264507.0,,,,,,,,,,,,,,,,,,88217.0,86139691.0,,736.0,55573490.0,,736.0,,,,114775.0,,3641.0,,,,,,,,,263905.0,,,,,,,,,,,,,,-977020.0,,,,,,,,,,,,,,,,,,183251028.0,,-196262875.0,,,289.0,1240925.0,,,,,,,113369992.0,,,,950705177.0,296621020.0,699991923.0,,,,85162671.0,,55574226.0,,,,,,,,,,,,,,,,,,,,,,30555120.0,30565465.0,,10345.0,,,,,
2010-06-30,2010-08-06,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,766926.0,,,,,24936847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,66903.0,-63937488.0,,,-24734130.0,,-849.0,,,,,,,,,,,,,,,124245.0,,,,,,,,,,,,,,-709584.0,,,,,,,,,,,,,,,,,,,,,,,-176.0,833829.0,,,,,,,,,,,,,,,,,-64647072.0,,-24734979.0,,,,,,,,,,,,,,,,,,,,,,-39208330.0,-39202509.0,,5821.0,,,,,
2010-09-30,2010-11-05,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,989855.0,,,,,28373111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23792.0,38029777.0,,,2611290.0,,556.0,,,,,,,,,,,,,,,181287.0,,,,,,,,,,,,,,-832360.0,,,,,,,,,,,,,,,,,,,,,,,60.0,1013647.0,,,,,,,,,,,,,,,,,37197417.0,,2611846.0,,,,,,,,,,,,,,,,,,,,,,35400810.0,35417931.0,,17121.0,,,,,
2010-12-31,2011-03-14,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,381105.0,,483545394.0,3469732.0,598208525.0,,,,31735957.0,16601817.0,,,,,,,10346.0,,-532285.0,,,,,,,,,,,,,,,,87536560.0,478936008.0,125445.0,52182454.0,,1574.0,-8698610.0,,1574.0,1128.0,,598208525.0,238445.0,,6534.0,,,,,,,,,530962.0,,,,,,,,,,,,,,-3064215.0,,,,,,,,,391451.0,598208525.0,,,,,,1128.0,,191058102.0,,-174456285.0,,,28.0,3595177.0,,,,,,,232932106.0,1128.0,,,1846381993.0,423991336.0,1683975839.0,,,,49118239.0,,-8697036.0,,,,,,,114270552.0,21200000.0,21200000.0,597817074.0,191059230.0,17000000.0,8200000.0,423991336.0,,,8800000.0,232932106.0,,,,60864520.0,60879490.0,,14970.0,87536560.0,,,,
2011-03-31,2011-05-06,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,,,,1122349.0,,,,,,-31735957.0,,,,,,,,,-169105.0,,,,,,,,,,,,,,,,,,59859.0,87123599.0,,2418.0,31413140.0,,2418.0,,,,37554.0,,47251.0,,,,,6027108.0,,,,169105.0,,,,,,,,,,,,,,-1013103.0,,,,,,,,,,,,,,,,,,745526.0,,-32481483.0,,,,1182208.0,,,,,,,160866108.0,,,,595818098.0,155152466.0,532993750.0,,,,86110496.0,,31415558.0,,,,,,,,,,,,,,,,,,,,,,55674530.0,55708041.0,,33511.0,,,,,
2011-06-30,2011-08-05,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,365335.0,,463912464.0,1185099.0,595643816.0,,,,62373090.0,,,,,,,,8491.0,,,,,,,,,,,,,,,,,,-18724810.0,551995536.0,2381.0,-67947446.0,,,94013001.0,,3443.0,1156.0,,595643816.0,,,,,,,,,,,,110276.0,,,,,,,,,,,,,,-1077204.0,,,,,,,,,373826.0,595643816.0,,,,,,,,,,,,,,1187480.0,,,,,,,,,,,,,,,,,-69024650.0,,94016444.0,,,,,,,131356370.0,20600000.0,20600000.0,595269990.0,-13919288.0,1000000.0,-400000.0,29205560.0,,,-1400000.0,-43124848.0,,,,-161935900.0,-161963890.0,,-27990.0,,,,,
2011-09-30,2011-11-07,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,372654.0,,529394988.0,1116775.0,538126841.0,,,,148604642.0,,,,,,,,9560.0,,,,,,,,,,,,,,,,,,-134470280.0,523992479.0,11561.0,-121926499.0,,,-6167251.0,,1823.0,927.0,,538126841.0,,,,,,,,,,,,46948.0,,,,,,,,,,,,,,-1081388.0,,,,,,,,,382214.0,538126841.0,,,,,,,,,,,,,,1128336.0,,,,,,,,,,,,,,,,,-123007887.0,,-6165428.0,,,,,,,8348712.0,23200000.0,23200000.0,537744627.0,65482524.0,4800000.0,2600000.0,123977820.0,,,2200000.0,58495296.0,,,,-115745470.0,-115761071.0,,-15601.0,,,,,
2011-12-31,2012-03-14,10-K,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,338111.0,,380488092.0,4481904.0,520163651.0,,,,14067002.0,-17668955.0,,,,,,,8620.0,,-348365.0,,,,,,,,,0.0,,,,,,,106340.0,494990376.0,90876.0,17859087.0,,11229.0,105298150.0,,11229.0,1142.0,,509163718.0,-42994.0,,-1726.0,,,,,,,,,346317.0,,,,,,,,,,,,,,-4226463.0,,,,,,,,,11771255.0,520163651.0,,,,,,,,-91632778.0,,73963823.0,,13632624.0,,4572780.0,,,,8620.0,,,427950583.0,,,,2315706366.0,336317805.0,2288991587.0,,,,13632624.0,,105309379.0,,,,,35946585.0,,127903162.0,17800000.0,17800000.0,508392396.0,-103057302.0,12000000.0,-3400000.0,336317805.0,-103057302.0,-89424678.0,15400000.0,439375107.0,,,,-87430220.0,-87450292.0,,-20072.0,13957510.0,13851170.0,,,
2012-03-31,2012-05-14,10-Q,INVESCO DB OIL FUND,DBO,CIK0001383058,USD,492886.0,,611148906.0,1175337.0,759233161.0,,,,13495683.0,-571319.0,,,,,,,3984.0,,-65030.0,,,,,,,,,0.0,,,,,1.31,,20789920.0,724947558.0,14084.0,20807674.0,,35.0,87140.0,,35.0,1195.0,,759233161.0,154775.0,,-4636.0,,,250343895.0,,,,,,64828.0,,,,,,,,,,,,,,-1124593.0,,,,,,,,,496870.0,759233161.0,,,,,,,,219236290.0,,-219807609.0,,19683081.0,,1189421.0,,,,,,,17357590.0,,,,724855162.0,236593880.0,494999964.0,,,,19683081.0,,87175.0,,,,,,,147586190.0,25400000.0,25400000.0,758736291.0,230660814.0,7800000.0,7600000.0,236593880.0,,,200000.0,5933066.0,,,,20683580.0,20720499.0,,36919.0,27662070.0,6872150.0,,,
