end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilities,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableRelatedPartiesCurrent,AccumulatedAmortizationOfOtherDeferredCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedOwnshareLendingArrangementIssuanceCosts,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue1,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,ClassOfWarrantOrRightOutstanding,ClosedBlockOperationsResultsBeforeIncomeTaxes,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ContractWithCustomerLiabilityCurrent,ConversionOfStockAmountIssued1,ConvertibleDebt,ConvertibleDebtCurrent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsImpairmentLosses,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExplorationExpense,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextRollingTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRollingAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseRollingYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromOperationsBeforeExtraordinaryItemsPerBasicAndDilutedShare,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOperatingLiabilities,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidExpense,InterestAndOtherIncome,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestIncomeOther,InterestPaid,Investments,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtCurrent,MineralPropertiesAccumulatedImpairment,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NotesPayable,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherExpenses,OtherIncome,OtherLiabilities,OtherNoncashIncomeExpense,OtherNotesPayable,OtherOperatingIncomeExpenseNet,OwnshareLendingArrangementSharesIssued,PaymentsOfStockIssuanceCosts,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockLiquidationPreference,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearFive,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearFour,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearOne,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearThree,PresentValueOfFutureInsuranceProfitsAmortizationExpenseYearTwo,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyDepositLiabilities,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyExpense,ShareBasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquityRedemptionValue,TemporaryEquitySharesAuthorized,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2007-12-31,2008-04-14,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69547.0,,,,,,,,,,-69547.0,,,,,,,,,,,,,,,,,,,,,-69547.0,,,,,,,,,449749.0,,,775000.0,,,,,,304000.0,6000.0,310000.0,,,,,,,
2008-12-31,2009-03-30,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67877.0,,,,,,,,,,-67877.0,,,,,,,,,,,,,,,,,,,,,-67877.0,,,,,,,,,381872.0,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-30,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,,,,,,,,,,,,,,276383.0,,,,,,,,12180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98489.0,,,,,,,,,,-98489.0,,,,,,,,,,,,,,,,,,,,,-98489.0,,,,,,,,,283383.0,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-03,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,,,,,,,,,,,,,,254131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14235.0,,,-14235.0,-13915.0,,,,,,,,,,,,,,,,,320.0,,,320.0,,,,,,,,,,,,,,,-13915.0,,,14235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12180000.0
2010-09-30,2010-11-12,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,,,,,,,,,,,,,,,,,,,,240821.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17619.0,,,-17619.0,-17310.0,0.0,,,,,,,,,,,,,,,,309.0,,,309.0,,,,,,,,,,,,,,,,,,17619.0,,,,,,,,,,,,,,,,,,7000.0,,,,,,,,,,,-17310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12180000.0
2010-12-31,2011-03-29,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,7004.0,,,,,,519820.0,,,,,,,233695.0,233695.0,,,,,228195.0,-48188.0,,,,,,,12180000.0,12180.0,,,,,,,,,,,,,,,,,,-305309.0,,,,,,,,,,,,,,57957.0,,,-57957.0,-56692.0,,,,,7004.0,,,,,,,,,,,1500.0,1265.0,,,1265.0,,,,,7004.0,233695.0,7004.0,,,,,,,-48188.0,-56692.0,-56692.0,,57957.0,,,,,,,,-56692.0,,,,,,,,,,5500.0,,,,,,,,,,,-56692.0,,,,,-56692.0,,,,226691.0,,,,,,,,,,,,,,,,,,12180000.0
2011-03-31,2011-05-12,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,-5919.0,6665.0,,,,,,519820.0,,,,,,,170313.0,150313.0,,,,,215200.0,-12995.0,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-368352.0,,,,,,,,,,,,,,12784.0,,,-12784.0,-12576.0,,,,,,,,,,,,,,,,,208.0,,,208.0,,,,,6665.0,170313.0,,,,,20000.0,,,-12995.0,-12576.0,,,12784.0,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,-12576.0,,,,,,,,,163648.0,,,,,,,,,,,,,,,,,12180000.0,
2011-06-30,2011-08-15,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,-7004.0,,,,,,,519820.0,,,,,,,199593.0,199593.0,,,,,199593.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-332407.0,,,,,,,,,,,,,,14680.0,,,-14680.0,-14522.0,0.0,,,,,,,,,,,,,,,,158.0,,,158.0,158.0,,,,,199593.0,,,,,,,,,-14522.0,,,14680.0,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,199593.0,,,,,,,,,,,,,,,,,12180000.0,
2011-09-30,2011-11-09,10-Q,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,-6764.0,240.0,,,,,,519820.0,,,,,,,192506.0,192506.0,,,,,192506.0,,,,,,,,,12180.0,,,,,,,,,,,,,,,,,,-339734.0,,,,,,,,,,,,,,7489.0,,,-7489.0,-7327.0,0.0,,,,,,,,,,,,,,,,162.0,,,162.0,,,,,240.0,192506.0,240.0,,,,,,,,-7327.0,,,7489.0,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,-7327.0,,,,,,,,,192266.0,,,,,,,,,,,,,,,,,,12180000.0
2011-12-31,2012-03-21,10-K,"XTREME FIGHTING CHAMPIONSHIPS, INC.",XFCI,CIK0001379043,USD,,280.0,,,,,,519820.0,,20000.0,,,,,184738.0,164738.0,,,,164738.0,164738.0,-63457.0,,,,,,,12180000.0,12180.0,,,,,,,,,,,,,,,,,,-347542.0,,0.0,,,,,,,,,,,,42871.0,,,-42871.0,-42233.0,,,,,-6724.0,,,,,,,,,-20000.0,,5500.0,638.0,,,638.0,,,-20000.0,,280.0,184738.0,280.0,,,,20000.0,,-20000.0,-43457.0,-42233.0,-42233.0,,42871.0,,20000.0,,,,,,-42233.0,,,,,,,,,,,,,,,,,,,,,-42233.0,,,,,-347542.0,,,,184458.0,,,,,,,,,,,,,,,,12180000.0,,
