end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,CapitalizedCostsAssetRetirementCosts,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredRevenue,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsCurrent,Depreciation,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,GainLossOnDispositionOfAssets,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,GainsLossesOnExtinguishmentOfDebt,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInOtherOperatingAssets,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasePayments,OperatingLeasePaymentsUse,OperatingLossCarryforwards,OtherAssetsCurrent,OtherCostOfOperatingRevenue,OtherGeneralAndAdministrativeExpense,OtherLiabilitiesCurrent,OtherOperatingActivitiesCashFlowStatement,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockValue,ProceedsFromDivestitureOfInterestInSubsidiariesAndAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfOtherProductiveAssets,ProfessionalFees,PropertyPlantAndEquipmentNet,PropertySubjectToOrAvailableForOperatingLeaseNet,RepaymentsOfDebt,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionMonthlyRentalPayments,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,IncreaseDecreaseInPrepaidExpensesOther,PrepaidExpenseCurrent,ProceedsFromSaleOfPropertyPlantAndEquipment
2020-09-30,2020-11-04,10-Q,"Bio Lab Naturals, Inc.",BLAB,CIK0001803977,USD,16456.0,,25681.0,35672338.0,,312533.0,135252.0,,177281.0,122752.0,,,0.0001,200000000.0,10753504.0,10753504.0,1075.0,,34363.0,,,,,,12500.0,8783.0,,,,,,-13363.0,-57714.0,-57714.0,,,,,,,,,,,,,,16456.0,312533.0,16456.0,,,,-57714.0,,,,44351.0,-57714.0,,,,,25580.0,15966.0,,,,0.0001,5000000.0,50.0,,,,,,28385.0,177281.0,,,-35377386.0,21000.0,,,0.125,296077.0,,,,,,10753504.0,,,
2020-12-31,2021-03-01,10-K,"Bio Lab Naturals, Inc.",BLAB,CIK0001803977,USD,17126.0,,35291.0,35672338.0,,246737.0,79065.0,,167672.0,69065.0,-462.0,-462.0,0.0001,200000000.0,10753504.0,10753504.0,1075.0,,78763.0,,,,73000.0,73000.0,10000.0,35291.0,,-0.03,,,,-57763.0,-275782.0,-275782.0,-65000.0,55000.0,10000.0,-1774.0,,-13000.0,10000.0,10000.0,251.0,251.0,,251.0,12500.0,17126.0,246737.0,17126.0,268730.0,-42427.0,-226765.0,-275782.0,-251.0,,,217768.0,-275531.0,,,,,43472.0,50579.0,,12500.0,42427.0,0.0001,5000000.0,50.0,,262000.0,,6730.0,,113829.0,167672.0,,,-35443852.0,21000.0,,262000.0,0.125,229611.0,10000.0,,,10000.0,12500.0,9762063.0,,,
2021-03-31,2021-05-05,10-Q,"Bio Lab Naturals, Inc.",BLAB,CIK0001803977,USD,5759.0,,9802.0,35672338.0,,226332.0,150166.0,,76166.0,34741.0,-34324.0,,0.0001,200000000.0,10753504.0,10753504.0,1075.0,,12873.0,,,,,,108150.0,3760.0,,-0.01,-73046.0,-14700.0,,-12873.0,,-139038.0,,,,,-11367.0,,98150.0,,552.0,,,,,135759.0,226332.0,135759.0,130000.0,-90725.0,-73599.0,-139038.0,-73598.0,35000.0,30000.0,52567.0,-65440.0,,,,7275.0,9113.0,6378.0,65000.0,,,0.0001,5000000.0,50.0,,,35000.0,30000.0,7425.0,41189.0,76166.0,,,-35582890.0,,,,,90573.0,,,,,,10753504.0,,,
2021-06-30,2021-07-30,10-Q,"Bio Lab Naturals, Inc.",BLAB,CIK0001803977,USD,75196.0,,13563.0,35749833.0,,225239.0,152834.0,,72405.0,35089.0,,,0.0001,200000000.0,10803504.0,10803504.0,1080.0,113335.0,124906.0,,,9000.0,,,,3760.0,,,,,,29964.0,,-92028.0,,,,,,,,,,869.0,745.0,,,149196.0,225239.0,149196.0,,,,-92028.0,-1614.0,35000.0,30000.0,120378.0,-90414.0,,,,4850.0,4916.0,4870.0,,,,0.0001,5000000.0,50.0,,,,,,23008.0,72405.0,112895.0,,-35674920.0,154870.0,,,,76043.0,,50000.0,,,77500.0,10778229.0,,,
2021-09-30,2021-11-03,10-Q,"Bio Lab Naturals, Inc.",BLAB,CIK0001803977,USD,76257.0,,17323.0,35749833.0,,262639.0,193994.0,,68645.0,17358.0,,,0.0001,200000000.0,10803504.0,10803504.0,1080.0,,8626.0,,,,,,61785.0,3760.0,,,,,,18374.0,-20661.0,,,,,,,,,,,875.0,750.0,,,207257.0,262639.0,207257.0,,,,-20661.0,-1625.0,35000.0,30000.0,37410.0,-19036.0,,,,4850.0,1971.0,5184.0,66000.0,,,0.0001,5000000.0,50.0,,,,,,17226.0,68645.0,110001.0,,-35695581.0,27000.0,,,,55382.0,,,,,,10778229.0,,,
2021-12-31,2022-03-18,10-K,"Bio Lab Naturals, Inc.",BLAB,CIK0001803977,USD,57257.0,,12535.0,35749833.0,,180013.0,125575.0,,54438.0,4377.0,,-64688.0,0.0001,200000000.0,10803504.0,10803504.0,1080.0,235645.0,274403.0,,,,160000.0,160000.0,,22775.0,,-0.02,-69443.0,,,64777.0,-249355.0,,-83000.0,70000.0,13000.0,40131.0,,,,-10000.0,,2917.0,3100.0,5275.0,77500.0,122257.0,180013.0,122257.0,65000.0,-88515.0,-41173.0,-249355.0,-75460.0,35000.0,30000.0,238672.0,-173895.0,,,,2425.0,15983.0,25924.0,,,,0.0001,5000000.0,50.0,,,35000.0,30000.0,27275.0,95248.0,54438.0,107106.0,,-35693207.0,339180.0,,,,57756.0,,,,,77500.0,10784874.0,11667.0,11667.0,29700.0
