end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockSplit,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllocatedShareBasedCompensationExpense,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashFDICInsuredAmount,CashUninsuredAmount,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CompensationExpenseExcludingCostOfGoodAndServiceSold,CostsAndExpensesRelatedParty,DeferredTaxAssetsOperatingLossCarryforwards,DepreciationDepletionAndAmortization,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EmployeeBenefitsAndShareBasedCompensation,FairValueAdjustmentOfWarrants,GeneralAndAdministrativeExpense,GrantsReceivable,GrantsReceivableCurrent,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestIncomeOther,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingLossCarryforwards,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromWarrantExercises,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsExercised,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2020-09-30,2020-12-23,10-Q,"Synaptogenix, Inc.",SNPX,CIK0001571934,USD,1190285.0,110159.0,,387927.0,,,,387927.0,29149881.0,29126435.0,26999862.0,26999862.0,,1300000.0,25700000.0,,,,,,,,27849437.0,233281.0,,,,,-0.9,,387927.0,1700000.0,1778187.0,,861852.0,,-4269609.0,,,,,,6797.0,,621208.0,29149881.0,1300444.0,,,,-4269609.0,,2576406.0,,,,,,,1264721.0,,,23446.0,410292.0,,,387927.0,,,,,,,,,,,,,,,120000.0,,,4755100.0,
2020-12-31,2021-03-30,10-K,"Synaptogenix, Inc.",SNPX,CIK0001571934,USD,1260335.0,352154.0,6668859.0,,,,4600799.0,,6751001.0,6728789.0,5795055.0,5795055.0,-11586983.0,2100000.0,3700000.0,,10269086.0,,0.0001,150000000.0,1257579.0,1257579.0,126.0,500740.0,,15300000.0,4872.0,,3.01,,1701376.0,1700000.0,8059014.0,975066.0,127445.0,,-12703197.0,,,847254.0,286179.0,312177.0,153213.0,120000.0,20426305.0,6751001.0,1612489.0,-3479172.0,-5413.0,-8102398.0,-12703197.0,-15130197.0,11156410.0,73000000.0,5413.0,0.0001,1000000.0,0.0,0.0,806289.0,,,22212.0,3069034.0,-1530473.0,,,,3911462.0,978077.0,,,,,0.0,0.0,0.0,,,5138512.0,,,,,5030316.0,
2021-03-31,2021-05-14,10-Q,"Synaptogenix, Inc.",SNPX,CIK0001571934,USD,758963.0,178477.0,20092655.0,568239.0,,344167.0,-432339.0,,16346648.0,16325683.0,14848451.0,14848451.0,9053396.0,2100000.0,12700000.0,,,,0.0001,150000000.0,14032516.0,14032516.0,1403.0,,,18900000.0,1247.0,,0.27,,568239.0,,2003413.0,0.0,,,-3154377.0,,-501372.0,,-173677.0,670943.0,816.0,,,16346648.0,937440.0,12640112.0,,-3586716.0,-3154377.0,,3155193.0,75600000.0,,0.0001,1000000.0,0.0,0.0,1477232.0,12512667.0,,20965.0,1151780.0,-4684850.0,,,,20077952.0,23989414.0,,220125.0,2.46,465400.0,,465400.0,2.46,2.46,,15409208.0,,,12512667.0,,11876100.0,
2021-06-30,2021-08-13,10-Q,"Synaptogenix, Inc.",SNPX,CIK0001571934,USD,648164.0,121809.0,39168084.0,151552.0,-1529.0,52681.0,,,32959969.0,32940244.0,31702086.0,31702086.0,,9000000.0,22700000.0,0.01,,,0.0001,150000000.0,6038798.0,6038798.0,604.0,,,19400000.0,,0.47,0.58,0.47,,,2092662.0,0.0,,-2926933.0,-2293842.0,0.0,,,,,2445.0,,,32959969.0,769973.0,,,,-2926933.0,,2929378.0,77800000.0,,0.0001,1000000.0,0.0,0.0,1238158.0,,,19725.0,836716.0,-6978692.0,,,,,6935134.0,,77038.0,9.84,,,123850.0,9.84,,,32189996.0,,,11271494.0,6196600.0,3971200.0,6196600.0
2021-09-30,2021-11-12,10-Q,"Synaptogenix, Inc.",SNPX,CIK0001571934,USD,935376.0,71953.0,41256323.0,1198860.0,,84648.0,,,32358642.0,32340157.0,31294645.0,31294645.0,,3600000.0,27700000.0,,,,0.0001,150000000.0,6136967.0,6136967.0,615.0,0.0,,,,,,,,,,1100000.0,,,,,,,,,,,0.0,32358642.0,1007329.0,,,,-2926933.0,,,,,0.0001,1000000.0,0.0,0.0,1045512.0,,800000.0,18485.0,,-9905625.0,,,,,6847930.0,,89613.0,9.84,,0.0,123850.0,9.84,,0.0,31351313.0,,,,,,
