end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalMarkToMarket,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivable,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CapitalUnitsAuthorized,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DebtConversionConvertedInstrumentSharesIssued1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateDuringPeriod,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInMarketableSecuritiesRestricted,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,InterestPayableCurrentAndNoncurrent,LaborAndRelatedExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LitigationSettlementAmount,LitigationSettlementExpense,LoansPayable,LoansPayableCurrent,MarketableSecuritiesCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherComprehensiveIncomeLossNetOfTax,PaymentsForRepurchaseOfConvertiblePreferredStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromContributionsFromParent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromOtherShortTermDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromSaleOfOtherInvestments,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,RealEstateRevenueNet,RepaymentsOfConvertibleDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerIncludingAssessedTax,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TreasuryStockValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,AccountsPayableAndOtherAccruedLiabilitiesCurrent,MachineryAndEquipmentGross,PaymentsForRepurchaseOfPreferredStockAndPreferenceStock,ShortTermBorrowings,StockRepurchasedDuringPeriodValue,TimeDepositsAtOrAboveFDICInsuranceLimit,TreasuryStockShares
2018-02-28,2018-04-23,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,375571.0,,9558.0,,,-34533.0,,,,169.0,173.0,,138137.0,138137.0,275000000.0,99279.0,,77614.0,99279.0,77614.0,,0.0001,250000000.0,100.0,100.0,,,,,26359.0,,,,,,,,,,,,1170.88,,,,,,162370.0,,19082.0,45381.0,,,,,-12519.0,955.0,,,,,32370.0,,,,28042.0,,375571.0,138137.0,375571.0,,37000.0,,,26000.0,32370.0,,-6370.0,169.0,,-32370.0,77614.0,117088.0,119000.0,47293.0,-1912.0,,,,,0.0001,25000000.0,0.0,0.0,,3300.0,,,,,,,,,,82719.0,82719.0,71740.0,,-202901.0,,71740.0,169.0,,,,,-237434.0,,,,,,100.0,100.0,,,,,,,,
2018-05-31,2018-07-16,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,381226.0,,12889.0,,,-34533.0,,,,615.0,173.0,,112986.0,112986.0,275000000.0,77606.0,,,77606.0,,,0.0001,250000000.0,100.0,100.0,,,,,31166.0,,,,,,,,0.0,,,,-314.0,,,,,,16654.0,,45681.0,44275.0,,,,,,,,,,,,,,,22576.0,,381226.0,112986.0,381226.0,,,,,19191.0,-23462.0,,-23462.0,,,,,-30806.0,-6808.0,68872.0,-24597.0,,,,,0.0001,25000000.0,0.0,0.0,,3300.0,,,,,,,,,,82719.0,82719.0,75441.0,,-233707.0,,75441.0,615.0,,,,,-268240.0,,,,,,100.0,100.0,,,,,,,,
2018-08-31,2018-10-15,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,103615.0,267000.0,146.0,,,71616.0,,,,1136.0,,,182772.0,182772.0,275000000.0,147174.0,147174.0,,147174.0,,,0.0001,250000000.0,1108058.0,1108058.0,1108.0,75000.0,75000.0,,35887.0,,,0.12,,,,,0.0,,157651.0,0.44,0.1,0.28,,,,,,,13603.0,30831.0,,,,,,,,,,,,,,550.0,23556.0,,178615.0,182772.0,103615.0,,,,,32153.0,,,12962.0,,,,,165139.0,172603.0,38295.0,-7464.0,,,,,0.0001,25000000.0,0.0,0.0,,3300.0,,,,,,,,,,,82719.0,,,-68567.0,,66718.0,1136.0,,,,,5063.0,,,,,,585576.0,,373434.0,,,,,,,
2018-11-30,2019-02-28,10-K,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,113043.0,267000.0,,82719.0,181304.0,,108000.0,,,28294.0,,625000.0,244225.0,244225.0,275000000.0,240925.0,,,240925.0,219260.0,,0.0001,250000000.0,1433196.0,1433196.0,143.0,75550.0,75000.0,75550.0,128363.0,64638.0,629583.0,0.12,0.025,13574.0,13574.0,13574.0,0.0,,157651.0,0.46,,0.31,0.0,0.21,0.21,0.0,179023.0,,110568.0,147100.0,,194333.0,-13574.0,13574.0,-7865.0,-8603.0,,,,,,,2145.0,550.0,95668.0,35299.0,188593.0,244225.0,188593.0,,35299.0,,,,,-21602.0,,,183830.0,27421.0,8009.0,194333.0,281763.0,234530.0,-87430.0,13574.0,13574.0,,,0.0001,25000000.0,0.0,0.0,,3300.0,,,75550.0,108280.0,108280.0,,,,27421.0,,82719.0,,,-125815.0,,275463.0,28294.0,,,,,55632.0,,,108280.0,108280.0,,629795.0,,419359.0,,,,,,,
2019-02-28,2019-04-12,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,102499.0,,3825.0,,186303.0,,,,,27513.0,,,188991.0,188991.0,275000000.0,181866.0,,,181866.0,-59059.0,,0.0001,250000000.0,1443196.0,1443196.0,144.0,,,76023.0,28976.0,,633525.0,0.12,0.025,,,,,,,,-0.12,,,,,,,,20564.0,17874.0,,,,,-10544.0,3825.0,-473.0,,,473.0,,,,473.0,19960.0,,178522.0,188991.0,178522.0,,,,,,,,,27513.0,5000.0,,-64059.0,-47659.0,,68037.0,-50163.0,,,,,0.0001,25000000.0,0.0,0.0,,3300.0,,,,5000.0,,,,,,,82719.0,,,-175978.0,,46850.0,,,,,,12973.0,,,5000.0,,,,419359.0,,,,,,,,
2019-05-31,2019-07-15,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,108499.0,,3800.0,82719.0,321277.0,,,,,30623.0,,,278986.0,278986.0,275000000.0,271886.0,,,271886.0,,,0.0001,250000000.0,1673253.0,1673253.0,167.0,,,76498.0,25282.0,,,0.12,,,,,0.0,,,,-0.03,,,,,,,,15136.0,10796.0,,,,,,,,,,,,,,947.0,16542.0,,184997.0,278986.0,184997.0,,,,,,,,,30623.0,,,,-51505.0,,62301.0,-51505.0,,,,,0.0001,25000000.0,280000.0,280000.0,28.0,3300.0,,,,,,,,,,,,,,-227483.0,36078.0,36078.0,30623.0,,,,,96493.0,,70000.0,65025.0,,,,1581941.0,,,,,,,,
2019-08-31,2019-10-15,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,104998.0,,3800.0,82719.0,587806.0,,,,,34178.0,,,312685.0,312685.0,275000000.0,305585.0,,,305585.0,,,0.0001,250000000.0,1673237.0,1673237.0,167.0,76976.0,,,23924.0,,,0.12,,,,,0.0,,,-0.14,,-0.14,,,,,,,12526.0,7268.0,,,,,,,,,,,,,,1425.0,192911.0,,181974.0,312685.0,104998.0,,,,,,,,,34178.0,,,,-232347.0,,239615.0,-232347.0,,,,,0.0001,25000000.0,640000.0,640000.0,64.0,3300.0,,,,,,,,,,,,,,-457326.0,31191.0,31191.0,34178.0,176565.0,,,,130711.0,,90000.0,,,,1673237.0,,1673237.0,,,,,,,
2019-11-30,2020-01-28,10-K,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,117000.0,,,82719.0,587805.0,,,,176564.0,104812.0,,2477950.0,263115.0,263115.0,275000000.0,263115.0,263115.0,,263115.0,22190.0,,0.0001,250000000.0,1673237.0,1673237.0,167.0,,,77454.0,104355.0,,645450.0,0.12,0.025,59143.0,45569.0,59143.0,0.0,,,-0.25,-0.25,-0.25,0.0,0.21,0.658,-0.448,,,75506.0,32508.0,,-393560.0,-45569.0,,3957.0,,-1904.0,,,,,-3300.0,1904.0,1425.0,245750.0,,194454.0,263115.0,194454.0,,,,,,,,,104812.0,230025.0,,-207835.0,-393560.0,,426068.0,-393560.0,281634.0,,,,0.0001,25000000.0,640000.0,640000.0,64.0,,,,,70025.0,160000.0,,,,,,,,,-519375.0,136863.0,136863.0,104812.0,176564.0,,,,68661.0,,160000.0,70025.0,,,1571341.0,1571341.0,1571341.0,,,,,,,
2020-02-29,2020-04-10,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,102000.0,,,82719.0,587805.0,,,,,5584.0,,2481983.0,195081.0,195081.0,275000000.0,195081.0,,,195081.0,-68034.0,,0.0001,250000000.0,1673237.0,1673237.0,167.0,,,77938.0,36038.0,,649483.0,0.12,0.025,,,,,,,,-0.03,,,,,,,,13524.0,-18035.0,,,,,-15000.0,,-485.0,,,485.0,,,,485.0,16375.0,,179938.0,195081.0,179938.0,,,,,,,,,5585.0,,,-68034.0,-53519.0,,35484.0,-53519.0,,,,,0.0001,25000000.0,640000.0,640000.0,64.0,,,,,,,,,,,,,,,-572893.0,18003.0,18003.0,,176564.0,,,,15142.0,,,,,,,1673237.0,,,,,,,,
2020-05-31,2020-08-25,10-Q,NESTBUILDER.COM CORP.,NBLD,CIK0001725516,USD,102500.0,,,82719.0,587806.0,,,,,72.0,,,124405.0,,275000000.0,124405.0,,,124405.0,,,0.0001,250000000.0,1673237.0,1673237.0,167.0,,,,2882.0,,,0.12,,,,,,,,0.0,0.0,0.0,,,,,10438.0,10438.0,11831.0,17710.0,,,,,,,,,,,,,,484.0,22563.0,,115580.0,124405.0,115580.0,,,,13080.0,,,,,72.0,,,,-6318.0,10438.0,34466.0,-16756.0,,,,,0.0001,25000000.0,640000.0,640000.0,64.0,,,,,,,,,,,,,,67500.0,-579212.0,20592.0,,,,,,,8825.0,,,,,,1673237.0,1673237.0,1673237.0,,,,,,,
