end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AccruedLiabilitiesForCommissionsExpenseAndTaxes,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdvertisingExpense,AmortizationOfAcquisitionCosts,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsNoncurrent,CapitalLeasesFutureMinimumPaymentsDueCurrent,CapitalLeasesFutureMinimumPaymentsDueInFourYears,CapitalLeasesFutureMinimumPaymentsDueInThreeYears,CapitalLeasesFutureMinimumPaymentsDueInTwoYears,CapitalLeasesFutureMinimumPaymentsDueThereafter,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConcentrationRiskPercentage1,ConvertibleLongTermNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsSold,CostOfRevenue,CostOfServicesOverhead,CustomerDepositsCurrent,DebtAndCapitalLeaseObligations,DebtInstrumentDecreaseForgiveness,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DeferredCostsCreditCardOriginationCostsAmount,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxesBusinessCombinationValuationAllowanceAvailableToReduceGoodwill,Deposits,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicAndDilutedShare,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FiniteLivedIntangibleAssetsAccumulatedAmortization,FinitelivedIntangibleAssetsAcquired1,GrossProfit,ImpairedFinancingReceivableUnpaidPrincipalBalance,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeposits,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInRestrictedCash,IntangibleAssetsNetExcludingGoodwill,InterestAndDividendsPayableCurrent,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPayableCurrentAndNoncurrent,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityInterestRateDuringPeriod,LineOfCreditFacilityMaximumBorrowingCapacity,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesIssued1,NotesPayable,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAdjustmentsToIncomeDiscontinuedOperations,OtherExpenses,OtherIncome,OtherNoncashIncome,OtherNotesPayable,PaymentsForDeposits,PaymentsForProceedsFromProductiveAssets,PaymentsToAcquireIntangibleAssets,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromOtherShortTermDebt,ProceedsFromPartnershipContribution,ProceedsFromRelatedPartyDebt,ProceedsFromUnsecuredNotesPayable,PropertyPlantAndEquipmentNet,RelatedPartyTransactionRate,RepaymentsOfNotesPayable,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalariesWagesAndOfficersCompensation,SalesRevenueNet,SellingAndMarketingExpense,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,ShortTermBorrowings,ShortTermNonBankLoansAndNotesPayable,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,UnrecognizedTaxBenefits,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2012-11-30,2013-01-14,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,33947.0,,,,,,11250.0,,,,,22396.0,5063.0,17333.0,,,,,,1985.0,,,,,0.0001,100000000.0,20000000.0,20000000.0,2000.0,,,,18190.0,19359.0,1169.0,,,,,0.15,,,,,,,,2786.0,,1000.0,127587.0,,,0.0,,,-13337.0,,,,,,,,,,,,,,17333.0,,1875.0,,,4792.0,,136733.0,22396.0,136733.0,,,,,,,,,,,,,-50257.0,,50000.0,,35045.0,-48382.0,,,1875.0,,,,,,,640.0,,,,,,,,,,2438.0,,6022.0,,,6022.0,,34045.0,,,50000.0,50000.0,-114337.0,,,,,,20000000.0
2013-02-28,2013-04-03,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,18145.0,28000.0,,,,,11250.0,,,,,29387.0,13054.0,16333.0,,,,,,12224.0,12224.0,,,,0.0001,100000000.0,20000000.0,20000000.0,2000.0,,,,63140.0,68789.0,5649.0,,,,,0.15,,,,,,,,1636.0,,4667.0,183644.0,,,0.0,,,-38578.0,,,,,18145.0,,,,,28000.0,1500.0,351.0,479.0,16333.0,1500.0,8541.0,,,6667.0,,199781.0,29387.0,199781.0,,,,,,,163000.0,,-20479.0,,-130297.0,,-239701.0,,50000.0,,192582.0,-231160.0,,,8541.0,,,,-1636.0,,20000.0,351.0,12500.0,75000.0,100500.0,,,,,,25000.0,479.0,,30211.0,,,30211.0,,187915.0,750.0,,100500.0,50000.0,-170394.0,,,,,,20000000.0
2013-05-31,2013-08-29,10-K,"NHALE, INC.",NHLE,CIK0001552979,USD,22119.0,28040.0,,,,,110250.0,8638.0,,4333.0,,56910.0,41243.0,15667.0,,,,,,33060.0,,200500.0,-1995.0,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,0.95,,,,,,4287.0,,,,,,12577.0,88800.0,261000.0,88800.0,88800.0,-88800.0,4287.0,,,261286.0,-0.01,,-0.01,4333.0,20000.0,,,,,-232456.0,,,,,,,,,,15667.0,,,,,,5607.0,204946.0,56910.0,204946.0,,,,,,-188781.0,,,,,,,,,50000.0,50000.0,,,261000.0,43675.0,,,,,,,,8183.0,,,,,,,,,,9062.0,,,,,,,,,,100500.0,50000.0,-148036.0,10000000.0,,100000.0,,,21534247.0
2013-08-31,2013-10-15,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,19826.0,28040.0,,,,,110250.0,,,,,34604.0,19937.0,14667.0,,,,,,6485.0,-17513.0,100000.0,-3157.0,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,0.9,,,65746.0,71593.0,5847.0,,,,,0.15,,,,,,,,19568.0,,1000.0,396580.0,,,,,,-17783.0,,,,-135294.0,-2293.0,,,15281.0,,,,-6950.0,3157.0,14667.0,,3345.0,,,10417.0,,317934.0,34604.0,317934.0,,,,,,-114356.0,100000.0,,-3157.0,,-114356.0,,-135294.0,,150000.0,,114166.0,-131949.0,,20938.0,3345.0,,,,,,,1233.0,,100000.0,,,,,,,,12219.0,,53810.0,,,53810.0,,113166.0,,,100500.0,50000.0,-283330.0,,,,,,30000000.0
2013-11-30,2014-01-07,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,31620.0,35040.0,,,,,110250.0,,,,,50886.0,34793.0,16093.0,,,,,,22330.0,,,,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,,,,51455.0,56032.0,4577.0,,,,,0.15,,,,,,,,43899.0,,1069.0,523423.0,,,0.0,,,-9491.0,,,,-126843.0,,,,,,,,,,13667.0,,6274.0,,,12292.0,,461059.0,50886.0,461059.0,,,,,,,,,,,,,-126843.0,,250000.0,,111078.0,-120569.0,,,6274.0,,,,,,,4787.0,,,,,,,2426.0,,,7676.0,,46541.0,,,46541.0,,110009.0,,,100500.0,50000.0,-410173.0,,,,,,30000000.0
2014-02-28,2014-04-11,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,63322.0,42040.0,,,,,110250.0,,,,,46117.0,31232.0,14885.0,,,,,,14606.0,,,,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,,,,42042.0,46407.0,4365.0,37521.0,,,,,,,,,,,,,,1208.0,660516.0,,,0.0,,,4967.0,,,,-137093.0,,,,,,,,,,12667.0,,11145.0,,,,,593383.0,46117.0,593383.0,,,,,,,,,,,,,-137093.0,,,350000.0,130915.0,-125948.0,,,11145.0,,,,,,,4459.0,,,,,,,2218.0,,,12167.0,,51374.0,,,51374.0,73451.0,56256.0,,,100500.0,,-547266.0,,,,,,30000000.0
2014-05-31,2014-09-15,10-K,"NHALE, INC.",NHLE,CIK0001552979,USD,62609.0,49040.0,,14367.0,16042.0,,110250.0,,3333.0,,14551.0,17255.0,17255.0,,,,,,,16957.0,-16103.0,400000.0,-2495.0,-488608.0,0.0001,100000000.0,30000000.0,30000000.0,3000.0,,75000.0,,,,,16157.0,75000.0,,,,,,,,,,,,,,849301.0,-0.02,100500.0,,,,,525000.0,-72609.0,0.0,-515406.0,,,,,100500.0,,,298.0,,,,3317.0,11743.0,788.0,,,753306.0,17255.0,678306.0,75000.0,,,,-57760.0,-430848.0,475000.0,475000.0,-2495.0,,-488608.0,,,325000.0,,450000.0,,,849301.0,93620.0,,,,,,,,298.0,,475000.0,,,,325000.0,,,,,-849301.0,,3750.0,84000.0,,,,,,100500.0,,-736051.0,,,,,,30000000.0
2014-08-31,2014-10-02,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,74214.0,56540.0,4685.0,,,,110250.0,,,,,50163.0,50163.0,,,,,,,49850.0,32893.0,,,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,,200000.0,,,,,16157.0,,,,,,,,,,,,,,,,-187033.0,,,,,,,-187033.0,-0.01,,11605.0,7500.0,,,,,,-15.0,,,,23247.0,,,,,973247.0,50163.0,773247.0,200000.0,,,,-167943.0,,200836.0,200836.0,,,-167943.0,,-187033.0,,,525000.0,163786.0,-163786.0,,,23247.0,,,,,,,313.0,,200000.0,,,,,,,,,-1036334.0,,,,,18485.0,145301.0,,,101336.0,,-923084.0,,,,,,30000000.0
2014-11-30,2015-01-16,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,103414.0,,16110.0,,,,110250.0,,,,,19826.0,19826.0,,,,,,,10566.0,,,,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,,625000.0,,,,,,,,,,,,,372913.0,123061.0,,-123061.0,,,,,,,-0.01,,,,,-185880.0,-0.01,,,,,,,,,,,,,29988.0,,,,,1128790.0,19826.0,503790.0,625000.0,,,,,,,,,,,,-185880.0,,,400376.0,172049.0,-172049.0,,,13831.0,16157.0,,,,,,9260.0,,,,,,,,,,,-1222214.0,,,,,23849.0,148200.0,,,,,-1108964.0,,,,,,30000000.0
2015-02-28,2015-04-14,10-Q,"NHALE, INC.",NHLE,CIK0001552979,USD,171971.0,187.0,97840.0,,,,110250.0,,,,,831.0,831.0,,,,,,,831.0,,,,,0.0001,100000000.0,30000000.0,30000000.0,3000.0,,525000.0,,,,,,450000.0,,,,,,,560652.0,185015.0,,-185015.0,,,,,,,-0.01,,,,,-187739.0,-0.01,,,,,,,,,,,,,33382.0,,,,,1297534.0,831.0,772534.0,525000.0,,,,,,,,,,,,-187739.0,,,600376.0,154357.0,-154357.0,,,33382.0,,,,,,,,,,,,,,,,,,-1409953.0,,,,,40650.0,113707.0,,,,,-1296703.0,,,,,,30000000.0
