end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableCurrentAndNoncurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,AdditionalPaidInCapital,AdvertisingExpense,AllowanceForDoubtfulAccountsReceivable,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsNet,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommonStockOtherSharesOutstanding,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,CostOfGoodsSold,CustomerAdvancesCurrent,DebtCurrent,DebtInstrumentIncreaseDecreaseOtherNet,DeferredOtherTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Deposits,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DepreciationExpense,DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,DueFromOfficersOrStockholdersNoncurrent,DueFromRelatedParties,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,FreshStartAdjustmentIncreaseDecreaseAccountsPayable,FuelCosts,FurnitureAndFixturesGross,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GainsLossesOnSalesOfAssets,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAssetsHeldForSale,IncreaseDecreaseInCustomerAdvancesAndDeposits,IncreaseDecreaseInInventoryForLongTermContractsOrPrograms,IncreaseDecreaseInOtherCurrentAssets,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InterestPayableCurrentAndNoncurrent,InventoryNet,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilitiesOtherThanLongtermDebtNoncurrent,LineOfCredit,LinesOfCreditCurrent,LitigationReserveCurrent,LongTermLoansPayable,LossContingencyAccrualAtCarryingValue,LossContingencyAccrualCarryingValueNoncurrent,MachineryAndEquipmentGross,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersDiluted,NetRegulatoryAssets,NontradeReceivablesCurrent,NotesAndLoansPayableCurrent,NotesAndLoansReceivableGrossNoncurrent,NotesPayable,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccountsPayableAndAccruedLiabilities,OtherAssetsCurrent,OtherComprehensiveIncomeLossNetOfTax,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherIncome,OtherNoncashExpense,OtherOperatingIncomeExpenseNet,OtherReceivables,PaymentsForLoans,PreferredStockAdditionalSeriesParOrStatedValuePerShare,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfOtherAssets,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ProvisionForDoubtfulAccounts,RepaymentsOfDebt,RepaymentsOfLinesOfCredit,RepaymentsOfLongTermLinesOfCredit,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,RevenuesFromExternalCustomers,SalariesAndWages,ShareholderLoansToFinanceLeveragedBuyout,StandardizedMeasureOfDiscountedFutureNetCashFlowOfProvedOilAndGasReservesPeriodIncreaseDecrease,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2010-12-31,2011-04-15,10-K,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,40694.0,77373.0,,12815.0,,47922.0,178344.0,,18456.0,,0.0,,225726.0,12815.0,,750.0,,0.0,112895.0,,,,,,0.001,,50000000.0,,7000000.0,7000.0,90668.0,,,-7615.0,,,,53930.0,,,79316.0,,81667.0,,,0.0,,,,,-0.03,,,,,,,,9448.0,,,286686.0,101502.0,,,,,,-125605.0,,,-51157.0,-24388.0,,,,-1147.0,,3270.0,8673.0,,,,375046.0,225726.0,282152.0,92894.0,,,,,,148492.0,,,288800.0,-39899.0,-136006.0,-21473.0,,,0.0,7615.0,59815.0,,,286686.0,-185184.0,196250.0,,4041.0,,30530.0,,,,,0.0,-70775.0,0.0,0.001,20000000.0,,0.0,0.0,0.0,259752.0,,,96489.0,44890.0,,42000.0,,-81899.0,208870.0,,,,,,,-41556.0,,-174776.0,72435.0,192170.0,119735.0,,,,-149320.0,,,,,7000000.0,,
2011-03-31,2011-05-20,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,,,,,,,,,,,,,,,,,,132914.0,132914.0,,,,,,,,,,,,28473.0,,,,,,,,,,19724.0,,19237.0,,,,,,,,7092229.0,,,,,,,,,,,100011.0,98505.0,,,,,,-13243.0,,,-58394.0,439.0,,,,-2000.0,,-1931.0,1934.0,,,,,,,,,,,,,,,,201528.0,-17285.0,-51329.0,-3437.0,,,,,,,,100011.0,-1506.0,,,,,-1931.0,,,,,,-2834.0,,,,,,,,1887076.0,,,17286.0,0.0,,,,-17285.0,,,5582.0,,,,,,,,11700.0,126978.0,115278.0,,,,,,,,,0.0,,
2011-06-30,2011-08-19,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,26145.0,66953.0,,0.0,,21068.0,210997.0,,277864.0,,0.0,,397579.0,203519.0,,0.0,,199569.0,,,,,346336.0,259752.0,0.001,-1950.0,50000000.0,,7343736.0,7344.0,25232.0,,,-15425.0,,,,,,,19764.0,487.0,19237.0,19237.0,,35557.0,,,,,-0.01,,,,,,,,-9448.0,,,98448.0,32603.0,,,,,,,,,,,,,,,,-3581.0,,,,,369458.0,397579.0,241746.0,127712.0,,,,,,138300.0,,,,,,-78874.0,,,2000.0,15425.0,81435.0,,,98448.0,-65845.0,,,5188.0,,-13029.0,,,,,1950.0,,0.0,0.001,20000000.0,,0.0,,,,,,,,,,,,188872.0,,,,,,,,,-257087.0,0.0,57835.0,57835.0,,,,28121.0,,,,,7335348.0,,7335348.0
2011-09-30,2011-11-14,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,57752.0,,0.0,,26595.0,228359.0,,277864.0,,0.0,,329450.0,141751.0,,0.0,,112895.0,,,,,346336.0,259752.0,0.001,-1950.0,50000000.0,,7343736.0,7344.0,25160.0,,,-19517.0,,,,,,,19555.0,488.0,19555.0,,,23017.0,,,,,0.0,,,,,,,,0.0,,,108473.0,90884.0,,,,,,,,,,,,,,,,1880.0,,,,,320798.0,329450.0,226876.0,93922.0,,,,,,123012.0,,,,,,-19469.0,,,2000.0,19517.0,90222.0,,,108473.0,-17589.0,,,5188.0,,1880.0,,0.0,,,1950.0,,0.0,0.001,20000000.0,,0.0,,1200.0,,,,,,,,,,182511.0,,,,,,,,,-276556.0,73301.0,116044.0,42743.0,,,,8652.0,,,,,7335348.0,,7343736.0
2011-12-31,2012-04-13,10-K,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,59219.0,,63972.0,,23284.0,-250864.0,,277862.0,,0.0,,342061.0,176867.0,,0.0,,112895.0,0.0,,,,,,0.001,,50000000.0,,7346336.0,7346.0,108925.0,,,-20022.0,,0.0,0.0,59300.0,-59300.0,,81667.0,,79316.0,,,3334.0,,,,,0.0,,,,,,,9748.0,27260.0,,,373334.0,369952.0,,,,,,125738.0,,,3885.0,4296.0,,,,-2600.0,,8643.0,3270.0,,,,253102.0,342061.0,163677.0,89425.0,,,,81536.0,,61152.0,20384.0,319223.0,-28991.0,4459.0,24532.0,-215714.0,,,0.0,20022.0,85529.0,,,373334.0,-3382.0,,,5188.0,,18091.0,,,,,0.0,-64632.0,,0.001,20000000.0,,0.0,0.0,,0.0,,,67592.0,13991.0,,70774.0,,-66315.0,160006.0,81899.0,,,,,,-45942.0,,-196249.0,85001.0,478905.0,393904.0,,,,88959.0,,,5370.0,,7279629.0,,
2012-03-31,2012-05-21,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,52639.0,,50147.0,,25306.0,-345121.0,,277862.0,,0.0,,494066.0,183988.0,,,,133841.0,20949.0,,,,,,0.001,,50000000.0,,7346336.0,7346.0,45390.0,,,-34297.0,,,0.0,59300.0,-59300.0,,25209.0,,24958.0,,,23099.0,,,,,0.0,,,,,,,9748.0,0.0,,,117771.0,127322.0,,6395.0,,,0.0,-17788.0,,,13825.0,-2058.0,,,,2419.0,,3156.0,3173.0,,,,398318.0,494066.0,173394.0,225318.0,,,,,,61152.0,5096.0,382341.0,165456.0,-172512.0,28002.0,6395.0,,,,34297.0,231220.0,,,117771.0,9551.0,,,2769.0,,3156.0,,,,,,5096.0,,0.001,20000000.0,,0.0,0.0,,19765.0,,,150787.0,19765.0,,0.0,,-172512.0,172460.0,125492.0,0.0,,,,,0.0,,-189854.0,0.0,172712.0,172712.0,,,,95354.0,,,,,7346336.0,,
2012-06-30,2012-08-14,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,48379.0,,29224.0,,1862.0,-345121.0,,277862.0,,0.0,,389321.0,101876.0,,,,72652.0,,,,,,,0.001,,50000000.0,,7346336.0,7346.0,32665.0,,,-35097.0,,,0.0,33748.0,-33748.0,,25209.0,,24958.0,,,28269.0,,,,,-0.01,,,,,,,9748.0,0.0,,,96808.0,6972.0,,-98081.0,,,0.0,,,,,,,,,,,8245.0,,,,,392048.0,389321.0,175631.0,216417.0,,,,140000.0,,90293.0,0.0,382341.0,,,,-98081.0,,73800.0,,35097.0,223045.0,,,96808.0,-89836.0,287935.0,,5358.0,,8245.0,,,,,,,,0.001,20000000.0,,0.0,0.0,,,,,,,,,,,172460.0,125492.0,,,,,,,,-287935.0,0.0,39637.0,39637.0,,,,-2727.0,,,,,7346336.0,,
2012-09-30,2012-11-19,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,35173.0,,45564.0,,3306.0,-319979.0,,277862.0,,0.0,,308371.0,105411.0,,,,58847.0,,,,,,,0.001,,50000000.0,,7346336.0,7346.0,34124.0,,,-41516.0,,,0.0,80506.0,-80506.0,,28365.0,,28113.0,,,52255.0,,,,,0.0,,,,,,,,-11613.0,,,14585.0,7326.0,,6862.0,,,0.0,,,,,,,,,,,-2508.0,,,,,304236.0,308371.0,130955.0,173281.0,,,,50960.0,,50960.0,0.0,,,,,6862.0,,25544.0,,41516.0,162342.0,,,14585.0,-7259.0,281073.0,,5358.0,,-14121.0,,11613.0,,,,,,0.001,20000000.0,,0.0,0.0,,,,,,,,,,,197602.0,,,,,,,,,-281073.0,0.0,41450.0,41450.0,,,,4135.0,,,,,7346336.0,,
2012-12-31,2013-04-16,10-K,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,49616.0,,226814.0,,0.0,-345121.0,,277862.0,,0.0,,458965.0,286505.0,,,,82703.0,-55154.0,,82703.0,,,,0.001,,50000000.0,7346336.0,7346336.0,7346.0,213835.0,,,-29128.0,,-25552.0,0.0,33748.0,-33748.0,,103925.0,,102919.0,,,39608.0,,,,,0.01,,25.0,,,,,9748.0,0.0,,,280824.0,394374.0,,102206.0,,,0.0,-51385.0,,,-164792.0,-27366.0,,,,5188.0,,0.0,11405.0,,,,267800.0,458965.0,114416.0,153384.0,,,,35672.0,,35672.0,0.0,382341.0,93449.0,-116379.0,-32224.0,102206.0,,158000.0,1950.0,29128.0,142704.0,,,280824.0,113550.0,-94043.0,,0.0,,11344.0,,-11344.0,,,,145730.0,,0.001,20000000.0,0.0,0.0,0.0,,0.0,,,202905.0,98307.0,,119239.0,,-235618.0,172460.0,125492.0,0.0,,,,,-36274.0,,-94043.0,0.0,608209.0,608209.0,,,,191165.0,,,0.0,,7346336.0,,
2013-03-31,2013-05-20,10-Q,AMERICAN METALS RECOVERY AND RECYCLING INC.,AMRR,CIK0001488638,USD,,200.0,92541.0,,321380.0,,130000.0,-354657.0,20434.0,277862.0,,0.0,,743429.0,624099.0,,,,299520.0,241799.0,,299520.0,241799.0,,,0.001,,50000000.0,,7346336.0,7346.0,194945.0,194945.0,,-24339.0,1164.0,,0.0,33748.0,-33748.0,,20434.0,251.0,20183.0,,-42081.0,0.0,,,,,0.02,,25.0,,,,,9748.0,3109.0,,-3109.0,169308.0,394374.0,,202071.0,202071.0,0.02,-42081.0,27638.0,,,-95730.0,172081.0,3109.0,,,-1249.0,-1905.0,1897.0,1905.0,,,8.0,392274.0,743429.0,309345.0,82929.0,,,,20384.0,,20384.0,,382341.0,-75244.0,29586.0,287437.0,159990.0,,314754.0,3199.0,24339.0,107068.0,,,169308.0,207077.0,65947.0,,,159990.0,5006.0,169057.0,,1905.0,-5006.0,,35636.0,,0.001,20000000.0,,0.0,0.0,,0.0,,,0.0,,29586.0,29586.0,,0.0,119330.0,81898.0,1164.0,,,,-35636.0,39608.0,,65947.0,,571330.0,571330.0,,-39608.0,,351155.0,,,,7346336.0,7346336.0,,
