end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableOtherCurrent,AccruedProfessionalFeesCurrent,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,Assets,AssetsCurrent,Cash,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockNoParValue,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CumulativeTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,CurrentFederalTaxExpenseBenefit,DueFromBanks,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCash,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,ForeignCurrencyTransactionGainLossUnrealized,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseInCarryingAmountOfRedeemablePreferredStock,InterestBearingDepositsInBanks,InterestBearingDepositsInBanks,InterestPaid,InterestPaidNet,InterestReceivableCurrent,InvestmentIncomeInterest,InvestmentInterestRate,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherAccruedLiabilitiesCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherNonrecurringExpense,PaymentsForOperatingActivities,PaymentsForOperatingActivities,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsForRepurchaseOfRedeemablePreferredStock,PaymentsOfDividends,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromOperatingActivities,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCarryingAmount,RelatedPartyTransactionRate,RetainedEarningsAccumulatedDeficit,Revenues,SponsorFees,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodValueIssuedForCash,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityForeignCurrencyTranslationAdjustments,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,TemporaryEquityStockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2008-10-31,2009-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,,,,113109689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-31,2010-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,,,,139827043.0,26717354.0,,,0.72,,,,,850000.0,139786516.0,-91431.0,,,,,-0.09,,3771941.0,,3311.0,,9853.0,-891389.0,,,,,,,,442286.0,,,,,22565550.0,,379863.0,,-76195.0,518481.0,,-15236.0,,,,511526.0,,246906124.0,625429.0,,270097103.0,,,,,,442286.0,518481.0,,,,,,,,,,
2010-07-31,2010-09-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,,,,124750630.0,,,,,,,,,,,-86137.0,,,,,-0.11,,,,,,,,,,,,,,,34169.0,,,,,,,,,-81990.0,116159.0,,-4147.0,,,,,,,,,,,,,,,34169.0,116159.0,,,,,,,,,,
2010-10-31,2011-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,111381194.0,,,111364930.0,-28462113.0,,,,,,13000000.0,700000.0,700000.0,111336567.0,-370408.0,-3975.0,,,,-0.45,,-4850332.0,,-2278.0,,16264.0,-131026.0,,366433.0,69655423.0,111364930.0,,,16264.0,137295.0,,,111381194.0,44627.0,-23235462.0,,-376319.0,,-366433.0,503728.0,44627.0,-3975.0,-3975.0,,,507345.0,,255726018.0,,,232490556.0,,,,,,137295.0,503728.0,1500000.0,232490556.0,1650000.0,-255726018.0,,,,,,811233.0
2011-01-31,2011-03-11,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,,,,135384222.0,24019292.0,,,,,,,,,,-87223.0,,,,,-0.1,,564081.0,,54.0,,15614.0,-48616.0,,,,,,,,47946.0,,,,,23541080.0,,-85869.0,,-85908.0,133854.0,,-1315.0,-1315.0,,,134485.0,,47063365.0,,,70604445.0,,,,,,47946.0,133854.0,,,,,,,,,,847826.0
2011-04-30,2011-06-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,,,,140891670.0,,,,,,,,,,,-85007.0,,,,,-0.1,,,,,,,,,,,,,,,48497.0,,,,,,,,,-82645.0,131142.0,,,-2362.0,,,,,,,,,,,,,,48497.0,131142.0,,,,,,,,,,832584.0
2011-07-31,2011-09-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,97833760.0,,,97818937.0,,,,,,,13000000.0,600000.0,600000.0,97796779.0,-78001.0,,,,,-0.1,,,,,,,,,,,97818937.0,,,14823.0,50099.0,,,97833760.0,36981.0,,,,,-77151.0,127250.0,36981.0,-850.0,-850.0,,,,,,,,,,,,,,50099.0,127250.0,,,,,,,,,,778804.0
2011-10-31,2012-01-13,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,96146041.0,,,96130250.0,-15234680.0,,,,,,13000000.0,600000.0,600000.0,96109435.0,-372011.0,,,,,-0.48,,974034.0,,-258.0,,-15791.0,-192979.0,,,59556535.0,96130250.0,,,15791.0,238232.0,,,96146041.0,36606.0,-15894925.0,,-313789.0,,-366262.0,604494.0,36606.0,-5138.0,-5749.0,,,506768.0,,135533965.0,,,119639040.0,,,,,,238232.0,604494.0,750000.0,119639040.0,850000.0,135533965.0,,,,,,1443861.0
2012-01-31,2012-03-12,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,93935945.0,,,93924712.0,-2205538.0,,,,,,13000000.0,600000.0,600000.0,93904126.0,-60921.0,,,,,-0.1,,-2147527.0,,-463.0,,11233.0,-40946.0,,,,93924712.0,,,11233.0,36779.0,,,93935945.0,31819.0,2114.0,,-60125.0,,-60359.0,97138.0,31819.0,-562.0,-562.0,,,101071.0,,7755620.0,,,7757734.0,,,,,,36779.0,97138.0,,,,,,,,,,622826.0
2012-04-30,2012-06-11,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,104646020.0,,,104635691.0,,,,,,,13000000.0,650000.0,600000.0,104610310.0,-66988.0,,,,,-0.11,,,,,,,,,,,104635691.0,,,10329.0,28519.0,,,104646020.0,35710.0,,,,,-65497.0,94016.0,35710.0,,-1491.0,,,,,,,,,,,,,,28519.0,94016.0,,,,,,,,,,606667.0
2012-07-31,2012-09-10,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,85372859.0,,,85366005.0,,,,,,,13000000.0,550000.0,600000.0,85343940.0,-68472.0,,,,,-0.11,,,,,,,,,,54484340.0,85366005.0,,,6854.0,25715.0,,,85372859.0,28919.0,,,,,-68551.0,94266.0,28919.0,,79.0,,,,,,,,,,,,,,25715.0,94266.0,,,,,,,,,,602174.0
2012-10-31,2013-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,71763381.0,,,71759412.0,-24370838.0,,,0.0,0.0,,13000000.0,300000.0,450000.0,71738811.0,-334417.0,-2572.0,,,,-0.5800000000000001,,-659884.0,,92.0,,-3969.0,-116470.0,,-262827.0,44542000.0,71759412.0,,,3969.0,118333.0,,,71763381.0,24570.0,-23448005.0,,-262949.0,,-331247.0,449580.0,24570.0,,-3170.0,,,379419.0,,62590899.0,,,39142894.0,,,,,,118333.0,449580.0,250000.0,39142894.0,400000.0,62590899.0,,,,,,1101829.0
2013-01-31,2013-03-08,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,70559880.0,,,70557575.0,-1201837.0,,,0.0,,,13000000.0,450000.0,450000.0,70537201.0,-59122.0,613.0,,,,-0.14,,-1139688.0,,327.0,,-2305.0,-10818.0,,-59735.0,44503203.0,70557575.0,,,2305.0,9200.0,,,70559880.0,22679.0,-2514.0,,-59635.0,,-59735.0,68935.0,22679.0,,613.0,,,70453.0,,23763162.0,,,23760648.0,,,,,,9200.0,68935.0,150000.0,23760648.0,150000.0,23763162.0,,,,,,434783.0
2013-04-30,2013-06-07,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,92279139.0,,,92274276.0,,,,0.0,,,13000000.0,600000.0,600000.0,92250491.0,-59861.0,,,,,-0.12,,,,,,,,,,59286961.0,92274276.0,,,4863.0,10999.0,,,92279139.0,28648.0,,,,,-58853.0,69852.0,28648.0,,-1008.0,,,,,,,,,,,,,,10999.0,69852.0,,,,,,,,,,475281.0
2013-07-31,2013-09-06,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,67359466.0,,,67355936.0,,,,0.0,0.0,,13000000.0,450000.0,450000.0,67336422.0,-64456.0,,,,,-0.13,,,,,,,,,,44428582.0,67355936.0,,,3530.0,11763.0,,,67359466.0,23044.0,,,,,-66076.0,77839.0,23044.0,,620.0,,,,,,,,,,,,,,11763.0,77839.0,,,,,,,,,,509239.0
2013-10-31,2014-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,0.0,,47547449.0,,,47544974.0,-24214438.0,,,0.0,0.0,,13000000.0,300000.0,300000.0,47531299.0,-282921.0,,0.0,,,-0.65,,-873871.0,,-150.0,,-2475.0,,,,29593513.0,47544974.0,,,2475.0,48566.0,,,47547449.0,16150.0,-23100343.0,-23100343.0,-240224.0,-240224.0,-281632.0,330198.0,16150.0,,-1289.0,,,282051.0,,131077496.0,,,107977153.0,,,,,0.0,48566.0,330198.0,700000.0,107977153.0,850000.0,131077496.0,,,,,,804984.0
2014-01-31,2014-03-12,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,56695238.0,,,56692530.0,9147556.0,,,0.0,0.0,,13000000.0,350000.0,350000.0,56675981.0,-48239.0,,0.0,,,-0.14,,1147607.0,,-332.0,,-2708.0,,,,34496044.0,56692530.0,,,2708.0,7895.0,,,56695238.0,19257.0,8045304.0,,-45355.0,,-47897.0,55792.0,19257.0,,-342.0,,,53075.0,,,,,8045304.0,,,,,,7895.0,55792.0,50000.0,8045304.0,,,,,,,,344565.0
2014-04-30,2014-06-09,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,8311806.0,,,,83143748.0,,,83140182.0,,,,0.0,0.0,,13000000.0,450000.0,450000.0,74804794.0,-63444.0,,,,,-0.14,,,,,,,,,,44315160.0,83140182.0,,,3566.0,8784.0,,,83143748.0,8338954.0,,,,,-62555.0,71339.0,27148.0,,-889.0,,,,,,,,,,,,,,8784.0,71339.0,,,,,,,,,,447191.0
2014-07-31,2014-09-08,10-Q,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,,,,91363808.0,,,91359727.0,,,,0.0,0.0,,13000000.0,550000.0,550000.0,91335231.0,-64430.0,,,,,-0.14,,,,,,,,,,54113463.0,91359727.0,,,4081.0,10526.0,,,91363808.0,28577.0,,,,,-64656.0,75182.0,28577.0,,226.0,,,,,,,,,,,,,,10526.0,75182.0,,,,,,,,,,449457.0
2014-10-31,2015-01-14,10-K,Invesco CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,CIK0001353611,USD,,24902.0,0.0,,62916331.0,39324047.0,62912537.0,62912537.0,15367563.0,,,0.0,,,13000000.0,400000.0,400000.0,62891429.0,-303707.0,,0.0,,,-0.7000000000000001,,-751067.0,,510.0,,-3794.0,,24902.0,,39324047.0,62912537.0,,,3794.0,49553.0,,,62916331.0,24902.0,16351009.0,16351009.0,-232379.0,-232379.0,-305536.0,355089.0,24902.0,,1829.0,,140283.0,269366.0,44264919.0,73324837.0,,54135736.0,89675846.0,36987.0,,62891429.0,,0.0,49553.0,355089.0,550000.0,89675846.0,450000.0,73324837.0,,,,400000.0,,897099.0
