end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,Assets,AssetsCurrent,CapitalUnits,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ContractWithCustomerAssetNetCurrent,ContractWithCustomerLiability,CostOfGoodsAndServicesSold,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,DeferredRevenue,EarningsPerShareBasic,GeneralAndAdministrativeExpense,HeldToMaturitySecuritiesCurrent,HeldToMaturitySecuritiesNoncurrent,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerAsset,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidExpense,InterestAndDividendsPayableCurrent,InterestIncomeExpenseNet,InterestIncomeSecuritiesUSTreasuryAndOtherUSGovernment,InvestmentIncomeInterest,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LitigationSettlementAmountAwardedFromOtherParty,LitigationSettlementInterest,MoneyMarketFundsAtCarryingValue,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherExpenses,PaymentsForOperatingActivities,PaymentsOfCapitalDistribution,PaymentsOfDividends,PaymentsToAcquireHeldToMaturitySecurities,PrepaidExpenseCurrent,ProceedsFromInterestReceived,ProceedsFromLegalSettlements,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfSecuritiesOperatingActivities,ProceedsFromRoyaltiesReceived,ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,ProceedsFromSaleOfHeldToMaturitySecurities,ProfitLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RoyaltyRevenue,SharesOutstanding,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,TrusteeFees,USGovernmentSecuritiesAtCarryingValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2009-01-31,2009-04-16,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,,,,,2254107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-31,2010-04-15,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,,,,,8444697.0,,,,,,,,,0.947,818007.0,,,,-1848040.0,-25812.0,,,2770000.0,-1.0,,,11932.0,,224796.0,,,,,,6190590.0,,-1510094.0,,17015891.0,12423662.0,,89747.0,843818.0,,,1839094.0,,,,,,17841808.0,329000.0,,,,13241669.0,,,,62500.0,,,
2010-07-31,2010-09-03,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,,,,,10074143.0,,,,,,,,,0.8391,,,,,,,,,,,,,5565.0,,,,,,,,,,,,,,224686.0,,,,,,,,,,,,,,11009294.0,,11233980.0,11228415.0,,,,,,
2010-10-31,2010-12-03,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,,,,,12211251.0,,,,,,,,,0.8686,,,,,,,,,,,,,1817.0,,,,,,,,,,,,,11396566.0,179747.0,,,,,,,,,,,,,,,,11576313.0,11574496.0,,,,,,
2011-01-31,2011-04-11,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,129765.0,9645576.0,9645573.0,3.0,8693691.0,,,,,,,,,2.474,878677.0,,,,-641152.0,44030.0,,,-2770000.0,19785.0,8528006.0,,14233.0,,238023.0,8657771.0,9645576.0,,,,248994.0,,1181626.0,,30358591.0,32463194.0,878677.0,84140.0,854432.0,,,998374.0,50207.0,,,,,31195990.0,2180000.0,,,,33341871.0,,,,62500.0,668889.0,,
2011-04-30,2011-06-03,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,,,,,741052.0,,,,,,,,,0.233,214787.0,,,,-2433814.0,-55122.0,,,,1146.0,,,1459.0,,,,,,,,-7952639.0,,-104.0,,575471.0,3063261.0,,,268763.0,,,217104.0,,,,,,842499.0,217000.0,,,,3278048.0,3276589.0,,,,,,
2011-07-31,2011-09-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,73844.0,14592193.0,14374301.0,3.0,7869297.0,,,,,,,,991000.0,0.772,200981.0,,,,,,,,,,7872006.0,,1231.0,,,8936850.0,14592193.0,,,,,,,,,10132285.0,200981.0,,,,,,143883.0,,,,,,,,10132285.0,,10333266.0,10332035.0,,,,336098.0,,
2011-10-31,2011-12-07,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,91172.0,19969852.0,19595009.0,3.0,58577.0,,,,,,,,467000.0,1.049,212068.0,,,,,,,,,,14694411.0,,979.0,,,15252583.0,19969852.0,,,,,,,,,13756337.0,212068.0,,,,,,89842.0,,,,,,,,,,13968405.0,13967426.0,,,,178381.0,,
2012-01-31,2012-04-13,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,166321.0,11169040.0,10695221.0,3.0,10253474.0,,,,,,,,,3.012,1214152.0,,,,155194.0,36556.0,,,,3560.0,9971208.0,,4144.0,4144.0,272931.0,10137529.0,11169040.0,,,10253474.0,1559783.0,,195073.0,,33115134.0,39522781.0,920994.0,31690.0,887998.0,,,572327.0,53767.0,,,767400.0,,33997720.0,767400.0,,,,40736933.0,,,,62500.0,,13120010.0,
2012-04-30,2012-06-05,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,117381.0,4518784.0,4162905.0,3.0,1114140.0,,,,,,,,,0.257,323554.0,,,,2527547.0,-48940.0,,,,-3469.0,852801.0,,325.0,,,970182.0,4518784.0,,,,-9139334.0,,35000.0,,796874.0,3369892.0,,,369025.0,,,,50298.0,,,,,1165358.0,35000.0,,,,3693446.0,3693121.0,,,,82940.0,,
