end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrentAndNoncurrent,Assets,AssetsCurrent,CapitalUnits,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ContractWithCustomerAssetNetCurrent,ContractWithCustomerLiability,CostOfGoodsAndServicesSold,DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,DeferredRevenue,EarningsPerShareBasic,GeneralAndAdministrativeExpense,HeldToMaturitySecuritiesCurrent,HeldToMaturitySecuritiesNoncurrent,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInContractWithCustomerAsset,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidExpense,InterestAndDividendsPayableCurrent,InterestIncomeExpenseNet,InterestIncomeSecuritiesUSTreasuryAndOtherUSGovernment,InvestmentIncomeInterest,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LitigationSettlementAmountAwardedFromOtherParty,LitigationSettlementInterest,MoneyMarketFundsAtCarryingValue,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,OperatingExpenses,OtherExpenses,PaymentsForOperatingActivities,PaymentsOfCapitalDistribution,PaymentsOfDividends,PaymentsToAcquireHeldToMaturitySecurities,PrepaidExpenseCurrent,ProceedsFromInterestReceived,ProceedsFromLegalSettlements,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfSecuritiesOperatingActivities,ProceedsFromRoyaltiesReceived,ProceedsFromSaleAndMaturityOfHeldToMaturitySecurities,ProceedsFromSaleOfHeldToMaturitySecurities,ProfitLoss,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RoyaltyRevenue,SharesOutstanding,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,TrusteeFees,USGovernmentSecuritiesAtCarryingValue,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2012-07-31,2012-09-05,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,117628.0,14539516.0,14078552.0,3.0,8862821.0,,,,,,,,,0.829,186938.0,,,,,,,,,,8396806.0,,352.0,,,8514434.0,14539516.0,,,,,,,,,10873286.0,,,,,,,15929.0,,,,,,,,,,11060224.0,11059872.0,,,,82940.0,,
2012-10-31,2012-12-06,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,54920.0,17704027.0,17300045.0,3.0,15001029.0,,,,,,,,,0.886,190394.0,,,,,,,,,,14825611.0,,394.0,,,14880531.0,17704027.0,,,,,,,,,11624026.0,,,,,,,108934.0,,,,,,,,,,11814420.0,11814026.0,,,,239891.0,,
2013-01-31,2013-04-10,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,34930.0,7645960.0,7440902.0,3.0,6727461.0,,,,,,,,,2.6999999999999997,207322.0,,,,-169927.0,-131391.0,,,,2806.0,6428805.0,,1464.0,1464.0,214629.0,6463735.0,7645960.0,,,6727461.0,-3526013.0,,-170054.0,,30690467.0,35442270.0,908208.0,72856.0,1042405.0,,,205054.0,56573.0,,,35000.0,,31731348.0,35000.0,,,,36557800.0,,,,62500.0,438815.0,13120010.0,
2013-04-30,2013-06-05,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,137993.0,3522607.0,3340315.0,3.0,1225217.0,,,,,,,,,0.168,326418.0,,,,1381353.0,103063.0,,,,-1842.0,1049601.0,,390.0,390.0,,1187594.0,3522607.0,,,,-5502244.0,,620.0,,925941.0,2202389.0,,,221513.0,,,82380.0,54731.0,,,83000.0,,1146901.0,83000.0,,,,2528807.0,2528417.0,,,,460961.0,,
2013-07-31,2013-09-06,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,52029.0,10011822.0,9929499.0,3.0,6213766.0,,,,,,,,,0.581,209935.0,,,,,,,,,,6035205.0,,290.0,290.0,,6087234.0,10011822.0,,,,,,,,,7624780.0,,,,,,,17721.0,,,,,,,,,,7834715.0,7834425.0,,,,460918.0,,
2013-10-31,2013-12-06,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,45919.0,10107022.0,10024699.0,3.0,7220003.0,,,,,,,,,0.468,211113.0,,,,,,,,,,6691205.0,,238.0,238.0,,6737124.0,10107022.0,,,,,,,,,6136515.0,,,,,,,92356.0,,,,,,,,,,6347628.0,6347390.0,,,,303918.0,,
2014-01-31,2014-04-15,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,91294.0,8553797.0,8043221.0,3.0,7719963.0,,,,,,,,,1.9929999999999999,241398.0,,,,-154800.0,56364.0,,,,-1623.0,7478406.0,,,2562.0,306564.0,7569700.0,8553797.0,,,7719963.0,992502.0,,-71758.0,,21269076.0,26148894.0,988864.0,74128.0,930877.0,20204816.0,,510633.0,54950.0,,,438875.0,,22197875.0,,,,,27379156.0,,,,62500.0,205055.0,13120010.0,13120010.0
2014-04-30,2014-06-06,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,107717.0,1229032.0,700437.0,3.0,518622.0,,,,,,,,,0.01,366217.0,,,,-17730.0,16423.0,,,,-978.0,,,,2135.0,,107717.0,1229032.0,,,,-7201341.0,,104716.0,,172349.0,137218.0,,,348816.0,,,100340.0,53972.0,,,105000.0,,520936.0,,100056.0,,,503435.0,501300.0,,,,82320.0,,
2014-07-31,2014-09-05,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,61116.0,8598972.0,7965270.0,3.0,4367791.0,,,,,,,,,0.565,443818.0,,,,,,,,,,4198403.0,,,2256.0,,4259519.0,8598972.0,,,,,,,,,7416542.0,,,,,,,143758.0,,,,,,,,,,7860360.0,7858104.0,,,,82320.0,,
2014-10-31,2014-12-05,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,85362.0,15964421.0,15330719.0,3.0,11846811.0,,,,,,,,,0.88,243152.0,,,,,,,,,,11545608.0,,,2256.0,,11630970.0,15964421.0,,,,,,,,,11539606.0,,,,,,,92367.0,,,,,,,,,,11782758.0,11780502.0,,,,82320.0,,
2015-01-31,2015-04-15,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,89687.0,10097620.0,9841858.0,3.0,8717943.0,,,,,,,,,2.3209999999999997,1571347.0,,,,495132.0,-1607.0,,,,7.0,8396806.0,,,9069.0,452248.0,8486493.0,10097620.0,,,8717943.0,997980.0,,-50704.0,,24271102.0,30442330.0,1312267.0,248244.0,1313881.0,23222418.0,23222418.0,255760.0,54957.0,,,205056.0,8878.0,25576105.0,,,,,32013677.0,,,,62500.0,510573.0,13120010.0,13120010.0
2015-04-30,2015-06-05,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,97149.0,2648542.0,2410492.0,3.0,802802.0,,,,,,,,,0.072,377744.0,,,,464838.0,7462.0,,,,917.0,,,,2057.0,,97149.0,2648542.0,,,,-7915141.0,,-308.0,,481973.0,940265.0,,,371199.0,8396806.0,,82628.0,55874.0,,,82320.0,,853153.0,,,,,1318009.0,1315953.0,,,,528593.0,,
2015-07-31,2015-09-04,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,89009.0,5124046.0,4991102.0,3.0,3455170.0,,,,,,,,,0.189,251717.0,,,,,,,,,,524800.0,,,2469.0,,613809.0,5124046.0,,,,,,,,,2483644.0,,,,,,,134315.0,,,,,,,,,,2735361.0,2732892.0,,,,633699.0,,
2015-10-31,2015-12-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,87520.0,6999824.0,6866881.0,3.0,5784902.0,,,,,,,,,0.183,219498.0,,,,,,,,,,,,,2468.0,,87520.0,6999824.0,,,,,,,,,2402067.0,,,,,,,92712.0,,,,,,,,,,2621565.0,2619097.0,,,,633700.0,,13120010.0
2016-01-31,2016-04-14,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,171793.0,9816961.0,9360900.0,3.0,2587165.0,-6130778.0,2587165.0,,,,,,,0.86,1476375.0,5740659.0,456058.0,,419761.0,82106.0,,,,-27.0,656001.0,,,7091.0,494057.0,827794.0,9816961.0,,,2499706.0,-6130778.0,-5430385.0,-5430385.0,8221213.0,8221213.0,11291706.0,1162667.0,68858.0,1080534.0,8921606.0,8921606.0,5940958.0,54930.0,,,510573.0,6939.0,9294808.0,,,8558841.0,,12768081.0,,13120010.0,,62500.0,5740659.0,,13120010.0
2016-04-30,2016-06-06,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,77031.0,8893010.0,8519577.0,3.0,8219812.0,,,,,,,,257064.0,-0.033,431931.0,,,,-976851.0,-94762.0,,,257064.0,5493.0,2624002.0,,,1679.0,,2958097.0,8893010.0,,,,5632647.0,,5585240.0,,703408.0,-430252.0,,,470953.0,656001.0,656001.0,,60423.0,,,5585240.0,1574.0,1172787.0,,,,,1679.0,,,,,238047.0,,13120010.0
2016-07-31,2016-09-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,91552.0,8446712.0,8073279.0,3.0,6311545.0,,,,,,,,,0.184,189389.0,,,,,,,,,,2624002.0,,,1017.0,,2715554.0,8446712.0,,,,,,,,,2420246.0,,,,,,,134537.0,,,,,,,,,,2609635.0,2608619.0,,,,132940.0,,13120010.0
2016-10-31,2016-12-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,49289.0,8988597.0,8615164.0,3.0,5334255.0,,,,,,,,,0.245,234494.0,132940.0,373430.0,,,,,,,,1312001.0,,,1117.0,,1361290.0,8988597.0,,,,,,,,,3208151.0,,,,,,,91771.0,,,,,,,,,,3442645.0,3441528.0,13120010.0,,,,,13120010.0
2017-01-31,2017-04-14,10-K,MESABI TRUST,MSB,CIK0000065172,USD,,108193.0,14249882.0,14249879.0,3.0,13695168.0,11108003.0,13695168.0,11108003.0,,,1123422.0,,2099415.0,1.081,1391030.0,456058.0,,-933101.0,,-63600.0,150659.0,2099415.0,2099415.0,-1322.0,1836801.0,,,5126.0,399737.0,4044409.0,14249882.0,,,13695168.0,11108003.0,5740659.0,5740659.0,12583350.0,12583350.0,14178738.0,,115336.0,1124467.0,,7216006.0,,53608.0,,,5740659.0,5541.0,13702276.0,,,9763771.0,,15569768.0,,13120010.0,,62500.0,,,13120010.0
2017-04-30,2017-06-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,112697.0,13679877.0,13679874.0,3.0,12009469.0,-1685699.0,,,,,295046.0,,,0.341,295047.0,373430.0,,1186953.0,,4504.0,,,-2099415.0,11369.0,7216006.0,,,6542.0,,7328703.0,13679877.0,,,,-1685699.0,82628.0,,68474.0,68474.0,4471925.0,,,301911.0,,1836801.0,,64977.0,,,82628.0,3545.0,366840.0,,,4471925.0,4760429.0,4766971.0,3650211.0,13120010.0,,,,,13120010.0
2017-07-31,2017-09-07,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,59287.0,19524596.0,19524593.0,3.0,10797128.0,,10797128.0,,,,240493.0,,,1.067,240493.0,2366816.0,,,,,,,,,2099202.0,,,7273.0,,2158489.0,19524596.0,,,,,,,,,13996954.0,,,,,,,139785.0,,,,,,,,,14230174.0,14237447.0,13347355.0,13120010.0,,,,,13120010.0
2017-10-31,2017-12-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,,86870.0,29417222.0,29417219.0,3.0,193606.0,,193606.0,,,,227330.0,,,0.815,227330.0,26291767.0,,,,,,,,,8396806.0,,,26384.0,,8483676.0,29417222.0,,,,,,,,,10697669.0,,,,,,,94686.0,,,,,,,,,10898615.0,10924999.0,12165191.0,13120010.0,,,,,13120010.0
2018-01-31,2018-04-13,10-K,MESABI TRUST,MSB,CIK0000065172,USD,1956091.0,133994.0,26222284.0,26222281.0,3.0,314835.0,-13380333.0,314835.0,-13380333.0,99264.0,,1381111.0,,,2.872,1381110.0,23797451.0,,1911046.0,,25801.0,-72142.0,-2099415.0,-2099415.0,1032.0,15481612.0,,,92527.0,366205.0,15615606.0,26222284.0,,,314835.0,,-23341393.0,,29509875.0,,37680302.0,,51726.0,1047221.0,,19548815.0,60977805.0,54640.0,,,37636412.0,86616.0,30470480.0,,,33423425.0,,39061413.0,,13120010.0,10606678.0,62500.0,,,13120010.0
2018-04-30,2018-06-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,4294659.0,216988.0,17139514.0,17139511.0,3.0,3029479.0,2714644.0,3029479.0,2714644.0,1430427.0,,368199.0,,,0.481,,8315795.0,,2338568.0,,82994.0,1331163.0,,,14511.0,5904005.0,,,37377.0,,6120993.0,17139514.0,,,,,15481656.0,,2714600.0,,6315848.0,,,299716.0,,15481612.0,371452.0,69151.0,,,15853108.0,16755.0,2997561.0,,,6315848.0,6646670.0,6684047.0,,13120010.0,11018521.0,,,,13120010.0
2018-07-31,2018-09-07,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,8776515.0,144512.0,30034489.0,30034486.0,3.0,,,196826.0,,3006907.0,,280497.0,,,1.438,,17901973.0,,,,,,,,,2886402.0,,,26883.0,,3030914.0,30034489.0,,,,,,,,,18871455.0,,,,,,,152265.0,,,,,,,,,19125069.0,19151952.0,,13120010.0,27003575.0,,,,13120010.0
2018-10-31,2018-12-07,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,6110966.0,157433.0,40746069.0,40746066.0,3.0,,,605436.0,,1362897.0,,388781.0,,,1.035,,32571424.0,,,,,,,,,12332809.0,,,82570.0,,12490242.0,40746069.0,,,,,,,,,13585062.0,,,,,,,95343.0,,,,,,,,,13891273.0,13973843.0,,13120010.0,28255827.0,,,,13120010.0
2019-01-31,2019-04-12,10-K,MESABI TRUST,MSB,CIK0000065172,USD,2339060.0,411508.0,35454014.0,35454011.0,3.0,,,881810.0,566975.0,56357.0,,2431965.0,,,3.989,,32122312.0,,382969.0,,277514.0,-42907.0,,,-168.0,18236814.0,,,259974.0,636224.0,18648322.0,35454014.0,,,209709.0,,-8324861.0,,45496664.0,,52345723.0,,405590.0,1457039.0,,36604828.0,90260269.0,54472.0,,,81835668.0,248667.0,46705036.0,,99740.0,45559044.0,,54777688.0,,13120010.0,16805692.0,62500.0,,,13120010.0
2019-04-30,2019-06-07,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,3377580.0,167114.0,21883094.0,21883091.0,3.0,,,450421.0,-431389.0,1294804.0,,556585.0,,,0.374,,16689201.0,,1038520.0,,-244394.0,1238447.0,,,16613.0,11676809.0,,,105083.0,,11843923.0,21883094.0,,,,,15433111.0,,2372314.0,,4910288.0,,,817592.0,,18236814.0,2803492.0,71085.0,,,18236603.0,40324.0,3149582.0,,,4910288.0,5361790.0,5466873.0,,13120010.0,10039171.0,,,,13120010.0
2019-07-31,2019-09-06,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,3820631.0,200939.0,24151797.0,24151794.0,3.0,,,452628.0,,3223078.0,,432537.0,,,1.06,,16484759.0,,,,,,,,,2755202.0,,,42386.0,,2956141.0,24151797.0,,,,,,,,,13911687.0,,,,,,,170698.0,,,,,,,,,14301838.0,14344224.0,,13120010.0,21195656.0,,,,13120010.0
2019-10-31,2019-12-10,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,2408279.0,177149.0,28461130.0,28461127.0,3.0,,,375053.0,,,938129.0,410645.0,,,0.469,,25561507.0,,,,,,,,,11414408.0,,,72542.0,,12529686.0,28461130.0,,,,,,,,,6150196.0,,,,,,,116288.0,,,,,,,,,6488299.0,6560841.0,,13120010.0,15931444.0,,,,13120010.0
2020-01-31,2020-04-13,10-K,MESABI TRUST,MSB,CIK0000065172,USD,69588.0,120630.0,23647374.0,23647371.0,3.0,,,10177655.0,9295845.0,192059.0,2703779.0,2470477.0,,,2.678,,13332474.0,,-2269472.0,,-290878.0,-56357.0,2511720.0,,13182.0,9184007.0,,,283015.0,928586.0,11816357.0,23647374.0,,,768512.0,,18789838.0,,34589241.0,,35139333.0,,247615.0,2239182.0,,44083234.0,71644548.0,67654.0,,,90434386.0,296964.0,36531459.0,,,30055752.0,,37609810.0,,13120010.0,11831017.0,62500.0,,,13120010.0
2020-04-30,2020-06-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,30983.0,159712.0,14393512.0,14393509.0,3.0,,,14283675.0,4106020.0,1003962.0,1795124.0,557142.0,,,0.1228,,,,-38605.0,,39082.0,,-1720558.0,,11197.0,7347206.0,,,33269.0,,8298080.0,14393512.0,,,,,13332474.0,,-42447.0,,1611621.0,,,529257.0,,9184007.0,13567217.0,78851.0,,,26899691.0,37314.0,449496.0,,,1611621.0,2135494.0,2168763.0,,13120010.0,6095432.0,,,,13120010.0
2020-07-31,2020-09-08,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,1048727.0,166711.0,12938146.0,12938143.0,3.0,,,458957.0,,1964472.0,904848.0,542382.0,,,0.5088,,10141648.0,,,,,,,,,656001.0,,,24.0,,822712.0,12938146.0,,,,,,,,,6676003.0,,,,,,,229187.0,,,,,,,,,7218361.0,7218385.0,,13120010.0,12115434.0,,,,13120010.0
2020-10-31,2020-12-09,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,1183330.0,238740.0,17480573.0,17480570.0,3.0,,,6113593.0,,1107516.0,371379.0,610856.0,,,0.3907,,9288639.0,,,,,,,,,4723204.0,1104.0,,1104.0,,4961944.0,17480573.0,,,,,,,,,5126399.0,,,,,,,158871.0,,,,,,,,,5736151.0,5737255.0,,13120010.0,12518629.0,,,,13120010.0
2021-01-31,2021-04-27,10-K,MESABI TRUST,MSB,CIK0000065172,USD,249477.0,416672.0,22928926.0,22928923.0,3.0,,,12500941.0,2323286.0,239132.0,61881.0,3375460.0,9906669.0,,2.5460000000000003,,9906669.0,,179889.0,,296042.0,177251.0,-2511720.0,,26931.0,6035205.0,,,35489.0,1456399.0,6451877.0,22928926.0,,,12500941.0,,3425805.0,,20807898.0,,33401271.0,,342822.0,2273809.0,,21910417.0,87178889.0,94585.0,,,90367702.0,39347.0,23042360.0,,236992.0,23407647.0,,36776731.0,,13120010.0,16477049.0,62500.0,,,13120010.0
2021-04-30,2021-06-11,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,5612832.0,259263.0,27434321.0,27434318.0,3.0,,,11903760.0,-597181.0,1848834.0,3972973.0,828781.0,,,0.6535,,9826000.0,,5363355.0,,-157409.0,-177251.0,2124139.0,,-2859.0,11676809.0,,,484.0,,14060211.0,27434321.0,,,,,80669.0,,5357355.0,,8573870.0,,,983331.0,,6035205.0,41035723.0,91726.0,,,41116392.0,653.0,6340033.0,,,8573870.0,9402167.0,9402651.0,,13120010.0,13374110.0,,,,13120010.0
2021-07-31,2021-09-13,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,12634653.0,205988.0,41233059.0,41233056.0,3.0,,,28310067.0,,5069251.0,5966182.0,988185.0,,,2.0393,,,,,,,,,,,1180801.0,,,179.0,,2283720.0,41233059.0,2312106.0,430710.0,,,,,,,26756030.0,,,,,,,288336.0,,,,,,,,,27744036.0,27744215.0,,13120010.0,38949339.0,,,,13120010.0
2021-10-31,2021-12-15,10-Q,MESABI TRUST,MSB,CIK0000065172,USD,8491074.0,162685.0,55104930.0,55104927.0,3.0,,,45859961.0,,551370.0,0.0,365301.0,,,1.219,,,,,,,,,,,18630414.0,522027.0,,,,18793099.0,55104930.0,,,,,,,,,15992906.0,,,,,,,202522.0,,,,,,,,,15836180.0,16358207.0,,13120010.0,36311831.0,,,,13120010.0
