end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,Depreciation,DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilitiesCurrent,DisposalGroupIncludingDiscontinuedOperationAccountsPayableCurrent,DisposalGroupIncludingDiscontinuedOperationAccruedLiabilitiesCurrent,DisposalGroupIncludingDiscontinuedOperationGeneralAndAdministrativeExpense,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,DisposalGroupIncludingDiscontinuedOperationRevenue,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExplorationExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayable,NotesPayableCurrent,OperatingExpenses,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossTax,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrent,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,StockholdersEquity,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-12-31,2014-04-09,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,,,,,,,,,1903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-707692.0,,,,,,
2014-12-31,2015-05-28,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,59974.0,101058.0,6260531.0,,-35635.0,244.0,244.0,244.0,244.0,-1659.0,,0.001,450000000.0,817339.0,817339.0,817.0,77720.0,,,,112753.0,3782.0,82584.0,21733.0,90137.0,-32258.0,57879.0,,0.03,,,,,-35942.0,,24640.0,,,,639443.0,244.0,639443.0,,45278.0,,-46937.0,-35635.0,168608.0,,3377.0,56605.0,-20970.0,,,,,-3377.0,,-7001605.0,3377.0,,639199.0,,,47523.0,,,758564.0
2015-03-31,2015-06-01,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,,,,,-191.0,,,,2140.0,1896.0,-721.0,,,,,,,,,,,,,,11900.0,,12209.0,,,,,,,-2808.0,,,,,,,,,,,,1896.0,-191.0,,,500.0,-18.0,209.0,,,,,-500.0,,,500.0,,-639408.0,,,,,,817339.0
2015-06-30,2015-08-07,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,,,,,,,,,113.0,,,,,,,,,,,,,,,,15789.0,,13973.0,,,,,,,,,,,,,,,,,,,,2352.0,,,20576.0,497.0,-2849.0,,,,1400.0,-20576.0,,,,,7463542.0,,,,,,16317339.0
2015-09-30,2015-11-24,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,,,,,,,,,74.0,,,,,,,,,,,,,,,,11646.0,,11550.0,,0.0,,,105.0,,,,,,,,,,,,,,,164123.0,,,8501.0,-1935.0,-162188.0,,,,,-8501.0,,,5134.0,,7625592.0,,,,,,102398221.0
2015-12-31,2016-04-18,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,116696.0,131859.0,14090531.0,,416432.0,6751960.0,,,,-244.0,-401318.0,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,490.0,,,,23055.0,49163.0,-1588.0,47575.0,,-0.01,0.35,0.35,12057.0,,-12907.0,,-12908.0,,,,149416.0,6751960.0,149416.0,6750000.0,,-2450.0,2206.0,-889059.0,,,1364041.0,30801.0,858258.0,2450.0,,,35000.0,-1364041.0,1960.0,-7890663.0,11494.0,1305000.0,6602544.0,,6750000.0,45000.0,,,144965690.0
2016-03-31,2016-05-19,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,142336.0,131859.0,14090531.0,,-25640.0,6751837.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,123.0,,,,,,,,,,0.35,0.35,5595.0,,-25640.0,,,,,,175056.0,6751837.0,175056.0,6750000.0,,,,-25763.0,,,25763.0,,25763.0,,,,15000.0,-25763.0,1837.0,-7916426.0,5045.0,,6551018.0,,,,,,270817339.0
2016-06-30,2016-08-15,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,190134.0,131859.0,14090531.0,,,6751715.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,122.0,,,,,,,,,0.0,,,12860.0,,,,,,,,222854.0,6751715.0,222854.0,6750000.0,,,,-47920.0,,,47920.0,,47920.0,,,,27738.0,-47920.0,1715.0,-7964346.0,7200.0,,6528861.0,,,,,,270817339.0
2016-09-30,2020-03-17,10-Q,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,226665.0,131859.0,14090531.0,,,6751592.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,,123.0,,,,,,,,,0.0,,,18814.0,,,,,,,,259385.0,6751592.0,259385.0,6750000.0,,,,-36654.0,,,36654.0,,36654.0,,,,,-36654.0,1592.0,-8001000.0,2717.0,,6528861.0,,,,,,270817339.0
2016-12-31,2020-03-17,10-K,EARTH LIFE SCIENCES INC.,CLTS,CIK0001165639,USD,237836.0,131859.0,14090531.0,,-121140.0,6751470.0,,,,,,0.001,450000000.0,270817339.0,270817339.0,270817.0,32720.0,,32720000.0,490.0,,,,,,,,,0.0,0.35,0.35,37288.0,,121140.0,,121140.0,,,,270556.0,6751470.0,270556.0,6750000.0,,,,-121630.0,,,121630.0,,121630.0,,,,32138.0,-121630.0,1470.0,-8012293.0,21714.0,,6480914.0,,,,,,270817339.0
