end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeInstrumentsAndHedgesLiabilities,DerivativeLiabilityFairValueGrossAsset,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInCashCollateralForBorrowedSecurities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,DueFromCorrespondentBrokers,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2012-06-30,2012-08-03,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,200462.0,,238208949.0,658765.0,343434302.0,,,,18345167.0,,,,,,37.0,,,,,,,,,,,,,,,,,,,-2.53,,6379880.0,331469015.0,1235.0,-16205557.0,,,-47150.0,,966.0,2214.0,,343434302.0,,,,,,,-73557800.0,,,,,,67807.0,,,,,,,,,,,,,,-592193.0,,,,,,,6379880.0,,200499.0,343434302.0,,,,,,,,,,,,-16797750.0,,660000.0,,,,,,,,,,,,,,,,,,,-16797750.0,,-46184.0,,,,,19683000.0,,105022640.0,6200000.0,6200000.0,343233803.0,-56760050.0,400000.0,-1000000.0,21680800.0,,,1400000.0,78440850.0,,,,-16150140.0,-16159373.0,,-9233.0,,,,,,
2012-09-30,2012-11-02,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,493864.0,,294727880.0,709871.0,439846451.0,,,,18539596.0,,,,,,,,,,,,,,,,,,,,,,,,,5.66,,33847670.0,387459185.0,1501.0,40231422.0,,,,,,2441.0,,439846451.0,,,,,,,96118784.0,,,,,,79803.0,,,,,,,,,,,,,,-631569.0,,,,,33847670.0,,,,493864.0,439846451.0,,,,,,,,,,,,39599853.0,,711372.0,,,,,,,,,,,,,,,,,,,39599853.0,,,,,,,22854150.0,,144622266.0,7200000.0,7200000.0,439352587.0,56518931.0,1000000.0,1000000.0,56518931.0,,,,,,,,40227550.0,40231422.0,,3872.0,,,,,,
2012-12-31,2013-03-01,10-K,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,315008.0,,,3041610.0,517257805.0,0.0,,30812601.0,30812601.0,-20485289.0,,0.0,,,582.0,,-276870.0,,,,,,,9151570.0,,115920.0,,,0.0,,,,,-3.58,,-9035650.0,495480854.0,62511.0,-7013470.0,,80.0,-3359210.0,,80.0,2298.0,40.0,517257805.0,9988.0,,-7505.0,,-9035650.0,,77589628.0,,-7505.0,,,,380265.0,,,,,,,,,,,,,,-3648542.0,,,,421200000.0,,-9035650.0,9035650.0,,315590.0,517257805.0,516939917.0,9000000.0,,,,,,40658070.0,40658070.0,-61143359.0,-61143359.0,-10662012.0,,3104121.0,,,,,,582.0,,,179959926.0,,,,1613677218.0,220617996.0,1558995060.0,,,,18226279.0,,-3359130.0,,,,,23166000.0,,,,9000000.0,516942215.0,58884349.0,3800000.0,600000.0,220617996.0,40658070.0,58884349.0,3200000.0,179959926.0,,,,24381520.0,24413013.0,,31493.0,115920.0,9151570.0,,,,
2013-03-31,2013-05-03,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,182802.0,,,789198.0,228674128.0,0.0,,,23983261.0,-6829340.0,,0.0,,,1084.0,,-78229.0,,,,,,,,,,,,0.0,,,,,-3.04,,-18300500.0,222991367.0,21090.0,-28557821.0,,,-19272460.0,,1076.0,2176.0,,228674128.0,-132206.0,,502.0,,,,-288451973.0,,,,,,78138.0,,,,,,,,,,,,,,-732150.0,,,,437000000.0,,18300500.0,,,183886.0,228674128.0,,,,,,,,-259162002.0,-259162002.0,252332662.0,252332662.0,-29289971.0,,810288.0,,,,,,,,,259162002.0,,,,276944755.0,,549491960.0,,,,-29289971.0,,-19271384.0,,,,,8648640.0,,,,4200000.0,228490242.0,-259162002.0,0.0,-4800000.0,0.0,259162002.0,-288451973.0,4800000.0,259162002.0,,,,-9264850.0,-9286437.0,,-21587.0,,18300500.0,,,,
2013-06-30,2013-08-08,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,108911.0,,,354612.0,165559001.0,0.0,,,71380437.0,,,0.0,,,6862.0,,,,,,,,,,,,,,,,,,,-13.04,,-66818850.0,160997414.0,7913.0,-52813912.0,,,-4294330.0,,3211.0,1654.0,,165559001.0,,,,,,,-63047014.0,,,,,,31863.0,,,,,,,,,,,,,,-330662.0,,,,,,66818850.0,,,115773.0,165559001.0,,,,,,,,,,,,-53144574.0,,362525.0,,,,,,,,,,,,,,,,,,,-53144574.0,,-4291119.0,,,,,12205600.0,,,,4000000.0,165443228.0,-63047014.0,200000.0,-200000.0,9267150.0,,,400000.0,19169590.0,,,,-48518350.0,-48522793.0,,-4443.0,,,,,,
2013-09-30,2013-11-05,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,101378.0,,,317172.0,224171894.0,0.0,,1838863.0,1838863.0,,,0.0,,,6397.0,,,,,,,,,,,,,,,,,,,3.38,,10335000.0,211998031.0,15416.0,13327673.0,,,-63825800.0,,158.0,1790.0,,224171894.0,,,,,,,-4377516.0,,,,,,17791.0,,,,,,,,,,,,,,-314797.0,,,,,,,,,63106182.0,224171894.0,,,,,,,,,,,,13012876.0,,332588.0,,,,,,6397.0,,,,,,,,,,,,,13012876.0,,-63825642.0,,,,,10947200.0,,,,3600000.0,161065712.0,-4377516.0,200000.0,-400000.0,8853772.0,,,600000.0,26244164.0,,,,77153850.0,77153315.0,,-535.0,,,,,,
2013-12-31,2014-03-04,10-K,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,94136.0,,,1752512.0,208250118.0,0.0,,7553303.0,7553303.0,-23259298.0,,0.0,,,4945.0,,-138789.0,-5289640.0,5289640.0,0.0,,,,5289640.0,5289640.0,0.0,62989649.0,0.0,0.0,,,,,-21.54,,,205986455.0,42968.0,-99293436.0,,,-87392590.0,-87392590.0,4568.0,1613.0,40.0,208250118.0,-220872.0,-220872.0,4363.0,,-5289640.0,,-15904324.0,,4363.0,,,,148678.0,554.0,,,,,,,,,,,,,-1936881.0,,,,252100000.0,,-5289640.0,,,63088730.0,208250118.0,145159775.0,3600000.0,,4568.0,-26736.0,,,-286454834.0,-286454834.0,263195536.0,263195536.0,-101230317.0,,1795480.0,-1657245.0,,,,,62989649.0,,756889002.0,304575756.0,,,,756889002.0,18120922.0,1109489671.0,,1109489671.0,1752512.0,-85325993.0,-87388022.0,-87388022.0,,,,,9920900.0,,,,,145161388.0,-371780827.0,,,18120922.0,-286454834.0,-371780827.0,200000.0,304575756.0,,63000000.0,,3746010.0,3746010.0,3719274.0,-26736.0,,,,,,
2014-03-31,2014-05-09,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,115135.0,,,301699.0,209376664.0,0.0,,,10078775.0,2525472.0,,0.0,,,3690.0,,-22585.0,,,,,,,6694340.0,,,,,0.0,,,,,2.7,,,205992229.0,18590.0,9282805.0,,,10684680.0,,755.0,1721.0,40.0,209376664.0,20999.0,,-1255.0,,-6694340.0,,1102821.0,,-1255.0,,,,22548.0,,,,,,,,,,,,,,-297741.0,,,,159300000.0,,-6694340.0,,,63112455.0,209376664.0,146262488.0,3400000.0,,,,,,,-7882243.0,,10407715.0,8985064.0,,320289.0,-297741.0,,,,,62993630.0,,,51660227.0,,,,182975632.0,43777984.0,182999249.0,,,,8985064.0,,10685435.0,,,,,9362650.0,,,,,146264209.0,1102821.0,,,43777984.0,7882243.0,1102821.0,200000.0,51660227.0,,,,-1404700.0,-1402630.0,,2070.0,,,,,,
2014-06-30,2014-08-06,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,84505.0,,,263818.0,204645155.0,0.0,,,10002565.0,,,0.0,,,5885.0,,,,,,2650080.0,2650080.0,,,,,,,0.0,,,,,1.22,,,191992510.0,16570.0,4668677.0,,,-4672610.0,,1077.0,1770.0,40.0,204645155.0,,,,,,,-4703870.0,,,,,,13308.0,,,,,,,,,,,,,,-267080.0,,,,,,2650080.0,,,63084816.0,204645155.0,141558569.0,3200000.0,,,,,,,,,,4401597.0,,280388.0,-267080.0,,,,,62994426.0,,,,,,,,,,,,,,,-4671533.0,,,,,7293000.0,,,,,141560339.0,-4703870.0,,,34711908.0,,,,43817375.0,,,,9344420.0,9340210.0,,-4210.0,,,,,,
2014-09-30,2014-11-05,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,90018.0,,,304977.0,163856968.0,0.0,,,6036578.0,,,0.0,,,5200.0,,,,6036578.0,141182.0,,,,6177760.0,6177760.0,,,,0.0,,,,,-4.03,,,163998150.0,43265.0,-14896249.0,,,-6070430.0,,1794.0,1608.0,40.0,163856968.0,,,,,,,3201897.0,,,,,,11482.0,,,,,,,,,,,,,,-336760.0,,,,,,-6177760.0,,,19094732.0,163856968.0,144760628.0,3600000.0,,,,,,,,,,-15233009.0,,348242.0,-336760.0,,,,,18999514.0,,,,,,,,,,,,,,,-6068636.0,,,,,6269340.0,,,,,144762236.0,3201897.0,,,87503879.0,,,,69068973.0,,,,-8827840.0,-8827613.0,,227.0,,,,,,
