end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsPayableToBrokerDealersAndClearingOrganizations,CommitmentsAndContingencies,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeCollateralRightToReclaimCash,DerivativeCollateralRightToReclaimSecurities,DerivativeFairValueOfDerivativeAsset,DerivativeFairValueOfDerivativeAssetAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiability,DerivativeFairValueOfDerivativeLiabilityAmountNotOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DerivativeInstrumentsAndHedgesLiabilities,DerivativeLiabilityFairValueGrossAsset,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInCashCollateralForBorrowedSecurities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnderlyingFaceAmountAtMarketValue,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedCashAndInvestments,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,TreasuryStockValue,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,DueFromCorrespondentBrokers,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments
2008-12-31,2009-03-10,10-K,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,,,,,,,,,33461910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-08,10-K,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,,,,644500.0,,,,,,-33461910.0,,,,,,,-161516.0,,,,,,,,,,,,,,,,,,,,,28060.0,26083604.0,,-1171.0,13917850.0,,-1171.0,,,,,,2730.0,,,,,,13645890.0,,,,161516.0,,,,,,,,,,,,,,-511044.0,,,,,,,,,,,,,,,,,,71428850.0,,-104890760.0,,,284.0,672560.0,,,,,,,,,27905442.0,,,,527831771.0,99334292.0,395998003.0,,,,25572560.0,,13916679.0,,,,,,,,,,,,,,,,,,,,,,12167380.0,12166925.0,,-455.0,,,,,,
2010-06-30,2010-08-06,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,,,,320160.0,,,,,9867713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7075.0,17508846.0,,,235720.0,,-862.0,,,,,,,,,,,,,,,,51825.0,,,,,,,,,,,,,,-275410.0,,,,,,,,,,,,,,,,,,,,,,,183.0,327235.0,,,,,,,,,,,,,,,,,,,17233436.0,,234858.0,,,,,,,,,,,,,,,,,,,,,,17275090.0,17273988.0,,-1102.0,,,,,,
2010-09-30,2010-11-05,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,,,,444742.0,,,,,25127810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21720.0,11943796.0,,,15010380.0,,278.0,,,,,,,,,,,,,,,,77779.0,,,,,,,,,,,,,,-388683.0,,,,,,,,,,,,,,,,,,,,,,,82.0,466462.0,,,,,,,,,,,,,,,,,,,11555113.0,,15010658.0,,,,,,,,,,,,,,,,,,,,,,-3080180.0,-3066862.0,,13318.0,,,,,,
2010-12-31,2011-03-14,10-K,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,206603.0,,240826494.0,1649412.0,331508565.0,,,,32656223.0,32656223.0,,,,,4945.0,,-254010.0,,,,,,,,,,,,,,,,,,,10398620.0,288453722.0,81167.0,57141993.0,,-205.0,68634990.0,,-205.0,2008.0,,331508565.0,127313.0,,1789.0,,,,,,-13645890.0,,,,254010.0,,,,,,,,,,,,,,-1476569.0,,,,,,,,,211548.0,331508565.0,,,,,,2008.0,,94967062.0,,-62310839.0,,,437.0,1730579.0,,,,,,,,,74235352.0,2008.0,,,913694538.0,169204422.0,797996076.0,,,,55665424.0,,68634785.0,,,,,,,90468515.0,6600000.0,6600000.0,331297017.0,94969070.0,3800000.0,2000000.0,169204422.0,,,1800000.0,74235352.0,,,,-11502180.0,-11492792.0,,9388.0,10398620.0,,,,,
2011-03-31,2011-05-06,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,,,,515967.0,,,,,25383948.0,-7272275.0,,,,,,,-86295.0,,,,,,,,,,,,,,,,,,,,,27518.0,-408110.0,,3820.0,3045951.0,,3820.0,,,,,,24085.0,,,,,,,,,,86295.0,,,,,,,,,,,,,,-457190.0,,,,,,,,,,,,,,,,,,-107822814.0,,100550539.0,,,,543485.0,,,,,,,,,107822814.0,,,,220430917.0,,318495003.0,,,,-865300.0,,3049771.0,,,,,,,,,,,,,,,,,,,,,,-3460470.0,-3457881.0,,2589.0,,,,,,
2011-06-30,2011-08-05,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,158990.0,,163421436.0,488095.0,263523162.0,,,,10478239.0,,,,,,27256.0,,,,,,,,,,,,,,,,,,,2.08,,15547570.0,237497353.0,415.0,10756582.0,,,2153169.0,,679.0,2107.0,,263523162.0,,,,,,,,,,,,,42185.0,,,,,,,,,,,,,,-446325.0,,,,,,,,,186246.0,263523162.0,,,,,,,,,,,,,,488510.0,,,,,,,,,,,,,,,,,,,10310257.0,,2153848.0,,,,,,,99913373.0,5000000.0,5000000.0,263336916.0,30417756.0,1000000.0,600000.0,51512966.0,,,-400000.0,-21095210.0,,,,8609420.0,8602734.0,,-6686.0,,,,,,
2011-09-30,2011-11-07,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,240042.0,,288211588.0,673366.0,408180969.0,,,,58506180.0,,,,,,4836.0,,,,,,,,,,,,,,,,,,,3.99,,-12819510.0,362494299.0,15913.0,20477290.0,,,48851790.0,,103.0,2266.0,,408180969.0,,,,,,,,,,,,,21012.0,,,,,,,,,,,,,,-668267.0,,,,,,,,,244878.0,408180969.0,,,,,,,,,,,,,,689279.0,,,,,,,,,,,,,,,,,,,19809023.0,,48851893.0,,,,,,,119722237.0,7200000.0,7200000.0,407936091.0,124790152.0,2400000.0,2200000.0,135932964.0,,,200000.0,11142812.0,,,,-28367080.0,-28374603.0,,-7523.0,,,,,,
2011-12-31,2012-03-14,10-K,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,305020.0,,360547729.0,2545670.0,458370973.0,,,,51297890.0,18641667.0,,,,,8087.0,,-163410.0,,,,,,,,,,,,0.0,,,,,,,-33417170.0,440490253.0,50427.0,9472301.0,,5646.0,53298020.0,,5646.0,2181.0,,458370973.0,98417.0,,3142.0,,,,,,,,,,163410.0,,,,,,,,,,,,,,-2432687.0,,,,,,,33417170.0,,313107.0,458370973.0,,,,,,,,119721235.0,,-101079568.0,,,,2596097.0,,,,,,,,,162234442.0,,,,1308877571.0,281955677.0,1156994521.0,,,,7039614.0,,53303666.0,,,,,33839775.0,,97507956.0,8400000.0,8400000.0,458057866.0,119721235.0,5000000.0,1800000.0,281955677.0,119721235.0,126760849.0,3200000.0,162234442.0,,,,-43815790.0,-43831365.0,,-15575.0,,33417170.0,,,,
2012-03-31,2012-05-14,10-Q,INVESCO DB GOLD FUND,DGL,CIK0001383055,USD,266286.0,,294968999.0,778921.0,417064769.0,,,,7823230.0,-43474660.0,,,,,6880.0,,-25463.0,,,,,,,,,,,,0.0,,,,,3.36,,9770260.0,399471279.0,29142.0,25095371.0,,-886.0,-18108390.0,,-886.0,2316.0,,417064769.0,-38734.0,,-1207.0,,,,-41266263.0,,,,,,25159.0,,,,,,,,,,,,,,-782904.0,,,,,,,,,273166.0,417064769.0,,,,,,,,-65578730.0,,22104070.0,,24312467.0,,808063.0,,,,,,,,,101519076.0,,,,399437014.0,35940346.0,440497782.0,,,,24312467.0,,-18109276.0,,,,,,,121820288.0,7200000.0,7200000.0,416791603.0,-65578730.0,600000.0,-1200000.0,35940346.0,,,1800000.0,101519076.0,,,,43187430.0,43204647.0,,17217.0,11027960.0,1257700.0,,,,
