end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,Assets,AssetsNet,CommonStockNoParValue,EarningsPerShareBasic,GainLossOnInvestments,GainLossOnSaleOfTrustAssetsToPayExpenses,InvestmentInPhysicalCommodities,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,Liabilities,NetAssetValuePerShare,NetIncomeLoss,NetRealizedOrUnrealizedGainLossOnTradingSecurities,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,RealizedInvestmentGainsLosses,SponsorFees,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic,OtherExpenses,UnrecognizedTaxBenefitsPeriodIncreaseDecrease
2018-03-31,2018-05-10,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,2000.0,,4210000.0,4208000.0,,-0.53,-3000.0,,4210000.0,4408000.0,4210000.0,4497.615,1.0005,2000.0,9.35,-201000.0,,-2000.0,-0.0005,3000.0,,3000.0,,1496000.0,,,380000.0,,
2018-06-30,2018-08-31,10-K,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,2000.0,,3823000.0,3821000.0,,,,,3823000.0,4402000.0,3823000.0,4491.805,1.0005,2000.0,8.49,,,-2000.0,0.0005,,,,,,,,,,
2018-09-30,2018-11-09,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,1000.0,,3656000.0,3655000.0,,-0.37,-4000.0,-1000.0,3656000.0,4396000.0,3656000.0,4485.987,1.0003,1000.0,8.12,-166000.0,,-1000.0,-0.0003,4000.0,,4000.0,0.0,,0.0,,450000.0,,
2018-12-31,2019-02-05,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,1000.0,,3557000.0,3556000.0,,-0.22,-5000.0,-1000.0,3557000.0,4390000.0,3557000.0,4480.457,1.0003,1000.0,7.9,-99000.0,,-1000.0,0.0003,5000.0,,5000.0,,,,,450000.0,,
2019-03-31,2019-05-06,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,2000.0,,3804000.0,3802000.0,,0.55,-4000.0,-1000.0,3656000.0,4386000.0,3804000.0,4469.435,1.0005,2000.0,8.45,246000.0,,-2000.0,0.0005,4000.0,,4000.0,,,,,450000.0,,
2019-06-30,2019-08-20,10-K,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,1000.0,1000.0,3656000.0,3655000.0,,-0.37,-18000.0,-3000.0,3656000.0,4380000.0,3656000.0,4469.435,1.0003,1000.0,8.12,-166000.0,,-1000.0,-0.0003,18000.0,-3000.0,18000.0,,,,,450000.0,,
2019-09-30,2019-11-05,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,,2000.0,5803000.0,5801000.0,,0.74,-6000.0,,5803000.0,6106000.0,5803000.0,6448.094,1.0003,2000.0,8.92,415000.0,,-2000.0,0.0003,6000.0,,6000.0,2500000.0,1731000.0,0.0,,559000.0,,
2019-12-31,2020-02-06,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,,3000.0,7696000.0,7693000.0,,0.76,-9000.0,,7696000.0,7420000.0,7696000.0,7926.347,1.0004,3000.0,9.62,570000.0,,-3000.0,0.0004,9000.0,,9000.0,150000.0,1322000.0,0.0,,747000.0,,
2020-03-31,2020-05-08,10-Q,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,,4000.0,7195000.0,7191000.0,,-2.71,-12000.0,0.0,7195000.0,9251000.0,7195000.0,9896.403,1.0006,4000.0,7.19,-3064000.0,-719000.0,-4000.0,0.0006,12000.0,-719000.0,12000.0,600000.0,5566000.0,400000.0,3004000.0,1131000.0,,
2020-06-30,2020-08-24,10-K,GRANITESHARES PLATINUM TRUST,PLTM,CIK0001690842,USD,,4000.0,8849000.0,8845000.0,,-1.43,-37000.0,-3000.0,8849000.0,9975000.0,8849000.0,10871.136,1.0003,4000.0,8.04,-1241000.0,-799000.0,-4000.0,-0.0003,37000.0,-802000.0,37000.0,1000000.0,9813000.0,450000.0,3382000.0,868000.0,,
