end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CapitalUnitsAuthorized,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredFederalIncomeTaxExpenseBenefit,DeferredRevenueAndCreditsNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherLoansPayableCurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RecognitionOfDeferredRevenue,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2015-06-30,2015-08-11,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,,,,10735.0,,,13736.0,12586.0,,12586.0,,,,75000000.0,6565000.0,,6565.0,,,,,,2000.0,,,,,3274.0,0.0,0.0,,,1676.0,,-1676.0,,,,,,,,5274.0,13736.0,,,,,,-1676.0,,,1676.0,-1676.0,,1150.0,,,,,,,,,,,,,1500.0,,,,,,-8838.0,,,176.0,6565000.0,,8462.0,8462.0,,,,,,,,,,6124121.0,6124121.0
2015-09-30,2015-11-02,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,,,,26125.0,,,13281.0,,,12240.0,,,,75000000.0,7375000.0,7375000.0,7375.0,0.0,,,,,,,,,,3274.0,,0.0,,,,4000.0,-14665.0,,,,,,,,3274.0,13281.0,,,,,,-14665.0,,,18665.0,-14665.0,,,,18665.0,,,,,,,,,,,1500.0,,1041.0,,,,-23493.0,4000.0,4000.0,17165.0,7375000.0,,10007.0,10007.0,,,,,,,,,,7486250.0,7468250.0
2015-12-31,2016-02-11,10-K,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,,375.0,26125.0,26125.0,,26125.0,15467.0,14535.0,,14535.0,8505.0,14535.0,0.001,75000000.0,7375000.0,7375000.0,7375.0,0.0,10102.0,,,-10102.0,,10187.0,10187.0,375.0,11074.0,11074.0,,0.0,,,,4000.0,-28863.0,,,,,,,,11074.0,15467.0,11074.0,,38300.0,-1307.0,-28488.0,-28863.0,,,32863.0,-28863.0,,,,32863.0,1307.0,,,,,,10800.0,27500.0,,11074.0,11000.0,-28863.0,932.0,932.0,,,-29107.0,4000.0,4000.0,21863.0,7375000.0,,4393.0,4393.0,,,,1375000.0,,,,,27500.0,6669849.0,6669849.0
2016-03-31,2016-04-25,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,,,,26125.0,,,9391.0,,,235.0,-14300.0,,,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,109.0,,11074.0,,0.0,,,6076.0,,,,,,,,-8333.0,8333.0,11074.0,9391.0,,,0.0,0.0,-14300.0,-6076.0,,,6076.0,-6076.0,,,,6076.0,,,,,,8333.0,,,,,,-6076.0,823.0,,,,-35183.0,,,,,,-1683.0,-1683.0,,,,,,,,,,7375000.0,7375000.0
2016-06-30,2016-08-15,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,1472.0,,1307.0,37199.0,,11074.0,,29522.0,29522.0,,23689.0,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,29865.0,,,0.0,,,4578.0,,-11206.0,,,,,,,,31337.0,29522.0,31337.0,,,,,-11206.0,,,11206.0,-11206.0,46389.0,,,,,,,,,5833.0,,,,,6628.0,,,,,,-46389.0,,,4578.0,,,-1815.0,,,,,,,,,,,7375000.0,
2016-09-30,2016-11-08,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,430.0,,1307.0,37199.0,,,,22868.0,22868.0,,19535.0,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,37747.0,,,0.0,,,2500.0,,-13494.0,,,,,,,,,22868.0,38177.0,,,,,-13494.0,,,13494.0,-13494.0,59883.0,,,,,,,,,3333.0,,,,,10994.0,,,,,,-59883.0,,,2500.0,,,-15309.0,,,,,,,,,,,7375000.0,
2016-12-31,2017-03-30,10-K,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,488.0,488.0,1307.0,37199.0,,11074.0,,0.0,0.0,,18646.0,-14535.0,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,13739.0,,,-13739.0,,23926.0,23926.0,932.0,42777.0,,,-0.01,,0.35,30213.0,,-39253.0,-13739.0,488.0,488.0,,,,-833.0,43265.0,0.0,43265.0,,42777.0,,-57312.0,-58732.0,,11074.0,58732.0,-58732.0,68360.0,,42777.0,,,,,,,833.0,,,,42777.0,28519.0,,,,,,-87839.0,,,10734.0,,,-43265.0,,,,,,,,,,,7375000.0,
2017-03-31,2020-09-23,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,988.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,500.0,,,0.0,,,,,,,500.0,,500.0,,,,44265.0,0.0,44265.0,,,,,-1000.0,,,1000.0,-1000.0,88839.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-88839.0,,,,,,-44265.0,,,,,,,,,,,7375000.0,
2017-06-30,2020-09-23,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,1788.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,1000.0,,,0.0,,,300.0,,,,,,,,,,45565.0,0.0,45565.0,,,,,-1300.0,,,1300.0,-1300.0,90139.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-90139.0,,,,,,-45565.0,,,,,,,,,,,7375000.0,
2017-09-30,2020-09-23,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,2288.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,1500.0,,,0.0,,,300.0,,,,,,,,,,46565.0,0.0,46565.0,,,,,-1300.0,,,1300.0,-1300.0,91139.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-91139.0,,,,,,-46565.0,,,,,,,,,,,7375000.0,
