end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CapitalUnitsAuthorized,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfRevenue,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredFederalIncomeTaxExpenseBenefit,DeferredRevenueAndCreditsNoncurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsNoncurrent,OtherLoansPayableCurrent,OtherNonrecurringIncomeExpense,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RecognitionOfDeferredRevenue,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,SharesIssued,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2017-12-31,2020-09-23,10-K,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,3588.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,21715.0,,,,,32858.0,32858.0,,2940.0,,,0.0,,0.35,600.0,,,-21715.0,3100.0,,2940.0,,,,49305.0,0.0,49305.0,,,,,-6040.0,,,6040.0,-6040.0,93879.0,,42777.0,,,,,,,,,,,,5440.0,,,,,,-93879.0,,,,,,-49305.0,,,,,,,,,,,7375000.0,
2018-03-31,2020-09-24,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,4388.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,3440.0,,,0.0,,,300.0,,,,800.0,,500.0,,,,50605.0,0.0,50605.0,,,,,-1300.0,,,1300.0,-1300.0,95179.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-95179.0,,,,,,-50605.0,,,,,,,,,,,7375000.0,
2018-06-30,2020-09-24,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,5188.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,3940.0,,,0.0,,,300.0,,,,,,,,,,51905.0,0.0,51905.0,,,,,-1300.0,,,1300.0,-1300.0,96479.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-96479.0,,,,,,-51905.0,,,,,,,,,,,7375000.0,
2018-09-30,2020-09-24,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,5988.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,4440.0,,,0.0,,,300.0,,,,,,,,,,53205.0,0.0,53205.0,,,,,-1300.0,,,1300.0,-1300.0,97779.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-97779.0,,,,,,-53205.0,,,,,,,,,,,7375000.0,
2018-12-31,2020-09-24,10-K,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,7288.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,23119.0,,,,,35182.0,35182.0,,5880.0,,,0.0,,0.35,1200.0,,,-23119.0,3700.0,,2940.0,,,,55945.0,0.0,55945.0,,,,,-6640.0,,,6640.0,-6640.0,100519.0,,42777.0,,,,,,,,,,,,5440.0,,,,,,-100519.0,,,,,,-55945.0,,,,,,,,,,,7375000.0,
2019-03-31,2020-09-29,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,8088.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,6380.0,,,0.0,,,300.0,,,,800.0,,500.0,,,,57245.0,0.0,57245.0,,,,,-1300.0,,,1300.0,-1300.0,101819.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-101819.0,,,,,,-57245.0,,,,,,,,,,,7375000.0,
2019-06-30,2020-09-29,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,8888.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,6880.0,,,0.0,,,300.0,,,,,,,,,,58545.0,0.0,58545.0,,,,,-1300.0,,,1300.0,-1300.0,103119.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-103119.0,,,,,,-58545.0,,,,,,,,,,,7375000.0,
2019-09-30,2020-09-29,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,9688.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,7380.0,,,0.0,,,300.0,,,,,,,,,,59845.0,0.0,59845.0,,,,,-1300.0,,,1300.0,-1300.0,104419.0,,42777.0,,,,,,,,,,,,1000.0,,,,,,-104419.0,,,,,,-59845.0,,,,,,,,,,,7375000.0,
2019-12-31,2020-09-30,10-K,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,10988.0,,43836.0,,11074.0,,0.0,0.0,,,,,0.0001,75000000.0,7375000.0,7375000.0,738.0,,24647.0,,,,,37506.0,37506.0,,8820.0,,,0.0,,0.35,1200.0,,,-24647.0,3700.0,,2940.0,,,,62585.0,0.0,62585.0,,,,,-6640.0,6640.0,,6640.0,-6640.0,107159.0,,42777.0,,,0.0001,10000000.0,0.0,0.0,,,,,,5440.0,,,,,,-107159.0,,,,,,-62585.0,,,,,,,,,,,7375000.0,
2020-03-31,2020-10-05,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,15854.0,,37199.0,,,,0.0,0.0,,,,,0.001,75000000.0,7375000.0,7375000.0,7375.0,,,,,,,,,,9320.0,,,0.0,,,2250.0,,,,4866.0,,500.0,,,,67951.0,0.0,67951.0,,,,,-5366.0,5366.0,,5366.0,-5366.0,112525.0,,42777.0,,,,,,,,,,,,3116.0,-5366.0,,,,,-112525.0,,,,,,-67951.0,,,,,,,,,,,7375000.0,
2020-06-30,2020-10-06,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,11975.0,,-20752.0,,,,0.0,0.0,,,,,0.001,75000000.0,67375000.0,67375000.0,67375.0,,,,60000000.0,,,,,,9820.0,,,0.0,,,574.0,,,,,,,,,,68172.0,0.0,68172.0,3600.0,,,,-2270.0,,,2270.0,-2270.0,114795.0,,42777.0,,,,,,,,,,,,1696.0,,,,,,-114795.0,,,,,,-68172.0,,,,,,2049.0,2049.0,,,,67375000.0,
2020-09-30,2020-11-03,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,11370.0,,29349.0,,,,0.0,0.0,400000000.0,,,,0.0001,390000000.0,227375000.0,227375000.0,22738.0,,,,160000000.0,,,,,,10320.0,,,0.0,,,325.0,,,,,,,,,,64467.0,0.0,64467.0,,,,,-1759.0,,,1759.0,-1759.0,116554.0,,42777.0,,,0.0001,10000000.0,0.0,0.0,,,,,,1434.0,-1759.0,,,,,-116554.0,,,,,,-64467.0,,,,,,5464.0,5464.0,,,,89133242.0,
2020-12-31,2021-04-21,10-K,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,7880.0,,29349.0,,,,0.0,0.0,400000000.0,,,,0.0001,390000000.0,227375000.0,227375000.0,22738.0,,26800.0,,,,,44667.0,44667.0,,11320.0,,,0.0,0.35,,8894.0,,,-26800.0,-3108.0,,10013.0,,,,75532.0,0.0,75532.0,13555.0,13555.0,,-13555.0,-20460.0,20460.0,,20460.0,-20460.0,127619.0,,42777.0,,,0.0001,10000000.0,0.0,0.0,,,,,13555.0,11566.0,,,,,,-127619.0,,,,,,-75532.0,,,,,,7513.0,,,,,123659153.0,
2021-03-31,2021-05-12,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,8979.0,,29349.0,,,,0.0,0.0,,,,,0.0001,390000000.0,227375000.0,227375000.0,22738.0,,,,,,,,,,11820.0,,,0.0,0.35,,300.0,,,,1099.0,,500.0,,,,77131.0,0.0,77131.0,13555.0,,,,-1599.0,1599.0,,1599.0,-1599.0,129218.0,,42777.0,,,0.0001,10000000.0,0.0,0.0,,,,,,1299.0,-1599.0,,,,,-129218.0,,,,,,-77131.0,,,,,,,,,,,227375000.0,
2021-06-30,2021-08-20,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,10032.0,,29349.0,,,,0.0,,,,,,0.0001,390000000.0,227375000.0,227375000.0,22738.0,,,,,,,,,,12320.0,,,0.0,,,1838.0,,,,,,,,,,80222.0,0.0,80222.0,15093.0,,,,-3091.0,,,3091.0,-3091.0,,,42777.0,,,0.0001,10000000.0,0.0,0.0,,,,,,1253.0,-3091.0,,,,,-132309.0,,,,,,-80222.0,,,,,,,,,,,227375000.0,
2021-09-30,2021-11-15,10-Q,ME RENEWABLE POWER CORPORATION,MEPW,CIK0001627452,USD,,11083.0,,29349.0,,,,0.0,,,,,,0.0001,390000000.0,227375000.0,227375000.0,22738.0,,,,,,,,,,12820.0,,,0.0,,,867.0,,,,,,,,,,82340.0,0.0,82340.0,15660.0,,,,-2118.0,,,2118.0,-2118.0,134427.0,,42777.0,,,0.0001,10000000.0,0.0,0.0,,,,,,1251.0,-2118.0,,,,,-134427.0,,,,,,-82340.0,,,,,,,,,,,227375000.0,
