end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AreaOfRealEstateProperty,Assets,AssetsCurrent,AssetsFairValueDisclosure,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DeferredFinanceCostsNet,DeferredRentCreditCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsValuationAllowance,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DefinedContributionPlanEmployerMatchingContributionPercent,DefinedContributionPlanMaximumAnnualContributionsPerEmployeeAmount,Depreciation,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,GainLossOnSaleOfPropertyPlantEquipment,GeneralAndAdministrativeExpense,ImpairmentOfLongLivedAssetsHeldForUse,IncomeTaxExpenseBenefit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,LongTermDebtNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherLiabilitiesCurrent,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,PaidInKindInterest,PaymentsOfDebtIssuanceCosts,PaymentsOfStockIssuanceCosts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PrepaidExpenseAndOtherAssetsCurrent,PrepaidInsurance,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockOptionsExercised,ProfitLoss,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RestrictedCash,RestrictedCashCurrent,RestrictedCashNoncurrent,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,SecurityDeposit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityLiquidationPreference,TemporaryEquitySharesAuthorized,TemporaryEquitySharesIssued,TemporaryEquitySharesOutstanding,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DeferredTaxAssetsOtherTaxCarryforwards,EarningsPerShareBasic,EarningsPerShareDiluted,InterestPaidNet,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2018-06-30,2018-08-14,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,1597000.0,1027000.0,5897000.0,,845000.0,252473000.0,,740000.0,,740000.0,,,,183279000.0,180488000.0,,,179090000.0,179563000.0,,3878940.0,0.01,150000000.0,33155000.0,33155000.0,332000.0,,,293000.0,,,,,,,,,,,,100000.0,-1.83,,,,,,1107000.0,,,2022000.0,,,,,,,7738000.0,183279000.0,7494000.0,,,,,,,,,-13335000.0,-13335000.0,15708000.0,-13580000.0,,,,,,,,200000.0,364000.0,435000.0,176000.0,244000.0,245000.0,,,,,,0.01,10000000.0,0.0,0.0,371000.0,,,,,,,,,1883000.0,13686000.0,473000.0,,473000.0,-77264000.0,2128000.0,,,,,,,175541000.0,,,132386000.0,106616000.0,,,,,,,,,,7275000.0,,,,,,,,,
2018-09-30,2018-11-13,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,1208000.0,593000.0,6465000.0,,984000.0,253084000.0,,720000.0,,720000.0,,,,170079000.0,167592000.0,,,165578000.0,166069000.0,,,0.01,150000000.0,33229000.0,33229000.0,332000.0,,,,,,,,,,,,,,,100000.0,-0.43,,,,,,2056000.0,,,3782000.0,,,,,,,8108000.0,170079000.0,7673000.0,,,,,,,,,-14181000.0,-14181000.0,15732000.0,-14789000.0,,,,,,,,200000.0,205000.0,674000.0,322000.0,435000.0,608000.0,,,,,,0.01,10000000.0,0.0,0.0,1169000.0,791000.0,,,,,,,,1813000.0,11950000.0,491000.0,252000.0,,-91445000.0,943000.0,,,,,,,161971000.0,,,,-111000.0,2000.0,,,,,,,,,33191000.0,,,,,,,,,
2018-12-31,2019-03-21,10-K,APTINYX INC.,APTX,CIK0001674365,USD,1889000.0,578000.0,3996000.0,211000.0,1123000.0,254516000.0,,3318000.0,,3318000.0,0.0,4154000.0,,155614000.0,153251000.0,150642000.0,,150637000.0,151128000.0,58519000.0,4154000.0,0.01,150000000.0,33341000.0,33341000.0,333000.0,,,,29027000.0,0.0,64000.0,27749000.0,582000.0,,28963000.0,300000.0,0.04,300000.0,,457000.0,-2.64,0.21,-0.268,,-0.017,0.075,2043000.0,,,12674000.0,0.0,0.0,418000.0,-359000.0,1541000.0,260000.0,6303000.0,155614000.0,5885000.0,,,,,,106374000.0,-407000.0,-47448000.0,-53281000.0,-53281000.0,61462000.0,-54888000.0,,3166000.0,848000.0,800000.0,587000.0,871000.0,860000.0,700000.0,383000.0,673000.0,220000.0,418000.0,1607000.0,,,3012000.0,,407000.0,0.01,10000000.0,0.0,0.0,1784000.0,673000.0,109517000.0,,,,,101000.0,-53281000.0,1690000.0,48788000.0,491000.0,252000.0,,-105538000.0,6574000.0,400000.0,3318000.0,3817000.0,14000.0,2515000.0,,149311000.0,,,132386000.0,106505000.0,101000.0,,,,,,0.0,0.0,,20199000.0,,,,,,,,,
2019-03-31,2019-05-14,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,1337000.0,415000.0,4586000.0,699000.0,1258000.0,256601000.0,,2000000.0,,2000000.0,,4714000.0,,140993000.0,138765000.0,,,136580000.0,137071000.0,-14057000.0,,0.01,150000000.0,33437000.0,33437000.0,334000.0,,,,,,,,,,,,,,,117000.0,-0.5,,,,,,1600000.0,,,5725000.0,,,-553000.0,-162000.0,575000.0,-267000.0,6307000.0,140993000.0,5923000.0,,,,,,86000.0,,-14143000.0,-16711000.0,-16711000.0,18215000.0,-17325000.0,,,,,,,,200000.0,134000.0,673000.0,204000.0,384000.0,614000.0,,,,,,0.01,10000000.0,0.0,0.0,1518000.0,371000.0,,,,,,86000.0,-16711000.0,1555000.0,12490000.0,491000.0,252000.0,,-122249000.0,890000.0,,2000000.0,,,,,134686000.0,,,,,86000.0,,,,,,,,,33390000.0,,,,,,,,,
2019-06-30,2019-08-12,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,834000.0,450000.0,3944000.0,186000.0,1395000.0,259090000.0,,2325000.0,,2325000.0,,,,130171000.0,128471000.0,,,124891000.0,125382000.0,,,0.01,150000000.0,33608000.0,33608000.0,336000.0,,,,,,,,,,,,,,100000.0,100000.0,-0.36,,,,,,1945000.0,,,4171000.0,,,,,,,5125000.0,130171000.0,4778000.0,,,,,,,,,-12131000.0,-12131000.0,13652000.0,-12727000.0,,,,,,,,200000.0,315000.0,239000.0,274000.0,347000.0,596000.0,,,,,,0.01,10000000.0,0.0,0.0,2878000.0,68000.0,,,,,,,,1461000.0,9481000.0,491000.0,252000.0,,-134380000.0,925000.0,,,,,,,125046000.0,,,,,166000.0,,,,,,,,,33493000.0,,,,,,,,,
2019-09-30,2019-11-12,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,1750000.0,461000.0,5344000.0,125000.0,1526000.0,261760000.0,,2641000.0,,2641000.0,,,,120330000.0,118834000.0,,,114214000.0,114559000.0,,,0.01,150000000.0,33676000.0,33676000.0,337000.0,,,,,,,,,,,,,,100000.0,,-0.44,,,,,,1954000.0,,,4523000.0,,,,,,,7403000.0,120330000.0,7094000.0,,,,,,,,,-14790000.0,-14790000.0,16284000.0,-15348000.0,,,,,,,,200000.0,355000.0,166000.0,343000.0,309000.0,558000.0,,,,,,0.01,10000000.0,0.0,0.0,3980000.0,1220000.0,,,,,,,,1330000.0,11761000.0,345000.0,179000.0,,-149170000.0,936000.0,,,,,,,112927000.0,,,,,30000.0,,,,,,,,,33646000.0,,,,,,,,,
2019-12-31,2020-03-30,10-K,APTINYX INC.,APTX,CIK0001674365,USD,1555000.0,444000.0,3341000.0,206000.0,1646000.0,263922000.0,,9036000.0,,9036000.0,0.0,5830000.0,,106479000.0,105109000.0,,11000.0,98849000.0,99194000.0,-51934000.0,5830000.0,0.01,150000000.0,33739000.0,33739000.0,337000.0,,,,45398000.0,0.0,,41727000.0,509000.0,2603000.0,45398000.0,400000.0,0.04,,500000.0,455000.0,-1.71,0.21,-0.286,,0.001,0.075,1925000.0,,-3000.0,18952000.0,0.0,0.0,-361000.0,-134000.0,-778000.0,3166000.0,5168000.0,106479000.0,4896000.0,,,,,,192000.0,-39000.0,-52087000.0,-57410000.0,-57410000.0,63282000.0,-59613000.0,,2330000.0,864000.0,,,590000.0,876000.0,900000.0,366000.0,166000.0,148000.0,272000.0,2203000.0,,,182000.0,,43000.0,0.01,10000000.0,0.0,0.0,5637000.0,994000.0,,,,,4000.0,374000.0,-57410000.0,1204000.0,44330000.0,345000.0,179000.0,,-162948000.0,3669000.0,,9036000.0,3081000.0,878000.0,2955000.0,,101311000.0,,,,,374000.0,,,,,,0.0,0.0,16400000.0,33556000.0,,,,,,,,,
2020-03-31,2020-05-14,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,1850000.0,818000.0,2796000.0,,1774000.0,299721000.0,,2331000.0,,2331000.0,,7386000.0,,127398000.0,126131000.0,,25000.0,121020000.0,121365000.0,22171000.0,,0.01,150000000.0,45546000.0,33739000.0,455000.0,,,,,,,,,,,,,,100000.0,108000.0,-0.34,,,,,,562000.0,,,4899000.0,,,134000.0,375000.0,-511000.0,-1470000.0,4880000.0,127398000.0,4646000.0,,,,,,33735000.0,-11000.0,-11553000.0,-14710000.0,-14710000.0,15954000.0,-15136000.0,200000.0,,,,,,,200000.0,306000.0,166000.0,426000.0,234000.0,426000.0,,,181000.0,,11000.0,0.01,10000000.0,0.0,0.0,4114000.0,544000.0,33672000.0,33672000.0,,,,244000.0,-14710000.0,1101000.0,11055000.0,345000.0,179000.0,,-177658000.0,818000.0,,2331000.0,,,,,122518000.0,,,,33342000.0,244000.0,,,,,,,,,43835000.0,,,,,,,,,
2020-06-30,2020-08-13,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,1532000.0,490000.0,2384000.0,,1897000.0,307015000.0,,2503000.0,,2503000.0,,,,121417000.0,120235000.0,,,115878000.0,116223000.0,,,0.01,150000000.0,46850000.0,46850000.0,468000.0,,,,,,,,,,,,,,100000.0,,-0.27,,,,,,1115000.0,,,4770000.0,,,,,,,4109000.0,121417000.0,3916000.0,,,,,,,,,-12517000.0,-12517000.0,13135000.0,-12645000.0,200000.0,,,,,,,200000.0,279000.0,166000.0,421000.0,193000.0,128000.0,,,,,,0.01,10000000.0,0.0,0.0,3688000.0,88000.0,,,,,,,,1016000.0,8365000.0,345000.0,179000.0,,-190175000.0,490000.0,,,,,,,117308000.0,,,,,229000.0,,,,,,,,,45680000.0,,,,,,,,,
2020-09-30,2020-11-12,10-Q,APTINYX INC.,APTX,CIK0001674365,USD,986000.0,257000.0,3281000.0,328000.0,2021000.0,310828000.0,,2669000.0,,2669000.0,,,,114207000.0,113082000.0,,,103810000.0,104081000.0,,,0.01,150000000.0,47157000.0,47157000.0,471000.0,,,,,,,,,,,,,,100000.0,,-0.24,,,,,,1483000.0,,,5050000.0,,,,,,,4421000.0,114207000.0,4267000.0,,,,,,,,,-11338000.0,-11338000.0,11680000.0,-11423000.0,300000.0,,,,,,,300000.0,343000.0,92000.0,437000.0,154000.0,85000.0,,,,,,0.01,10000000.0,0.0,0.0,8836000.0,1470000.0,,,,,,,,1033000.0,6630000.0,271000.0,179000.0,,-201513000.0,257000.0,,,,,,,109786000.0,,,,,17000.0,,,,,,,,,46978000.0,,,,,,,,,
