end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DepositsAssetsNoncurrent,Depreciation,DerivativeLiabilitiesCurrent,DividendsPayableCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectOfExchangeRateOnCashAndCashEquivalents,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InventoryNet,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtNoncurrent,MinorityInterest,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,PaymentsForProceedsFromOtherInvestingActivities,PaymentsOfDividends,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromMinorityShareholders,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalAndContractServicesExpense,ProfitLoss,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,RetainedEarningsUnappropriated,Revenues,SalesRevenueNet,SellingExpense,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,TaxesPayableCurrent,UnrealizedGainLossOnDerivatives,ValueAddedTaxReceivableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2010-06-30,2010-08-12,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,,,,,,,,,,,,3928055.0,,,,,,,,,,,,1694382.0,7670.0,1702052.0,7193019.0,,,,,,,,,,,,0.1,,,,,,,358142.0,2394123.0,,1917024.0,240538.0,,,,,,,,,,,,6327.0,,,,,7209.0,,,,,,,,,,,1619535.0,56951.0,882.0,477981.0,1916142.0,,25566.0,,,,,,,,,,,,,,1676486.0,,,,,,,9587142.0,119839.0,,,,,,,,,
2010-09-30,2010-11-12,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,,,,,,,,,,,,,3100132.0,,,,,,,,,,,4452832.0,60349.0,4392483.0,21417974.0,,,,,,,,,,,0.22,,0.22,,,,,,507006.0,6001316.0,,5282220.0,720648.0,,,,,,,,,,,,5035.0,,,,,5724.0,,,,,,,,,,,4360409.0,201163.0,689.0,719785.0,5281531.0,,92423.0,,,,,,,,,,,,,,,,,,,,,27419290.0,212779.0,,,,,,,20000000.0,,20000000.0
2010-12-31,2011-03-31,10-K,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,962099.0,,,7192694.0,,,737196.0,,7566593.0,16169404.0,15042070.0,7079221.0,7079221.0,,,,,0.001,7540002.0,75000000.0,22513334.0,22513334.0,22513.0,,,,,,,,,,,,299492.0,3948125.0,529166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571602.0,,,7281829.0,16169404.0,6524518.0,,757311.0,845426.0,,,,,,,,,,,,,,,198553.0,,,,,,,,,,1127334.0,,,482377.0,6773472.0,,,,8042149.0,8887575.0,,785636.0,,,,,
2011-06-30,2011-08-22,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,6364003.0,,,9043764.0,,,1175728.0,,7604455.0,34292476.0,28586526.0,13602172.0,,,,,,0.001,,75000000.0,22515334.0,22515334.0,22515.0,3556106.0,110038.0,3666144.0,17427583.0,,,,,,4641498.0,,308039.0,3948125.0,255287.0,,0.14,,,,,,,618609.0,4908539.0,,3944965.0,645613.0,,,,,,,,,,,,17346.0,,,,5686706.0,14451.0,,11777662.0,34292476.0,11777662.0,,,1788207.0,,,,3063415.0,235937.0,-134589.0,828985.0,4079554.0,,366792.0,,,,,84657.0,,,,,,,,,3299352.0,1064452.0,,,482377.0,11441532.0,,22336122.0,210376.0,20726607.0,22514814.0,,902208.0,-131694.0,169227.0,,,
2011-09-30,2011-11-14,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,4060546.0,9246978.0,,10542081.0,,,1428501.0,,7604455.0,35480182.0,29761665.0,,18060314.0,,,,,0.001,,75000000.0,22515334.0,22515334.0,22515.0,3518248.0,75832.0,3442416.0,16139318.0,,,,,,4699042.0,,129291.0,3948125.0,266242.0,0.14,,0.14,,,,,,468643.0,4528567.0,,4056303.0,590686.0,,,,,,,,,,,,331.0,,,,1074371.0,23679.0,,9246978.0,35480182.0,9246978.0,,,1988347.0,,,,3265477.0,200140.0,202096.0,674360.0,3854207.0,,252771.0,,,,,84899.0,,,,,,,,,,1019475.0,,,482377.0,14707009.0,,20667885.0,205717.0,24244857.0,26233204.0,,842774.0,178748.0,,22515334.0,,22515334.0
2019-09-30,2020-03-20,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,270.0,0.0,,0.0,0.0,,,6997504.0,,,0.0,0.0,,,,0.0,,0.001,,75000000.0,62515334.0,62515334.0,63.0,,,,,,,,,,,,0.0,0.0,25685.0,,-0.24,,,,,,0.0,10539.0,,-15039.0,,0.0,,,,,,,,,,,,0.0,,,,,,,25955.0,0.0,25955.0,0.0,,,,,,-15039.0,,0.0,15039.0,-15039.0,7023522.0,,,,,,0.0,,,,,,,,4500.0,,,,-7023522.0,,,0.0,,,-25955.0,,,,,,,62942.0,
2019-12-31,2020-03-20,10-K,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,3575.0,0.0,0.0,,0.0,3575.0,,6997504.0,,0.0,0.0,0.0,,,0.0,0.0,,0.001,,75000000.0,62942.0,62942.0,63.0,,,,,,,0.0,8619.0,8619.0,,,0.0,0.0,38120.0,,0.0,,0.0,0.21,0.21,,0.0,30116.0,,-41695.0,,0.0,,0.0,0.0,,,3575.0,,,,,,0.0,,,0.0,,,0.0,41695.0,0.0,41695.0,,,,38120.0,0.0,-38120.0,-41695.0,,0.0,41695.0,-41695.0,7039262.0,,,,,,,,,,,38120.0,,,11579.0,,,,-7039262.0,,,0.0,,,-41695.0,,0.0,,,,,62942.0,
2020-03-31,2020-12-22,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,3867.0,,,,,,,6997504.0,,0.0,,0.0,,,0.0,,,0.001,,75000000.0,40062942.0,40062942.0,40063.0,,,,,,,,,,,,,,31059.0,,0.0,,,,,,,27806.0,,-33231.0,,0.0,,0.0,,,,,,,292.0,,,0.0,,0.0,,,,,34926.0,0.0,34926.0,,,,32939.0,0.0,-32939.0,-33231.0,,0.0,33231.0,-33231.0,7072493.0,,,,,,,,,,,32939.0,,,5425.0,,,,-7072493.0,,,0.0,,,-34926.0,,40000.0,,,,,18964041.0,
2020-06-30,2020-12-22,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,6657.0,,,,,,,6997504.0,,0.0,,0.0,,,,,,0.001,,75000000.0,40062942.0,40062942.0,40063.0,,,,,,,,,,,,,,31059.0,,0.0,,,,,,,90.0,,-2790.0,,0.0,,,,,,,,,,,,0.0,,,,,,,37716.0,0.0,37716.0,,,,,,,-2790.0,,0.0,2790.0,-2790.0,7075283.0,,,,,,,,,,,,,,2700.0,,,,-7075283.0,,,0.0,,,-37716.0,,,,,,,40062942.0,
2020-09-30,2020-12-22,10-Q,KEMIAO GARMENT HOLDING GROUP,AIVI,CIK0001471302,USD,14447.0,,,,,,,6997504.0,,0.0,,0.0,,,,,,0.001,,75000000.0,40062942.0,40062942.0,40063.0,,,,,,,,,,,,,,31264.0,,0.0,,,,,,,295.0,,-7995.0,,0.0,,,,,,,,,,,,0.0,,,,,,,45711.0,0.0,45711.0,,,,,,,-7995.0,,0.0,7995.0,-7995.0,7083278.0,,,,,,,,,,,,,,7700.0,,,,-7083278.0,,,0.0,,,-45711.0,,,,,,,40062942.0,
