end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashFDICInsuredAmount,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentRate,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtWeightedAverageInterestRate,DeferredDiscountsFinanceChargesAndInterestIncludedInReceivables,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsSubjectToExpiration,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOtherRelatedPartiesClassifiedCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseDueFromOfficersAndStockholders,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToOtherRelatedParties,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesReceivableCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherLoans,InterestAndDebtExpense,InterestCostsCapitalizedAdjustment,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayable,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InterestReceivable,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LongTermDebtAndCapitalLeaseObligations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayable,NotesAndLoansPayableCurrent,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAccountsPayableAndAccruedLiabilities,OtherBorrowings,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PreferredStockAdditionalSeriesValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromConstructionLoansPayable,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,ShareBasedCompensation,ShareBasedGoodsAndNonemployeeServicesTransactionQuantityOfSecuritiesIssued,ShareBasedGoodsAndNonemployeeServicesTransactionStockholdersEquity,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CapitalizedComputerSoftwareAmortization1,EquityMethodInvestmentOwnershipPercentage,GrossProfit,IndefiniteLivedLicenseAgreements,IntangibleAssetsCurrent,OtherAssetsCurrent,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,StockIssuedDuringPeriodSharesOther
2010-08-31,2010-09-17,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,,,,,,,,,,4939.0,,,,,-6811.0,,,,,,,0.0,,,,,,,,,,,,,,,,,4370.0,-4840.0,-4840.0,,-0.02,,,0.0,,,0.0,-2441.0,,,,,,470.0,0.0,,,,,,,,0.0,,470.0,0.0,,,,,,,,,,,,0.0,,-6811.0,-4840.0,,,,,,,,4370.0,-4370.0,,,,,,,-470.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,250556.0,,,,,,,,,
2010-11-30,2010-12-22,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,,,,,,,,,,4278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.0,-1131.0,-1131.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,-470.0,,,,,,,,,,,,,,,,-1131.0,,,,,,,,661.0,-661.0,,,,,,,-470.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,250556.0,,,,,,,,,
2011-02-28,2011-04-01,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,,,,,,,,,,,3467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.0,-1281.0,-1281.0,,-0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,470.0,,,,,,,,,,,,,,,,-1281.0,,,,,,,,811.0,-811.0,,,,,,,-470.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
2011-05-31,2011-08-10,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,5125.0,,,5125.0,,,,,3063134.0,,7803.0,7803.0,7803.0,,,,,-3947.0,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,363.0,,,,,-3521.0,3091724.0,,,,6506.0,-8486.0,-8486.0,,-0.03,,,,,,,-2441.0,,,,,,1880.0,100.0,,,,,,,100.0,,,1880.0,,,100.0,,2417.0,,36142.0,7803.0,10225.0,25917.0,5000.0,,5000.0,,-8947.0,-8486.0,,,,,,,23500.0,6506.0,-6506.0,3158.0,,,,,,1980.0,,,,0.0,0.001,20000000.0,0.0,0.0,0.0,,,,,5000.0,,,,,,0.0,,,,,-28339.0,,,,,,,,250556.0,,,,,,,,,
2011-08-31,2011-10-13,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,5125.0,,,,,,,,3063134.0,,5514.0,5514.0,5514.0,,,,,-2289.0,,,,,251.0,,0.0,,,,,,,,,,,,,-3094583.0,,,,2289.0,-2859.0,-2859.0,,-0.01,,,0.0,,,0.0,0.0,,,,,,470.0,100.0,,,,,,,-100.0,0.0,,-470.0,0.0,,200.0,,2887.0,2887.0,36712.0,5514.0,10325.0,26387.0,5000.0,,0.0,,-2289.0,-2859.0,,,,,,,23500.0,2289.0,-2289.0,,,,,,,-570.0,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,-31198.0,,,,,,,,250556.0,,,,,,,,,
2011-11-30,2012-01-09,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,5125.0,,,,,,,,3063134.0,,5014.0,5014.0,5014.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,-3095653.0,,,,500.0,-1070.0,-1070.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,-100.0,,,-470.0,,,300.0,,3357.0,,37282.0,5014.0,10425.0,26857.0,5000.0,,,,,-1070.0,,,,,,,23500.0,500.0,-500.0,,,,,,,-570.0,,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,-32268.0,,,,,,,,250556.0,,,,,,,,,
2012-02-29,2012-04-05,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,5125.0,,,,,,,,3063134.0,,7752.0,7752.0,7752.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,3097565.0,,,,1262.0,-1912.0,-1912.0,,-0.01,0.0,0.0,,,,,,,,,,,,,,,,,,,-180.0,,,-470.0,,,480.0,,3827.0,,41932.0,7752.0,14605.0,27327.0,9000.0,,,,,-1912.0,,,,,,,23500.0,1262.0,-1262.0,,,,,,,-650.0,,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,-34180.0,,,,,,,,,,,,,,,,,
2012-08-31,2012-10-15,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,31825.0,,,,,,3063134.0,,3514.0,3514.0,3514.0,,,,,-3051.0,0.001,100000000.0,250556.0,250556.0,251.0,,,,,0.08,,,,,,,,,,3129803.0,,,,9251.0,-9901.0,-9901.0,,-0.04,,,,,,,6200.0,31825.0,,,,,470.0,180.0,,,,,,,-180.0,,4767.0,-470.0,,,,840.0,,4767.0,69932.0,3514.0,69932.0,,9000.0,,,,-3051.0,-9901.0,,,,,,,,9251.0,-9251.0,,,,26700.0,,,-650.0,6200.0,,,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,,,,,,,-66418.0,,,,,,,,,,,,,,,,,
2012-11-30,2013-01-09,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,38025.0,,,,,,3063134.0,,1953.0,1953.0,1953.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,3138214.0,,,,7761.0,-8411.0,-8411.0,,-0.03,,,,,,,,,,,,,,,,,,,,,-180.0,,,-470.0,,,,1020.0,,,76782.0,1953.0,76782.0,,9000.0,,,,,-8411.0,,,,,,,,7761.0,-7761.0,,,,38025.0,,,-650.0,,,,,0.001,20000000.0,,,,,,,,,,,,,,,,,,,-74829.0,,,,,,,,,,,,,,,,,
2013-02-28,2013-04-15,10-Q,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,44725.0,,,,,,3063134.0,,2453.0,2453.0,2453.0,,,,,,0.001,100000000.0,250556.0,250556.0,251.0,,,,,,,,,,,,,,,3146569.0,,,,7700.0,-8355.0,-8355.0,,-0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,-185.0,,,-470.0,,,,1205.0,0.0,,85637.0,2453.0,85637.0,0.0,10500.0,,,,,-8355.0,,,,,,,0.0,7700.0,-7700.0,,,,44225.0,,,-655.0,,,,,0.001,20000000.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,-83184.0,,,,,,,,,,,,,,,,,
2013-05-31,2013-08-26,10-K,"LZG INTERNATIONAL, INC.",LZGI,CIK0001126115,USD,,,50425.0,50425.0,,1415.0,,6177.0,3063134.0,,270.0,270.0,270.0,-6295.0,,,,-6295.0,0.001,100000000.0,250556.0,250556.0,251.0,,,,,0.08,,,,,,13951.0,,,,3155132.0,,-0.14,,32595.0,-35230.0,-35230.0,,-0.14,,,,,,,24800.0,1880.0,,,,,1880.0,755.0,,,,-1500.0,,,-755.0,1880.0,,-1880.0,,,,1415.0,6177.0,,92017.0,270.0,62340.0,29677.0,10500.0,29677.0,1500.0,,-7795.0,-35230.0,23500.0,,,,,,23500.0,32595.0,-32595.0,93007.0,,,,,,-2635.0,,,,,0.001,20000000.0,0.0,0.0,,1500.0,,,,,,,,,,,,,,,-91747.0,,,,,,5285.0,,250556.0,,,,,,,,,
