end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,MinimumNetWorthRequiredForCompliance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,PaymentsForUnderwritingExpense,PaymentsOfStockIssuanceCosts,PaymentsToAcquireRestrictedInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ReclassificationsOfTemporaryToPermanentEquity,RedeemableNoncontrollingInterestEquityCommonCarryingAmount,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SaleOfStockPricePerShare,SharePrice,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityNetIncome,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,ProceedsFromRepaymentsOfRelatedPartyDebt
2021-03-31,2021-05-13,10-Q,ABG ACQUISITION CORP. I,ABGI,CIK0001833764,USD,,137955.0,5188687.0,8865685.0,152043818.0,1393645.0,150650173.0,739294.0,739294.0,681119.0,0.0,144553.0,,33555.0,654173.0,5410705.0,152043818.0,137955.0,0.0,,152116290.0,-150650000.0,-785171.0,-164380.0,173.0,,-164553.0,3000000.0,3446710.0,150650000.0,0.0001,5000000.0,0.0,0.0,,654351.0,150650000.0,,5013000.0,,141633111.0,20000.0,100000.0,-189202.0,10.0,,-4016887.0,5013000.0,150650000.0,-8865685.0,173.0,0.0,0.0,
2021-06-30,2021-08-12,10-Q,ABG ACQUISITION CORP. I,ABGI,CIK0001833764,USD,42461.0,169350.0,5401305.0,,151905055.0,1252607.0,150652448.0,703509.0,703509.0,,0.0,184893.0,,,,5484561.0,151905055.0,211811.0,0.0,,,,,-212618.0,2275.0,,-214893.0,,,,0.0001,5000000.0,0.0,0.0,,549098.0,,,,,141420490.0,30000.0,,-401820.0,10.0,,-4229505.0,,,212620.0,,0.0,0.0,
2021-09-30,2021-11-15,10-Q,ABG ACQUISITION CORP. I,ABGI,CIK0001833764,USD,39468.0,206534.0,,,151723424.0,1068701.0,150654723.0,617654.0,617654.0,,0.0,188098.0,,,,5518752.0,151723424.0,246002.0,0.0,5000001.0,,,,-215823.0,2275.0,,-218098.0,,,,0.0001,5000000.0,0.0,0.0,0.0,451047.0,,,,501300.0,150650000.0,30000.0,,-4445755.0,10.0,,-4445328.0,,,,,0.0,0.0,
