end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AvailableForSaleDebtSecuritiesAmortizedCostBasis,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,CumulativeEarningsDeficit,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentWarrantsOrOptionsIssued1,DebtInstrumentInterestRateStatedPercentage,DeferredIncomeTaxLiabilities,DeferredRevenue,DeferredRevenueCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,Depreciation,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationDeductionsEmployeeStockOwnershipPlanDividends,EffectiveIncomeTaxRateReconciliationOtherAdjustments,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInTradingSecurities,IncrementalCommonSharesAttributableToCallOptionsAndWarrants,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToWrittenPutOptions,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,Investments,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansAndLeasesReceivableRelatedPartiesAdditions,LongTermDebt,LongTermDebtCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherGeneralExpense,PaymentsToAcquireLand,PaymentsToAcquireLandHeldForUse,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfOtherLongTermDebt,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentNet,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SellingAndMarketingExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharesOutstanding,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValuePurchaseOfAssets,TaxCreditCarryforwardValuationAllowance,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesIssuedBasic,WeightedAverageNumberOfSharesOutstandingBasic
2014-12-31,2015-03-31,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,4213.0,-2000.0,,,,7000.0,7000.0,0.0,,7000.0,7000.0,,,0.0001,50000000.0,25000000.0,25000000.0,2500.0,2500.0,,,,,,,1000.0,1000.0,,0.0,-1092.0,-3213.0,0.0,1092.0,,,4500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,9713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3213.0,,,,,,,,,,,,,,-2713.0,,,-0.34,,,,,
2015-03-31,2015-05-15,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,4213.0,,,,,10950.0,10950.0,,,8880.0,,1880.0,,0.0001,50000000.0,5000000.0,5000000.0,500.0,,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,4500.0,,0.0002,0.0,0.34,-0.34,,,,,,4950.0,4950.0,,0.0,,,,0.0,-1000.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,10950.0,8713.0,,,,,0.0,-2070.0,3950.0,3950.0,4950.0,,,,,550.0,4950.0,,,,,,0.0,,,,,,,,,1737.0,5500.0,,,,,,,,,,,,,2237.0,,,,,25000000.0,25000000.0,25000000.0,
2015-06-30,2015-08-19,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,4213.0,17054.0,,,,26527.0,26527.0,1231.0,,25296.0,,,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,,,,,,,,,0.0,1828.0,,0.0,5377.0,1828.0,,,,500.0,,0.0,,,,,,,,,427.0,427.0,,0.0,,,,,,,,,,,,0.0,,,,,,,26527.0,4713.0,,,,,,,,,427.0,,,,,3073.0,427.0,0.0,,,,,,,,,,,,,,2164.0,3500.0,,,,,,,,,,,,,21814.0,,,,,,25140577.0,,
2015-09-30,2015-11-20,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,4713.0,17054.0,,,,28027.0,28027.0,1231.0,,26796.0,,,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,,,,,,,,,0.0,2168.0,0.0,,6377.0,2168.0,,,,500.0,,0.0,,,,,,,,,1000.0,1000.0,,0.0,,,,,,,,,,,,0.0,,,,,,,28027.0,5213.0,,,,,,,,,1000.0,,,,,1000.0,1000.0,0.0,,,,,,,,,,,,,,3164.0,2000.0,,,,,,,,,,,,,22814.0,,,,,,25957599.0,,
2015-12-31,2016-03-30,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,4713.0,17054.0,,,,22438.0,22438.0,,,21190.0,21190.0,14190.0,,0.0001,50000000.0,25957500.0,25957500.0,,2596.0,,,,0.0,,,0.0,,,,825.0,,0.0,-825.0,,,500.0,500.0,0.0,,,,,,,,,788.0,788.0,,0.0,,,,500.0,-1000.0,0.0,-4000.0,,,,,0.0,,,,1248.0,,,22438.0,5213.0,,,,0.0,15150.0,0.0,-960.0,,788.0,,,,,10229.0,788.0,,,,,,19150.0,,,,,,,,,-2425.0,11017.0,,,,,,,,,,,,,17225.0,,,-0.34,,25469917.0,25591497.0,25591497.0,
2016-03-31,2016-05-16,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,4713.0,17054.0,,,,12357.0,12357.0,,,9109.0,9109.0,-12081.0,,0.0001,50000000.0,25957500.0,25957500.0,,2596.0,,,,0.0,,,0.0,,,,-4252.0,,0.0,4252.0,,,500.0,,0.0,,,,,,,,,-10081.0,-10081.0,-10081.0,0.0,,,,-2500.0,0.0,0.0,-500.0,,,,,0.0,,,,3248.0,,,12357.0,5213.0,,,,,-500.0,-2000.0,-10081.0,,-10081.0,,,,,10081.0,,,,2000.0,,,0.0,,,,,,,,,-12506.0,0.0,,,,,,,,,,,,,7144.0,,,-0.34,,25957500.0,25957500.0,25957500.0,
2016-06-30,2016-08-15,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,2213.0,17054.0,,,,4197.0,4197.0,,,879.0,879.0,,,0.0001,50000000.0,25957500.0,25957500.0,,2596.0,,,,,,,0.0,,,,-5182.0,,0.0,5182.0,,,0.0,,0.0,,,,,,,,,-5160.0,-5160.0,-5160.0,0.0,,,,,,,,,,,,0.0,,,,3318.0,,,4197.0,2213.0,,,,,,,,,-5160.0,,,,,5499.0,,,,,,,,,,,,,,,,-17666.0,339.0,,,,,,,,,,,,,1984.0,,,-0.34,,,25957500.0,,
2016-09-30,2016-11-14,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,2213.0,17054.0,,,,3359.0,3359.0,,,41.0,41.0,,,0.0001,50000000.0,25957500.0,25957500.0,,2596.0,,,,,,,0.0,,,,-6478.0,,0.0,6478.0,,,550.0,550.0,0.0,,,,,,,,,-1388.0,-1388.0,-1388.0,0.0,,,,,,,,,,,,0.0,,,,3318.0,,,3359.0,2763.0,,,,0.0,,,,,-1388.0,,,,,1388.0,,,,,,,,,,,,,,,,-19054.0,0.0,,,,,,,,,,,,,596.0,,,-0.34,,,25957500.0,,
2016-12-31,2017-03-01,10-K,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,500.0,11500.0,17054.0,,,,3571.0,3571.0,,,44.0,44.0,-21146.0,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,2596.0,,,,0.0,,,0.0,0.0,9547.0,,0.0,28079.0,9547.0,-9547.0,,500.0,500.0,500.0,0.001,0.0,0.34,0.34,,,,,,,-25654.0,-25654.0,0.0,,,,6787.0,0.0,0.0,0.0,,,,,0.0,,,,3527.0,,,3571.0,12000.0,,,,,0.0,-2279.0,-18867.0,,-25654.0,,,,,27583.0,-25654.0,,,,2279.0,,0.0,,,0.0,,,,,0.0,-28079.0,1929.0,,,,,,,,,,,,,17225.0,,,-0.34,0.0,25957500.0,25591497.0,25957500.0,25957500.0
2017-03-31,2017-05-15,10-Q,Tribal Rides International Corp.,XNDA,CIK0001624985,USD,,,10000.0,25483.0,,,,1017.0,1017.0,,,1017.0,,973.0,,0.0001,50000000.0,25957500.0,25957500.0,2596.0,,,,,,,,,,,,,,,,,,1017.0,1017.0,0.0,,,,,,,,,,,-10000.0,0.0,0.0,,,10000.0,,,,,,,,,,0.0,,,,,1017.0,11017.0,,,,,973.0,0.0,0.0,,-10000.0,,,,,10000.0,-10000.0,,,,0.0,,,,,1017.0,-44.0,,,,44.0,-38079.0,0.0,,,,,,,,,,,,,-10000.0,,,,,,25957500.0,,
