end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountIssued1,ConvertibleNotesPayable,ConvertiblePreferredStockSharesIssuedUponConversion,CurrentIncomeTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountPremiumNet,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EquityMethodInvestmentRealizedGainLossOnDisposal,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseLeases,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,InterestExpense,InterestPaid,InterestPaidNet,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,MarketableSecurities,MarketableSecuritiesCurrent,MarketableSecuritiesUnrealizedGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NondebtorReorganizationItemsNetGainLossOnSettlementOfOtherClaims1,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireMarketableSecurities,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,PrepaidExpenseCurrentAndNoncurrent,PrepaidExpenseNoncurrent,PrepaidExpenseOtherNoncurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfFinancialServicesObligations,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalAndContractServicesExpense,ProfitLoss,RealEstateOwnedAmountOfLossAtAcquisition1,RepaymentOfNotesReceivableFromRelatedParties,RetainedEarningsAccumulatedDeficit,Revenues,SaleLeasebackTransactionHistoricalCost,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,SharePrice,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,UnrealizedGainLossOnInvestments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2014-08-31,2014-10-01,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,,,,,16180.0,,,,11184.0,11184.0,,11184.0,,,,,,75000000.0,5520000.0,5520000.0,5520.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,1947.0,,,,,,,,,,,,,,,,,,,,,,1178.0,11184.0,1178.0,1178.0,,,,,,-1947.0,,1947.0,-1947.0,,,,,,,,,,,,,,,,,,,,,,,,,-11694.0,0.0,,1947.0,,,,,10006.0,,,,,,,,,,5520000.0,,5520000.0,
2014-11-30,2015-04-27,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,,,,,15680.0,15680.0,,0.0,,25.0,25.0,25.0,25.0,-21675.0,-21675.0,,,0.001,75000000.0,5520000.0,5520000.0,5520.0,,,,0.0,,,,,,,,,,32653.0,11478.0,,0.0,,,,,31975.0,,,,,12032.0,-10872.0,,-1161.0,,,,,,,,,,,,,,11478.0,25.0,11478.0,11478.0,,,,10300.0,-31975.0,-31975.0,,31975.0,-31975.0,9700.0,,,,,,0.0001,50000000.0,,,,,,0.0,,0.0,,,10300.0,10300.0,,-31975.0,,0.0,-32653.0,0.0,,31975.0,0.0,,,-11453.0,-11453.0,,,,,,,,,,5520000.0,,5520000.0,
2015-02-28,2015-06-03,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,,,,,15680.0,,,,442.0,442.0,,442.0,417.0,417.0,,,,75000000.0,5520000.0,5520000.0,5520.0,,,,0.0,,,,,,,,,,,,,0.0,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,12078.0,442.0,12078.0,12078.0,,,,600.0,-183.0,-183.0,,183.0,-183.0,,,,,,,,,,,,,,0.0,,0.0,,600.0,,600.0,,-183.0,,0.0,-32836.0,0.0,,183.0,,,,,-11636.0,,,,,,,,,,5520000.0,,5520000.0,
2015-05-31,2015-07-15,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,,,,,15680.0,,,,911.0,911.0,,911.0,,,,,,75000000.0,5520000.0,5520000.0,5520.0,,,,,,,,,,,,,,,,,0.0,,,,,5581.0,,,,,,,,,,,,,,,,,,,,,,18128.0,911.0,18128.0,18128.0,,,,,,-5581.0,,5581.0,-5581.0,,,,,,,,,,,,,,,,,,,,,,,,,-38417.0,,,5581.0,,,,,-17217.0,,,,,,,,,,5520000.0,,,
2015-08-31,2015-10-15,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,,,,15680.0,,,,,410.0,410.0,410.0,410.0,,,,,0.001,75000000.0,5520000.0,5520000.0,5520.0,,,,,,,,,,,,,,38918.0,18128.0,,0.0,,,,,501.0,,,,,,,,,,,,,,,,,,,,,,18128.0,410.0,18128.0,,,,,,,-501.0,,501.0,-501.0,40418.0,,,,,,0.0001,50000000.0,,,,,,,,,,,,,,,,,,,,,,,,-17718.0,,,,,,,,,,,5520000.0,,,
2015-11-30,2016-02-25,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,,5832.0,200.0,3504.0,515065.0,,28063.0,0.0,,243.0,243.0,243.0,243.0,,218.0,-44430.0,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,2368.0,,,28063.0,-2368.0,,-25695.0,2368.0,9672.0,,9672.0,9672.0,,,,-0.09,,,,,30200.0,,,,,9672.0,-171511.0,162772.0,-933.0,5832.0,,,3504.0,6650.0,,3504.0,,,203.0,,,,11704.0,243.0,11704.0,,,,,16585.0,-16367.0,-504443.0,,30200.0,-30200.0,25700.0,,,-474243.0,,,,,,,,,,,,,9935.0,6650.0,6650.0,,,-504443.0,471672.0,,-537096.0,,,,4700.0,,,-11461.0,,,,,,4700.0,,,,,5810548.0,,,
2016-02-29,2016-04-06,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,200.0,,1207.0,534966.0,,,,,161.0,161.0,161.0,161.0,,-82.0,,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,15265.0,,,47964.0,-12897.0,,-32699.0,15265.0,,,,,,,,0.0,,,,,11051.0,,,,,,,,,-5632.0,,,-2297.0,6650.0,,-2297.0,,,1003.0,,,,16672.0,161.0,16672.0,,,,,19901.0,-19983.0,-24951.0,,11051.0,-11051.0,,,,-13900.0,,,,,,,,,,,,,,,19901.0,,,,,,-562047.0,,,,,,,-16511.0,,,,,,,,,,,10570000.0,,,
2016-05-31,2016-06-16,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,200.0,200.0,2773.0,541253.0,,,,,334.0,334.0,334.0,334.0,,,,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,29386.0,,,54251.0,-14121.0,,-24865.0,29386.0,,,,,,,,0.0,,,,,6313.0,,,,,,,,,,,,,,,,,,1567.0,,,,32559.0,334.0,32559.0,,,,,,,-22001.0,,6313.0,-6313.0,,,,-15688.0,,,,,,,,,,,,,,,,,,,,,-584048.0,,,,,,,-32225.0,,,,,,,,,,,10570000.0,,,
2016-08-31,2016-10-12,10-Q,KANGE CORP.,KGNR,CIK0001593773,USD,,200.0,6250.0,4401.0,541253.0,,,,,245.0,245.0,,245.0,,,,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,44734.0,,,54251.0,-15348.0,,-9517.0,44734.0,,,,,,6250.0,,0.0,,,,,6140.0,,,,,,,,,,,,,,,,,,1628.0,,,,55585.0,245.0,55585.0,,,,,,,-23116.0,,6140.0,-6140.0,,,,-16976.0,,,,,,,,,,,,,,,,,,,,,-607163.0,,,,,,,-55340.0,,,,,,,,,,,10570000.0,,,
2016-11-30,2017-03-03,10-K,KANGE CORP.,KGNR,CIK0001593773,USD,,200.0,,6029.0,541253.0,,26188.0,,,155.0,155.0,,155.0,,-88.0,,,0.001,75000000.0,10570000.0,10570000.0,10570.0,,52081.0,,,54251.0,-49713.0,,-2170.0,52081.0,23432.0,,,23432.0,,10250.0,,-0.01,,1.0,,,27593.0,-83132.0,,,,17458.0,-17458.0,,,-5632.0,,,,,,2525.0,,2851185.0,5826.0,,,,68560.0,155.0,68560.0,,,,,36438.0,-36526.0,-83132.0,,27593.0,-27593.0,108832.0,,,-55539.0,,,,,,,,,,,,,,10250.0,26188.0,,,-83132.0,,,-620228.0,,,,,,,-68405.0,,,,,,,,,,,10570000.0,,,
