end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConvertiblePreferredStockSharesIssuedUponConversion,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInPrepaidExpense,InterestPaid,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesAssumed1,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherIncome,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValueOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentOther,RelatedPartyDebtNoncurrent,Revenues,SalesRevenueNet,ShareBasedCompensation,SharesOutstanding,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio,StockIssued,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TreasuryStockSharesRetired,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2008-12-31,2009-03-30,10-K,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21547.0,,,,,,,,,,,,,,,,-21547.0,,,,,,49333334.0,-16936.0,,,,,,,,,,
2009-12-31,2010-03-26,10-K,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22896.0,,,,,,,,,,,,,,,,-22896.0,,,,,,49333334.0,-39832.0,,,,,,,,,,
2010-06-30,2010-08-02,10-Q,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,3045.0,-3045.0,-3045.0,,,,,,,,,,,,,,,,,-3045.0,,3045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000000.0
2010-09-30,2010-11-02,10-Q,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,15572.0,-15572.0,-15572.0,,,,,,,,,,,,,,,,,-15572.0,,15572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49333334.0
2010-12-31,2011-02-09,10-K,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,11750.0,11750.0,11750.0,,143166.0,,,,0.0,,0.001,300000000.0,49333334.0,49333334.0,49334.0,,,,,,-261815.0,57565.0,,0.0,,,,,,,,29483.0,-29483.0,-29483.0,,,11750.0,,,17733.0,,,,69315.0,,,69315.0,17733.0,,-17733.0,-29483.0,,29483.0,,,,,0.001,25000000.0,0.0,,,,,,,-29483.0,,,,,,49333334.0,-69315.0,,,,,,,,,,49333334.0
2011-03-31,2011-04-27,10-Q,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,7726.0,-7726.0,-7726.0,,,-3000.0,,,10726.0,,,,,,,,10726.0,,-10726.0,-7726.0,,7726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49333334.0,
2011-06-30,2011-08-04,10-Q,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,8750.0,,,,155500.0,,,,,,0.001,70000000.0,37000000.0,37000000.0,37000.0,,,,,,-273061.0,71811.0,,0.0,,,,,,,,3520.0,-3520.0,-3520.0,,,,,,,,,,80561.0,,,80561.0,,,,-3520.0,,3520.0,,,,,0.001,5000000.0,0.0,,,,,,,,,,,,,,-81061.0,,,,,,,,,49333334.0,37000000.0
2011-09-30,2011-11-09,10-Q,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,,8250.0,,143166.0,937.0,937.0,,,,0.001,300000000.0,49333334.0,49333334.0,49334.0,,,,,,-278479.0,78666.0,,0.0,0.0,,,,,,,5418.0,-5418.0,-5418.0,,,,,,,,,,86916.0,937.0,,86916.0,,,,-5418.0,,5418.0,,,,,0.001,25000000.0,,,,937.0,,,,,,,,,,49333334.0,-85979.0,,,,,,,,,49333334.0,49333334.0
2011-12-31,2012-02-27,10-K,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,12325.0,4075.0,8250.0,-68966.0,0.0,0.0,0.0,0.0,0.0,0.001,300000000.0,261466670.0,261466670.0,49334.0,261466.0,,0.0,,,-283491.0,78666.0,78666.0,0.0,0.0,0.34,0.34,-34.0,0.34,0.0,0.0,21676.0,-21676.0,-21676.0,96385.0,0.0,575.0,,21101.0,21101.0,,0.0,,90991.0,0.0,,90991.0,21101.0,,-21101.0,-21676.0,,21676.0,283491.0,,0.0,0.0,0.001,25000000.0,0.0,0.0,0.0,0.0,0.0,,,-21676.0,,78666.0,0.0,,0.0,49333334.0,-90991.0,,,,,,,,,261466670.0,49333334.0
2012-03-31,2012-05-09,10-Q,HELMER DIRECTIONAL DRILLING CORP.,EXLA,CIK0001388174,USD,,18495.0,,,143166.0,,,,,,0.001,300000000.0,49333334.0,49333334.0,49334.0,,,,,,-290061.0,79066.0,,0.0,,,,,,,,6570.0,-6570.0,-6570.0,,,6170.0,,,400.0,,,,97561.0,0.0,,97561.0,400.0,,-400.0,-6570.0,,6570.0,,,,,0.001,25000000.0,,,,,,,,-6570.0,,,,,,49333334.0,-97561.0,,,,,,,,,49333334.0,
