end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,CapitalizedComputerSoftwareGross,CapitalizedComputerSoftwareNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CommercialPaper,CommitmentsAndContingencies,CommonStockConvertibleConversionPriceDecrease,CommonStockConvertibleConversionPriceIncrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,ConvertibleNotesPayableCurrent,ConvertiblePreferredStockSharesIssuedUponConversion,CustomerAdvancesAndDeposits,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredFinanceCostsNet,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanInterestCost,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToConversionOfPreferredStock,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesIssued1,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesReduction,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,PaymentForManagementFee,PaymentsForOtherTaxes,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,ResultsOfOperationsIncomeBeforeIncomeTaxes,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,SaleOfStockPricePerShare,SalesRevenueGoodsGross,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,SharesIssuedPricePerShare,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPurchaseOfAssets,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-09-30,2018-11-20,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,34403.0,,0.0,,491492.0,,,,,,52143.0,0.0,,1143.0,36000.0,,0.0,0.0,,,,,,,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,0.0,,,,,,,0.08,,,139000.0,,,,,104.0,,5604.0,-0.01,,3000.0,,15000.0,51000.0,0.0,,,,,,,,,582.0,,,2549.0,2549.0,0.0,183087.0,52143.0,183087.0,,,,,,,,,-22049.0,,55925.0,146135.0,,,22087.0,-22049.0,662000.0,,,,,,,0.0001,10000000.0,1945900.0,1945900.0,194.0,,,,,,,,4369.0,-22049.0,,1143.0,,,-665444.0,38.0,38.0,,,,8532.0,,,,-130944.0,,,,,,0.0,10993.0,,,,,4110514.0
2018-12-31,2019-07-23,10-K,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,36733.0,,0.0,1039.0,491492.0,,,,,,1056.0,17.0,,1039.0,0.0,,17.0,17.0,17.0,17.0,17.0,,0.0,0.0002,0.005,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,0.0,,,,,,14640.0,0.08,,,153000.0,153300.0,,,,520.0,22416.0,22416.0,-0.03,0.21,6400.0,,0.0,0.0,45500.0,0.0,,-140.0,,,-598.0,,1945600.0,7489.0,0.0,0.0,265.0,,0.0,197312.0,1056.0,36998.0,,160314.0,68119.0,,,,-68102.0,,-135280.0,,158922.0,0.0,,10992.0,90024.0,-89780.0,730000.0,0.0,0.0,,,,,0.0001,10000000.0,1937400.0,1937400.0,194.0,101.0,6000.0,,,62018.0,0.0,0.0,33035.0,-65312.0,,1039.0,,0.0,-730756.0,244.0,244.0,,,,20684.0,,,,-196256.0,,,,,,0.0,10992.0,0.0,6000.0,,,4060381.0
2019-03-31,2019-10-11,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,37933.0,,0.0,1144.0,491492.0,,,,,,941.0,6.0,,935.0,,,6.0,6.0,-11.0,-11.0,,,0.0,0.0002,0.005,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,,,,,1762.5,0.02,,,157000.0,157900.0,,,,104.0,104.0,104.0,-0.01,0.21,2000.0,,,,0.0,0.0,,6500.0,,,850.0,,484350000.0,850.0,0.0,0.0,1115.0,,,214002.0,941.0,39048.0,,174954.0,14640.0,,,,-14651.0,,-22105.0,,174954.0,,,,22105.0,-22105.0,747500.0,0.0,,,,,,0.0001,10000000.0,1937400.0,1937400.0,194.0,0.0,0.0,,,14640.0,0.0,,12640.0,-22105.0,,935.0,,,-747561.0,0.0,0.0,,,,6511.0,,,,-218361.0,,,,,,,,,,,,4145103.0
2019-06-30,2019-11-13,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,24933.0,,0.0,1247.0,491492.0,,,,,,837.0,6.0,,831.0,,,6.0,6.0,,,,,,,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,,,,,1536.0,0.02,,,157500.0,158000.0,,,,104.0,,104.0,0.0,,0.0,,,,0.0,,,,,,,,,924.0,,,2039.0,,,216695.0,837.0,26972.0,29409.0,189723.0,,,,,,,-2797.0,,189726.0,,,,2797.0,-2797.0,750000.0,,,,,,,0.0001,10000000.0,1937400.0,1937400.0,194.0,,,,,,,,1769.0,-2797.0,,831.0,,,-750358.0,0.0,0.0,,,,0.0,,,,-215858.0,,,,,,,,,,,,4145103.0
2019-09-30,2019-12-04,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,24933.0,,0.0,1352.0,491492.0,,,,,,733.0,6.0,,727.0,,,6.0,6.0,,,,,,,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,,,,,281.0,0.02,,,157900.0,158000.0,,,,104.0,,104.0,0.0,,0.0,,,,0.0,,,,,,,,,954.0,,,3995.0,,,219175.0,733.0,27926.0,42106.0,191249.0,,,,,,,-2584.0,,191249.0,,,,2584.0,-2584.0,753000.0,,,,,,,0.0001,10000000.0,1937400.0,1937400.0,194.0,,,,,,,,1256.0,-2584.0,,727.0,,,-752942.0,0.0,0.0,,,,270.0,,,,-218442.0,,,,,,,,,,,,4145103.0
2019-12-31,2020-12-03,10-K,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,35046.0,,0.0,1456.0,491492.0,,,,,,629.0,6.0,,623.0,,,6.0,,-11.0,-11.0,,,0.0,0.0002,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,44865.0,,,,5135.0,0.02,,,,163000.0,,,0.0,520.0,416.0,416.0,-0.01,0.21,2000.0,,,,0.0,0.0,,-1687.0,,3730.0,3730.0,,1937400.0,3730.0,,0.0,3995.0,,,241461.0,629.0,39041.0,,202420.0,42106.0,,,,-42117.0,,-44576.0,,,,,,44576.0,-44576.0,775000.0,,0.0,,,,,0.0001,10000000.0,1937400.0,1937400.0,194.0,0.0,0.0,,,42106.0,,,27542.0,-22390.0,,623.0,,0.0,-775332.0,0.0,0.0,,,,10888.0,,,,-240832.0,,,,,,,,,,,,4145103.0
2020-03-31,2021-01-28,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,32231.0,,0.0,1560.0,491492.0,,,,,,525.0,6.0,,519.0,,,6.0,,0.0,,,,0.0,0.0002,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,,,,,50000.0,0.02,,,,164000.0,,,,104.0,104.0,104.0,0.0,0.21,0.0,,,,0.0,0.0,,-2815.0,,1038.0,1038.0,,1937400.0,1037.0,,0.0,5033.0,,,244819.0,525.0,37264.0,,207555.0,5135.0,,,,-5135.0,,-3462.0,,,,,,3462.0,-3462.0,779000.0,,,,,,,,,,,,0.0,0.0,,,5135.0,,,0.0,-3462.0,,519.0,,,-778794.0,0.0,0.0,,,,2321.0,,,,-244294.0,,,,,,,,,,,,4145103.0
2020-06-30,2021-01-28,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,38232.0,,0.0,1664.0,491492.0,,,,,,421.0,6.0,,415.0,,,6.0,,,,,,0.0,,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,,,,,,0.02,,,,167000.0,,,,,,104.0,0.0,,0.0,,,,0.0,,,,,,,,,1073.0,,,6106.0,,,262919.0,421.0,44338.0,,218581.0,,,,,,,-18203.0,,218681.0,,,,18203.0,-18203.0,797000.0,,,,,,,,,1937400.0,1937400.0,,,,,,,,,17026.0,,,415.0,,,-796998.0,,0.0,,,,0.0,,,,-262498.0,,,,,,,,,,,,4154103.0
2020-09-30,2021-01-28,10-Q,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,38232.0,,0.0,1768.0,491492.0,,,,,,317.0,6.0,,311.0,,,6.0,,,,,,0.0,,,0.0001,,1000000000.0,4145103.0,4145103.0,,414.0,,,,,,,,,0.02,,,,168000.0,,,,,,104.0,0.0,,0.0,,,,0.0,,,,,,,,,1093.0,,,7199.0,,,264012.0,317.0,45431.0,,218581.0,,,,,,,-1197.0,,207555.0,,,,1197.0,-1197.0,798000.0,,,,,,,0.0001,10000000.0,1937400.0,1937400.0,,,,,,,,,0.0,,,311.0,,,-798195.0,0.0,0.0,,,,0.0,,,,-263695.0,,,,,,,,,,,,4154103.0
2020-12-31,2021-05-27,10-K,"APPSOFT TECHNOLOGIES, INC.",ASFT,CIK0001651992,USD,38232.0,,0.0,1872.0,491492.0,,,,,,213.0,6.0,,207.0,,6.0,6.0,,0.0,,,,0.0,0.0002,,0.0001,,1000000000.0,4154103.0,4154103.0,,414.0,,,,,,,,,0.02,,,,173000.0,,,0.0,416.0,416.0,416.0,-0.01,0.21,0.0,,,,0.0,0.0,,3186.0,,4405.0,,,1937400.0,4405.0,,,8400.0,,,287852.0,213.0,46632.0,,241220.0,38800.0,,,,-38800.0,,-46807.0,,241220.0,,,,46807.0,-46807.0,822000.0,,,,,,,,,,,194.0,,,,,38800.0,,,35636.0,,207.0,207.0,,,-822139.0,,0.0,,,,6350.0,,,,-287639.0,,,,,,,,,,,,4145103.0
