end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AdjustmentForAmortization,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,BankOverdrafts,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashProvidedByUsedInDiscontinuedOperationsFinancingActivities,CashProvidedByUsedInDiscontinuedOperationsInvestingActivities,CashProvidedByUsedInDiscontinuedOperationsOperatingActivities,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,FiniteLivedIntangibleAssetsNet,GainOrLossOnSaleOfStockInSubsidiary,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromDiscontinuedOperationsNetOfTax,IncreaseDecreaseInAccountsPayable,IndefiniteLivedLicenseAgreements,IntangibleAssetsNetExcludingGoodwill,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LoansPayableCurrent,NetCashProvidedByUsedInDiscontinuedOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwardsValuationAllowance,OtherIncome,OtherLoansPayableCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockValue,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,StockholdersEquity,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-06-30,2009-10-21,10-K,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-104186.0,,,,,,,,,,,,,,,,-165632.0,,
2010-06-30,2010-09-28,10-K,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,,,,,,,,,,497.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-104164.0,,,,,,,,,,,,,,,,-269796.0,,
2010-09-30,2010-11-12,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,,,,,,,,,,957.0,460.0,1500.0,,6481.0,,,,,,,,,,,,,,-7521.0,0.0,,,,,,,-7521.0,22177.0,,,,,,,,,,,,,,-7521.0,-29698.0,,22177.0,,,,,,,,,,,22177.0,-22177.0,,,,
2010-12-31,2011-01-31,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,,,,,,,,,,2051.0,,,,,,,,,,,,,,,,,,-2872.0,0.0,,,,,,,,,,,,,,,,,,,,,,,-7583.0,,4711.0,,,,,,,,,,,4711.0,-4711.0,,,,
2011-03-31,2011-05-12,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,,,,,,,,,,834.0,,,,,,,,,,,,,,,,,,-4171.0,0.0,,,,,,,,,,,,,,,,,,,,,,,-11947.0,,7776.0,,,,,,,,,,,7776.0,-7776.0,,,,
2011-06-30,2011-09-30,10-K,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,,15054.0,,1864.0,1864.0,1864.0,,,,1864.0,1367.0,,,,,,51268.0,0.0,,1000000000.0,469440000.0,,,4694.0,,,384081.0,-25371.0,0.0,,,,,,,,39036.0,,,,366197.0,1864.0,366197.0,366197.0,,,,,,,-55501.0,-94537.0,,69166.0,,,,,0.0,10000000.0,0.0,,,,69166.0,-69166.0,,-364333.0,,
2011-09-30,2011-11-14,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,22825.0,379411.0,0.0,5126.0,5126.0,,,5126.0,,5126.0,3262.0,660.0,,1094.0,,,1094.0,0.0,,500000000.0,469440000.0,,,4694.0,,,-415804.0,-3254.0,0.0,,,,1309.0,,,-3254.0,19595.0,,,-1094.0,36825.0,5126.0,36825.0,,14000.0,,,14000.0,-364.0,,-12128.0,-31723.0,,28469.0,,,,,0.0,10000000.0,,,14000.0,,27160.0,-28469.0,,-31699.0,,
2011-12-31,2012-02-16,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,44302.0,379411.0,,296.0,296.0,,,296.0,,296.0,,,,,,,,0.0,,500000000.0,469440000.0,,,4694.0,,,-442111.0,,0.0,,,,3025.0,,,,,,,,58302.0,296.0,58302.0,,14000.0,,,,,,,-26307.0,,26307.0,,,,,0.0,10000000.0,,,,,23282.0,-26307.0,,-58006.0,,
2012-03-31,2012-05-21,10-Q,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,56287.0,379411.0,,338.0,338.0,,,338.0,,338.0,,,,,,,,0.0,,500000000.0,469440000.0,,,4694.0,,,-456054.0,,0.0,,,,160.0,,,,,,,,72287.0,338.0,72287.0,,16000.0,,,,,,,-13943.0,,13943.0,,,,,0.0,10000000.0,,,,,13783.0,-13943.0,,-71949.0,,
2012-06-30,2012-10-15,10-K,ANCHORAGE INTERNATIONAL HOLDINGS CORP.,CSJT,CIK0001451797,USD,59393.0,375161.0,50.0,2855.0,637.0,2218.0,,637.0,,637.0,-1227.0,,,,660.0,,-364.0,0.0,-1824.0,2000000000.0,938880000.0,,182400000.0,9388.0,,-182485.0,467911.0,-12337.0,0.0,,2218.0,364357.0,4820.0,,,,56163.0,2268.0,2218.0,-1094.0,84393.0,2855.0,84393.0,,25000.0,1094.0,,25000.0,-364.0,,-27617.0,-83830.0,,71493.0,,182485.0,,,0.0,10000000.0,0.0,,25000.0,,66673.0,-71493.0,,-81538.0,32694.0,
