end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedFeesAndOtherRevenueReceivable,AccruedRentCurrent,AccumulatedCapitalizedInterestCosts,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdvanceRent,AdvancesToAffiliate,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableCurrent,AllowanceForNotesAndLoansReceivableCurrent,Assets,AssetsCurrent,AssetsNoncurrent,AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment,BenefitsLossesAndExpenses,CapitalLeasesContingentRentalPaymentsDue,CarryingValueOfSecuritiesSoldUnderRepurchaseAgreementsAndDepositsReceivedForSecuritiesLoaned,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsAndShortTermInvestments,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockDividendsPerShareCashPaid,CommonStockOtherSharesOutstanding,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,CostOfGoodsAndServicesSold,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,CustomerAdvancesAndDepositsCurrent,CustomerAdvancesCurrent,CustomerDepositsCurrent,DeferredIncomeTaxExpenseBenefit,DeferredRevenueAndCreditsCurrent,DeferredRevenueCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsNetNoncurrent,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceNoncurrent,DeferredTaxLiabilitiesCurrent,DeferredTaxLiabilitiesTaxDeferredIncome,Depreciation,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,EmployeeRelatedLiabilitiesCurrent,ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,ExcessTaxBenefitFromShareBasedCompensationOperatingActivities,FairValueInvestmentsEntitiesThatCalculateNetAssetValuePerShareUnfundedCommittments,FairValueOptionAggregateDifferencesLoansAndLongTermReceivables,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInCustomerDeposits,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDeposits,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,IncreaseDecreaseInNotesReceivableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestIncomeShortTermInvestmentIncreaseDecrease,InterestPaid,InvestmentRelatedLiabilities,Investments,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilityForUncertainTaxPositionsCurrent,LoansAndLeasesReceivableAllowanceCovered,LoansAndLeasesReceivableLoansInProcess,LoansAndLeasesReceivableRelatedParties,LoansPayableCurrent,LongTermInvestments,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToLimitedPartners,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseLiabilityCurrent,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherLiabilitiesCurrent,OtherNoncashIncomeExpense,PaymentsForCapitalImprovements,PaymentsForProceedsFromInvestments,PaymentsForProceedsFromProductiveAssets,PaymentsForRepurchaseOfEquity,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireFederalHomeLoanBankStock,PaymentsToAcquireInvestments,PaymentsToAcquireLoansReceivable,PaymentsToAcquireOtherProductiveAssets,PrepaidExpenseAndOtherAssets,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,PrepaidRent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromRelatedPartyDebt,ProceedsFromStockPlans,ProfessionalAndContractServicesExpense,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentNetExcludingCapitalLeasedAssets,ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock,RecognitionOfDeferredRevenue,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,RevenuesExcludingInterestAndDividends,RevenuesNetOfInterestExpense,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesEmployeeStockOwnershipPlan,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueAcquisitions,TreasuryStockCommonValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowanceForImpairmentOfRecognizedServicingAssetsBalance,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2018-07-31,2018-09-04,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,,,,,,,,,,,,2069.0,1298.0,3367.0,,,,,1073.0,1073.0,,,,,,,75000000.0,2800.0,2800000.0,,0.001,,,,,0.0,,,,,,0.0,,,7083.0,,289.0,,,0.0,,,,,,,-5089.0,3850.0,-1239.0,,-1239.0,0.0,,,,,,,,,,,,,,3367.0,,7650.0,7939.0,,,,,7650.0,,,,,,,,,,-5089.0,,,,,,289.0,,,,,,,,,,,,,225.0,,,,,,,,,-1239.0,2069.0,,,,,-7372.0,,3850.0,,,,-4283.0,,,,,,,,,,,,2800000.0,
2018-10-31,2018-11-23,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,450.0,0.0,,,0.0,,,,2344.0,,,632.0,106.0,738.0,,,,,106.0,106.0,,,,,,,75000000.0,2800.0,2800000.0,,0.001,,,,,0.0,,,0.0,,,0.0,0.0,,2344.0,,,11650.0,,0.0,,8650.0,,,,,-4079.0,0.0,-4079.0,,,,,,,,,,,,,,,,,738.0,,9100.0,9100.0,,8650.0,,,,,,,,,-4079.0,,,,-4079.0,-4079.0,11162.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,-4079.0,632.0,,,,,-11162.0,,0.0,,,,-8362.0,,,,,,,,,,,,2800000.0,
2019-01-31,2019-04-18,10-K,Minaro Corp.,MNAO,CIK0001710495,USD,1125.0,0.0,,,570.0,570.0,,,,,,696.0,696.0,0.0,-920.0,,,,696.0,696.0,696.0,,30.0,,,,75000000.0,2830.0,2830000.0,,0.001,,0.0,,,0.0,,,0.0,,,0.0,,,2621.0,,0.0,,4635.0,0.0,70.0,8650.0,,,,,-17770.0,13750.0,,,-4020.0,,0.0,1125.0,,,-2800.0,0.0,,,450.0,,0.0,,,696.0,-9079.0,9775.0,9775.0,41.0,8650.0,,,8650.0,0.0,,1600.0,-920.0,-610.0,-4020.0,-4020.0,,-4020.0,-17770.0,,12479.0,,-2621.0,,0.0,,,0.0,,,70.0,30.0,,1000.0,,,,0.0,,570.0,,,,,,,-4020.0,0.0,,-9079.0,,,-12479.0,,13750.0,,,,-9079.0,,,,,600.0,,,,,,2621.0,2802980.0,
2019-04-30,2019-06-04,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,225.0,0.0,,,570.0,,,,,,,,357.0,357.0,,,,,357.0,357.0,,,,,,,75000000.0,2830.0,2830000.0,,0.001,,,,,0.0,,,0.0,0.0,,,0.0,,3184.0,,,,0.0,0.0,-339.0,12650.0,-688.0,0.0,,,-8439.0,5000.0,-3439.0,,,,0.0,,-900.0,0.0,,,,,0.0,,0.0,,,357.0,,12875.0,12875.0,,12650.0,,,,,,4000.0,,-4339.0,-3439.0,,,-3439.0,-8439.0,-3439.0,15918.0,,,,,,,,,,-339.0,,,4000.0,,,,,,,,,,,,,-3439.0,,,-12518.0,0.0,,-15918.0,,5000.0,,,,-12518.0,,,,,,,,,688.0,3184.0,,2830000.0,
2019-07-31,2019-09-09,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,0.0,0.0,,,570.0,,,,,,,690.0,690.0,,,,,,240.0,240.0,,,,,,,75000000.0,2830.0,2830000.0,,0.001,,,,,0.0,,,0.0,,,,0.0,,3656.0,,,,,0.0,,14700.0,,,,,-2942.0,1450.0,-1492.0,,,,,,,,,,,,,,,,,-14010.0,690.0,14700.0,14700.0,,14700.0,,,,,,,,,-1492.0,,,,-2942.0,-1492.0,17410.0,,,,,,,,,,,,,,,,450.0,450.0,,,,,,,,,-1492.0,,,,,,-17410.0,,1450.0,,,,-12975.0,,,,,,,,,,,3656.0,2830000.0,
2019-10-31,2019-12-16,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,0.0,0.0,,13580.0,570.0,,,,,,,3550.0,25303.0,28853.0,,,,,8519.0,8519.0,,,,,,,75000000.0,2830.0,2830000.0,,0.001,,,,,2911.0,,,0.0,,,,0.0,,1139.0,,1876.0,,,0.0,,16900.0,,,12100.0,,-7832.0,21695.0,13863.0,,,,,,,,,,,,,,,,,-2023.0,28853.0,29000.0,30876.0,,,,,,12100.0,,,,,10952.0,10952.0,,,-7832.0,10952.0,5423.0,,,,1876.0,,,,,,,,,,,3204.0,,16784.0,,,,,,,,,13863.0,3550.0,,,,,-5423.0,,29470.0,,,,-2023.0,,,,,,,,,,,,2830000.0,
2020-01-31,2020-06-05,10-K,Minaro Corp.,MNAO,CIK0001710495,USD,0.0,,,,2815.0,,2403.0,16900.0,,,3109.0,27489.0,16494.0,10995.0,-13159.0,,,,,511.0,,,,,,,75000000.0,2950.0,2950000.0,,0.001,,7775.0,,,0.0,7530.0,,7530.0,,,,0.0,,3109.0,,,,2164.0,0.0,-185.0,16900.0,-489.0,,,12100.0,-37282.0,34955.0,,,-2327.0,,0.0,-1125.0,,,0.0,7530.0,,,-15983.0,,0.0,,,27489.0,-9041.0,36530.0,36530.0,,16900.0,,,16900.0,-12100.0,,22715.0,-13159.0,-9741.0,-2327.0,-2327.0,,,-37282.0,-2327.0,14806.0,,-3109.0,-3109.0,,-185.0,2245.0,12100.0,,120.0,,120.0,12100.0,8250.0,-13159.0,,,15983.0,,2245.0,,,,,,10500.0,-2327.0,10995.0,,,,,-14806.0,,42730.0,42730.0,,,-9041.0,,,,,,2365.0,,,489.0,,,2841890.0,
2020-04-30,2020-06-18,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,,,,,2815.0,,,,,5206.0,5206.0,23805.0,15612.0,8193.0,,,267.0,,430.0,430.0,,-81.0,,,,,75000000.0,2950.0,2950000.0,,0.001,2950000.0,,,-2097.0,0.0,,0.0,0.0,,,,,,,,,,2802.0,0.0,-81.0,30730.0,-2097.0,0.0,,,9984.0,0.0,-9984.0,,,,0.0,,0.0,-7530.0,,,-9984.0,,801.0,,0.0,12100.0,,23805.0,-19025.0,42830.0,42830.0,,,,,,-12100.0,,13830.0,,-13911.0,-9984.0,,,,-9984.0,-9984.0,,,,-5206.0,,,,,,,,,,13830.0,,,,15182.0,1602.0,,,,13830.0,,,,-9984.0,8193.0,,,,,-24790.0,,0.0,,,,-19025.0,-19025.0,,,,,,,,2097.0,,,2950000.0,2950000.0
2020-07-31,2020-09-02,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,,,,,2815.0,,,,,,6973.0,17747.0,1040.0,16707.0,,,267.0,,239.0,239.0,,,,,,,75000000.0,2950.0,2950000.0,,0.001,2950000.0,,,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,,33085.0,,,,,8413.0,0.0,8413.0,,,,,,,,,,,,,,,12100.0,,17747.0,-27438.0,45185.0,45185.0,,,,,,-12100.0,,,,,,,-8413.0,,8413.0,-8413.0,,,33203.0,-6973.0,,,,,,,,,,,,,,801.0,801.0,,,,,,,,-8413.0,16707.0,,-27438.0,,,-33203.0,,0.0,,,,-27438.0,,,,,,,,,,,6973.0,2950000.0,2950000.0
2020-10-31,2020-12-21,10-Q,Minaro Corp.,MNAO,CIK0001710495,USD,,,,,2815.0,,,,,,5900.0,25906.0,7707.0,18199.0,,,267.0,,2422.0,2422.0,,,,,,-22329.0,75000000.0,2950.0,2950000.0,,0.001,2950000.0,,5585.0,,0.0,,0.0,0.0,,,,,0.0,,,,,,0.0,,36135.0,,,,,13556.0,18665.0,-5109.0,,,,,,,,,,,,,,,12100.0,,25906.0,-22329.0,48235.0,48235.0,,,,,,-12100.0,,,,,5109.0,5109.0,,,13556.0,5109.0,,,28094.0,-5900.0,,,,,,,,,,,,5285.0,,5285.0,,,,,,,,,5109.0,18199.0,,,,,-28094.0,,24250.0,,,,-22329.0,,,,,,,,,,,,2950000.0,2950000.0
