end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdministrativeFeesExpense,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,BusinessAcquisitionPercentageOfVotingInterestsAcquired,BusinessCombinationConsiderationTransferredOther1,BusinessCombinationStepAcquisitionEquityInterestInAcquireePercentage,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashFDICInsuredAmount,CommonStockValue,ConversionOfStockAmountConverted1,DebtInstrumentFaceAmount,DeferredOfferingCosts,DeferredRevenueNoncurrent,DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,DueFromRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InterestIncomeOther,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseOfferingCost,NonoperatingIncomeExpense,OperatingCostsAndExpenses,OperatingIncomeLoss,PaymentsForUnderwritingExpense,PaymentsOfFinancingCosts,PaymentsToAcquireOtherInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProfitLoss,RepaymentsOfRelatedPartyDebt,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SharePrice,StockholdersEquity,StockIssuedDuringPeriodSharesShareBasedCompensationForfeited,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquityCarryingAmountAttributableToParent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DeferredPolicyAcquisitionCostsAndPresentValueOfFutureInsuranceProfitsUnrealizedGainLossOnInvestment,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,OtherExpenses,OtherNotesPayableCurrent,ProceedsFromIssuanceInitialPublicOffering,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,StockRedeemedOrCalledDuringPeriodValue,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityAccretionToRedemptionValueAdjustment,TemporaryEquityRedemptionPricePerShare,OfferingCostsPartnershipInterests
2021-03-31,2021-06-14,10-Q,ION ACQUISITION CORP 3 LTD.,IACC,CIK0001844579,USD,,,24367.0,10000.0,137363.0,,,14457724.0,0.5,5000001.0,1.0,,,250000.0,,1500000.0,,137363.0,,0.0,,,0.0,,,,,,137363.0,117363.0,,,,-5000.0,117363.0,,5000.0,,5060000.0,,,0.0001,5000000.0,,,,,-5000.0,,0.2,-5000.0,12000000.0,10.0,,20000.0,825000.0,25000.0,,,5500000.0,,,,,,,,,,,,
2021-06-30,2021-08-11,10-Q,ION ACQUISITION CORP 3 LTD.,IACC,CIK0001844579,USD,87869.0,,5145117.0,,255301703.0,2298092.0,253003611.0,,,,,86245.0,,250000.0,195.0,,,14457724.0,8855000.0,,1553900.0,-0.02,,,,,3611.0,9320369.0,255301703.0,465369.0,,,,-140941.0,,3611.0,144552.0,-144552.0,,,,0.0001,5000000.0,657947.0,,,,-140941.0,,0.2,-145941.0,,10.0,,-7018665.0,,,238542276.0,240981330.0,7234286.0,,,,,,,,-14457724.0,,,,
2021-09-30,2021-11-12,10-Q,ION ACQUISITION CORP 3 LTD.,IACC,CIK0001844579,USD,112398.0,,,,255066852.0,2059985.0,253006867.0,,,,,1494513.0,,250000.0,76.0,,,8855000.0,8855000.0,,,,,,,,3256.0,9296398.0,255066852.0,441398.0,,,,-210881.0,,,214137.0,-214137.0,,,,0.0001,5000000.0,565472.0,,,,-210881.0,,0.2,-7230255.0,,10.0,,-7229546.0,,,,253000000.0,,,,,,,30000.0,,,,,10.0,14457724.0
