end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedBonusesCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedRentCurrent,AccruedRentNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivableCurrent,AmortizationOfDebtDiscountPremium,AmortizationOfDeferredCharges,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionLessThanTwelveMonthsFairValue,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,AvailableForSaleSecuritiesDebtSecuritiesCurrent,BusinessAcquisitionRevenueReportedByAcquiredEntityForLastAnnualPeriod,BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationBargainPurchaseGainRecognizedAmount,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,CapitalExpendituresIncurredButNotYetPaid,CapitalLeaseObligationsIncurred,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ClassOfWarrantOrRightOutstanding,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStocksIncludingAdditionalPaidInCapital,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerAssetNet,ContractWithCustomerLiability,ConversionOfStockAmountConverted1,ConvertiblePreferredDividendsNetOfTax,CostOfGoodsAndServicesSold,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtSecuritiesAvailableForSaleAccumulatedGrossUnrealizedGainLossBeforeTax,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12Months,DebtSecuritiesAvailableForSaleContinuousUnrealizedLossPositionLessThan12MonthsAccumulatedLoss,DeferredFederalIncomeTaxExpenseBenefit,DeferredFederalStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredIncomeTaxLiabilities,DeferredIncomeTaxLiabilitiesNet,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsGoodwill,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPropertyPlantAndEquipment,Depreciation,DilutiveSecurities,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,FairValueAdjustmentOfWarrants,FairValueInputsDiscountRate,FairValueLiabilitiesLevel1ToLevel2TransfersAmount,FairValueLiabilitiesLevel2ToLevel1TransfersAmount,FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GainOnDerivativeInstrumentsPretax,GeneralAndAdministrativeExpense,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillImpairmentLoss,GoodwillPeriodIncreaseDecrease,GoodwillPurchaseAccountingAdjustments,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncomeTaxReconciliationTaxCreditsOther,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,IncreaseDecreaseInDeferredLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IndefinitelivedIntangibleAssetsAcquired,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,InterestPaidNet,InventoryAdjustments,InventoryFinishedGoods,InventoryForLongTermContractsOrPrograms,InventoryNet,InventoryRawMaterials,InventoryWorkInProcess,InvestmentIncomeInterest,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilityForUncertainTaxPositionsCurrent,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NoncurrentAssets,NotesPayableCurrent,NumberOfOperatingSegments,NumberOfOperatingSegments,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAccruedLiabilitiesCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,OtherLiabilities,OtherNonoperatingExpense,OtherNonoperatingGainsLosses,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PaymentForContingentConsiderationLiabilityFinancingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForUnderwritingExpense,PaymentsOfStockIssuanceCosts,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockAccretionOfRedemptionDiscount,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromStockOptionsExercised,ProceedsFromWarrantExercises,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentsOfNotesPayable,ResearchAndDevelopmentExpense,RestrictedCash,RestrictedCashCurrent,RestrictedCashEquivalents,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromContractWithCustomerIncludingAssessedTax,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SalesAndExciseTaxPayableCurrent,SalesRevenueNet,SellingAndMarketingExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharesIssuedPricePerShare,ShippingHandlingAndTransportationCosts,ShortTermInvestments,ShortTermLeaseCost,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedDuringPeriodValue,TemporaryEquityDividendsAdjustment,TreasuryStockCommonShares,TreasuryStockCommonValue,TreasuryStockSharesAcquired,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,GoodwillImpairmentLossNetOfTax,ImpairmentOfIntangibleAssetsExcludingGoodwill,InventoryRawMaterialsAndSupplies,InventoryValuationReserves,LesseeOperatingLeaseLiabilityPaymentsDue,PrepaidExpenseAndOtherAssetsNoncurrent,RestrictedCashAndCashEquivalents,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions
2016-06-30,2016-09-21,10-Q,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,3706589.0,4620335.0,,796500.0,,,800191.0,81332.0,505275.0,,,,,,,,,,47294.0,,91333.0,4811053.0,16004819.0,10443138.0,,,,,,,,,,,,,,,,5260098.0,,,,,0.0,4558507.0,,80000000.0,823485.0,823485.0,,1166675.0,,,,,354270.0,,5309556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118911.0,-381455.0,0.97,0.15,,,0.0006,,,,,-381455.0,,0.0,0.0,,,,,,196679.0,1701844.0,,182667.0,343000.0,343000.0,364477.0,365333.0,3497000.0,3300321.0,,,,846555.0,1249956.0,,,,,4546761.0,1308209.0,-3000.0,,,,,,,,,,,,,,,,,,,,,319903.0,47294.0,,,,,,77224.0,,,,,,,,,,10426691.0,16004819.0,7921416.0,,2000000.0,,,,,,,1311209.0,700428.0,673243.0,,1536804.0,,,3572915.0,974048.0,,,,,,2229760.0,,,513893.0,502604.0,635617.0,,311706.0,,,168283.0,,,,,,334161.0,,,,,,,,,,,485481.0,,,,,,,,,,,843121.0,,1342403.0,,,,-45736334.0,,,,,9856317.0,1383755.0,,,,,,,,,,,,1053267.0,2.02,614810.0,2.06,,1017424.0,2.02,,,,,,,,-38601110.0,,,,,,,,610781.0,,,,,,,,,,,,,,4479505.0,724979.0,,,,,,,,,
2016-09-30,2016-11-14,10-Q,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,4183395.0,5766465.0,,1142243.0,,,796033.0,81332.0,478592.0,,,62540825.0,,,,,,,,,93338.0,839077.0,28635251.0,23137186.0,,,,,,,,,,,,,,,,16826304.0,,,,,0.0,1970269.0,0.0001,200000000.0,7577525.0,7577525.0,,758.0,1183044.0,,,,186868.0,,6862992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7900.0,,121068.0,,0.21,0.16,0.006,0.34,,,,,,,,0.0,0.0,,,,,,290017.0,1598338.0,,97346.0,366333.0,367052.0,388529.0,389385.0,3497000.0,3206983.0,,,,1459993.0,1249956.0,,,,,5576287.0,1190322.0,7278.0,,,,,,,,,,,,,,,,,,,,,305315.0,41735.0,,,,,,105019.0,,,,,,,,,,10819462.0,28635251.0,8666303.0,,1666667.0,,,,,,,1183044.0,860874.0,1047742.0,,1463300.0,,,4345965.0,1230322.0,,,,,,2245654.0,,,517977.0,509198.0,645976.0,,306563.0,,,96119.0,,,,,1735.0,-40000.0,,,,,,,,,,,439398.0,,,,,,,,,,,945007.0,,1432581.0,,,,-44725794.0,,,,,12439279.0,1453391.0,,,,,,,,,,,8545416.0,1037267.0,1.54,623112.0,1.44,5714093.0,1006525.0,2.0,,,,,,,,17815789.0,,,,,,,,322170.0,,,,,,1500000.0,,,,,,,,6689332.0,4133020.0,,,,,,,,,
2016-12-31,2017-03-15,10-K,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,3949005.0,5154996.0,,1748551.0,,,1072242.0,81332.0,451909.0,1940338.0,,88582470.0,,298535.0,,0.0,,0.0,,,373350.0,2457897.0,56063503.0,50812764.0,,,,,,,,,,,,,,,,45161403.0,39825490.0,,45161000.0,,0.0,1901140.0,0.0001,200000000.0,9275062.0,9275062.0,,928.0,3733707.0,,,50432162.0,125205.0,321093.0,24156792.0,,,2015.0,2015.0,,,,,6124.0,6166.0,6166.0,6166.0,225200.0,,42.0,9247275.0,,219034.0,6786922.0,51314.0,160182.0,,,9028241.0,6166.0,6166.0,6166.0,219034.0,495347.0,-460289.0,0.79,0.52,,0.34,,,522818.0,,,-460289.0,,0.0,0.0,0.0,0.0,460289.0,0.0,0.0,387363.0,1247918.0,389385.0,,350420.0,366333.0,367052.0,388529.0,3497000.0,3109637.0,,,,4532151.0,1249956.0,,0.0,,0.0,24753478.0,3741888.0,8181.0,,-944798.0,,,1272242.0,54375.0,48385.0,11104.0,2054.0,,1075534.0,1422998.0,411255.0,,-106732.0,413051.0,27082.0,,120567.0,,286719.0,178371.0,177460.0,177460.0,,,,146815.0,,,,,,,,,,11031101.0,56063503.0,9239693.0,0.0,1333333.0,35431862.0,35431862.0,-275649.0,-275649.0,4669277.0,4669277.0,4834009.0,2196686.0,1861602.0,,1388563.0,,1.0,20170106.0,3452167.0,,,,,,2117601.0,791285.0,,265940.0,517973.0,542404.0,,,,,84060.0,,,,,7803.0,289721.0,,,,,,,,,275649.0,1356707.0,349550.0,,15000000.0,,,,,137403.0,,3733707.0,2747424.0,807086.0,1624999.0,5622132.0,,,,-43550996.0,43433867.0,,,,56059833.0,5670625.0,298535.0,0.0,0.4182,0.016,,,17469.0,2.13,359319.0,1.23,7770086.0,1040387.0,2.25,628933.0,2.05,4569243.0,1012596.0,2.24,2.36,,2.6,76.8,321093.0,,,45033000.0,,58155.0,,249215.0,10816978.0,137403.0,,1537021.0,0.0,,,,,1532000.0,53000.0,0.0,0.0,177000.0,,-2075158.0,,4667503.0,3373316.0,,,,,,,,,
2017-03-31,2017-05-12,10-Q,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,3992976.0,7512937.0,,599475.0,,,803936.0,81332.0,421170.0,,,88980356.0,,73475.0,781.0,,,,,,97346.0,6581.0,55063621.0,49799493.0,,,,,,,,,,,,,1054.0,,,41859298.0,-3302105.0,,,,,1745615.0,0.0001,200000000.0,9488057.0,9488057.0,,949.0,385090.0,,,,,,5963959.0,,,,,,,,,,,9834.0,,,,,,,,,,,,,,,,16000.0,,115447.0,,0.04,0.04,0.1084,0.34,,,471071.0,,,,,,,,,,,,484709.0,1247918.0,,292039.0,350420.0,366333.0,367052.0,388529.0,3497000.0,3012291.0,,,,1638039.0,1249956.0,,,,,5288458.0,431916.0,46826.0,,,,,,,,,,,42917.0,2357941.0,-268306.0,,-30739.0,-1149076.0,-38494.0,,75203.0,,268123.0,30764.0,32508.0,,,,,108321.0,,,,,,,,,,9248222.0,55063621.0,7811052.0,,1000000.0,,-64131.0,,-119312.0,,-3118662.0,385090.0,385090.0,385090.0,,1333333.0,,1.0,4862979.0,425479.0,,,,,,1951859.0,,,265940.0,525297.0,571700.0,,588922.0,,,189876.0,,,,,37201.0,6437.0,,,,,,,,,119312.0,,318937.0,,,,,,,323651.0,,,,812005.0,388563.0,1596799.0,,,,-43165906.0,11252417.0,,,,11252417.0,1628141.0,73475.0,,,,,,14719.0,5.8,420144.0,6.21,6470698.0,1234099.0,6.62,524065.0,2.07,4942466.0,1234099.0,6.62,2.06,,15.11,,,,,45815399.0,,211713.0,,,,323651.0,,,,,,,,1670000.0,,,,,,,842044.0,10201606.0,9359562.0,,,,,,,,,
2017-06-30,2017-08-14,10-Q,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,4153498.0,8097808.0,,1198950.0,,,1246430.0,81332.0,390432.0,2162797.0,,89269808.0,,,,,,,,,224458.0,384538.0,56132875.0,45691814.0,,,,,,,,,,,,,,,,36582992.0,,,,,,1674703.0,0.0001,200000000.0,9544250.0,9544250.0,,954.0,-70121.0,,,,,,6891619.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27497.0,,107012.0,,-0.01,-0.01,0.2981,0.34,,,2821359.0,,,,,,,,,,,,709167.0,2058585.0,,566693.0,652420.0,817222.0,1115718.0,1137195.0,7057000.0,6347833.0,,,,2637380.0,2740447.0,,,,,6121524.0,-99902.0,-29781.0,,,,,,,,,,,,,,,,,,,,,2406415.0,26713.0,,,,,,609240.0,,,,,,,,,,10098139.0,56132875.0,9013543.0,,666667.0,,,,,,,-70121.0,-70121.0,-70121.0,,1333333.0,,,6248678.0,-127154.0,,,,,,1973861.0,,,265940.0,555660.0,705606.0,,446655.0,,,195264.0,,,,,53965.0,27252.0,,,,,,,,,,,401774.0,,,,,,,,,,3320314.0,1157517.0,,1819288.0,,,,-43236026.0,13013143.0,,,,13013143.0,1792010.0,,,,,,,,,,,9747000.0,,,,,6350728.0,,,,,,,,,,46034736.0,,,,,,,,,,,,,,,,,,,,,,9520285.0,9520285.0,,,,,,,,,
2017-09-30,2017-11-14,10-Q,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,3947772.0,7708893.0,,1665411.0,,,1088385.0,81332.0,359693.0,2277155.0,-1696.0,89553782.0,,,,,,,,,74402.0,426280.0,55965681.0,45696612.0,,1696.0,,8032645.0,18463148.0,18463148.0,,,,,,,,,1309876.0,18165647.0,,,,,,1626693.0,0.0001,200000000.0,9577530.0,9525330.0,,957.0,232657.0,,,,,,6444544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,73875.0,,114358.0,,0.02,0.02,0.1526,0.34,,,2640992.0,,,,,,,,,,,,783569.0,2367917.0,,159846.0,560420.0,589667.0,617052.0,638529.0,5717000.0,4933431.0,,,,1899449.0,4080447.0,,,,,6003892.0,276559.0,42206.0,,,,,,,,,,,,,,,,,,,,,1100930.0,22762.0,,,,,,609850.0,,,,,,,,,,9883134.0,55965681.0,9116233.0,,333333.0,,,,,,,234353.0,234353.0,234353.0,,1333333.0,,,5803260.0,200632.0,,,,,,1808920.0,,,265940.0,555660.0,770606.0,,216714.0,,,186042.0,-1696.0,,,,98689.0,75927.0,,,,,,,,,,,749074.0,,,,,,,,,,3346304.0,1069149.0,,2094774.0,,,,-43001673.0,12448436.0,,,,12448436.0,1809037.0,,,,,,,,,,,3651672.0,1222089.0,6.89,518126.0,2.07,1722060.0,1222089.0,6.89,,,,,,,,46082547.0,,,,,,,,,52200.0,,,468823.0,,,,,,,,,624324.0,10169559.0,9545235.0,,,,,,,,,
2017-12-31,2018-03-15,10-K,"AIRGAIN, INC.",AIRG,CIK0001272842,USD,3969083.0,8418132.0,91000.0,2224517.0,,,1121833.0,81332.0,334860.0,2376585.0,-16907.0,89907766.0,89907766.0,736066.0,781.0,16000.0,,0.0,,,581000.0,514.0,56297908.0,46082607.0,,16907.0,16907.0,11570971.0,21287064.0,21287064.0,,,,,,,,,3040696.0,15026000.0,-30135335.0,,15025000.0,-30136000.0,,1987682.0,0.0001,200000000.0,9616992.0,9481992.0,,961.0,1124000.0,,,,,462000.0,26219000.0,21000.0,,24000.0,3000.0,,-16907.0,,,1000.0,2000.0,2000.0,,138712.0,,1000.0,6584207.0,,130741.0,4584606.0,72787.0,82085.0,,,6453466.0,7971.0,34388.0,7971.0,104324.0,436000.0,,0.18,0.16999999999999998,,0.34,,,,2453342.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,968749.0,2007583.0,676529.0,,563000.0,598420.0,627667.0,655052.0,6097000.0,5128251.0,,,,8001000.0,3700447.0,,0.0,,2450491.0,29190332.0,1167000.0,26000.0,103000.0,-2569000.0,2768000.0,,397000.0,75000.0,-646000.0,16000.0,4000.0,112262.0,-102000.0,2679000.0,50000.0,,-117000.0,476000.0,162000.0,,526000.0,,1052333.0,99000.0,98711.0,99000.0,,,,741557.0,,,,,,,,,,10072929.0,56297908.0,9730098.0,0.0,,-2057000.0,-2056400.0,-27824000.0,-27824279.0,-255000.0,-254656.0,1732933.0,1141255.0,1141255.0,,1333333.0,,1.0,27751089.0,969000.0,,,,,,2463583.0,978873.0,22527.0,134529.0,502461.0,825193.0,,,,,349743.0,-17000.0,,,,297000.0,198000.0,,1257000.0,,,21962486.0,21962000.0,6349000.0,,263000.0,,609786.0,1000.0,588000.0,,,750000.0,,588482.0,,1141000.0,3413445.0,1036860.0,1389000.0,7319000.0,,,,-42409741.0,62328175.0,,,,62328346.0,7013000.0,736000.0,0.0,0.3937,0.019,,,23449.0,8.22,471144.0,6.02,3600000.0,1203627.0,7.06,523566.0,2.21,1500000.0,1203627.0,7.06,2.07,,14.72,76.8,462297.0,,,46225000.0,,284455.0,,,,588482.0,1257100.0,,135000.0,,,1257100.0,1257100.0,710000.0,1001000.0,785.0,1000.0,179000.0,,-2574764.0,,10361000.0,9485000.0,,,,,,,,,
