end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AmortizationOfFinancingCosts,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CertificatesOfDepositAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostsAndExpenses,DebtConversionConvertedInstrumentSharesIssued1,DebtIssuanceCostsLineOfCreditArrangementsNet,DeferredCompensationArrangementWithIndividualSharesIssued,DeferredFinanceCostsCurrentNet,DeferredIncomeTaxLiabilities,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesPrepaidExpenses,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,DisposalGroupIncludingDiscontinuedOperationCash,DueFromRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EmployeeRelatedLiabilitiesCurrent,ExplorationExpense,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnInvestments,GeneralAndAdministrativeExpense,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,IncomeLossFromEquityMethodInvestments,IncomeLossFromEquityMethodInvestmentsNetOfDividendsOrDistributions,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationForeignIncomeTaxRateDifferential,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInMaterialsAndSupplies,IncreaseDecreaseInOtherCurrentAssets,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,InterestExpenseDebt,InterestExpenseDebtExcludingAmortization,InterestPaidNet,InventoryNoncurrent,InventoryRawMaterialsAndSupplies,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,LineOfCreditFacilityMaximumBorrowingCapacity,LongTermLineOfCredit,MineReclamationAndClosingLiabilityNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherNoncashIncomeExpense,OtherNonoperatingIncomeExpense,PaymentsOfFinancingCosts,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLongTermLinesOfCredit,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfTreasuryStock,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RestrictedCashAndCashEquivalentsAtCarryingValue,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,SharesIssuedPricePerShare,ShortTermBorrowings,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueStockOptionsExercised,TreasuryStockShares,TreasuryStockValue,ValueAddedTaxReceivableCurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2020-09-30,2020-12-09,10-Q,"GATOS SILVER, INC.",GATO,CIK0001517006,USD,4774000.0,183000.0,2542000.0,23605000.0,379204000.0,7000.0,,1105000.0,,764000.0,1521000.0,27000.0,112933000.0,8992000.0,,3627000.0,3627000.0,,,,,275000.0,0.001,100000000.0,80646832.0,80000.0,-1185000.0,2106000.0,,,,3381000.0,,,,,,,,619000.0,762000.0,-0.03,0.01,-0.03,1482000.0,134000.0,2000.0,-908000.0,1965000.0,,433000.0,,,0.01,0.01,-1618000.0,,-0.04,-0.04,3447000.0,,,,,,,,,,,,,,,,,147000.0,,250000.0,106000.0,105159000.0,142819000.0,,,,,,1521000.0,,,,-1185000.0,15000000.0,,1116000.0,,,,-908000.0,,,,,,,367000.0,,,,,,,52023000.0,28418000.0,507000.0,467000.0,-256733000.0,,,,,567000.0,121524000.0,121524000.0,,,,,,,289177.0,1027000.0,266000.0,40506144.0,81012253.0,40506144.0
2020-12-31,2021-03-29,10-K,"GATOS SILVER, INC.",GATO,CIK0001517006,USD,4024000.0,560000.0,1240000.0,948000.0,409728000.0,30000.0,41000.0,4563000.0,4368000.0,4843000.0,,,265410000.0,155752000.0,,150146000.0,150146000.0,141947000.0,807000.0,18000.0,-3453000.0,,0.001,700000000.0,59183076.0,108000.0,-40441000.0,8580000.0,,,,,1200000.0,1200000.0,14091000.0,56320000.0,908000.0,276000.0,,886000.0,1727000.0,,0.93,,1964000.0,785000.0,,,7765000.0,0.0,-35027000.0,-35027000.0,0.8,,,-5414000.0,0.13,,,-17585000.0,-17585000.0,0.0,-8707000.0,2991000.0,49000.0,7356000.0,-773000.0,-307000.0,1577000.0,2027000.0,4752000.0,,,3479000.0,,,4047000.0,,,,109597000.0,265410000.0,4024000.0,,,,,,172464000.0,-12129000.0,-18388000.0,-40441000.0,,260000.0,3879000.0,61000.0,,-329000.0,28000.0,4039000.0,12298000.0,,0.001,50000000.0,0.0,3560000.0,160436000.0,,260000.0,15000000.0,,-40441000.0,,61000.0,,,-147423000.0,4368000.0,9400000.0,,,,261386000.0,261386000.0,,,18984000.0,61000.0,155637000.0,,144589.0,1027000.0,318000.0,,43655601.0,
2021-03-31,2021-05-07,10-Q,"GATOS SILVER, INC.",GATO,CIK0001517006,USD,3539000.0,324000.0,2385000.0,,412103000.0,7000.0,-262000.0,1078000.0,,506000.0,,,265680000.0,39566000.0,,31031000.0,31031000.0,-119115000.0,,,,,0.001,700000000.0,59409052.0,108000.0,,3834000.0,,,,,,,,,,,,,5235000.0,,0.03,,570000.0,224000.0,,19000.0,3603000.0,,-1620000.0,,0.03,,,,,,,2701000.0,2701000.0,,,,,,,,,-485000.0,3508000.0,,,-579000.0,,,,,,,226060000.0,265680000.0,,,,,,,1297000.0,-113823000.0,-6589000.0,-1620000.0,,260000.0,3300000.0,54000.0,,,19000.0,262000.0,113823000.0,,0.001,50000000.0,,,1559000.0,,,,,-1620000.0,,,,,-149043000.0,1139000.0,,,,,262141000.0,,,,,,1559000.0,1559000.0,144589.0,1027000.0,,,59473566.0,
2021-06-30,2021-08-09,10-Q,"GATOS SILVER, INC.",GATO,CIK0001517006,USD,3781000.0,369000.0,2059000.0,,417248000.0,7000.0,-7000.0,2490000.0,,,,,284558000.0,37184000.0,,29607000.0,29607000.0,,,,,,0.001,700000000.0,59774201.0,108000.0,,5112000.0,,,,285000.0,,,,,,,,,5102000.0,0.23,,0.22,1093000.0,694000.0,,-312000.0,4411000.0,,13491000.0,,,0.23,0.22,,,,,18291000.0,,,,,,,,,,,,,,,876448.0,,,,,,247326000.0,284558000.0,,,,,,,,,,13491000.0,,260000.0,2190000.0,48000.0,,,312000.0,,,,0.001,50000000.0,,,,,,,,,,,,,-135552000.0,,,,,,280777000.0,,,,,,2662000.0,,144589.0,1027000.0,,60623496.0,,59747048.0
2021-09-30,2021-11-08,10-Q,"GATOS SILVER, INC.",GATO,CIK0001517006,USD,4043000.0,263000.0,955000.0,,542193000.0,31000.0,,2167000.0,,25000.0,,,408385000.0,14736000.0,,12398000.0,12398000.0,,,,,,0.001,700000000.0,69134494.0,117000.0,,6504000.0,,417000.0,,,,,,,,,,,1280000.0,-0.22,,-0.22,2565000.0,479000.0,,-95000.0,5994000.0,,-14999000.0,,,-0.22,-0.22,,,,,1600000.0,,,,,,,,,,,,,,,,82000.0,,,,,393608000.0,408385000.0,,,,,12583000.0,,,,,-14999000.0,,260000.0,1058000.0,41000.0,,,-95000.0,,,,0.001,50000000.0,,,,,,,,,,,,,-150551000.0,,,,,,391759000.0,,,,,1141000.0,122673000.0,,0.0,,,67325644.0,,67325644.0
