end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedIncomeTaxesCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedProfessionalFeesCurrent,AdditionalPaidInCapital,AdvancesFairValueDisclosure,Assets,AssetsCurrent,BasicEarningsPerShareProForma,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,CashAndCashEquivalentsFairValueDisclosure,CashCashEquivalentsAndShortTermInvestments,CashIncludingDiscontinuedOperations,CashPeriodIncreaseDecrease,CashPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockOtherValueOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CommonStockValueOutstanding,CurrentStateAndLocalTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DepositAssets,DiscontinuedOperationTaxEffectOfAdjustmentToPriorPeriodGainLossOnDisposal,EarningsPerShareBasicAndDiluted,FederalIncomeTaxExpenseBenefitContinuingOperations,GeneralAndAdministrativeCostsInInventoryAmountIncurred,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInMarginDepositsOutstanding,IncreaseDecreaseInOutstandingChecksOperatingActivities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestPaid,InterestPayableCurrent,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansAndLeasesReceivableRelatedPartiesProceeds,LossContingencyLossInPeriod,MarginDepositAssets,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAllocatedToGeneralPartners,NetIncomeLossAllocatedToLimitedPartners,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseMinimumRentals,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherAssetsCurrent,OtherComprehensiveIncomeLossTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,PaymentsForRepurchaseOfCommonStock,PaymentsToFundLongtermLoansToRelatedParties,PreferredStockSharesIssued,ProceedsFromCollectionOfLoansReceivable,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLifeInsurancePolicies,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,ReceivableFromOfficersAndDirectorsForIssuanceOfCapitalStock,RentalProperties,RetainedEarningsAccumulatedDeficit,Revenues,SellingGeneralAndAdministrativeExpense,SharePrice,SharesIssued,SharesIssuedPricePerShare,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueNewIssues,TreasuryStockShares,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesBalance,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,CashEquivalentsAtCarryingValue,IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits
2019-03-31,2019-05-24,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,226.0,2975.0,,,226.0,,,284.0,284.0,,158.0,158.0,,,,158.0,58.0,,,,,75000000.0,3000.0,3000000.0,3000000.0,0.001,,0.0,0.0,,0.0,-1563.0,,,0.0,,,5613.0,,-5613.0,-1179.0,,,2671.0,,1179.0,,0.0,1754.0,,,284.0,,4729.0,4729.0,,-5613.0,126.0,3000.0,,-2942.0,-5613.0,,-5613.0,,,5613.0,,,,5613.0,,,-1179.0,,0.0,0.0,,3000.0,,,,,,,,-5613.0,0.0,,-7445.0,0.0,,,,,,-4445.0,,,,,,1179.0,,3000000.0,,,
2019-06-30,2019-08-08,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,1387.0,,462.0,,,,976.0,976.0,,696.0,696.0,,,696.0,,,,,,,75000000.0,3000.0,3000000.0,3000000.0,0.001,3000.0,0.0,,,0.0,-1990.0,,,0.0,,,2030.0,,-2030.0,-426.0,,,,,426.0,,,6064.0,,,-6475.0,976.0,7451.0,7451.0,,,126.0,,,,-2030.0,,,,,2030.0,-2030.0,,,,,154.0,-426.0,,,,,,,,,,,,,-2030.0,0.0,,-9475.0,0.0,,,,,,-6475.0,,,,,,426.0,,3000000.0,,,
2019-09-30,2019-11-13,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,2712.0,21.0,704.0,,,,822.0,822.0,,696.0,696.0,,,696.0,,,,,,,75000000.0,3000.0,3000000.0,3000000.0,0.001,,0.0,,,0.0,-2500.0,126.0,-2429.0,0.0,,62.0,2429.0,,,-510.0,,,,,510.0,,,7014.0,,,-8904.0,822.0,9726.0,9726.0,,,,,,,-2429.0,,,,2429.0,2429.0,-2429.0,,,,,,-510.0,,,,,,,,,,,,,-2429.0,0.0,,-11904.0,0.0,,,,,,-8904.0,,,,,,510.0,,3000000.0,,,
2019-12-31,2020-03-12,10-K,"CHARMT, INC.",CHMT,CIK0001765048,USD,,1537.0,,,,0.0,,196.0,196.0,,70.0,70.0,,,70.0,,-30.0,,,,,75000000.0,3000.0,3000000.0,3000000.0,0.001,,0.0,0.0,,0.0,-2816.0,126.0,,0.0,21.0,,2363.0,,-11575.0,-2431.0,0.0,,1233.0,0.0,,,0.0,9066.0,,9212.0,-10407.0,196.0,10603.0,10603.0,7312.0,-11575.0,126.0,10312.0,,-10342.0,-11575.0,,,,,11575.0,-11575.0,,927.0,2816.0,,,,,0.0,7312.0,,3000.0,0.0,,,,,,8750.0,-11575.0,0.0,,-13407.0,0.0,,,,,,-10407.0,,,,,,2431.0,,3000000.0,,,
2020-03-31,2020-05-06,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,2646.0,,,218.0,15864.0,,10826.0,10826.0,,10700.0,10700.0,,,,,10630.0,,125000.0,,,75000000.0,3661.0,3661000.0,,0.001,3661000.0,0.0,0.0,20411.0,0.0,-4286.0,,,0.0,,,7004.0,7004.0,-7004.0,-1471.0,,,1109.0,,,,0.0,9066.0,,,-886.0,10826.0,11712.0,11712.0,,-7004.0,126.0,16525.0,,-5895.0,-7004.0,,,,,7004.0,-7004.0,,,4286.0,,,,-7004.0,16525.0,0.0,,0.0,,,,0.0,,,6399.0,-7004.0,0.0,,-20411.0,0.0,605.0,,,0.025,,-886.0,,,,16525.0,,1471.0,,3206749.0,,,
2020-06-30,2020-07-22,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,6552.0,,,,20854.0,,6676.0,6676.0,,6550.0,6550.0,,6550.0,,,,,,,,75000000.0,3871.0,3870600.0,21725.0,0.001,,0.0,,,0.0,-7071.0,126.0,,0.0,,,596.0,-13256.0,,-4255.0,,,,,,,,9066.0,,,-8942.0,6676.0,15618.0,15618.0,,,,,,,-13256.0,,,,,13256.0,-13256.0,62.0,,7071.0,33667.0,,,,,,,,,,5200.0,,,,12660.0,,0.0,64.0,-33667.0,0.0,,,3870600.0,21725.0,,-8942.0,,,,,,4255.0,,3848279.0,3848279.0,,
2020-09-30,2020-10-28,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,5000.0,,,,20854.0,,3072.0,3072.0,,2946.0,2946.0,,2946.0,,,,,,,,75000000.0,3871.0,3870600.0,,0.001,,0.0,,,0.0,-7502.0,126.0,,0.0,,,2052.0,-2052.0,,-431.0,,,,,,,,9066.0,,,-10994.0,3072.0,14066.0,14066.0,,,,,,,-2052.0,,,,,2052.0,-2052.0,,,7502.0,35719.0,,,,,,,,,,,,,,,-2052.0,,66.0,-35719.0,0.0,,,3870600.0,,,-10994.0,,,,,,431.0,,3870600.0,3870600.0,,
2020-12-31,2021-02-16,10-K,"CHARMT, INC.",CHMT,CIK0001765048,USD,,5000.0,,,,20854.0,9066.0,1432.0,1432.0,,1432.0,1432.0,,1432.0,,,1362.0,1362.0,,,,75000000.0,3871.0,3870600.0,,3871.0,3870600.0,0.0,0.0,,0.0,-7846.0,0.0,,-0.01,21.0,,2393.0,23952.0,,5030.0,0.0,-3463.0,3463.0,126.0,,,0.0,9066.0,,11089.0,14066.0,1432.0,14066.0,14066.0,0.0,-23952.0,,21725.0,,20363.0,-23952.0,23952.0,,,,23952.0,23952.0,,808.0,7846.0,37359.0,,,,21725.0,,,0.0,,21725.0,21725.0,,,,21559.0,23952.0,,,-37359.0,0.0,,,3870600.0,,,-12634.0,-12634.0,870600.0,,,3000000.0,5030.0,7846.0,3699995.0,3699995.0,1432.0,126.0
2021-03-31,2021-05-07,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,5000.0,,,,20854.0,,6180.0,6180.0,,6180.0,6180.0,6180.0,,,,4748.0,,,,,75000000.0,3871.0,3870600.0,,0.001,,0.0,0.0,,0.0,-9011.0,,,0.0,,,,,,-1165.0,,,0.0,,,,0.0,19366.0,,,-18186.0,6180.0,24366.0,24366.0,,,,10300.0,,-5552.0,-5552.0,,,,,5552.0,-5552.0,,,9011.0,42911.0,,,-5552.0,0.0,,,,,,,10300.0,,,5325.0,-5552.0,,,-42911.0,0.0,227.0,,,,3870600.0,-18186.0,,,,,,1165.0,,3870600.0,,,
2021-06-30,2021-07-21,10-Q,"CHARMT, INC.",CHMT,CIK0001765048,USD,,,,,,20854.0,30266.0,505.0,505.0,,,505.0,,505.0,,,,,,,0.001,75000000.0,3870600.0,3870600.0,,3871.0,3870600.0,,,,,,,,0.0,,,285.0,-11575.0,,-3596.0,,,,,,,,,,,30266.0,505.0,30266.0,,,,,,,,-11575.0,,,,,11575.0,-11575.0,,,11442.0,,,,,,,,,,,,,,,11290.0,,,,-54486.0,,,,,,,-29761.0,-29761.0,,,,,3596.0,,,3870600.0,,
