end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,CostOfRevenue,DebtCurrent,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentDecreaseForgiveness,DebtInstrumentUnamortizedDiscount,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredOfferingCosts,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,DividendsSharebasedCompensationStock,DueToOfficersOrStockholdersCurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,FinitelivedIntangibleAssetsAcquired1,GeneralAndAdministrativeExpense,GoodwillAndIntangibleAssetImpairment,GoodwillImpairmentLoss,GrossProfit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsCurrent,InterestAndDebtExpense,InterestExpense,InterestPaidNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionIntangibleAssetsAcquired1,OperatingExpenses,OperatingIncomeLoss,OtherNonoperatingIncomeExpense,PaymentsToAcquireIntangibleAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,SharesIssuedPricePerShare,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2015-02-28,2015-06-05,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,14050.0,,,,,,,,,7480.0,7480.0,,,0.001,75000000.0,11500000.0,11500000.0,11500.0,,,,,,,,,,,,,,6100.0,7027.0,7027.0,,,,2007.0,,,0.0,,,,,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7480.0,16057.0,,,,-2240.0,,,2240.0,,,,1380.0,,,,,,1500.0,,,-20077.0,,,,-8577.0,,,,,,,11500000.0
2015-05-31,2015-08-06,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,14050.0,,,5395.0,,6100.0,,,,11224.0,11224.0,10600.0,10600.0,0.001,75000000.0,12105000.0,12105000.0,12105.0,,,,,,,,,,,,,,,7817.0,7817.0,,,,2007.0,,,0.0,,,,,5376.0,,,,,,,,,,,,,,,-4787.0,,4787.0,11000.0,,,,,624.0,,,,,16057.0,11224.0,16057.0,13900.0,,-3300.0,-13676.0,,,13676.0,,,,624.0,,12100.0,,1800.0,,8300.0,,,-22333.0,,,,-4833.0,,,,12100.0,,,11509932.0
2015-08-31,2015-10-14,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,6750.0,,,41400.0,,,,,,36900.0,36900.0,36900.0,26300.0,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,9540.0,9540.0,,,,2007.0,,,0.0,,,,,624.0,,,,,,,,,,,,,,,-1723.0,,1723.0,-7300.0,,,,,-624.0,,,,,8757.0,36900.0,8757.0,37900.0,,-11600.0,-4924.0,,,4924.0,,,,,,37900.0,,,,4300.0,,,-27257.0,,,,28143.0,,,,37900.0,,,13790815.0
2015-11-30,2016-01-14,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,8550.0,,,41400.0,,,,,,22900.0,22900.0,22900.0,,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,15070.0,15070.0,,,,2007.0,,,0.0,,,,,14000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,10557.0,22900.0,10557.0,,,,-15800.0,,,15800.0,,,,,,,,,,1800.0,,,-43057.0,,,,12343.0,,,,,,,14000000.0
2016-02-29,2016-04-11,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,3050.0,,,41400.0,,,,,,15600.0,15600.0,15600.0,,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,15700.0,15700.0,,,,2007.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5057.0,15600.0,5057.0,,,,-1800.0,,,1800.0,,,,,,,,,,1800.0,,,-44857.0,,,,10543.0,,,,,,,14000000.0
2016-05-31,2016-08-29,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,8550.0,,,41400.0,,,,,,14935.0,14935.0,13800.0,3200.0,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,17858.0,17858.0,,,,2007.0,,,0.0,-0.35,0.35,0.0,,18989.0,,,,,,,,,,,,,,,-10041.0,,10041.0,-5500.0,,,,,511.0,,,,,10557.0,14935.0,10557.0,37900.0,,-34700.0,-28689.0,,,28689.0,,,,1135.0,,37900.0,,,,9700.0,,,-51022.0,,,,4378.0,4378.0,,,37900.0,,,13950150.0
2016-08-31,2016-10-14,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,3750.0,,,41400.0,,,,,,6500.0,6500.0,6500.0,-7300.0,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,19130.0,19130.0,,,,2007.0,,,0.0,-0.35,0.35,0.0,,1135.0,,,,,,,,,,,,,,,-1272.0,,1272.0,-4800.0,,,,,-1135.0,,,,,5757.0,6500.0,5757.0,,,-7300.0,-3635.0,,,3635.0,,,,,,,,,,2500.0,,,-54657.0,,,,743.0,,,,,,,14000000.0
2016-11-30,2017-01-13,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,8250.0,,,41400.0,,,,,,7534.0,7534.0,4000.0,,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,20343.0,20343.0,,,,2007.0,,,0.0,,,,,1466.0,,,,,-3466.0,,,,,,,,,,,,,,,,,,,,,,,10257.0,7534.0,10257.0,,,,-3466.0,,,3466.0,-3466.0,,,3534.0,,,,,,2000.0,,,-58123.0,,,,-2723.0,,,,,,,14000000.0
2017-02-28,2017-04-19,10-Q,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,,8250.0,,,41400.0,,,,,,4304.0,4304.0,2000.0,,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,,,,,,2007.0,,,0.0,,,,,1230.0,,,,,-3230.0,,,,,,,,,,,,,,,,,,,,,,,10257.0,4304.0,10257.0,,,,-3230.0,,,3230.0,-3230.0,,,2304.0,,,,,,2000.0,,,-61353.0,,,,-5953.0,,,,,,,14000000.0
2017-05-31,2017-08-07,10-K,"Startech Labs, Inc.",LAAB,CIK0001584480,USD,9206.0,9206.0,,,41400.0,,,,,,0.0,,,-13800.0,0.001,75000000.0,14000000.0,14000000.0,14000.0,,,,,,,,,,,,,,,23515.0,-23515.0,,,,2007.0,2007.0,,0.0,-0.35,0.35,,,5091.0,,,,,-15591.0,,,,,,,,,,-3274.0,,3274.0,656.0,656.0,,,,1135.0,,,,,11213.0,0.0,11213.0,,,-13800.0,-15591.0,,,15591.0,-15591.0,,,,,,,,,10500.0,,,-66613.0,,,,-11213.0,-11213.0,,,,,,14000000.0
