end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,DerivativeLiabilitiesNoncurrent,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EquityMethodInvestmentOwnershipPercentage,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpenseTrustPreferredSecurities,InterestIncomeOther,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,MarketableSecuritiesGainLoss,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingIncomeLoss,OtherAssetsNoncurrent,PaymentsOfStockIssuanceCosts,PaymentsToAcquireRestrictedInvestments,PaymentsToAcquireTrustPreferredInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,RedeemableNoncontrollingInterestEquityCommonCarryingAmount,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesOutstanding,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued
2021-03-31,2021-05-25,10-Q,Khosla Ventures Acquisition Co.,KVSA,CIK0001841873,USD,115675.0,511237.0,541237.0,0.0,19660260.0,347850694.0,2237654.0,345000000.0,1546860.0,1546860.0,1546860.0,3150000.0,25000.0,600.0,0.5,116558.0,-3334058.0,67442.0,706912.0,30000.0,1278834.0,1278834.0,12137500.0,100000.0,0.0,,15932512.0,347850694.0,707512.0,,347315340.0,-345000000.0,-768480.0,-3334058.0,,-196558.0,613040.0,19660260.0,,345000000.0,0.0001,1000000.0,0.0,0.0,0.0,665794.0,,337414740.0,9900000.0,125790.0,345000000.0,24400.0,-13082417.0,10.0,-13081818.0,12500.0,19660260.0,10.0,34500000.0,,
2021-06-30,2021-09-13,10-Q,Khosla Ventures Acquisition Co.,KVSA,CIK0001841873,USD,130980.0,,1771977.0,,,346979098.0,1451353.0,345005244.0,787378.0,787378.0,,2300000.0,600.0,600.0,0.5,2122885.0,-1317641.0,,,,,,,,,,16378557.0,346979098.0,2003557.0,5244.0,,,,-1317641.0,-1318241.0,-2172885.0,522501.0,,,,0.0001,1000000.0,0.0,0.0,,663975.0,,,,,,,-14400058.0,10.0,-14399459.0,,3450000.0,10.0,34500000.0,0.0,0.0
2021-09-30,2021-11-05,10-Q,Khosla Ventures Acquisition Co.,KVSA,CIK0001841873,USD,29326.0,,2401235.0,,,346663500.0,1297812.0,345010545.0,633837.0,633837.0,,550000.0,600.0,600.0,0.5,848503.0,856798.0,,,,,,,,,,15206161.0,346663500.0,2581161.0,5301.0,,,,856798.0,856798.0,-898503.0,355143.0,,,,0.0001,1000000.0,0.0,0.0,,663975.0,,,,,,,-13553805.0,10.0,-13553206.0,,10545.0,10.0,34500000.0,,
