end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BankOverdrafts,BusinessCombinationConsiderationTransferred1,BusinessCombinationConsiderationTransferredLiabilitiesIncurred,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConversionOfStockSharesConverted1,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DepositAssets,Depreciation,DepreciationAndAmortization,DerivativeLiabilitiesCurrent,DividendsPayableCurrent,DueToAffiliateCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityIssuanceDollarAmountPerShare,EquityIssuancePerShareAmount,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseAmortization,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesIssued1,NotesPayable,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAdditionalCapital,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsToAcquireBusinessesGross,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockSharesSubscribedButUnissuedValue,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromNotesPayable,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionPurchasesFromRelatedParty,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueNotFromContractWithCustomer,Revenues,SalariesAndWages,SalesCommissionsAndFees,ShortTermBorrowings,ShortTermLeaseCost,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesReverseStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2013-10-31,2013-12-20,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,122737.0,,5700.0,,,1171907.0,,,,,,91087.0,91087.0,,,,,91087.0,,,,,0.0001,100000000.0,11904515.0,11904515.0,,1191.0,,,84778.0,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,273511.0,,,,,,,,,,,,,,,,,76257.0,,,,,213215.0,91087.0,128437.0,,,,,,,,,,,-349768.0,,-76257.0,,,,,-273511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1295226.0,,,,,,,,-122128.0,,,,,,,,,,10841472.0
2014-01-31,2014-05-16,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,244635.0,29149.0,,,,1201608.0,,919353.0,,86284.0,253028.0,46551.0,46551.0,,,,,46551.0,39451.0,,,,0.0001,100000000.0,14904515.0,14904515.0,1490.0,1490.0,,,177886.0,881932.0,,,99550.0,,,,,,,0.1,,704046.0,,,,,,,,,,-0.13,,,,,965903.0,,,,124816.0,-124816.0,,,165849.0,,,39353.0,,,,,,292381.0,,,,,551307.0,46551.0,344272.0,,,,,839505.0,,,,-800054.0,,-1258284.0,,,,,,,-965903.0,1700000.0,,,,,,,,,,,,,,,,,,,,,839505.0,,,,,,-1707854.0,,,,,,99637.0,,-504755.0,,,,,99550.0,,,,,9635748.0
2014-04-30,2014-06-24,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,224547.0,48999.0,,,,1650730.0,,395662.0,,,131067.0,114101.0,114101.0,,,,,114101.0,67550.0,,,,0.0001,100000000.0,20304515.0,20304515.0,,2030.0,,,255956.0,,,,54000.0,,,395662.0,0.05,395662.0,,0.1,,,,,,,,,,,,-0.02,,,,,138387.0,,,,,,,,-20088.0,,,20853.0,,,,,,151920.0,,,,,529502.0,114101.0,224547.0,,,,,296025.0,,-70000.0,,-158475.0,,-360307.0,,-221920.0,,,,,-138387.0,,,,,,70000.0,,,,,,,,,,,,,,,,296025.0,,,,,,-2068161.0,,,,,,,,-415401.0,5400000.0,,,,54000.0,,,,,17637099.0
2014-07-31,2014-09-22,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,242778.0,45568.0,,,,1909425.0,,,,,,30941.0,30941.0,,,,,30941.0,,,,,0.0001,100000000.0,26637461.0,26637461.0,2664.0,,,,227765.0,997469.0,68399.0,,,,,,,,,,,,,,,,,,,,,-0.02,,,,,211631.0,,,,,,,,,,,,,,,,,296347.0,,241.0,,,714991.0,30941.0,441658.0,,,,,,,,,,,-527978.0,,-316347.0,,,,,-211631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2596139.0,,,,,,130240.0,,-684050.0,,,,,,,,,,23259621.0
2014-10-31,2014-12-15,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,301720.0,20328.0,,,,2557081.0,,,,,,9146.0,9146.0,,,,,9146.0,,,,,0.0001,100000000.0,35137461.0,35137461.0,,3514.0,,,99592.0,,94737.0,,,,,,,,,,,,,,,,,,,,,-0.85,,,,,164003.0,,,,,,,,,,,,,,,,,357835.0,,151.0,,,516528.0,9146.0,396608.0,,,,,,,,,,,-531838.0,,-367835.0,,,,,-164003.0,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-3127977.0,,,,,,,,-507382.0,,,,,,,,,,622054.0
2015-01-31,2015-05-18,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,333963.0,5973.0,,,,3154198.0,3157811.0,716208.0,,,1068607.0,6584.0,6584.0,,,,,6584.0,-39967.0,,,,0.001,480000000.0,903182.0,903182.0,903.0,4516.0,,,45976.0,,6317.0,,1239409.0,,,,,,,,,351646.0,,,,,,,,,,-3.36,,,,,635866.0,,110000.0,,-112358.0,112358.0,,,89328.0,,,82342.0,,,,,,1150949.0,,310.0,,,392539.0,6584.0,340590.0,,,,,616571.0,616571.0,-110000.0,-110000.0,-546538.0,-546538.0,-1896815.0,,-1260949.0,,,,,-635866.0,,60000.0,,,,110000.0,,0.001,20000000.0,0.0,0.0,,,,,,,,,,,616571.0,,,,,,-3604669.0,,,,,,,,-385955.0,,,,,1299409.0,,,,60000.0,563869.0
2015-04-30,2015-06-18,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,402800.0,2367.0,,,,3495630.0,,73654.0,,,209906.0,8061.0,8061.0,,,,,8061.0,1477.0,,,,0.0001,100000000.0,51447190.0,51447190.0,,5145.0,,,5889.0,,,,268407.0,,,,,,,,,,,,,,,,,,,-0.39,,,,,136013.0,,,,,,,,68837.0,,,8181.0,,,,,,218088.0,,,,,411056.0,8061.0,402800.0,,,,,73654.0,73654.0,-5000.0,-5000.0,-67177.0,-67177.0,-359101.0,,-223088.0,,,,,-136013.0,,60000.0,,,,5000.0,,,,,,,,,73654.0,,,,,,,73654.0,,,,,,-3963770.0,,,,,,0.0,,-402995.0,,,,,268407.0,,,,,930875.0
2015-07-31,2015-09-14,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,456425.0,6669.0,,,,3620532.0,,,,,,748.0,748.0,,,,,748.0,,,,,0.0001,100000000.0,52724401.0,52724401.0,,5272.0,,,10949.0,,,,,,,,,,,,,,,,,,,,,,0.0,-0.19,,,,,109879.0,,,,,,,,,,,,,,,,,60450.0,,,,,474043.0,748.0,456425.0,,,,,,,,,,,-195329.0,,-85450.0,,,,,-109879.0,,60000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-4159099.0,,,,,,0.0,,-473295.0,,,,,,,,,,1044494.0
2015-10-31,2015-12-21,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,340177.0,5577.0,,,,,4046586.0,,,,,620.0,620.0,,,,,620.0,,,,,0.001,,1184815.0,1184815.0,1185.0,,,,6682.0,,,,,,,,,,,,,401001.0,,,,,,,,,0.0,-0.2,,,,,143969.0,,,,,,,,,,,,,,,,,96519.0,,,,,352436.0,620.0,340177.0,,,,,,,,,,,-240488.0,,-96519.0,,,,,-143969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4399587.0,,,,,,,,-351816.0,,,,,,,,,,1174949.0
2016-01-31,2016-05-17,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,390584.0,10526.0,6923.0,,,,4619288.0,490418.0,,,64354.0,284.0,284.0,,,,284.0,284.0,-6300.0,,,,0.001,480000000.0,1722472.0,1722472.0,1722.0,,,,17550.0,,,,60000.0,,,,,,,,,467420.0,0.0,,,,,,0.0,,,-1.25,,,,,1036032.0,,5000.0,,-205529.0,504924.0,-131125.0,-168270.0,56621.0,6923.0,,26964.0,,-397223.0,,,,401608.0,,,,480770.0,425583.0,284.0,397507.0,484970.0,,342824.0,142146.0,,490418.0,,-5000.0,,-491718.0,-1442640.0,,-406608.0,,,,,-1036032.0,2809000.0,,,,,5000.0,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,490418.0,,,,,,-5047309.0,,,,,,,,-425299.0,,,,,432108.0,,480770.0,,,1154386.0
2016-04-30,2016-08-08,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,374629.0,19709.0,13308.0,,,,4799208.0,132986.0,,,64354.0,9349.0,9349.0,,,,,9349.0,9065.0,,,,0.001,480000000.0,1893218.0,,1893.0,,,,22772.0,,6550.0,,47105.0,,,,,,,,,461978.0,,,,,,,0.0,,0.0,-0.1,,,,7628.0,114351.0,,,,,,,,-9570.0,,,12261.0,,386065.0,,,,76615.0,,927.0,,,437895.0,9349.0,395414.0,,,,,,132986.0,,,,-123921.0,-183338.0,,-68987.0,,,,,-114351.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,67986.0,,,65000.0,,,,67986.0,,,,,,-5230647.0,,,,,,,,-428546.0,,,,,47105.0,,,,,1763088.0
2016-07-31,2016-10-17,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,391833.0,24007.0,23693.0,,,,4889562.0,,,,,1181.0,1181.0,,,,,1181.0,,,,,0.001,480000000.0,1972191.0,1972191.0,1972.0,,,,20373.0,,33666.0,,,,,,,,,,,315437.0,246491.0,,,,,,,,0.0,-0.08,,,,4772.0,94106.0,,,,,,,,,,,,,,,,,75582.0,,9698.0,,,503270.0,1181.0,458890.0,,,,,,,,,,,-164916.0,,-70810.0,,,,,-94106.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-5395563.0,,,,,,,,-502089.0,,,,,,,,,,1952626.0
2016-10-31,2017-01-31,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,422965.0,10840.0,53693.0,,,,4970146.0,,,,,0.0,,1398.0,,,,0.0,,,,,0.001,480000000.0,2293831.0,2293831.0,2294.0,,,,23963.0,,,,,,,,,,,,,283734.0,192733.0,,,,,,,,3450.0,-0.08,,,,,67162.0,,,,,,,,,,,,,,,,,99136.0,,14688.0,,,588421.0,0.0,553618.0,,,,,,,,,,,-166298.0,,-99136.0,,,,,-67162.0,,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,,,,,,,,,,,-5561861.0,,,,,,,,-588421.0,,,,,,,,,,2173917.0
2017-01-31,2017-05-17,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,471477.0,18596.0,83692.0,,,,5235652.0,207887.0,144252.0,,588156.0,0.0,,1443.0,,,,0.0,-284.0,,,,0.001,480000000.0,2981660.0,2981660.0,2982.0,,,,28815.0,203449.0,54385.0,,,,,,,,,,,278882.0,112323.0,,,,,,,,,-0.41,0.35,,,,370726.0,,,,-148074.0,303734.0,-155660.0,,122720.0,36385.0,,52412.0,,-628145.0,,,,497155.0,,13698.0,,,675556.0,0.0,628145.0,522854.0,215157.0,67986.0,239711.0,211337.0,211337.0,,,-211621.0,-211621.0,-867881.0,,-497155.0,,,,,-370726.0,1865781.0,,,,,,,0.001,20000000.0,1000000.0,1000000.0,,1000.0,,,,,139901.0,,,,71436.0,,,,,,-5915190.0,,,,151192.0,,,,-675556.0,,,,,265485.0,,,,,2140377.0
