end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesNoncurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AdvertisingExpense,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,BankOverdrafts,BusinessCombinationConsiderationTransferred1,BusinessCombinationConsiderationTransferredLiabilitiesIncurred,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConversionOfStockSharesConverted1,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DepositAssets,Depreciation,DepreciationAndAmortization,DerivativeLiabilitiesCurrent,DividendsPayableCurrent,DueToAffiliateCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityIssuanceDollarAmountPerShare,EquityIssuancePerShareAmount,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseAmortization,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NonoperatingIncomeExpense,NotesIssued1,NotesPayable,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAdditionalCapital,OtherIncome,OtherLiabilitiesCurrent,OtherNonoperatingIncomeExpense,PaymentsToAcquireBusinessesGross,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockSharesSubscribedButUnissuedValue,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromNotesPayable,ProceedsFromOtherEquity,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromShortTermDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionPurchasesFromRelatedParty,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerIncludingAssessedTax,RevenueNotFromContractWithCustomer,Revenues,SalariesAndWages,SalesCommissionsAndFees,ShortTermBorrowings,ShortTermLeaseCost,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesReverseStockSplits,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2011-04-30,2011-05-20,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,,,,,,,,,,,,,,,,,,6335.0,-2565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,565.0,,,,,,,,-2000.0,,,,,,,,,,,,,,,,,,,,,,,,,-2565.0,,-565.0,,,,,,,-565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-31,2011-09-02,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,600.0,,,,,48800.0,,,,,,30048.0,30048.0,,,,,30048.0,,,,,0.0001,100000000.0,12000000.0,12000000.0,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,17387.0,,,-17387.0,,,,,,,,,,,,,,,,,,,600.0,30048.0,,,,,,,,,,,,-17387.0,,,,,,,-17387.0,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,-20552.0,,,,,,,,29448.0,,,,,,,,,,
2011-10-31,2011-12-15,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,806.0,,,,,48800.0,,,,,,26482.0,26482.0,,,,,26482.0,,,,,0.0001,100000000.0,12000000.0,12000000.0,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,3772.0,,,-3772.0,,,,,,,,,,,,,,,,,,,806.0,26482.0,,,,,,,,,,,,-3772.0,,,,,,,-3772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24324.0,,,,,,,,25676.0,,,,,,,,,,600000.0
2012-01-31,2012-05-10,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,15463.0,,,,,49940.0,,,,1669.0,,28852.0,28852.0,,,,,28852.0,19952.0,,,,0.0001,100000000.0,600011.0,600011.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,0.0137,,81216.0,,,-81216.0,-153000.0,153000.0,,,12963.0,,,,,,,,,,,,,,62668.0,28852.0,62668.0,,,,,88205.0,,,,-68253.0,,-81216.0,,,,,,,-81216.0,,,,,,,,,,,,,,,,41000.0,,,,,,47205.0,,,,,,-83816.0,,,,,,47205.0,,-33816.0,,,,,,41000.0,,41000.0,,550274.0
2012-04-30,2012-06-19,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,19747.0,,,,,48800.0,,,,,,24937.0,24937.0,,,,,24937.0,-3915.0,,,,0.0001,250000000.0,12000000.0,12000000.0,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,81099.0,,,,,,,,4284.0,,,,,,,,,,,,,,139852.0,24937.0,,,,,,72900.0,,,,-76815.0,,-81099.0,,,,,,,-81099.0,,,,,,,,,,,,,,,,72900.0,,,,,,72900.0,,,,,,-164915.0,,,,,,120105.0,,-114915.0,,,,,,,,,,12000000.0
2012-07-31,2012-09-20,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,27722.0,,,,,97145.0,,,,,,9197.0,9197.0,,,,,9197.0,,,,,0.0001,250000000.0,600011.0,600011.0,,60.0,,,3910.0,,,,,,,,,,,,,43295.0,,,,,,,,,,-0.17,,,,,97783.0,,,,,,,,,,,,,,,,,5087.0,,,,,179777.0,9197.0,175867.0,,,,,,,,,,,-102870.0,,,,,,10000.0,-97783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-267785.0,,,,,,148145.0,,-170580.0,,,,,,,,,,600011.0
2012-10-31,2012-12-28,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,26518.0,,,,,183700.0,,,,,,7580.0,7580.0,,,,,7580.0,,,,,0.0001,100000000.0,4949515.0,4949515.0,,495.0,,,,,,,,,,,,,,,,40354.0,,,,,,,,,,-0.03,,,,,50645.0,,,,,,,,,,,,,,,,,47432.0,,,,,189247.0,7580.0,182396.0,,,,,,,,,,,-98077.0,,,,,,,-50645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-365862.0,,,,,,155878.0,,-181667.0,,,,,,,,,,3152982.0
2013-01-31,2013-05-02,10-K,NEUTRA CORP.,NTRR,CIK0001512886,USD,78786.0,4720.0,,,,183700.0,,90700.0,,922.0,52979.0,7100.0,7100.0,,,,,7100.0,-21752.0,,,,0.0001,100000000.0,4949515.0,4949515.0,,495.0,,,9484.0,,,,90700.0,,,,,,,,,37721.0,,,,,,,,,,-0.16,,,,,308055.0,,,-365754.0,-153000.0,153000.0,,,68043.0,,,,,,,,,57699.0,,,,,272475.0,7100.0,258271.0,,,,,222980.0,,,,-244732.0,,-365754.0,,,,,,,-308055.0,450000.0,,,5000.0,,,,,,,,,,,,,,,,,,222980.0,,,,0.0,,-449570.0,,,,,,179485.0,,-265375.0,,,,,43495.0,,,,,2339813.0
2013-04-30,2013-06-19,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,146339.0,,,,,310328.0,,104650.0,,,28962.0,138943.0,138943.0,,,,,138943.0,131843.0,,,,0.0001,10000000.0,7169515.0,7169515.0,,717.0,,,16246.0,,,,104650.0,,,,,,,,,113409.0,,,,,,,,,,-0.04,,,,,187340.0,,,,,,,,62833.0,,,,,,,,,31592.0,,,,,496400.0,138943.0,480154.0,,,,,258980.0,,,,-127137.0,,-218932.0,,,,,,,-187340.0,,,,,,,,,,,,,,,,,,,,,,258980.0,,,,,,-668502.0,,,,,,333815.0,,-357457.0,,,,,22200.0,,,,,6070197.0
2013-07-31,2013-09-16,10-Q,NEUTRA CORP.,NTRR,CIK0001512886,USD,75476.0,,,,,671270.0,,,,,,227616.0,227616.0,,,,,227616.0,,,,,0.0001,100000000.0,9404515.0,9404515.0,,940.0,,,21934.0,,1336.0,,,,,,,,,,,,,,,,,,,,,-0.03,,,,,242681.0,,,,,,,,,,,,,,,,,32275.0,,,,,498864.0,227616.0,476930.0,,,,,,,,,,,-274956.0,,-32275.0,,,,,-242681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-943458.0,,,,,,400118.0,,-271248.0,,,,,,,,,,8617287.0
