end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdvertisingExpense,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionCostOfAcquiredEntityCashPaid,BusinessAcquisitionCostOfAcquiredEntityEquityInterestsIssuedAndIssuable,BusinessAcquisitionCostOfAcquiredEntityPurchasePrice,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionPercentageOfVotingInterestsAcquired,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesLongTermDebt,BusinessAcquisitionPurchasePriceAllocationMineralRights,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights,ClassOfWarrantOrRightOutstanding,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleNotesPayableCurrent,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtInstrumentPeriodicPayment,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationTaxCredits,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,MineralPropertiesAccumulatedImpairment,MineralPropertiesNet,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncashOrPartNoncashAcquisitionNoncashFinancialOrEquityInstrumentConsiderationSharesIssued1,NoncashOrPartNoncashAcquisitionValueOfAssetsAcquired1,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherNoncashExpense,OtherNonoperatingIncomeExpense,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsForLoans,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfNotesPayable,RestructuringCostsAndAssetImpairmentCharges,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesShareBasedCompensationGross,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueShareBasedCompensationGross,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2010-10-31,2010-12-17,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,,,,,,,,,,,,,,,,,,,,,,11463.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,13835.0,,,,,,,,,,,,,,,,,1279.0,,,,,,,,,,,,,,,,,,,,,26835.0,,,,,,,,,,,,,,,,,,,,13000.0,-28114.0,,,,,,0.0,,,,,,,,,,,,75000000.0,
2011-01-31,2011-03-18,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,,,,,,,,,,,,,,,,,,,,,,77738.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3278.0,,,,,,,,,,,,,,,,,1649.0,,,,,,,,,,,,,,,,,,,,,18278.0,,,,,,,,,,,,,,,,,,,,15000.0,-19927.0,,,,,,0.0,,,,,,,,,,,,88206522.0,
2011-04-30,2011-08-10,10-K,GRN HOLDING CORP,GRNF,CIK0001492448,USD,36963.0,31705.0,,5258.0,-22500.0,,,,,,,71160.0,71160.0,,,,,,,,,71160.0,66242.0,,,,0.001,250000000.0,97500000.0,97500000.0,,97500.0,,,,,,0.0,,,,106319.0,100.0,0.0,,,,,,28256.0,,,,,,0.0,,,,36268.0,,,100.0,,0.0,,5258.0,,0.0,,,102479.0,71160.0,102479.0,,,0.0,,130488.0,,-64246.0,-100614.0,,,-5258.0,65416.0,65416.0,95356.0,-95356.0,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,75000.0,55488.0,,,67100.0,-100614.0,,,-106319.0,,,0.0,,,-31319.0,,,,75000.0,,,,,83815068.0,
2011-07-31,2011-09-14,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,,31140.0,,6907.0,-22500.0,,,,,,,36534.0,,,,,,,,,,36534.0,-34626.0,,,,0.001,250000000.0,97500000.0,97500000.0,,97500.0,,,,,,,,,,,100.0,0.0,,,,,,34061.0,,,-35710.0,,0.0,,,,,1084.0,,,,,,,1649.0,,0.0,,,103563.0,36534.0,,,,,,,,-34626.0,-35710.0,,,-1649.0,65416.0,,34061.0,-34061.0,,,,,,,,,10000000.0,,,0.0,,,,,,,15000.0,-35710.0,,,-142029.0,,,0.0,,,-67029.0,,,,,,,,,,97500000.0
2011-10-31,2011-12-20,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,173410.0,,,,5198000.0,,,,,,,521928.0,11928.0,,,,,,,,,11928.0,,,,,0.001,250000000.0,47000000.0,47000000.0,,47000.0,,,,,,,,,,5086998.0,25100.0,0.0,,,,,,290641.0,,4650000.0,-294969.0,,,,,,,,,,,,,,4328.0,,,,,363926.0,521928.0,,,,510000.0,,,,,-294969.0,,,-4328.0,165416.0,,290641.0,-290641.0,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,12750.0,-4944969.0,,,-436998.0,,,0.0,,,158002.0,,,,,,,,,76021739.0,
2012-01-31,2012-03-14,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,94165.0,,,,5350500.0,,,,,,4650000.0,369337.0,9337.0,,,,,,,,,9337.0,,,,,0.001,250000000.0,47500000.0,47500000.0,,47500.0,,,,,,,,,,5415874.0,36600.0,-0.11,,,,,,325526.0,,4650000.0,-4978876.0,,,,,,,,,,,,,,3350.0,,,,,297211.0,369337.0,,,,360000.0,,,,,-4978876.0,,,-3350.0,66446.0,100000.0,4975526.0,-4975526.0,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,29450.0,-4978876.0,,,,,,0.0,,,72126.0,,,,,,,,,47105435.0,
2012-04-30,2012-08-07,10-K,GRN HOLDING CORP,GRNF,CIK0001492448,USD,75250.0,,,,5795670.0,100000.0,360000.0,,,68033.0,4670000.0,5865.0,5865.0,,,,,,,,,5865.0,-65295.0,,,,0.001,250000000.0,48830000.0,48830000.0,61000.0,48830.0,,74855.0,,,,31967.0,,,,6179946.0,41264.0,-0.09,,,,,,1009086.0,,,,,,0.0,,,,59667.0,,,,,0.0,,84156.0,,0.0,,,280311.0,5865.0,280311.0,,4660000.0,0.0,4660000.0,150132.0,0.0,-215427.0,-6073627.0,,,-84156.0,,88942.0,5989471.0,-5989471.0,,,,69000.0,,,250000.0,0.001,10000000.0,0.0,0.0,0.0,,,,125132.0,25000.0,,70385.0,-6073627.0,,,-6179946.0,,,0.0,820500.0,,-274446.0,4550000.0,,4550000.0,,820500.0,,,,67215355.0,
2012-07-31,2012-09-19,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,123984.0,,,,6052715.0,,,,,25117.0,,316.0,316.0,,,,,,,4910000.0,,316.0,-5549.0,,,,0.001,250000000.0,50025000.0,50025000.0,54000.0,50025.0,,102465.0,,,,6850.0,,,,,54725.0,-0.01,,,,,,366834.0,,,-397579.0,,0.0,,,,,54337.0,,,12836.0,,,,30745.0,,0.0,,,421101.0,316.0,421101.0,,4660000.0,0.0,4660000.0,48500.0,,-54049.0,-397579.0,,,-30745.0,,139927.0,366834.0,-366834.0,,,,,,,,0.001,10000000.0,,,,,,,,,48500.0,,,,,-6577525.0,,,,251240.0,4883000.0,-420785.0,,1195000.0,,,,,249365.0,,,
2012-10-31,2012-12-21,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,86945.0,,,,7630027.0,,,,,,,121095.0,121095.0,,,,,,,,,113360.0,,,0.6,233200.0,0.001,250000000.0,54192360.0,54192360.0,357440.0,54192.0,,,,,,0.0,,,,,8175.0,-0.03,,,,,,608397.0,,,-1438160.0,,,,,,,,,,,,,,11770.0,,,,,95120.0,121095.0,95120.0,,,0.0,,,,,-1438160.0,,,-829763.0,,,608397.0,-608397.0,,,-817993.0,,,,,0.001,10000000.0,0.0,0.0,,7735.0,,,,,,,,,,-8015684.0,,,,,,25975.0,,4167360.0,,,,,1797355.0,,,
2013-01-31,2013-03-11,10-Q,GRN HOLDING CORP,GRNF,CIK0001492448,USD,79250.0,,,,7960649.0,,,,,,,23649.0,23649.0,,,,,,,,,18336.0,,,0.6,233200.0,0.001,250000000.0,55527641.0,55527641.0,,55527.0,,,,,,0.0,,,,,3925.0,0.0,,,,,,149457.0,,,-149457.0,,,,,,,,,,,,,,,,,,,83175.0,23649.0,83175.0,,,0.0,,,,,-149457.0,,,,,,149457.0,-149457.0,,,,,,,,0.001,10000000.0,0.0,0.0,,5313.0,,,,,,,,,,-8075702.0,,,,,,-59526.0,,1335281.0,,,,,63956.0,,,
