end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrent,AccruedPayrollTaxesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentExcludingCapitalLeasedAssets,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalOther,AdjustmentsToAdditionalPaidInCapitalStockSplit,AllowanceForDoubtfulAccountsReceivableRecoveries,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCostsAndDiscounts,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsNet,CapitalizedComputerSoftwareGross,CapitalUnitsAuthorized,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonUnitIssuanceValue,ConcentrationRiskPercentage1,ConstructionMaterialsRevenue,ConvertibleDebt,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,CostOfGoodsSold,DebtConversionConvertedInstrumentAmount1,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowanceNoncurrent,Depreciation,DerivativeAssetFairValueGrossLiability,DerivativeLiabilities,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationTaxCredits,EmployeeBenefitsAndShareBasedCompensation,FairValueAdjustmentOfWarrants,FairValueAssumptionsExpectedDividendRate,FairValueAssumptionsExpectedVolatilityRate,FinancingReceivableAllowanceForCreditLosses,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FiniteLivedPatentsGross,FlightEquipmentAccumulatedDepreciation,GainLossOnContractTermination,GainLossOnDerivativeInstrumentsNetPretax,GainLossOnDispositionOfAssets,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentChargeOnReclassifiedAssets,ImpairmentOfInvestments,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOther,InterestPaid,InterestPaidNet,InventoryNet,InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwoAndThree,LongTermNotesPayable,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoncontrollingInterestInNetIncomeLossJointVenturePartnersNonredeemable,NotesIssued1,NotesPayable,NotesPayableCurrent,NotesReceivableGross,NotesReceivableNet,NumberOfBusinessesAcquired,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherLongTermNotesPayable,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireLoansReceivable,PaymentsToAcquireNotesReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromMaturitiesPrepaymentsAndCallsOfOtherInvestments,ProceedsFromNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleAndCollectionOfNotesReceivable,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RealEstateFederalIncomeTaxBasis,ReclassificationsOfTemporaryToPermanentEquity,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SalariesWagesAndOfficersCompensation,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SalesAndExciseTaxPayableCurrent,SalesRevenueNet,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TechnologyServicesRevenue,UnrealizedGainLossOnDerivatives,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic
2014-11-30,2015-02-27,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,5151.0,,,,,,8971.0,264.0,,,371174.0,,,,,,,63.0,,75998.0,71414.0,,,,71414.0,,71414.0,-63401.0,,,,,0.001,50000000.0,5927106.0,5927106.0,5927.0,,,,,,,,,,,,,,,,,66.0,,,-0.01,,,,,,,,,,3814.0,3520.0,,294.0,,,,,9587.0,,,,,,,,,-5741.0,,-5741.0,-82.0,395.0,,,,,,,,,,,,,,75998.0,14122.0,,,,,,,,,,,,-63401.0,-58102.0,,,,,,,,58102.0,-58102.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,7499.0,,1328.0,1064.0,,,,3420.0,-315225.0,,,37596.0,,,,,,,,,,,,,,,,,61876.0,,,,,,,,,,,5927106.0,
2015-02-28,2015-04-16,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,3264.0,,,,,,18839.0,330.0,,,409436.0,,,,,,,,,45577.0,41122.0,,,,41122.0,,41122.0,,,,,,0.001,50000000.0,5965406.0,5965406.0,5965.0,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,3814.0,3457.0,,357.0,,,,,11031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45577.0,22103.0,,,,,,,,,,,,,-76701.0,,,,,,,,76701.0,-76701.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,8160.0,,1328.0,998.0,,,,19297.0,-391927.0,,,38213.0,,,,,,,,,,,,,,,,,23474.0,,,,,,,,,,,5957295.0,
2015-05-31,2015-07-20,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,1866.0,,,,,,,396.0,,,436409.0,,,,,,,,,37166.0,32840.0,,,,32840.0,,32840.0,,,,,,0.001,50000000.0,5992406.0,5992406.0,5992.0,,,,,,,,,679.0,,,,,,,,,,,0.0,0.0,,,,,,,,,3814.0,3394.0,,420.0,,,,,9813.0,10446.0,,,-15264.0,,,,,,,,,,,,,,,,,,,,10000.0,,,37166.0,1956.0,,,,,,,,,,,,,-15264.0,,,,,,,,25710.0,-15264.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,6586.0,,1328.0,932.0,,,,100.0,-407191.0,,11125.0,9211.0,,,,1125.0,,,,,,,,,,,,,35210.0,,,,,,,,,,5984112.0,5984112.0,5984112.0
2015-08-31,2015-12-16,10-K,AGENTIX CORP.,AGTX,CIK0001603345,USD,2318.0,,,,,7370.0,,396.0,420.0,,436409.0,189.0,,,,,,189.0,0.0,17521.0,13195.0,,1328.0,,13195.0,,13195.0,-121620.0,,,,,0.001,50000000.0,5992406.0,5992406.0,5992.0,,,3375.0,,,,,,2036.0,,,,146965.0,,146965.0,-146965.0,198.0,,,-0.03,-0.03,0.0,0.34,0.0,,,,,,3814.0,3394.0,,420.0,,,,,36261.0,26339.0,,,-175126.0,,,,,-5741.0,,-6440.0,-9053.0,-2439.0,,,,,,,,,,,25000.0,,,17521.0,7370.0,,,,,,,,,,65300.0,,-186920.0,-175126.0,,,,,,,,201465.0,-175126.0,432250.0,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,65300.0,,,,,29824.0,,1328.0,932.0,,,,28328.0,-432250.0,,28375.0,107052.0,,,,3375.0,,,,,,,,,,,,,10151.0,,,,,38300.0,,25000.0,,59543.0,5959507.0,5959507.0,5959507.0
2015-11-30,2016-01-14,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,766.0,,,,,,,462.0,,,436409.0,,,,,,,63.0,,10568.0,6371.0,,,,6371.0,,6371.0,-6824.0,,,,,0.001,50000000.0,5992406.0,5992406.0,5992.0,,,,,,,,,,,,,,,,,66.0,,,0.0,0.0,,,,,,,,,3814.0,3331.0,,483.0,,,,,3361.0,,,,-349.0,,,,,,,-6604.0,,-1552.0,,,,,,,,,,,,,,10568.0,766.0,,,,,,,,,,,,-6824.0,-349.0,,,,,,,,15349.0,-349.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,4063.0,,1328.0,866.0,,,,748.0,-432599.0,,15000.0,7177.0,,,,,,,,,,,,,,,,,9802.0,,,,,,,15000.0,,,5992406.0,5992406.0,5992406.0
2016-02-29,2016-04-14,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,870.0,,,,,,,528.0,,,436409.0,,,,,,,,,11015.0,6947.0,,,,6947.0,,6947.0,,,,,,0.001,50000000.0,5992406.0,5992406.0,5992.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,3814.0,3268.0,,546.0,,,,,2905.0,15000.0,,,,,344.0,,,,,,,,,,,,,,,,,,,,,11015.0,870.0,,,,,,,,,,,,,344.0,,,,,,,,14656.0,344.0,,,,,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,8561.0,,1328.0,800.0,,,,1250.0,-432256.0,,15000.0,1940.0,,,,,,,,,,,,,,,,,10145.0,,,,,,,15000.0,,,5992406.0,5992406.0,5992406.0
2016-05-31,2016-07-20,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,702.0,,,,,,,594.0,,,606814.0,,,,,,,,,2028.0,1294.0,,1328.0,,1294.0,,1294.0,,,,,,0.001,50000000.0,6017406.0,6017406.0,6017.0,,,,,,,,1357.0,1357.0,,,,,,,,,,,-0.03,-0.03,,,,,,,,,,,,,,,,,16545.0,10893.0,,,-176225.0,,-179430.0,,,,,,,,,,,,,,,,,,,,,2028.0,882.0,,,,,,,,,,,,,-179430.0,-3205.0,,,,,,,187118.0,-176225.0,,,,3205.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,120315.0,,1328.0,734.0,,,,1694.0,-611685.0,,12250.0,48564.0,,,180.0,,,,,,,,,,,,,,1146.0,,,,,,,12250.0,,,6035263.0,6013835.0,6013835.0
2016-08-31,2016-12-12,10-K,AGENTIX CORP.,AGTX,CIK0001603345,USD,,2798.0,,,,891.0,,660.0,,,719468.0,189.0,,,,,,189.0,0.0,1287.0,619.0,,1328.0,,619.0,,619.0,-12576.0,,,,,0.001,50000000.0,6017406.0,6017406.0,6017.0,,,3143.0,,,,,1357.0,1357.0,,,,247481.0,247481.0,,-247481.0,264.0,,,-0.05,-0.05,,0.34,0.0,71668.0,211416.0,0.0,0.9961,,,,3814.0,,3205.0,,,,23011.0,41786.0,,,-292432.0,,-295637.0,,,2798.0,,65189.0,,,,,,,,,,,,,,,3689.0,1287.0,3689.0,,,,,,,,,,,,-12576.0,-295637.0,3205.0,,,,,,,334218.0,-292432.0,,,,3205.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,177797.0,,1328.0,668.0,,727885.0,,3692.0,-727887.0,,43143.0,129718.0,,,,,125000.0,0.001,72391.0,0.001,,,,,125000.0,,,,-2402.0,,,,56250.0,,,40000.0,,100516.0,6019940.0,6019940.0,6019940.0
2016-11-30,2017-01-23,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,,1859.0,,,,891.0,,726.0,,,704123.0,,,,,1811.0,,,,25717.0,15115.0,,1328.0,,15115.0,,15115.0,14496.0,,,,,,,5992406.0,5992406.0,6017.0,,,,,8688.0,16678.0,,,,,,,,,,,66.0,155335.0,155335.0,-0.02,-0.02,,,,20000.0,52149.0,,,,,,,,,36652.0,,,7922.0,,,,-91780.0,,-130243.0,,,-939.0,,20000.0,,,,10000.0,,,-1811.0,,,,,,,,,25717.0,158085.0,15621.0,,,,,,,,,45000.0,-10000.0,-20504.0,-130243.0,,,,,10000.0,,,91780.0,-91780.0,,,6933.0,38463.0,,,,,,,0.0,0.0,,,,,,,45000.0,45000.0,,63805.0,,1328.0,602.0,,,87493.0,,-858129.0,,,20053.0,,,,,,,,,,,,,,,,,-147989.0,,,,,,,,36652.0,,6067406.0,6017406.0,6017406.0
2017-02-28,2017-04-13,10-Q,AGENTIX CORP.,AGTX,CIK0001603345,USD,,15579.0,,,,530.0,,792.0,,,728557.0,,,,,-2565.0,,,,11775.0,1239.0,,1328.0,,1239.0,,1239.0,,,,,,0.001,50000000.0,6017406.0,6017406.0,6017.0,,,2250.0,,10108.0,15282.0,,,,,,,,,,,,256547.0,256547.0,-0.01,-0.03,,,,,,,,,,,,,,24986.0,,,303.0,2250.0,,,,,-154613.0,,,,,,,,,,,,3465.0,,,,,,,,290842.0,11775.0,272656.0,18186.0,,,,,,,,,,,,-155513.0,,,,,10000.0,,,129312.0,-127062.0,,,8078.0,28451.0,,,,,0.001,25000000.0,0.0,0.0,,,,,,,,,,107566.0,,1328.0,536.0,,,,1357.0,-1013641.0,,2250.0,20086.0,,,,,,,,,,,,,,,,,-279067.0,,,,,,,,,,6017406.0,6017406.0,6017406.0
