end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccountsPayableUnderwritersPromotersAndEmployeesOtherThanSalariesAndWagesCurrent,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,DeferredCosts,EarningsPerShareBasic,EarningsPerShareDiluted,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,PaymentsOfStockIssuanceCosts,PaymentsToAcquireMarketableSecurities,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityNetIncome,TemporaryEquityParOrStatedValuePerShare,TemporaryEquityRedemptionPricePerShare,TemporaryEquitySharesOutstanding,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,CashAndCashEquivalentsAtCarryingValue,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,NetCashProvidedByUsedInInvestingActivities,PrepaidExpenseNoncurrent
2021-03-31,2021-05-27,10-Q,TCV ACQUISITION CORP.,TCVA,CIK0001845580,USD,16125.0,,626298.0,,24000.0,0.0,771376.0,,,0.0,0.0,0.0,771376.0,0.0,0.0,5187.0,,,,,,751563.0,771376.0,,0.0,0.0,-5187.0,109140.0,,,,0.0001,5000000.0,0.0,0.0,0.0,,,,,109140.0,,-5187.0,19813.0,25000.0,,,,,,,0.0,0.0,8750000.0,8750000.0,,,,,,,
2021-06-30,2021-08-17,10-Q,TCV ACQUISITION CORP.,TCVA,CIK0001845580,USD,380.0,209719.0,,42233.0,8683890.0,,401929301.0,1920231.0,400009070.0,1000131.0,,1000131.0,,,,244726.0,,,,,9095.0,14252332.0,401929301.0,252332.0,,,-235631.0,,-244726.0,,,0.0001,5000000.0,0.0,0.0,0.0,920100.0,,,,,,-240818.0,8444182.0,,11000000.0,379232787.0,-235631.0,0.0001,10.0,40000000.0,0.0,0.0,,,,,,,,,
2021-09-30,2021-11-15,10-Q,TCV ACQUISITION CORP.,TCVA,CIK0001845580,USD,25915.0,100900.0,,69635.0,5819454.0,,401617501.0,1603284.0,400014217.0,748736.0,,748736.0,,,,261086.0,,,,,5168.0,14196450.0,401617501.0,196450.0,,,-255918.0,,-261086.0,,,0.0001,5000000.0,0.0,0.0,0.0,854548.0,,,,,,-496736.0,5323828.0,,,382097223.0,-255918.0,0.0001,10.0,40000000.0,0.0,0.0,,,,,,,,,
