end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,ReceivablesNetCurrent,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2010-12-31,2011-03-28,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,78202.0,155023012.0,,0.0,0.0,0.0,1900000.0,1900000.0,166379000.0,-0.1,150693878.0,,0.0,78000.0,0.0,4378000.0,,,,,,,,78202.0,155023012.0,,,0.0,-128000.0,,,,128000.0,,0.0,0.0,0.0,155072000.0,,4378396.0,-11435000.0,,127667.0,,1900000.0,155072000.0,,,0.0,0.0,1246000.0
2011-03-31,2011-05-13,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,,,,0.0,0.0,,,,,0.08,53630974.0,,11839.0,35146.0,0.0,434719.0,,,,,,,,,,,,0.0,169571.0,,,,280348.0,,0.0,8654329.0,0.0,54065692.0,,,,,280348.0,,,,,,,,2115556.0
2011-06-30,2011-08-10,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,114770.0,211498467.0,,0.0,0.0,0.0,2450000.0,2450000.0,232128961.0,1.91,50640859.0,,47862.0,1422.0,0.0,-4813115.0,,,,,,,,114770.0,211498467.0,,,0.0,4691816.0,,,,359137.0,,0.0,39661603.0,0.0,45827741.0,,0.0,-20745264.0,,359137.0,,,,,,,,2456044.0
2011-09-30,2011-11-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,114210.0,224269457.0,,0.0,0.0,,2600000.0,2600000.0,237389542.0,-1.14,43218748.0,,55850.0,-560.0,0.0,0.0,,,,,,,,114210.0,224269457.0,,,0.0,-2910370.0,,,,387740.0,,0.0,27536832.0,0.0,43218752.0,,0.0,-13234295.0,,387740.0,,,,,,,,2542391.0
2011-12-31,2012-02-29,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,107543.0,183189000.0,,0.0,0.0,,2100000.0,2100000.0,182586000.0,-1.21,147490582.0,,160000.0,29000.0,8695000.0,-4378000.0,,,,,,,,8802000.0,183189000.0,,,0.0,-2907000.0,,,,1403000.0,,0.0,120762000.0,0.0,143112000.0,,0.0,-8199000.0,,1402637.0,,1450000.0,143112000.0,,,1250000.0,120762000.0,2398219.0
2012-03-31,2012-05-10,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,100269.0,175161577.0,,0.0,0.0,,2100000.0,2100000.0,199885830.0,0.44,4726778.0,,31000.0,-7000.0,-8695000.0,0.0,,,,,,,,100269.0,175161577.0,,,0.0,906000.0,,,,297000.0,,0.0,4958000.0,0.0,4727000.0,,,-24824522.0,,296788.0,,,,,,,,2072527.0
2012-06-30,2012-08-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,86960.0,167353775.0,,0.0,0.0,,2000000.0,2000000.0,172085001.0,-1.64,,,30000.0,-14000.0,4302000.0,0.0,,,,,,,,4389155.0,167353775.0,,,0.0,-3411000.0,,,,279000.0,,0.0,8685000.0,0.0,0.0,,,-9120381.0,,278873.0,,,,,,,,2076374.0
2012-09-30,2012-11-09,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,102055.0,175974230.0,,0.0,0.0,,2100000.0,2100000.0,211541602.0,1.61,,,13000.0,15000.0,-4302000.0,5037000.0,,,,,,,,102055.0,175974230.0,,,0.0,3251000.0,,,,282000.0,,0.0,0.0,0.0,9657000.0,,,-35669427.0,,281679.0,,,,,,,,2019022.0
2012-12-31,2013-02-28,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,103116.0,185427000.0,,0.0,0.0,,2200000.0,2200000.0,202243000.0,0.23,,119000.0,119000.0,-4000.0,-8695000.0,8695000.0,185427000.0,,,,2476357.1,,,103000.0,185427000.0,,,0.0,481000.0,,,,1168000.0,,0.0,13644000.0,0.0,24100000.0,,,-16919000.0,,1168126.0,,250000.0,24100000.0,150000.0,13644000.0,150000.0,13644000.0,2078825.0
2013-03-31,2013-05-08,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,108541.0,207653000.0,,0.0,0.0,,2450000.0,2450000.0,218191000.0,-0.39,,27000.0,27000.0,6000.0,0.0,,,,,,,,,109000.0,207653000.0,,,0.0,-905000.0,,,,315000.0,,0.0,0.0,0.0,23125000.0,,,-10647000.0,,314846.0,,250000.0,23125000.0,,,0.0,0.0,2319444.0
2013-06-30,2013-08-08,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,81155.0,164755000.0,,0.0,0.0,,2550000.0,2550000.0,164674000.0,-20.16,,-9000.0,-9000.0,-28000.0,0.0,,,,,,,,,81000.0,164755000.0,,,0.0,-51054000.0,,,,282000.0,,0.0,3767000.0,0.0,11951000.0,,,0.0,,282344.0,,,,,,,,2532967.0
2013-09-30,2013-11-08,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,96291.0,194337000.0,,0.0,0.0,,2700000.0,2700000.0,195346000.0,7.03,,-49000.0,-49000.0,16000.0,0.0,0.0,,,,,,,,96000.0,194337000.0,,,0.0,18463000.0,,,,295000.0,,0.0,0.0,0.0,11104000.0,,,-1105000.0,,294884.0,,,,,,,,2626630.0
2013-12-31,2014-02-28,10-K,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,116992.0,259922000.0,259804000.0,0.0,0.0,0.0,3950000.0,3950000.0,260358000.0,-20.77,,-79000.0,-79000.0,15000.0,0.0,0.0,260476000.0,,259922000.0,260476000.0,4419242.6,1.0005,,118000.0,259922000.0,,,0.0,-54148000.0,,,,1201000.0,0.0,0.0,20607000.0,0.0,149235000.0,,,-554000.0,3950000.0,1201105.0,259804000.0,2050000.0,149235000.0,300000.0,20607000.0,300000.0,20607000.0,2607260.0
2014-03-31,2014-05-12,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,94128.0,188022000.0,187928000.0,,,,2700000.0,2700000.0,187928000.0,3.93,,10000.0,,,,,188022000.0,,178741000.0,188022000.0,3016424.0,1.0005,,94000.0,,,,,11872000.0,,,,311000.0,0.0,,,,,3456000.0,,,2700000.0,311080.0,187928000.0,250000.0,17776000.0,1500000.0,102078000.0,,,3020000.0
2014-06-30,2014-08-11,10-Q,Aberdeen Standard Precious Metals Basket ETF Trust,GLTR,CIK0001483386,USD,92098.0,186718000.0,183037000.0,,,,2550000.0,2550000.0,183037000.0,2.17,,16000.0,,,,,186718000.0,,171863000.0,186718000.0,2900332.0,1.0201,,3681000.0,,,,,5633000.0,,,,277000.0,0.0,,,,,,,0.0,2550000.0,277000.0,183037000.0,,,,,,,2599451.0
