end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CostOfGoodsAndServicesSold,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInPrepaidExpense,InterestExpense,Liabilities,LiabilitiesAndStockholdersEquity,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingExpenses,OperatingIncomeLoss,OtherNotesPayable,PrepaidExpenseCurrent,ProceedsFromRepaymentsOfNotesPayable,ProfessionalFees,ProfitLoss,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfSharesOutstandingBasic,InterestExpenseDebt,InterestExpenseOther,NotesPayable,NotesPayableRelatedPartiesCurrentAndNoncurrent,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,TreasuryStockRetiredCostMethodAmount
2021-03-31,2021-07-07,10-Q,Cordia Corporation,CORG,CIK0000837342,USD,517.0,8235784.0,4509.0,217.0,217.0,-2818.0,0.001,105000000.0,13611574.0,13611574.0,13612.0,0.0,0.0,8286116.0,8286116.0,0.0,3583.0,207.0,-3200.0,4292.0,300.0,41577.0,4509.0,9050.0,-11868.0,4283.0,-4076.0,20000.0,4292.0,9050.0,700.0,-4376.0,-8286116.0,207.0,-37068.0,,347544.0,348.0,13611574.0,,,,,,,,,
2021-06-30,2021-08-16,10-Q,Cordia Corporation,CORG,CIK0000837342,USD,817.0,8235784.0,100.0,100.0,100.0,,0.001,105000000.0,13611574.0,13611574.0,13612.0,,0.0,8318413.0,8318413.0,,,,,,,69465.0,100.0,,,,,20000.0,0.0,,,,-8318413.0,,-69365.0,-69017.0,347544.0,348.0,,,,,,,,,,
2021-09-30,2021-12-21,10-Q,Cordia Corporation,CORG,CIK0000837342,USD,8186.0,8306384.0,108436.0,108436.0,108436.0,108336.0,0.001,105000000.0,13611574.0,13611574.0,13612.0,0.0,0.0,8418797.0,8418797.0,-0.01,8624.0,0.0,7717.0,0.0,26232.0,241876.0,108436.0,203518.0,-95182.0,93364.0,-93364.0,212190.0,0.0,203518.0,28240.0,-135023.0,-8453436.0,0.0,-133440.0,,0.0,0.0,13611574.0,16697.0,15427.0,250000.0,0.0,,,,,
