end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccruedLiabilitiesCurrentAndNoncurrent,AdditionalPaidInCapital,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,BusinessAcquisitionPercentageOfVotingInterestsAcquired,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleNotesPayableCurrent,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,DueToRelatedPartiesNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,GainLossRelatedToLitigationSettlement,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationNondeductibleExpenseOther,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedTaxesPayable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseRelatedParty,InterestPaid,InterestPaidNet,InterestPayableCurrent,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OperatingLossCarryforwardsValuationAllowance,OtherExpenses,OtherLiabilitiesNoncurrent,OtherNonoperatingIncomeExpense,PaymentsForOtherTaxes,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,Capital,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2015-12-31,2016-01-22,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,,10238.0,100.0,1039.0,344117.0,,,166.0,,166.0,,,0.001,90000000.0,6683000.0,6683000.0,6683.0,,,0.0,,,,,,20000.0,0.0,,,,,-6407.0,,,0.0,,,,,,,,,,,,,,,,,484.0,,,,,31377.0,166.0,10338.0,21039.0,,,,,-6407.0,,,,,,,5923.0,-5923.0,,,,,-484.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,-382011.0,0.0,-31211.0,,,,6683000.0,,
2016-03-31,2016-07-14,10-K,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,,10294.0,1668.0,,344117.0,0.0,277.0,277.0,,277.0,-4743.0,,0.001,90000000.0,6683000.0,6683000.0,6683.0,,,100.0,,0.0,17260.0,17260.0,,3500.0,0.0,,0.373,,,-26197.0,,0.0,100.0,100.0,,9182.0,,-8941.0,0.0,0.0,727.0,-868.0,4164.0,,,0.0,1580.0,15810.0,,1580.0,1580.0,0.0,,1656.0,35550.0,277.0,31962.0,3588.0,,15810.0,0.0,-20553.0,-26297.0,,,20000.0,20000.0,,3500.0,24617.0,-24617.0,46300.0,,,88.0,-1580.0,100.0,,0.001,10000000.0,0.0,0.0,0.0,,,15810.0,,,,-386073.0,0.0,-35273.0,0.0,,,6683000.0,,
2016-06-30,2016-08-12,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,,11430.0,100.0,,344117.0,,,3168.0,,3168.0,2891.0,,0.001,90000000.0,6683000.0,6683000.0,6683.0,,,0.0,,,,,,7500.0,0.0,,,,,-2935.0,-2935.0,,0.0,0.0,,,,,,,,,1136.0,,,-1568.0,690.0,,,690.0,690.0,0.0,,,41376.0,3168.0,31530.0,9846.0,,4000.0,0.0,-1109.0,-2935.0,,,,20000.0,,20000.0,2245.0,-2245.0,,,,2346.0,-690.0,,,0.001,10000000.0,0.0,0.0,0.0,,,4000.0,,,,-389008.0,0.0,-38208.0,,,,1336600000.0,,
2016-09-30,2016-11-17,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,,15044.0,2773.0,,344117.0,,,279.0,,279.0,,,0.001,90000000.0,6683000.0,6683000.0,6683.0,,,0.0,,,,,,10000.0,0.0,,,,1051.0,-9852.0,,,0.0,,,,,,,,,,,,,,,,,849.0,,,,,48339.0,279.0,37817.0,10522.0,,,,,-9852.0,,,,20000.0,,20000.0,9003.0,-9003.0,,,,522.0,-849.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,7952.0,,,-398860.0,0.0,-48060.0,,,,6683000.0,,
2016-12-31,2017-02-21,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,,13637.0,3407.0,,344117.0,,888.0,888.0,,888.0,,,0.001,90000000.0,6683000.0,6683000.0,6683.0,,,0.0,,,,,,,0.0,,,,1729.0,-4940.0,,,0.0,,,,,,,,,,,,,,,,,956.0,956.0,,,,53888.0,888.0,43044.0,10844.0,,,,,-4940.0,,,,26000.0,20000.0,10000.0,3984.0,-3984.0,,,,844.0,-956.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,2255.0,,,-403800.0,0.0,-53000.0,,,,1336600000.0,,
2017-03-31,2017-06-26,10-K,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,13522.0,13522.0,5480.0,,344117.0,,8.0,8.0,,8.0,-269.0,,0.001,10000000000.0,1336600000.0,1336600000.0,1336600.0,,,100.0,21828.0,0.0,64200.0,21828.0,,,0.0,0.34,0.373,,4690.0,-21661.0,,0.0,100.0,100.0,100.0,6691.0,2829.0,-7399.0,0.0,0.0,1326.0,-718.0,3228.0,3228.0,,,3724.0,,,3724.0,3724.0,0.0,,,57042.0,8.0,57042.0,0.0,,14540.0,0.0,-14809.0,-21761.0,,38040.0,,38040.0,,0.0,17937.0,-17937.0,64200.0,,,0.0,-3824.0,100.0,,0.001,10000000.0,0.0,0.0,0.0,,,14540.0,13247.0,,,-407834.0,0.0,-57034.0,,,,1336600000.0,,
2017-06-30,2017-08-16,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,,21604.0,6661.0,,306999.0,,0.0,,,0.0,-8.0,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,,,,,,,,,0.0,,,7373.0,1109.0,,-9271.0,,,,,,,,,,,,15455.0,15456.0,,,1181.0,,,1181.0,,,,,106305.0,0.0,,,,,,-8.0,-9271.0,,38040.0,,40000.0,,,15463.0,-15463.0,,,,,6192.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,14354.0,,,-417105.0,,-106305.0,,,,1093252222.0,,
2017-09-30,2017-11-20,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,12513.0,,2027.0,,306999.0,,0.0,0.0,,0.0,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,28750.0,,0.0,,,,7604.0,,,,,,,,,,,,,,,,,,,,,2014.0,,,,,,0.0,149582.0,,,,,,-43277.0,,,,,,,41263.0,-41263.0,,,,,-2014.0,,,0.001,10000000.0,0.0,0.0,,,,,33659.0,,,-460382.0,,-149582.0,,,,760250000.0,,
2017-12-31,2018-02-07,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,33230.0,,4170.0,,,,8333.0,8333.0,,,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,64325.0,,0.0,,,,9146.0,,,,,,,,,,,,,,,,,,,,,2143.0,,,,,,8333.0,208017.0,,,,,,-50102.0,,,,,,,47959.0,-47959.0,,,,,-2143.0,,,0.001,10000000.0,0.0,0.0,,8333.0,,,38813.0,,,-510484.0,,-199684.0,,,,760250000.0,,
2018-03-31,2018-06-29,10-K,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,41340.0,,6267.0,,,,5833.0,5833.0,,0.0,-8.0,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,51584.0,,245640.0,51584.0,131711.0,,0.0,0.21,,7373.0,27275.0,,,,,,,-38376.0,23757.0,,,,,,,56895.0,,,7335.0,,5833.0,7434.0,,,,,285610.0,5833.0,285610.0,,14623.0,131711.0,,-131719.0,-182743.0,,,,,,,182682.0,-182682.0,,,,,-61.0,,,0.001,10000000.0,0.0,0.0,,5833.0,,131711.0,155407.0,,7250.0,-590577.0,,-279777.0,,,,842360137.0,,
2018-06-30,2018-08-09,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,10991.0,,8387.0,,,,3333.0,3333.0,,,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,233026.0,,0.0,,,,10183.0,,,,,,,,,,,,,,,-30349.0,,,2120.0,,2500.0,-2120.0,,,,,,3333.0,358696.0,,,101315.0,,-101315.0,-75586.0,,,,,,,73466.0,-73466.0,,,2120.0,,-2120.0,,,0.001,10000000.0,0.0,0.0,,3333.0,,101315.0,63283.0,-75586.0,,-666163.0,,-355363.0,,,,760250000.0,,
2018-09-30,2018-10-31,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,6801.0,,10530.0,,,,833.0,833.0,,,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,310655.0,,0.0,,,,6356.0,,,,,,,,,,,,,,,,,,,,,-2143.0,,,,,,833.0,434278.0,,,,,,-78082.0,,,,,,,75939.0,-75939.0,,,,,-2143.0,,,0.001,10000000.0,0.0,0.0,,833.0,,,69583.0,-78082.0,,-744245.0,,-433445.0,,,,760250000.0,,
2018-12-31,2019-02-20,10-Q,"XENOUS HOLDINGS, INC.",XITO,CIK0001651932,USD,2705.0,,12673.0,,,,10000.0,10000.0,,,,,0.001,10000000000.0,760250000.0,760250000.0,760250.0,,106292.0,,,,,,345934.0,,0.0,,,,3260.0,,,,,,,,,,,,,,,,,,,,,-2144.0,,,,,467604.0,10000.0,467604.0,,,,,,-24159.0,,,,,,,22015.0,-22015.0,,,2144.0,,-2144.0,,,0.001,10000000.0,0.0,0.0,,10000.0,,,18755.0,-24159.0,,-768404.0,,-457604.0,,,,760250000.0,,
