end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapitalCommonStock,AssetImpairmentCharges,Assets,AssetsCurrent,BankOverdrafts,Cash,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,ClassOfWarrantOrRightOutstanding,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscribedButUnissued,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockSharesConverted1,CostsAndExpenses,CostsIncurredExplorationCosts,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentAmount1,DebtInstrumentIncreaseAccruedInterest,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromOfficersOrStockholders,DueFromOtherRelatedParties,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesNoncurrent,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,ExplorationExpense,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfIntangibleAssetsFinitelived,IncomeLossFromContinuingOperations,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsAndNotesReceivable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,IntangibleAssetsNetExcludingGoodwill,InterestAndDebtExpense,InterestExpense,InterestExpenseDebt,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayable,LoansPayableCurrent,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAccruedLiabilitiesNoncurrent,OtherIncome,OtherNonoperatingIncomeExpense,PaymentsForLoans,PaymentsToAcquireMineralRights,PaymentsToAcquireNotesReceivable,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromCollectionOfLongtermLoansToRelatedParties,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfLongTermDebt,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueNet,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharebasedCompensationArrangementBySharebasedPaymentAwardEquityInstrumentsOtherThanOptionsAggregateIntrinsicValueOutstanding,SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsVestedNumberOfShares,SharesIssued,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueStockOptionsExercised,StockOptionPlanExpense,TechnologyServicesCosts,UnsecuredDebt,UnsecuredLongTermDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2009-12-31,2010-04-14,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,,,,,,,,,,19001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-53215.0,,,,,100000.0,,,,,,,
2010-06-30,2010-08-16,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,,,,,,,,,,,,,,,,,,,,,,,38462.0,,,,,,,,,,,,,,,,-0.01,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38462.0,,,,,,,,,,,,,,,,,,,,21735.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-04-15,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,60821.0,,6348.0,,102990.0,0.0,26829.0,18329.0,,1981.0,,-17020.0,,,,0.0,100000000.0,6000000.0,0.0,,60.0,,84450.0,,,,,,,,240715.0,,,,85382.0,,,,-0.01,,,,,5458.0,,,0.0,,,,,,55125.0,-3894.0,,,1197.0,,,8500.0,,,,0.0,,,,,26829.0,164494.0,,0.0,,25002.0,-10000.0,-32022.0,-84450.0,,18291.0,-84450.0,,,,,,,,,,,,,0.0,,12034.0,12968.0,28690.0,,,,,-240715.0,,0.0,,,,,,,,,,,,,,,,,-137665.0,0.0,,,,,,,,,,,
2011-03-31,2011-05-20,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,,,,,,,,,,574.0,,-1407.0,,,,,,,,,,,14100.0,,,,,,,,,,,,,,,,0.0,,,,,3271.0,,,0.0,,,,,,5365.0,5237.0,0.0,,753.0,,,,,,,0.0,,,,,,,,,,0.0,,-1407.0,-14100.0,,,-14100.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-22,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,80557.0,,3963.0,,109237.0,,97463.0,13963.0,,-62.0,,,,,,0.0,100000000.0,6250000.0,,,63.0,,39978.0,,,,,,,,294793.0,,,,92299.0,,,,-0.01,,,,,3274.0,,,,,,,,,,,,,,,,8500.0,,,,,,,,,97463.0,282956.0,,90627.0,,,,,-39978.0,,19411.0,,,,,,,,,,,,,,,,,,23608.0,,,,,,,0.0,,,,,,,,,,,,,,,,,-185493.0,,,,,,,,,,,,
2011-09-30,2011-11-14,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,103330.0,,7738.0,,109237.0,-10000.0,84501.0,9501.0,,1763.0,,,,,,0.0,100000000.0,6250000.0,10000.0,,63.0,,40797.0,,,,,,,,289309.0,,,,52086.0,,,,0.0,,,,,-5037.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,84501.0,254510.0,,92709.0,,,,,5484.0,,6385.0,-40797.0,,,,,,,,,,,,,,,,,14978.0,,,,,,,0.0,,,,,,,,,,,,,,,,,-170009.0,,,,,,,,,,,,
2011-12-31,2012-04-13,10-K,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,117680.0,,9144.0,,165487.0,86418.0,9903.0,9903.0,,759.0,,-1222.0,,,,0.0,100000000.0,6250000.0,10000.0,,63.0,,173407.0,,,,5164.0,,151000.0,-151000.0,,,0.0,41974.0,41974.0,35049.0,,,-0.03,,,,,9317.0,,,0.0,,69200.0,,,,56859.0,-4214.0,,,6300.0,,,0.0,,,,0.0,,,,,9903.0,278522.0,,112289.0,,118417.0,-75000.0,-44639.0,-203454.0,,6579.0,-173407.0,,736.0,,,,,,,,,,,10000.0,,0.0,1396.0,46644.0,0.0,,,,-444169.0,,0.0,,,,,,,,,,,,,,,,,-268619.0,62500.0,,,,,,,,,41974.0,6579.0,
2012-03-31,2012-05-21,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,115052.0,,14625.0,,165487.0,,14873.0,14873.0,,248.0,,-511.0,,,,0.0,100000000.0,6250000.0,85000.0,,63.0,,54973.0,,,,,,,,,,,,26744.0,,,,-0.01,,,,,4773.0,,,0.0,,,,,-5481.0,-2628.0,-5481.0,15230.0,,2369.0,,,,,,,0.0,,,,,14873.0,263465.0,,114908.0,,59770.0,,-60281.0,-54973.0,,6761.0,-54973.0,,,,,,,,,,,,,75000.0,,,,9615.0,22500.0,,,,-499142.0,,0.0,,,,,,,,,,,,,,,,,-248592.0,,,,,,,,,,,,
2012-06-30,2012-08-20,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,150879.0,,21606.0,-568360.0,165487.0,,,21711.0,,105.0,,,,,,0.0,100000000.0,6250000.0,146700.0,,63.0,,69218.0,,,,,,,,,,,,25482.0,30868.0,,,-0.01,,,,,-685.0,,,,,,,,,,,,,,,,,,,,,,,,,21711.0,277821.0,,94652.0,,,,,-69218.0,,6808.0,,,968.0,,,,,,,,,,,,,,,28853.0,,,,,-568360.0,,,,,,,,,,,,,,,,,,,-256110.0,,,,,,,,,,25482.0,6808.0,
2012-09-30,2012-11-13,10-Q,LODE-STAR MINING INC.,LSMG,CIK0001319643,USD,148863.0,,27489.0,624233.0,333154.0,,,37364.0,,170.0,,,,,,0.0,100000000.0,9604000.0,81500.0,,96.0,,55873.0,,,,,,,,,9705.0,9705.0,,,32201.0,,,-0.01,,,,,5431.0,,,,,,,,,,,,,,,,,,,,,,,,,37364.0,246847.0,,90920.0,,,,,-55873.0,,7064.0,-55873.0,,1108.0,,,,,,,,,,,,,,,4750.0,,,,,-624233.0,,,,,,,,,,,,,,,,,,,-209483.0,,,,,,,,,,,7064.0,
