end,filed,form,Name,Ticker,CIK,Currency,AccountsAndOtherReceivablesNetCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AllowanceForNotesAndLoansReceivableCurrent,Assets,AssetsCurrent,BusinessCombinationConsiderationTransferred1,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,CashUninsuredAmount,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,CostOfRevenue,DebtInstrumentInterestRateStatedPercentage,DeferredFederalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DueToOfficersOrStockholdersCurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncreaseDecreaseDueFromOtherRelatedParties,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInDueToOtherRelatedPartiesCurrent,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaidNet,InvestmentIncomeInterest,LeaseAndRentalExpense,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAndLoansReceivableNetCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingCostsAndExpenses,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,OperatingLeaseRightOfUseAssetAmortizationExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeaseWeightedAverageDiscountRatePercent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentBeforeTaxPortionAttributableToParent,OtherExpenses,OtherNotesPayableCurrent,PaymentsToAcquireLoansReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,PrepaidRent,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromLoans,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SaleOfStockConsiderationReceivedOnTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPercentageOfOwnershipAfterTransaction,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TaxesPayableCurrent,ValuationAllowanceDeferredTaxAssetChangeInAmount,VariableInterestEntityOwnershipPercentage,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,IncreaseDecreaseInInventories,InventoryNet,OtherIncome
2018-12-31,2019-02-11,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,,,,,,,,,,,7067.0,5403.0,,,5403.0,,,,,,,0.001,75000000.0,5000000.0,5000000.0,5000.0,,,,,,,,12907.0,,,,2710.0,,,,,14974.0,0.0,,,,,,,1414.0,,,-2629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14974.0,7067.0,,,,,-2629.0,,,,,4129.0,-2629.0,,,,,,,,,,,,,,,,,,,1664.0,,,,,,,2715.0,-2629.0,,,,,-12907.0,,1500.0,,,,-7907.0,-7907.0,,,,,,,,,5000000.0,5000000.0,,,
2019-03-31,2019-05-13,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,,,,,,,,14490.0,,,18497.0,18083.0,,,18083.0,,18083.0,,,,,0.001,75000000.0,6610000.0,6610000.0,6610.0,,,,,,,,17577.0,,,,3691.0,,,,,14974.0,0.0,,,,,,,2191.0,,,-4670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14974.0,18497.0,,,,,-4670.0,,,,,4670.0,-4670.0,,,,,,,,,,,,,,,,,,,414.0,,,,,,,2479.0,,,,,,-17577.0,,,,,,3523.0,3523.0,,,,16100.0,,,,,6610000.0,,,,
2019-06-30,2019-10-03,10-K,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,,755.0,,,,,,17640.0,,,17202.0,17202.0,,,17202.0,12202.0,17202.0,12202.0,17202.0,250000.0,0.0,0.001,1000000000.0,6960000.0,6960000.0,6960.0,-21319.0,,,,,,4477.0,21319.0,21319.0,4477.0,4477.0,4477.0,,,14974.0,,14974.0,0.0,0.0,0.21,,,,,5881.0,1500.0,,,-21319.0,-25569.0,,,,,755.0,,,,,,,,,,,-4166.0,,,,0.0,,,,,15729.0,17202.0,,28600.0,28600.0,-16398.0,-21319.0,,,,,22819.0,-21319.0,,,,,,,,,,,,,0.001,20000000.0,,,0.0,,,,19600.0,,,9000.0,,16938.0,,,,,,-23127.0,1500.0,1500.0,,,,1473.0,,,,,19600.0,,,,,5568057.0,,,,
2019-09-30,2019-10-23,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,,,,,,,,17640.0,,,12043.0,12043.0,,,12043.0,-5159.0,12043.0,-5159.0,12043.0,,,0.001,75000000.0,6960000.0,6960000.0,6960.0,-4404.0,,,,,,,27531.0,,,,-5782.0,,,14974.0,,14974.0,0.0,0.0,0.21,,,,,104.0,,,,-4404.0,,,,,,-755.0,,,,,,,,,,,,,,,0.0,,,,,14974.0,12043.0,,,,-5159.0,-4404.0,,,,,4404.0,-4404.0,,,,,,,,,,,,,,,,,,,,,,,,,,4300.0,-17389.0,,,,,-27531.0,,,,,,-2931.0,,,,,,,,,,6960000.0,6960000.0,,,
2019-12-31,2020-01-21,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,,,,,,,,17640.0,,,4058.0,4058.0,,,4058.0,,4058.0,,4058.0,,,0.001,75000000.0,6960000.0,6960000.0,6960.0,-12985.0,,,,,,,40516.0,,,,8508.0,,,19974.0,,19974.0,0.0,,,,,,,33.0,,,,-12985.0,,,,,,,,,,,,,,,,,,,,,,,,,,19974.0,4058.0,,,,,-12985.0,,0.0,,,12985.0,-12985.0,,,,,,,,,,,,,,,,,,,,,,,,,,12952.0,-12985.0,,,,,-40516.0,,,,,,-15916.0,,,,,,,,,,6960000.0,6960000.0,,,
2020-03-31,2020-05-01,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,,16814.0,9467.0,,,,,17640.0,,,2036.0,,,,1118.0,,1118.0,,,,,0.001,1000000000.0,6960000.0,6960000.0,6960.0,-28303.0,,,,,,14452.0,68819.0,68819.0,,,14452.0,,0.0,,,19974.0,0.0,,,,,,,858.0,,,,-28303.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,46255.0,2036.0,,,,,-28303.0,,,,,28303.0,-28303.0,,,,,,,,,,,,,0.001,20000000.0,,,0.0,918.0,,,,,,,,27445.0,,,,,,-68819.0,,,,,,-44219.0,,,,,,,,,,6960000.0,,,,
2020-06-30,2020-11-13,10-K,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,28942.0,47085.0,23061.0,1330.0,,0.0,-39516.0,16310.0,0.0,0.0,4275455.0,4275455.0,1330.0,4269349.0,4271326.0,,4271326.0,4254124.0,,250000.0,4269349.0,0.001,1000000000.0,6960000.0,6960000.0,6960.0,-96519.0,3972500.0,3972500.0,213617.0,,11971.0,16447.0,78322.0,80130.0,11971.0,11971.0,16447.0,,,,1330.0,19974.0,-0.01,0.0,0.21,-0.21,0.21,-39531.0,,11167.0,40185.0,0.0,,-57003.0,,,,,,46330.0,1330.0,,,,,,,23061.0,25599.0,,4144.0,,,161.0,0.0,,,,,4371831.0,4275455.0,4371831.0,4279500.0,,14155.0,-57003.0,131.0,,19974.0,,97319.0,-57134.0,,,,,0.0,,,-39516.0,,23061.0,,,0.001,20000000.0,0.0,0.0,,4129.0,,2919.0,3972500.0,,,5000.0,,86152.0,,0.0,,,,-80130.0,253803.0,,19600.0,1960000.0,,-96376.0,,,,,0.0,,2526.0,11971.0,,6960000.0,,,,
2020-09-30,2021-01-11,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,4663.0,,1146174.0,,,1439494.0,,344744.0,16310.0,,,13042522.0,12966548.0,,,9310248.0,,9310248.0,5038923.0,,250000.0,9218024.0,0.001,1000000000.0,6960000.0,6960000.0,6960.0,1344069.0,10506725.0,10202725.0,4156281.0,,,,,,,,,,,,,19974.0,0.14,,,,,337691.0,337691.0,27147.0,987297.0,0.0,959808.0,959808.0,,,,1330.0,4663.0,1078745.0,,1078745.0,1413328.0,,,2170459.0,-1330.0,,92134.0,4663.0,-2692.0,,,15352.0,1627.0,,,,,11794830.0,13042522.0,,6232225.0,-74593.0,-1456401.0,959808.0,14959.0,,19974.0,,42447.0,944849.0,1627.0,,,,0.0,,,384260.0,,81316.0,,74593.0,0.001,20000000.0,,,,1501.0,,1283.0,6230225.0,,,,,15300.0,,,75974.0,,1330.0,879678.0,5143578.0,,,,,1247692.0,,,,,,,37149.0,,,6960000.0,,,,
2020-12-31,2021-04-20,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,575126.0,658694.0,,,3121049.0,,805966.0,10513985.0,,,13489468.0,13414168.0,,,721589.0,,721589.0,,,250000.0,641404.0,0.001,1000000000.0,14009945.0,14009945.0,14010.0,481256.0,2000.0,,2153856.0,,,,,,,,,,,,,,0.0,,,,,,,33018.0,436738.0,,389087.0,389087.0,,369053.0,,,,,,,,,,,,,,,,,,5061.0,,,,,,1255794.0,13489468.0,,,,,20034.0,4742.0,8275862.0,19974.0,,52393.0,384345.0,,,,,,,,461222.0,,,,,0.001,20000000.0,,,,627.0,,,,,,,,19375.0,,,75300.0,,,899713.0,2590594.0,,,,,12233674.0,,,,,10504725.0,,,,,11481160.0,,,,
2021-03-31,2021-08-10,10-Q,"SHENGDA NETWORK TECHNOLOGY, INC.",SDWL,CIK0001753931,USD,,85140.0,172377.0,,,3537706.0,7480.0,742690.0,10513985.0,0.0,,12806768.0,12731834.0,,237894.0,317090.0,,317090.0,,,250000.0,,0.001,1000000000.0,14009945.0,14009945.0,14010.0,-18069.0,32526.0,30526.0,659003.0,,,,,,,,,,8215.0,,,,0.0,,,,,,,32880.0,106613.0,,,53162.0,,7955.0,,,,,,,,,,,,,,,,56.0,,395.0,0.0,,4762.0,4762.0,,591164.0,12806768.0,,,,,45207.0,218.0,8242010.0,19974.0,,53669.0,52944.0,,,4636.0,3683.0,,4636.0,0.05,-63276.0,33.0,,,,0.001,20000000.0,,,,675.0,,,,,,,,20789.0,,78731.0,71251.0,,,944920.0,765616.0,,,,,12215605.0,,,,,,,276511.0,,,14009945.0,,,,
