end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNet,AccruedInvestmentIncomeReceivable,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdditionalPaidInCapitalPreferredStock,AdjustmentsToAdditionalPaidInCapitalDebtWithDetachableStockPurchaseWarrantIssued,AssetImpairmentCharges,Assets,AssetsCurrent,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,CapitalizedComputerSoftwareNet,CapitalizedComputerSoftwarePeriodIncreaseDecrease,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsFairValueDisclosure,CashAndCashEquivalentsPeriodIncreaseDecrease,CashEquivalentsAtCarryingValue,CashFlowsBetweenTransferorAndTransfereeBeneficialInterest,CashPaidForCapitalizedInterest,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockShareSubscriptionsButUnissuedValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissuedValue,CommonStockSharesSubscriptions,CommonStockValue,CostOfGoodsSold,CostOfServices,CostsAndExpensesRelatedParty,DebtConversionConvertedInstrumentAmount,DeferredIncomeTaxesAndOtherAssetsCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsTaxDeferredExpense,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsValuationAllowance,DeferredTaxAssetsValuationAllowanceCurrent,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromJointVenturesCurrent,DueToRelatedParties,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,FiniteLivedComputerSoftwareGross,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLeasehold,IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesPayableCurrent,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherLoans,IncreaseDecreaseInPrepaidExpense,IndefiniteLivedLicenseAgreements,InterestExpense,InterestExpenseBeneficialInterestsIssuedByConsolidatedVariableInterestEntities,InterestIncomeExpenseNet,InventoryNet,InvestmentIncomeInterest,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,InvestmentsInAndAdvancesToAffiliatesAtFairValuePeriodIncreaseDecrease,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LitigationSettlementExpense,LoansAndLeasesReceivableCollateralForSecuredBorrowings,LoansAndLeasesReceivableRelatedParties,MarketingExpense,MinorityInterestInJointVentures,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesReceivableNet,OperatingExpenses,OperatingLossCarryforwards,OtherAssetImpairmentCharges,OtherAssets,OtherNoncashIncomeExpense,OtherReceivables,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpense,PrepaidExpenseAndOtherAssetsCurrent,PriorPeriodReclassificationAdjustment,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfRedeemablePreferredStock,ProceedsFromRelatedPartyDebt,ProceedsFromStockPlans,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,RelatedPartyDebtNoncurrent,RepaymentsOfRelatedPartyDebt,ResearchAndDevelopmentExpense,ResultsOfOperationsIncomeBeforeIncomeTaxes,ResultsOfOperationsRevenueOther,RetainedEarningsAccumulatedDeficit,Revenues,ServiceManagementCosts,ShorttermDebtFairValue,StockholdersEquity,StockIssued,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,SubscriptionRevenue,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,WeightedAverageBasicSharesOutstandingProForma,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,CommonStockCapitalSharesReservedForFutureIssuance,ContractWithCustomerLiabilityCurrent,CostOfGoodsAndServicesSold,CostsAndExpenses,CustomerDepositsCurrent,DeferredIncomeTaxExpenseBenefit,DeferredRevenue,Depreciation,DividendsPayableCurrentAndNoncurrent,EmployeeBenefitsAndShareBasedCompensation,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInContractWithCustomerAsset,IncreaseDecreaseInDeferredCharges,InterestPaidCapitalized,LeaseAndRentalExpense,OperatingIncomeLoss,OtherExpenses,PaymentsForDeposits,PaymentsForRent,PaymentsOfDividends,PaymentsToAcquireOilAndGasEquipment,PrepaidExpenseCurrent,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentOtherNet,ShareBasedCompensation,SharesIssued,AccountsPayableCurrent,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,IncreaseDecreaseInCustomerDeposits,InterestAndOtherIncome,OfficersCompensation,ProceedsFromIssuanceOrSaleOfEquity
2009-09-30,2010-01-13,10-K,CYTTA CORP.,CYCA,CIK0001383088,USD,,,,,,,,,,,,,,,19927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-02-16,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,,,,,,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,168.0,,,-3463.0,-8563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12026.0,,-12026.0,-3463.0,,3463.0,,,,,,,,,,,,,,,,12026.0,,3295.0,-3463.0,,,,,,,-3463.0,,,,,,,,,,,,,,,,,605400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2010-05-14,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,,,,,,,,,,,-206.0,,,,63785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6505.0,,,-21195.0,,,,,,,,,,,,,-147.0,,,,,,,,,,,,,,,,,,,,21195.0,,,,-147.0,,,,,,,,,,,,,,7028.0,-21342.0,,,,,,,,-21342.0,,,7662.0,,,,,,,,,,,,,,693301296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-07-29,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,,,,,,,,,,,,,,,2484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,8747.0,,,-70352.0,,,,,,,,,,,,,-234.0,,,,,,,,,,,,,,,,,,,,70352.0,,,,-234.0,,,,,,,,,,,,,,16605.0,-70586.0,,,,,,,70586.0,-70586.0,,,45000.0,,,,,,,,,,,,,1014616666.0,1014616666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2011-01-13,10-K,CYTTA CORP.,CYCA,CIK0001383088,USD,9272.0,,,489719.0,,,,,71862.0,71862.0,,0.0,,19927.0,19927.0,,,19927.0,,0.0,19791.0,,560.0,,,187500.0,,,,10221.0,,,55392.0,,,,,,,,,,-490936.0,,53026.0,53026.0,,0.0,,61659.0,,,-257562.0,-2330.0,,,,,,,,,,-51935.0,0.0,,,,,,,,,62298.0,71862.0,,,,,,88726.0,,-68935.0,-257562.0,,257562.0,,,,,,,,,,0.0,51935.0,51935.0,,,,13726.0,,57018.0,,,,,,,,,-257562.0,-490936.0,,138885.0,,9564.0,31930.0,,,,,,,,,,,868858120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-22,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,6989.0,,,812219.0,,,325000.0,,206388.0,193428.0,,,,,171493.0,,151566.0,171493.0,,,,,560.0,,,,,,286000.0,12721.0,,,101000.0,,,,,,,,,,-974013.0,,61912.0,,,0.0,,10379.0,,312040.0,-482713.0,-2283.0,,,,,,,,312040.0,,30000.0,12960.0,-402.0,,,,38.0,,,,68901.0,206388.0,,,,,,193886.0,,-42320.0,-483077.0,,482713.0,,312040.0,12960.0,-364.0,,,,,,0.0,,21935.0,,,,5600.0,286000.0,40675.0,-483077.0,,,,,-97714.0,,-483077.0,-483077.0,,,119619.0,,137487.0,,,,,,,,,,,1219382551.0,1219382551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-19,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,7982.0,,,812219.0,,,,,76951.0,63785.0,-206.0,,,,89555.0,,,63785.0,,,,,560.0,,,,,,301000.0,12721.0,,,,,,,,,,,,,-1156563.0,,99032.0,,,0.0,,12450.0,,,-182335.0,,,,,,,,,,,,12960.0,-310.0,,,,95.0,,,,107014.0,76951.0,,,,,,,,,,,182335.0,,,13166.0,-215.0,,,,,,0.0,,,,,,,,40028.0,-182550.0,,,206.0,,,,,-182550.0,,,129857.0,,-30063.0,,,,,,,,,,,,1328078203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2011-08-19,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,8739.0,,,802219.0,,,,,265255.0,245033.0,-7262.0,,,214593.0,214593.0,,,214593.0,,,,,560.0,,,,,,568000.0,12721.0,1360.0,,,,,,,,,,,,-1341475.0,25000.0,191531.0,,,0.0,,26670.0,640.0,,-171711.0,,,,,,,,,,,,12960.0,-325.0,,84.0,5440.0,84.0,-25000.0,,,200270.0,265255.0,,,,,10000.0,,,,,,172351.0,,,20222.0,-241.0,,,,,,0.0,,,,,,,,32653.0,-171952.0,,,7262.0,,,,-171952.0,-171952.0,-1328515.0,2000.0,113028.0,,64985.0,,,,,,,,,,,1328078203.0,1328078203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,2012-08-29,10-K,CYTTA CORP.,CYCA,CIK0001383088,USD,15058.0,,,1081499.0,1081499.0,296248.0,325000.0,,116936.0,101385.0,,4751.0,5000.0,,97899.0,97899.0,,97899.0,,0.0,77972.0,0.0,560.0,10000.0,3900000000.0,1600078203.0,1600078203.0,10000.0,10000.0,15441.0,2600.0,,,,,0.0,0.0,0.0,-558829.0,387001.0,,2409.0,-1596654.0,,290032.0,290032.0,,0.0,,231631.0,-350.0,,-1104646.0,5786.0,,,237006.0,,-3486.0,,,312040.0,,51935.0,10800.0,-1378.0,,,3486.0,307.0,,,,305090.0,116936.0,,,,25000.0,,820006.0,5000.0,-737034.0,-1105717.0,,1104296.0,,312040.0,15551.0,-1071.0,,0.001,100000000.0,4751536.0,4751536.0,4752.0,,,,272000.0,,,10000.0,48500.0,-1105717.0,,,,290032.0,,,,-1105717.0,-1596654.0,2250.0,487125.0,,-27304.0,,,,301000.0,,,,,558829.0,,,1314839847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2012-09-27,10-Q,CYTTA CORP.,CYCA,CIK0001383088,USD,19498.0,,,,1171799.0,593248.0,,,287056.0,254795.0,,4501.0,,,254795.0,,156896.0,254795.0,,,156896.0,,560.0,,,,,,10000.0,16141.0,10909.0,,,,,,,,,,,790.0,,,387032.0,,,0.0,,216452.0,1091.0,,-322471.0,4440.0,,,,,3486.0,,,,-17500.0,,10260.0,,,,,151.0,,,91000.0,406530.0,287056.0,,17500.0,,,,397000.0,-17500.0,-222604.0,-322320.0,,323562.0,,,32261.0,151.0,,,,,,7752.0,,,,,,97000.0,,,-322320.0,,,,,,,,-322320.0,-1918974.0,12000.0,107110.0,,-119474.0,,,,300000.0,,,,,,,,1623665160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
