end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableRelatedPartiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableWriteOffs,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredForeignIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsValuationAllowance,DefinedContributionPlanEmployerMatchingContributionPercent,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,GainLossOnDispositionOfProperty,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncashMergerRelatedCosts,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesNoncurrent,NumberOfReportableSegments,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherNonoperatingIncome,OtherSalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesRevenueNet,SellingAndMarketingExpense,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2012-09-30,2014-11-21,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,58000.0,,,-7714.0,197570.0,,,,15628.0,,951.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-9514.0,0.0,,,,,0.0,400764.0,,,400764.0,,3241.0,,3109883.0,0.0,,,8447.0,0.0,,,,-8447.0,0.0,,,,,,,,,,,0.0,,15628.0,3167883.0,3335491.0,,,,,,,,-8447.0,,,,,167608.0,,8447.0,,,,-1067.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,14677.0,-3512215.0,0.0,,,,-3319863.0,,,,,,50000.0,,,1996355.0,
2012-12-31,2014-11-21,10-K,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,63000.0,,66043.0,-8954.0,197570.0,0.0,0.0,11432.0,1017.0,,1017.0,-20385.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-182197.0,0.0,0.0,0.0,0.0,0.0,0.0,415882.0,,,415882.0,0.05,12959.0,0.0,3111087.0,-0.09,33.0,,142129.0,0.0,11432.0,0.0,-175137.0,-175137.0,0.0,,,42671.0,,,,,,,,21792.0,,1017.0,3174087.0,3341759.0,,,87657.0,,,-108075.0,-108075.0,-175137.0,-175137.0,,,,167672.0,,175137.0,,,,-7060.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,87657.0,,33008.0,77312.0,,-3531854.0,,,0.0,,-3340742.0,,,,,0.0,50000.0,0.0,30637.0,1996355.0,
2013-03-31,2014-11-24,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,68000.0,,,-3804.0,197570.0,,,,951.0,,951.0,-66.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,86.0,0.0,,,,,0.0,402719.0,,,402719.0,,,,3106198.0,0.0,-2.0,,5064.0,0.0,,,,-5064.0,0.0,,,5000.0,,,,,,,,,,951.0,3174198.0,3341607.0,,,,,,-64.0,-64.0,-5064.0,,,,,167409.0,,5064.0,,,,5150.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,,-3536918.0,,,0.0,,-3340656.0,,,,,0.0,50000.0,0.0,-13163.0,1996355.0,
2013-06-30,2014-11-24,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,68000.0,,,-6716.0,197570.0,,,,236.0,,236.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-4143.0,0.0,,,,,0.0,401451.0,,,401451.0,,,,3109477.0,0.0,,,1231.0,0.0,,,,-1231.0,0.0,,,,,,,,,,,,,236.0,3177477.0,3345035.0,,,,,,,,-1231.0,,,,,167558.0,,1231.0,,,,-2912.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,,-3538149.0,,,0.0,,-3344799.0,,,,,0.0,50000.0,0.0,,1996355.0,
2013-09-30,2014-11-24,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,68000.0,,,-7730.0,197570.0,,,,236.0,,236.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-1014.0,0.0,,,,,0.0,400769.0,,,400769.0,,,,3110439.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,236.0,3178439.0,3346049.0,,,,,,,,,,,,,167610.0,,,,,,-1014.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,,-3538149.0,,,0.0,,-3345813.0,,,,,0.0,50000.0,0.0,,1996355.0,
2013-12-31,2014-11-24,10-K,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,73000.0,,,-7729.0,197570.0,,,,236.0,,236.0,-781.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-10071.0,0.0,0.0,0.0,0.0,0.0,0.0,401862.0,,,401862.0,,,,3110439.0,-0.01,-1.0,,1296.0,0.0,,0.0,-11296.0,-11296.0,0.0,,,10000.0,,,,,,,,,,236.0,3183439.0,3351049.0,,,516.0,,,-1296.0,-1296.0,-11296.0,-11296.0,,,,167610.0,,11296.0,,,,1225.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,516.0,,10000.0,,,-3543150.0,,,0.0,,-3350813.0,,,,,0.0,50000.0,0.0,-14020.0,1996355.0,
2014-03-31,2015-04-30,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,62000.0,,,-6799.0,197570.0,,,,236.0,,236.0,0.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-1070.0,0.0,,,,,0.0,403138.0,,,403138.0,,,,3122557.0,0.0,,,,0.0,,,,-2000.0,0.0,,,2000.0,,,,,,,,,,236.0,3184557.0,3352119.0,,,,,,,,-2000.0,,,,,167562.0,1.0,2000.0,,,,930.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,2000.0,,,-3545150.0,,,0.0,,-3351883.0,,,,,0.0,0.0,0.0,-1276.0,1996355.0,
2014-06-30,2015-04-30,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,64000.0,,,-9293.0,197570.0,,,,236.0,,236.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-4508.0,0.0,,,,,0.0,403444.0,,,403444.0,,,,3124937.0,0.0,,,14.0,0.0,,,,-2014.0,0.0,,,,,,,,,,,,,236.0,3188937.0,3356627.0,,,,,,,,-2014.0,,,,,167690.0,,2014.0,,,,-2494.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,2000.0,,,-3547164.0,,,0.0,,-3356391.0,,,,,0.0,0.0,,,1996355.0,
2014-09-30,2015-04-30,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,66000.0,,,-4181.0,197570.0,,,,236.0,,236.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,2822.0,0.0,,,,,0.0,402816.0,,,402816.0,,,,3120377.0,0.0,,,290.0,0.0,,,,-2290.0,0.0,,,,,,,,,,,,,236.0,3186377.0,3353805.0,,,,,,,,-2290.0,,,,,167428.0,,2290.0,,,,5112.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,2000.0,,,-3549454.0,,,0.0,,-3353569.0,,,,,0.0,0.0,0.0,,1996355.0,
2014-12-31,2015-04-30,10-K,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,72000.0,,,-6630.0,197570.0,,,,236.0,,236.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-11205.0,0.0,0.0,0.0,0.0,0.0,0.0,403117.0,,403117.0,403117.0,,,,3122700.0,-0.01,,,304.0,0.0,,0.0,-12304.0,-12304.0,0.0,,,12000.0,,,,,,,,,3362254.0,236.0,3194700.0,3362254.0,,,304.0,,,-304.0,-304.0,-12304.0,-12304.0,,,,167554.0,1.0,12304.0,,,,1099.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,304.0,,12000.0,,,-3555454.0,,,0.0,,-3362018.0,,,,,0.0,0.0,0.0,-1255.0,1996355.0,
2015-03-31,2015-05-14,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,85042.0,,,-7982.0,197570.0,,,,236.0,,236.0,0.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-69979.0,,,,,,0.0,,24019.0,402432.0,402432.0,,,,3179568.0,-0.03,,,7692.0,,,,,-68627.0,0.0,,,13042.0,,,,,,,,,,236.0,3264610.0,3432233.0,,,55585.0,,,,-55585.0,-92350.0,,,,,167623.0,,68627.0,,,,-2198.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,55585.0,,60935.0,,,-3624081.0,,,0.0,,-3456566.0,,,,,0.0,0.0,0.0,23334.0,1996355.0,
2015-06-30,2015-08-12,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,62589.0,,,-8828.0,197570.0,,,,72.0,,72.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-24405.0,,,,,,,,48162.0,402536.0,450698.0,,,,3226383.0,-0.01,,,388.0,,,,,-23559.0,,,,,,,,,,,,,3456638.0,72.0,3288972.0,,,,,,,,,-23559.0,,,,,167666.0,,23559.0,,,,-846.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,23171.0,,,-3647804.0,,,,,-3456566.0,,,,,0.0,0.0,,,1996355.0,
2021-03-31,2021-05-14,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,1908.0,,,,-475243.0,,,,3342.0,3342.0,2758.0,,,,0.001,1000000000.0,652096355.0,652096355.0,652096.0,,,,,,,,,,,,,,,,0.0,,,7214.0,,,,,,,,,,,,,24764.0,,-1750.0,,,,3342.0,293569.0,,124107.0,,,,,,,-26514.0,,,,167554.0,,,26514.0,-26514.0,,,,,,,0.001,100000000.0,500000.0,500000.0,500.0,584.0,,,19300.0,,,-468249.0,,,,,-290226.0,100.0,,,,,,,,652096355.0,
2021-06-30,2021-08-16,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-322140.0,,,,,,,,,,
2021-09-30,2021-11-15,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,9408.0,,,,3664665.0,,,,6255.0,5082.0,2276.0,,,,0.001,1000000000.0,32606582.0,32606582.0,32607.0,,,,,,,,,,,,,,,,0.0,,,2526.0,,,,,,,,,,,,,,,,,,,6255.0,342107.0,,165145.0,,,,,,,-13712.0,,,,167554.0,,,13712.0,-13712.0,,,,,,,0.001,100000000.0,500000.0,500000.0,500.0,2806.0,,,11186.0,,1173.0,-4034294.0,,,,,-335852.0,,,,,,,,,32606582.0,
