end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableRelatedPartiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableWriteOffs,AssetImpairmentCharges,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,DeferredFederalIncomeTaxExpenseBenefit,DeferredForeignIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsForeign,DeferredTaxAssetsValuationAllowance,DefinedContributionPlanEmployerMatchingContributionPercent,Depreciation,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,GainLossOnDispositionOfProperty,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInInterestAndDividendsReceivable,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInPrepaidExpense,InterestPaid,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoncashMergerRelatedCosts,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesNoncurrent,NumberOfReportableSegments,OperatingExpenses,OperatingIncomeLoss,OtherAssetsCurrent,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherNonoperatingIncome,OtherSalesRevenueNet,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesRevenueNet,SellingAndMarketingExpense,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueIssuedForServices,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-12-31,2010-03-29,10-K,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,,,,,,,,,,,53850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-12,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,,,,,,,,,,,36353.0,,,,,,,,,-162020.0,7058.0,,,,,,,,,,,,,,-0.08,,,162413.0,-2561.0,,,,-167225.0,0.0,,,,,,,,,,,,,,,,,,,,,,,-167225.0,,,,,,,164664.0,,,5205.0,,,641.0,,,,,,,,,,,,,,3856.0,4497.0,,2251.0,,,,,,,,,,,1996355.0
2010-09-30,2010-11-15,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,,,,,,,,,,,5683.0,,,,,,,,,-151897.0,10437.0,,,,,,,,,,,,,,-0.07,,,136101.0,-6576.0,,,,-144217.0,,,,,,,,,,,,,,,,,,,,,,,,-144217.0,,,,,,,137641.0,,,-7680.0,,,0.0,,,,,,,,,,,,,,3861.0,3861.0,,1540.0,,,,,,,,,,,
2010-12-31,2011-03-30,10-K,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,20337.0,3854.0,,3922.0,197570.0,,,,56740.0,23548.0,16367.0,-37483.0,,0.0,0.001,200000000.0,1996355.0,1996355.0,1996.0,-816721.0,40819.0,,,,,,,,,,,78427.0,,2483028.0,-0.41,-131.0,62013.0,615132.0,-22593.0,54028.0,,,-824575.0,,,,-4676.0,11584.0,-3861.0,,,13844.0,,,,2670363.0,56740.0,2503365.0,2670363.0,,576440.0,,-576.0,,-613216.0,,-824575.0,,,,,166998.0,,801982.0,,3327.0,7854.0,,,2780.0,576.0,0.001,10000000.0,500000.0,500000.0,500.0,,576440.0,,179355.0,,33192.0,-2817611.0,15446.0,18226.0,,7495.0,-2613623.0,,,,,,,,,,1996355.0
2011-03-31,2011-05-13,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,,3853.0,,,,0.0,0.0,0.0,,,16559.0,192.0,,,,,,,,-145356.0,10489.0,,,,,,,,,,,3562.0,,,-0.07,-14.0,,139031.0,-6636.0,,,,-147203.0,0.0,,,-3000.0,,,,,-2697.0,,,23113.0,,,,,,,144150.0,,,,-143944.0,-147203.0,,,,,,,140567.0,,,,1847.0,,,,,,,,,,144150.0,,,,,,3853.0,,3853.0,1536.0,,,,,,,,0.0,,1996355.0,
2011-06-30,2011-08-04,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,7000.0,3854.0,,4040.0,197570.0,,,,40927.0,12897.0,9043.0,,,0.0,0.001,200000000.0,1996355.0,1996355.0,1996.0,-135349.0,10418.0,,,,,,,,,,,3622.0,,2761263.0,-0.07,,,125521.0,-6561.0,,,,-133620.0,0.0,,,,,,,,,,,21783.0,,40927.0,2768263.0,2935255.0,,,,,,,,-133620.0,,,,,166992.0,,127059.0,,0.0,-1729.0,-1729.0,,0.0,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,28030.0,-3098434.0,3857.0,3857.0,3857.0,1538.0,-2894328.0,,,,,,,0.0,,1996355.0,1996355.0
2011-09-30,2011-11-10,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,14000.0,0.0,,7666.0,197570.0,,,,42752.0,14826.0,14826.0,,,0.0,0.001,200000000.0,1996355.0,1996355.0,1996.0,-120787.0,10397.0,,,,,,,,,,,3732.0,,2877087.0,-0.06,,,116330.0,-6548.0,,,,-124413.0,0.0,,,,,,,,,,,23094.0,,42752.0,2891087.0,3057867.0,,,,,,,,-124413.0,,,,,166780.0,,117865.0,,0.0,3626.0,3626.0,,0.0,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,27926.0,-3222847.0,3849.0,3849.0,3849.0,1535.0,-3015115.0,,,,,0.0,,,,1996355.0,
2011-12-31,2012-03-29,10-K,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,20329.0,,52857.0,-1894.0,197570.0,0.0,0.0,,45758.0,21402.0,21402.0,5035.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-544922.0,41720.0,0.0,0.0,0.0,0.0,0.0,385245.0,,,385245.0,,14773.0,0.0,3016673.0,-0.27,37.0,,473797.0,-26305.0,,0.0,-539106.0,-539106.0,0.0,,,-9.0,,-3854.0,,,-3326.0,,,92485.0,3204303.0,45758.0,3037002.0,3204303.0,,528054.0,528054.0,-5894.0,-5894.0,-517162.0,-517162.0,-539106.0,-539106.0,,,,167301.0,,512801.0,,,-5816.0,-5816.0,,,5894.0,0.001,10000000.0,500000.0,500000.0,500.0,,528054.0,,32857.0,77312.0,24356.0,-3356717.0,15415.0,15415.0,15415.0,6147.0,-3158545.0,,,,,,,0.0,,1996355.0,1996355.0
2012-03-31,2014-11-21,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,63000.0,,,-3664.0,197570.0,0.0,0.0,0.0,31319.0,,10187.0,-11215.0,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-142668.0,0.0,,,,,0.0,399195.0,,,399195.0,,3238.0,,3102134.0,-0.07,19.0,,140898.0,0.0,,,,-140898.0,0.0,,,42671.0,,,,,,,,21783.0,,31319.0,3165134.0,3332532.0,,,83755.0,,,-94989.0,-94989.0,-140898.0,,,,,167398.0,,140898.0,,,,-1770.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,83755.0,,,,21132.0,-3497615.0,,,0.0,,-3301213.0,,,,,0.0,50000.0,0.0,13950.0,1996355.0,
2012-06-30,2014-11-21,10-Q,UONLIVE CORPORATION,UOLI,CIK0001081834,USD,53000.0,,,-6647.0,197570.0,0.0,,,19043.0,,1131.0,,,,0.001,200000000.0,1996355.0,1996355.0,1996.0,-9136.0,0.0,,,,,0.0,400095.0,,,400095.0,,3238.0,,3108841.0,0.0,,,6153.0,0.0,,,,-6153.0,0.0,,,,,,,,,,,0.0,,19043.0,3161841.0,3329392.0,,,,,,,,-6153.0,,,,,167551.0,,6153.0,,,,-2983.0,,,,0.001,10000000.0,500000.0,500000.0,500.0,,,,,,17912.0,-3503768.0,0.0,,,,-3310349.0,,,,,0.0,50000.0,0.0,,1996355.0,
