end,filed,form,Name,Ticker,CIK,Currency,AccountsPayable,AccountsPayableAndAccruedLiabilities,AccountsPayableCurrent,AccountsReceivableNet,AccruedLiabilities,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdjustmentsToAdditionalPaidInCapitalOther,AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,AmortizationOfDebtDiscountPremium,Assets,AssetsCurrent,AssetsDisposedOfByMethodOtherThanSaleInPeriodOfDispositionGainLossOnDisposition,BankingFeesAndCommissions,BusinessAcquisitionPurchasePriceAllocationMineralRights,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommonStockholdersEquity,CommonStockShareSubscriptionsButUnissuedValue,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissuedValue,CommonStockValue,CommonStockValueOutstanding,ConversionOfStockAmountIssued1,ConvertibleDebtCurrent,ConvertibleNotesPayable,DebtDefaultShorttermDebtAmount,DebtInstrumentConvertibleInterestExpense,DebtInstrumentUnamortizedDiscount,Depreciation,DerivativeLiabilities,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,Dividends,DueFromOfficersOrStockholders,DueToOfficersOrStockholders,DueToRelatedPartiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EmbeddedDerivativeFairValueOfEmbeddedDerivativeLiability,EmployeeRelatedLiabilitiesCurrent,EquityMethodInvestmentSummarizedFinancialInformationRedeemablePreferredStock,ExplorationCosts,FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,ForeignCurrencyExchangeRateRemeasurement,ForeignCurrencyTransactionGainLossBeforeTax,GainLossOnDispositionOfAssets,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,GainsLossesOnExtinguishmentOfDebt,GainsLossesOnRestructuringOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfOilAndGasProperties,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInFairValueOfPriceRiskFairValueHedgingInstruments1,IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LossesGainsOnSalesOfAssetsAndAssetImpairmentCharges,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesAndLoansPayable,NotesPayable,NotesPayableCurrent,OilAndGasPropertyFullCostMethodGross,OperatingExpenses,OperatingIncomeLoss,OtherAssets,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeBeforeTax,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax,OtherGeneralAndAdministrativeExpense,PaymentsForOtherTaxes,PaymentsForPurchaseOfOtherAssets,PaymentsToAcquireAndDevelopRealEstate,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireProductiveAssets,PreferredStockAdditionalSeriesValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesSubscribedButUnissuedValue,PreferredStockValue,PrepaidExpense,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromIssuanceOfWarrants,ProceedsFromNotesPayable,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentNetExcludingCapitalLeasedAssets,RelatedPartyTransactionDueFromToRelatedParty,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SalesRevenueServicesNet,StockAndWarrantsIssuedDuringPeriodValuePreferredStockAndWarrants,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic
2008-11-30,2009-03-02,10-K,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,,,,,,,,,,,,,,,,,,,,,1643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71962.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11-30,2010-03-18,10-K,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,,,,,,,,,14996.0,,,,,,,,,438.0,,,-122226.0,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-292155.0,,,,,,,,,,,,,,,,,,,,,,,,,,53290.0,,,,,,,,,,,,,,,,,,,
2010-08-31,2010-10-20,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,,,,,,,,,,,-97748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61366666.0,,,,,57901.0,,4935.0,,,,,,2375504.0,,,0.0,,,,,,-10147.0,,,,,,,,,,,,,,2434496.0,-2434496.0,,,-18114.0,369.0,,,,,,,,,,,,,,,,,,,,-2560505.0,,,,,,,,,,,,,,,
2010-11-30,2011-03-15,10-K,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,40793.0,,,,43970.0,,,10068421.0,,100000.0,,,208477.0,2804367.0,2367.0,,1087.0,,1367.0,1367.0,929.0,,1860690.0,55000.0,,,,2506.0,77009.0,,,94822.0,94822.0,,-208477.0,,,139233.0,-8287246.0,,,58254.0,,,-0.13,,,150750.0,,262715.0,,,3076.0,,,,,7371647.0,,,,173390.0,,,9212.0,,-40520.0,13034.0,2804367.0,943677.0,,2802000.0,692284.0,-178000.0,-513355.0,-7896734.0,395382.0,20473.0,20473.0,,7638525.0,-7638525.0,,-9212.0,,,1744.0,,-178000.0,,,,,,,,,1000.0,,262000.0,25000.0,7350.0,291507.0,,58777.0,-7896734.0,,,,,,,,,1860690.0,100000.0,,2600000.0,6992300.0,,60948714.0
2011-02-28,2011-04-21,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,,,,,,,,,,,74720.0,,,,-90.0,,,301.0,-1066.0,,,,,,,,,,,,,,-56588.0,,,,,,,,,,,,,,,1932.0,,,-161.0,,,,,125936.0,,,,46133.0,,,56588.0,,-17497.0,3750.0,,,,,112415.0,,-113481.0,,,,,,127617.0,-127617.0,,-74720.0,,,,,,,,,,,,,,,,165000.0,,,1500.0,,-5085.0,-276422.0,,,,-49000.0,,,,,,98789.0,,,-14500.0,,88649148.0
2011-05-31,2011-07-18,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,,,,,,,,,,,,,,,86.0,,,329.0,,,,,,,,,,,,,,,-140228.0,,,,,,,,,,-0.01,,,,,43562.0,,,253.0,,,,,409116.0,,,,,,,,,-38414.0,,,,,,,,,,,,,,453017.0,453017.0,,135524.0,,,,,,,,,,,,,,,,,,,,,,-496135.0,,,,,,,,,,,,,,,92569222.0
2011-08-31,2011-10-20,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,64542.0,438091.0,,,214538.0,,,10812858.0,,,,,,2849957.0,12407.0,,107.0,2600000.0,7240.0,7240.0,,,,,,,,,137604.0,,,163588.0,,,-130220.0,,,285457.0,-9273855.0,,,100.0,,,-0.01,,,,,79120.0,,4223.0,-258.0,,,,,164901.0,,,,,,,,,-13815.0,,2849957.0,1173347.0,,2837550.0,,,,,,361011.0,20386.0,,243870.0,-243870.0,,144355.0,,,,,,,,,,,,,3.0,5167.0,,,,,,,,-243550.0,,,,,,,,,1676610.0,,,,,,118408078.0
2011-11-30,2012-03-16,10-K,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,64030.0,,64030.0,,308032.0,308032.0,,11788909.0,,,,,400625.0,4316.0,4316.0,-2837550.0,400.0,,399.0,399.0,-968.0,,-1457068.0,,2500000000.0,196097458.0,196097458.0,,0.001,196097.0,,127392.0,127392.0,,-400625.0,,,434063.0,-13442099.0,,,100.0,100.0,,0.0,,,274416.0,,376284.0,-245589.0,,-261.0,2837550.0,2837550.0,,,1683939.0,,,,554122.0,,-245589.0,-245589.0,-2917.0,101905.0,1581.0,4316.0,1461384.0,2837550.0,,468344.0,-35550.0,-433762.0,-5154853.0,233014.0,20337.0,,,2060362.0,-2060362.0,,245589.0,,,1670.0,-35550.0,,,-35550.0,,3.0,0.001,1000000.0,,22.0,3917.0,3917.0,352500.0,10000.0,,177309.0,,-5185.0,-5154853.0,,,,66280.0,,,,,-1457068.0,649795.0,,,1177300.0,,115945864.0
2012-02-29,2012-04-20,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,67479.0,,,,334264.0,,,11684527.0,,,,,-279045.0,2706.0,2706.0,,39.0,,40.0,40.0,-359.0,,,,,,,,582255.0,,,,93979.0,,279045.0,,,175018.0,-13573536.0,,,100.0,,,0.0,,,344043.0,,,119210.0,,-278.0,,,,,275955.0,,,,99162.0,,119210.0,119210.0,1251.0,15556.0,200.0,2706.0,1309369.0,,,26750.0,,-27109.0,,274294.0,20192.0,,,275716.0,-275716.0,,-119210.0,,,,,,,,,3.0,,,,88.0,2666.0,,,,,26750.0,,,-131437.0,,,,,,,,,-1306663.0,128001.0,,,163751.0,,115945846.0
2012-05-31,2012-07-16,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,79357.0,,,,322504.0,,,10891114.0,,,,,115407.0,1503.0,1503.0,,75.0,,44.0,41.0,,,,,,,,,1481600.0,,,,143454.0,,-115407.0,,,142115.0,-13765276.0,,,720.0,,,-0.02,,,342739.0,,,-67903.0,,-1534.0,,,,,128580.0,,,,,,,,,17115.0,,1503.0,1393974.0,,,,,,,260694.0,19391.0,,,127121.0,-127121.0,,67903.0,,,,,,,,,3.0,,,,88.0,1459.0,,,,,,,,-191740.0,,,,,,,,,-1392471.0,,,,,,8929480.0
2012-08-31,2012-10-22,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,103779.0,,,,341169.0,,,10890714.0,,,,,29352.0,6039.0,6039.0,,183.0,,39.0,39.0,,,,,,,,,1481600.0,,,,259706.0,56900.0,-29352.0,,,212428.0,14049161.0,,,870.0,,,-0.04,,,514035.0,,,70313.0,,537.0,,,,,116210.0,,,,,,,,,67290.0,,6039.0,1682795.0,,,,,,-283885.0,231137.0,19671.0,,,116930.0,-116930.0,,-70313.0,,,,,,,,,3.0,,,,88.0,6000.0,,,,,,,,-283885.0,,,,,,,,,1676756.0,,,,,,8069621.0
2012-11-30,2014-07-23,10-K,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,103523.0,,,103095.0,,12371612.0,,,,,272857.0,3970.0,3970.0,,457.0,,470.0,470.0,71.0,,,,500000000.0,13202138.0,13202138.0,,0.001,13202.0,,306950.0,306950.0,54500.0,,,,870433.0,-13907996.0,,,,1025.0,,-0.12000000000000001,,,577281.0,,-500000.0,369477.0,,-717.0,0.0,-250000.0,,,716598.0,,,,401799.0,,381370.0,,417.0,131749.0,5400.0,3970.0,2193367.0,,,109625.0,,-109554.0,-1132203.0,211244.0,19816.0,261244.0,,216957.0,-216957.0,,,,,,,,,,,,0.001,1000000.0,,,,3500.0,,,,108700.0,,925.0,-991039.0,,,,,-14574302.0,,,,-2189397.0,236124.0,,,163750.0,,21421262.0
2013-02-28,2014-08-29,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,102854.0,,,133725.0,,11004411.0,,,,,,2002014.0,2014.0,,30.0,,14.0,14.0,-456.0,,,,2500000000.0,1891903870.0,1891903870.0,,0.001,1891903.0,,241925.0,241925.0,54500.0,,,,192123.0,-14018660.0,,,,1254.0,,-0.01,,,664232.0,,,-8412.0,,-3074.0,,,,,104078.0,,,,108216.0,,-8412.0,,1500.0,18042.0,5400.0,2002014.0,3124244.0,,,8904.0,,-9360.0,,1769919.0,18212.0,,800000.0,101034.0,-101034.0,,,,,,,,,,,,0.001,2000000.0,,,,2000.0,,,,8675.0,,229.0,-110664.0,1200000.0,2000000.0,,,,,,,-1122230.0,11525.0,,,,,14699675.0
2013-05-31,2014-09-08,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,103644.0,,,188678.0,,12880985.0,,,,,,2000509.0,509.0,,45.0,,9.0,9.0,,,,,500000000.0,15135231.0,15135231.0,,0.001,15135.0,,241925.0,241925.0,54500.0,,,,192123.0,-14179278.0,,,,1294.0,,-0.01,,,754759.0,,,,,257.0,,,,,114050.0,,,,,,,,,46266.0,,2000509.0,3283326.0,,,,,,,1782557.0,18346.0,,800000.0,114352.0,-114352.0,,,,,,,,,,,,0.001,1000000.0,250.0,,,500.0,,,,,,,-160618.0,1200000.0,2000000.0,,,,,,,-1282817.0,,,,,,12712120.0
2013-08-31,2014-09-15,10-Q,"TELCO CUBA, INC..",QBAN,CIK0001427644,USD,,,105297.0,,,244019.0,,12880985.0,,,,,,2000030.0,30.0,,30.0,,30.0,30.0,,,,,500000000.0,15135231.0,15135231.0,,0.001,15135.0,,241925.0,241925.0,54500.0,,,,192123.0,-14329833.0,,,,1384.0,,-0.01,,,846587.0,500000.0,,,,1128.0,,,,,102682.0,,,,,,,,,46715.0,,2000030.0,3433402.0,,,,,,-150555.0,1783132.0,18935.0,1783132.0,800000.0,103840.0,-103840.0,,,,,,,,,,,,0.001,1000000.0,250.0,,,,,,,,,,-150555.0,1200000.0,2000000.0,,,,,,,-1433372.0,,,,,,15135231.0
