end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableRelatedPartiesCurrent,AccountsReceivableNetNoncurrent,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,EarningsPerShareBasic,FairValueOfAssetsAcquired,GainLossOnSaleOfTrustAssetsToPayExpenses,GrossProfit,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInReceivables,InvestmentInPhysicalCommodities,InvestmentInPhysicalCommoditiesFairValueDisclosure,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedBalanceOtherMeasure,InvestmentOwnedPercentOfNetAssets,InvestmentRelatedLiabilities,Liabilities,LiabilitiesAndStockholdersEquity,LiabilityForUncertainTaxPositionsNoncurrent,NetAssetValuePerShare,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfAdoptionQuantification,NewAccountingPronouncementOrChangeInAccountingPrincipleEffectOfChangeOnNetIncome,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OperatingExpenses,OtherCostAndExpenseOperating,PaymentsForOperatingActivities,PaymentsForRepurchaseOfCommonStock,ProceedsFromCustomers,ProceedsFromIssuanceOfCommonStock,RealizedInvestmentGainsLosses,RetainedEarningsAccumulatedDeficit,SharesOutstanding,SponsorFees,StockholdersEquity,StockholdersEquityNoteStockSplitConversionRatio1,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfSharesOutstandingBasic
2009-12-31,2010-03-31,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,,,,,0.0,0.0,,3050000.0,,336294000.0,0.66,354780028.0,,20890.0,,0.0,,,,,,,,,,,,,,0.0,1273268.0,,,,,293263.0,,0.0,-28387880.0,0.0,354760532.0,,-8648000.0,,293263.0,,,,,,,,,1942149.0
2010-03-31,2010-05-17,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-13,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,,,,,0.0,0.0,,,,,0.04,180376944.0,,23191.0,,56731.0,,-24801813.0,,,,,,,,,,,,0.0,151625.0,,,,,445181.0,,0.0,-6113620.0,0.0,205178807.0,,,,445181.0,,,,,,,,,3817033.0
2010-09-30,2010-11-12,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,,,,,0.0,0.0,,,,,-0.11,351772836.0,,41170.0,,109883.0,,24612410.0,,,,,,,,,,,,0.0,-673592.0,,,,,714762.0,,0.0,0.0,0.0,327161299.0,,,,714762.0,,,,,,,,,5905978.0
2010-12-31,2011-03-15,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,382114.0,,971070331.0,,0.0,0.0,0.0,8250000.0,8250000.0,1157505000.0,-0.34,650946846.0,,187000.0,,382000.0,,,,,,,,,,382114.0,971070331.0,,,0.0,-1792000.0,,,,,2540000.0,,0.0,6114000.0,0.0,650948000.0,,-186817000.0,,2539882.0,,,5250000.0,650948000.0,,,50000.0,6114000.0,5195890.0
2011-03-31,2011-05-10,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,,,,,0.0,0.0,,,,,0.05,124135668.0,,154618.0,,40801.0,,,,,,,,,,,,,,0.0,447885.0,,,,,1141622.0,,0.0,13197745.0,0.0,124135668.0,,,,1141622.0,,,,,,,,,8564444.0
2011-06-30,2011-08-05,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,438102.0,,1111660315.0,,0.0,0.0,0.0,9250000.0,9250000.0,1382782511.0,-0.12,30215575.0,,244147.0,,15187.0,,0.0,,,,,,,,438102.0,1111660315.0,,,0.0,-1067389.0,,,,,1311536.0,,0.0,0.0,0.0,30215577.0,,-271560298.0,,1311536.0,,,,,,,,,9076374.0
2011-09-30,2011-11-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,527227.0,,1271544895.0,,0.0,0.0,,10150000.0,10150000.0,1631115394.0,0.97,192315111.0,,367679.0,,89125.0,,0.0,,,,,,,,527227.0,1271544895.0,,,0.0,9680432.0,,,,,1611203.0,,0.0,42200088.0,0.0,192315111.0,,-360097726.0,,1611203.0,,,,,,,,,9945109.0
2011-12-31,2012-02-29,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,560620.0,,1376845000.0,,0.0,0.0,,10750000.0,10750000.0,1677363000.0,1.14,466052746.0,,1218000.0,0.0,179000.0,,,1376845000.0,,,,1065686.5,,,560000.0,1376845000.0,,,0.0,10873000.0,,,,,5856000.0,,0.0,71329000.0,0.0,466053000.0,,-301078000.0,,5855861.0,,,2950000.0,466053000.0,,,450000.0,71329000.0,9551507.0
2012-03-31,2012-05-10,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,609801.0,,1441658396.0,,0.0,0.0,,11100000.0,11100000.0,1826999894.0,0.35,85649215.0,,371000.0,,49000.0,,,,,,,,,,609801.0,1441658396.0,,,0.0,3792000.0,,,,,1778000.0,,0.0,24677000.0,0.0,85649000.0,,-385951299.0,,1778181.0,,,,,,,,,10977473.0
2012-06-30,2012-08-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,564731.0,,1450117976.0,,0.0,0.0,,11150000.0,11150000.0,1762866605.0,0.18,,,352000.0,,-45000.0,,,,,,,,,,564731.0,1450117976.0,,,0.0,1992000.0,,,,,1723000.0,,0.0,16343000.0,0.0,22855000.0,,-313313360.0,,1722879.0,,,,,,,,,11084615.0
2012-09-30,2012-11-09,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,630197.0,,1499082927.0,,0.0,0.0,,11400000.0,11400000.0,2000567329.0,0.4,,,313000.0,,65000.0,,17549000.0,,,,,,,,630197.0,1499082927.0,,,0.0,4428000.0,,,,,1803000.0,,0.0,31934000.0,0.0,76405000.0,,-502114599.0,,1802987.0,,,,,,,,,11160326.0
2012-12-31,2013-02-28,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,630835.0,,1561925000.0,,0.0,0.0,,11750000.0,11750000.0,1930056000.0,1.3,,1483000.0,1483000.0,0.0,71000.0,0.0,,1561925000.0,,,,1160268.7,,,631000.0,1561925000.0,,,0.0,14523000.0,,,,,7200000.0,,0.0,98455000.0,0.0,268941000.0,,-368762000.0,,5712292.0,,,1600000.0,268941000.0,600000.0,98455000.0,600000.0,98455000.0,11169672.0
2013-03-31,2013-05-08,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,610274.0,,1555077000.0,,0.0,0.0,,11700000.0,11700000.0,1844127000.0,0.14,,342000.0,342000.0,,0.0,-21000.0,,,,,,,,,610000.0,1555077000.0,,,0.0,1638000.0,,,,,1812000.0,,0.0,16394000.0,0.0,7929000.0,,-289660000.0,,1811915.0,,,50000.0,7929000.0,,,100000.0,16394000.0,11677222.0
2013-06-30,2013-08-08,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,386611.0,,1168908000.0,,0.0,0.0,,9950000.0,9950000.0,1168521000.0,-13.49,,171000.0,171000.0,,-223000.0,,223000.0,,,,,,,,387000.0,1168908000.0,,,0.0,-147876000.0,,,,,1447000.0,,0.0,245846000.0,0.0,7776000.0,,0.0,,1446851.0,,,,,,,,,10964286.0
2013-09-30,2013-11-08,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,407095.0,,1260330000.0,,0.0,0.0,,9650000.0,9650000.0,1259923000.0,13.29,,-23000.0,-23000.0,,21000.0,,,,,,,,,,407000.0,1260330000.0,,,0.0,130035000.0,,,,,1301000.0,,0.0,45154000.0,0.0,6521000.0,,0.0,,1300748.0,,,,,,,,,9784239.0
2013-12-31,2014-02-28,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,350601.0,,1040003000.0,1033745000.0,0.0,0.0,0.0,8750000.0,8750000.0,1033745000.0,-12.58,,464000.0,464000.0,5907000.0,-280000.0,5907000.0,,1040003000.0,,1040003000.0,1040003000.0,865587.1,1.0061,,6258000.0,1040003000.0,,,0.0,-131104000.0,,,,,5712000.0,,0.0,418671000.0,0.0,22226000.0,,0.0,8750000.0,5712292.0,1033745000.0,,150000.0,22226000.0,3150000.0,418671000.0,3150000.0,418671000.0,10419863.0
2014-03-31,2014-05-12,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,366450.0,,1104346000.0,1103979000.0,,,,8700000.0,8700000.0,,8.77,,36000.0,,,,,,1104346000.0,,1027189000.0,1104346000.0,854922.2,1.0003,,367000.0,,,,,76386000.0,,0.0,,,1053000.0,0.0,,,,,282000.0,,8700000.0,1053152.0,1103979000.0,,0.0,0.0,50000.0,6152000.0,,,8707222.0
2014-06-30,2014-08-11,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,354717.0,,1110205000.0,1109850000.0,,,,8600000.0,8600000.0,,2.1,,89000.0,,,,,,1103752000.0,,1008485000.0,1103752000.0,839355.1,0.9945,,355000.0,,,,,18149000.0,,,,,1086000.0,0.0,,,,,,,8600000.0,1086360.0,1109850000.0,,,,,,,,8631319.0
2014-09-30,2014-11-10,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,329484.0,,1026036000.0,1019744000.0,,,,8550000.0,8550000.0,,-9.78,,78000.0,,,,,,1026036000.0,,1013925000.0,1026036000.0,843432.4,1.0062,,6292000.0,,,,,-84128000.0,,,,,1050000.0,0.0,,,,,,,8550000.0,1049835.0,1019744000.0,,,,,,,,8599457.0
2014-12-31,2015-03-02,10-K,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,321355.0,,940011000.0,916197000.0,,,0.0,7800000.0,7800000.0,,-0.67,,212000.0,,,,,,940011000.0,940011000.0,942277000.0,940011000.0,783832.3,1.026,23814000.0,23814000.0,,0.0,117.46,,-5711000.0,0.0,,,,4166000.0,0.0,,,,,721000.0,,7800000.0,4165756.0,916197000.0,,50000.0,6437000.0,1000000.0,118407000.0,,,8578219.0
2015-03-31,2015-05-08,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,303954.0,,917884000.0,917580000.0,,,0.0,7900000.0,7900000.0,,-1.47,,16000.0,,,,,,912076000.0,912076000.0,924736000.0,912076000.0,768387.9,0.994,,304000.0,,0.0,,,-11615000.0,,,,,907000.0,0.0,,,,,-314000.0,,7900000.0,907275.0,917580000.0,,200000.0,24496000.0,100000.0,11373000.0,,,7881667.0
2015-06-30,2015-08-06,10-Q,Aberdeen Standard Gold ETF Trust,SGOL,CIK0001450923,USD,287797.0,,893171000.0,892883000.0,,,0.0,7800000.0,7800000.0,,-1.68,,-9000.0,,,,,,893171000.0,893171000.0,917855000.0,893171000.0,762741.8,1.0003,,288000.0,,0.0,,,-13223000.0,,,,,891000.0,0.0,,,,,,,7800000.0,890246.0,892883000.0,,,,,,,,7874725.0
