end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsAndFloorBrokerageReceivables,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsIssued,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentInterestRate,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossAdditions,InvestmentsInAndAdvancesToAffiliatesDividendOrInterestCreditedToIncome,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsGrossUnrealizedDepreciation,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits
2008-12-31,2009-03-10,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,,,,,,,,,9521208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2010-03-08,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,,,,377189.0,,,,,8153241.0,-1367967.0,,,,,,,,-86022.0,,,,,,,,,,,,27875.0,20630733.0,,579.0,31724485.0,,579.0,,,,,35356.0,,1326.0,,,,,,,,86022.0,,,,,,,,,,,,,,-319042.0,,,,,,,,,,,,,,,,,,,,61185422.0,,-62553389.0,,,390.0,405064.0,,,,,,,,,35476840.0,,,,310908083.0,96662262.0,216998591.0,,,,20311691.0,,31725064.0,,,,,,,,,,,,,,,,,,,,,-11092305.0,-11094331.0,,-2026.0,,,
2010-06-30,2010-08-06,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,,,,121731.0,,,,,3802432.0,,,,,,,,,,,,,,,,,,,,,6493.0,4135911.0,,,,,,,,,,,,,,,,,,,,19210.0,,,,,,,,,,,,,,-109014.0,,,,,,,,,,,,,,,,,,,,,,,,,81.0,128224.0,,,,,,,,,,,,,,,,,,,4026897.0,,,,,,,,,,,,,,,,,,,,,,,4138965.0,4135911.0,,-3054.0,,,
2010-09-30,2010-11-05,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,,,,142641.0,,,,,3679226.0,,,,,,,,,,,,,,,,,,,,,2607.0,13125313.0,,,955600.0,,205.0,,,,,,,,,,,,,,,22845.0,,,,,,,,,,,,,,-122403.0,,,,,,,,,,,,,,,,,,,,,,,,,215.0,145248.0,,,,,,,,,,,,,,,,,,,13002910.0,,955805.0,,,,,,,,,,,,,,,,,,,,,12165210.0,12169508.0,,4298.0,,,
2010-12-31,2011-03-14,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,122921.0,,124767709.0,733609.0,207694990.0,,,,16315594.0,8162353.0,,,,,,7012.0,,-98411.0,,,,,,,,,,31905340.0,159474056.0,26264.0,78456434.0,,332.0,42042440.0,,332.0,2185.0,,,207694990.0,70367.0,,5390.0,,,,,,,,98363.0,,,,,,,,,,,,,,-661510.0,,,,,,,,,,,129933.0,207694990.0,,,,,,-2185.0,,3680762.0,,4481591.0,,,984.0,759873.0,,,,,,,,,82314115.0,2185.0,,,391873799.0,85997062.0,354997114.0,,,,77794924.0,,42042772.0,,,,,,82795163.0,3800000.0,3800000.0,207565057.0,3682947.0,2200000.0,-400000.0,85997062.0,,,2600000.0,82314115.0,,,,36407900.0,36413662.0,,5762.0,31905340.0,,
2011-03-31,2011-05-06,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,,,,443877.0,,,,,,-16315594.0,,,,,,,,-67452.0,,,,,,,,,,,,23673.0,60700153.0,,-76.0,,,-76.0,,,,,71398.0,,19917.0,,,33384035.0,,,,,67398.0,,,,,,,,,,,,,,-400152.0,,,,,,,,,,,,,,,,,,,,144590988.0,,-160906582.0,,,,467550.0,,,,,,,,,,,,,353413841.0,144590988.0,159499513.0,,,,60300001.0,,-76.0,,,,,,,,,,,,,,,,,,,,,60693320.0,60700229.0,,6909.0,,,
2011-06-30,2011-08-05,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,111948.0,,47888545.0,599886.0,158595720.0,,,,59803649.0,,,,,,,16930.0,,,,,,,,,,,,-5706505.0,104498576.0,1271.0,-31964993.0,,,66335870.0,,14473.0,2438.0,,,158595720.0,,,,,,,,,,,47098.0,,,,,,,,,,,,,,-554059.0,,,,,,,,,,,128878.0,158595720.0,,,,,,,,,,,,,,601157.0,,,,,,,,,,,,,,,,,,,-32519052.0,,66350343.0,,,,,,110575859.0,2600000.0,2600000.0,158466842.0,-221470152.0,400000.0,3600000.0,30458864.0,,,4000000.0,-251929016.0,,,,-98305165.0,-98315336.0,,-10171.0,,,
2011-09-30,2011-11-07,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,150022.0,,84536371.0,397179.0,157362630.0,,,,118305308.0,,,,,,,13482.0,,,,,,,,,,-8.55,,-42440865.0,81498187.0,2183.0,-37525364.0,,,-789400.0,,1166.0,2096.0,,,157362630.0,,,,,,,,,,,9184.0,,,,,,,,,,,,,,-390178.0,,,,,,,,,,,163504.0,157362630.0,,,,,,,,,,,,,,399362.0,,,,,,,,,,,,,,,,,,,-37915542.0,,-788234.0,,,,,,72660659.0,3000000.0,3000000.0,157199126.0,36647826.0,1000000.0,400000.0,69271598.0,,,600000.0,32623772.0,,,,-36734360.0,-36737130.0,,-2770.0,,,
2011-12-31,2012-03-14,10-K,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,54825.0,,7340670.0,1649732.0,77721498.0,,,24924317.0,24924317.0,8608723.0,,,,,,7373.0,,-126172.0,,,0.0,,,,,,,-18701360.0,71498541.0,29602.0,-10925479.0,,17188.0,39671640.0,,17188.0,1942.0,,,77721498.0,-68096.0,,361.0,,,,,,,,126095.0,,,,,,,,,,,,,,-1553239.0,,,,,,,,,,,62198.0,77721498.0,,,54825.0,,,,,-117427039.0,,126035762.0,,-12478718.0,,1679334.0,,,,,,7373.0,,,361748490.0,,,,768884317.0,244321451.0,856995585.0,,,,-12478718.0,,39688828.0,,,,14060925.0,,70316688.0,1600000.0,1600000.0,77659300.0,-117427039.0,3800000.0,-2200000.0,244321451.0,-117427039.0,-129905757.0,6000000.0,361748490.0,2940700.0,,,-50606700.0,-50614307.0,,-7607.0,,18701360.0,
2012-03-31,2012-05-14,10-Q,INVESCO DB SILVER FUND,DBS,CIK0001383054,USD,51257.0,,-3790644.0,153401.0,79165386.0,,,,23939305.0,-985012.0,,,,,,7389.0,,-5482.0,,,0.0,,,,,7.96,,-5269200.0,60495281.0,1081.0,12727957.0,,-89.0,-707380.0,,-89.0,2260.0,,,79165386.0,-3568.0,,16.0,,,,-3568.0,,,,5279.0,,,,,,,,,,,,,,-149203.0,,,,,,,,,,,58646.0,79165386.0,,,,,,,,-11131314.0,,10146302.0,,12578754.0,,154482.0,,,,,,,,,11131314.0,,,,60487904.0,,71499823.0,,,,12578754.0,,-707469.0,,,,,,82895124.0,1400000.0,1400000.0,79106740.0,11131314.0,,200000.0,,,,200000.0,11131314.0,,,,13432160.0,13435426.0,,3266.0,,5269200.0,
