end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesFairValueDisclosure,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOtherLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,ExplorationExpense,FairValueAdjustmentOfWarrants,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsNet,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperationsGovernmentGrants,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInventories,IndefiniteLivedTrademarks,InterestPaidNet,InventoryNet,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingGainsLosses,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherAccruedLiabilitiesNoncurrent,OtherAssets,OtherAssetsNoncurrent,OtherIncome,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockSharesSubscribedButUnissuedValue,PreferredStockValue,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionDueFromToRelatedParty,RetainedEarningsAccumulatedDeficit,ShareBasedCompensation,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssued1,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,UnrecognizedTaxBenefitsResultingInNetOperatingLossCarryforward,ValuationAllowanceAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,ValuationAllowancesAndReservesAdjustments,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect
2011-12-31,2012-02-08,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,2600.0,,,81250.0,,,20469.0,14581.0,14581.0,14581.0,,,,0.001,75000000.0,6750000.0,6750000.0,6750.0,,,,,,,,70151.0,,,0.0,0.0,,,,,,,,,,18990.0,,,,,,,,,,,,,2620.0,20469.0,2620.0,20.0,,,,-23490.0,,23490.0,,4500.0,,,,5888.0,,,,,,,,,,,,,,,,,,,,17849.0,,,,,,,,,,,,,
2012-03-31,2012-05-14,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,1650.0,,,85750.0,,,13764.0,7876.0,7876.0,7876.0,,,,0.001,75000000.0,6750000.0,6750000.0,6750.0,,,,,,,,80406.0,,,0.0,0.0,,,,,,,,,,5755.0,,,,,,,,,,,,,1670.0,13764.0,1670.0,20.0,,,,-10255.0,,10255.0,,4500.0,,,,5888.0,,,,,,,,,,,,,,,,,,,,12094.0,,,,,,,,,,,,,
2012-06-30,2012-09-28,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,82773.0,,,-24500.0,,,0.0,6982.0,6982.0,6982.0,-32397.0,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,,,,0.0,25161.0,,-25161.0,213193.0,,,0.0,0.01,,,,,,,,,,4578.0,,0.0,,,,-1689.0,,,,,,,102693.0,0.0,102693.0,19920.0,,,-32397.0,-48708.0,,48708.0,-48708.0,18000.0,87516.0,,,5888.0,,,,,,,,,,,,,26130.0,-48708.0,-20.0,,,,,9484.0,,,,,,,25161.0,-25161.0,,,,,
2012-09-30,2012-11-09,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,13043.0,,,94750.0,,,8470.0,2582.0,2582.0,2582.0,-4400.0,,,0.001,75000000.0,6750000.0,6750000.0,6750.0,,,,,,,,106093.0,,,0.0,0.0,,,,,5494.0,,,,,1063.0,,,,,,9677.0,,,,,,,13063.0,8470.0,13063.0,20.0,,,-4400.0,-18577.0,,18577.0,18577.0,4500.0,,,,5888.0,,,,,,,,,,,,,7520.0,,,,,,,-4593.0,,,,,,,,,,,,,
2012-12-31,2013-02-11,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,7837.0,,,99250.0,,,7706.0,1817.0,1817.0,1817.0,,,,0.001,75000000.0,6750000.0,6750000.0,6750.0,,,,,,,,116136.0,,,0.0,,,,,,2981.0,,,,,100.0,,,,,,,,,,,,,17842.0,7706.0,17842.0,10005.0,,,,-10044.0,,10044.0,10044.0,4500.0,,,,5888.0,,,,,,,,,,,,,2463.0,,,,,,,-10136.0,,,,,,,,,,,,,
2013-03-31,2013-05-20,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,4024.0,,,-24500.0,,,5888.0,,,,,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,,,,,,,,126441.0,,,0.0,,,,,,,,,,,3357.0,,,,,,,,,,,,,21829.0,5888.0,21829.0,17805.0,,,,-10305.0,,10305.0,10305.0,4500.0,,,,5888.0,,,,,,,,,,,,,2448.0,,,,,,,-15941.0,,,,,,,,,,,,,
2013-06-30,2013-10-15,10-K,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,82773.0,,,-24500.0,,5888.0,0.0,,,,-6982.0,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,25500.0,,,0.0,46986.0,132305.0,72486.0,213193.0,,75000.0,0.0,,,,,,8474.0,,,,,7459.0,,0.0,,,,4407.0,75000.0,,,,,,102693.0,0.0,102693.0,19920.0,19900.0,,-26882.0,-125677.0,,,-119789.0,13500.0,,75000.0,,,,,,,,,,,,,,19900.0,15356.0,-125677.0,,,,,,-102693.0,,,,,,,,,,,,,
2013-09-30,2013-11-19,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,126038.0,,,-24500.0,,,0.0,,,,,,,,256000000.0,,,135000.0,,,,,,,,259944.0,,,0.0,,,,,,,,,,,425.0,,,,,,-1735.0,45000.0,,,,,,149444.0,0.0,149444.0,23406.0,3486.0,,-3486.0,-46751.0,,,46751.0,,,120000.0,,,,,,,,,,,,,,3486.0,1326.0,,,,,,,-149444.0,,,,,,,,,,,,135000000.0,
2013-12-31,2014-02-13,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,14901.0,,,-24500.0,,,0.0,,,,,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,,,,,,,,313807.0,,165000.0,0.0,,,,,,,,,,,1919.0,,,,,,,,,,,,,203307.0,0.0,203307.0,23406.0,,,,-53864.0,,,53864.0,,,165000.0,,,,,,,,,,,,,,,6945.0,,,,,,,-203307.0,,,,,,,,,,,,135000000.0,
2014-03-31,2014-05-20,10-Q,"ARTISAN CONSUMER GOODS, INC.",ARRT,CIK0001530425,USD,,18479.0,,,-24500.0,,,0.0,,,,,,,0.001,256000000.0,135000000.0,135000000.0,135000.0,,,,,,,,362430.0,,210000.0,0.0,,,,,,,,,,,762.0,,,,,,,,,,,,,251930.0,0.0,251930.0,23451.0,,,,-48622.0,,,48622.0,,,210000.0,,,,,,,,,,,,,,,2860.0,,,,,,,-251930.0,,,,,,,,,,,,135000000.0,
