end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,Assets,AssetsCurrent,AssetsHeldInTrustNoncurrent,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,DeferredCosts,DueToAffiliateCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersNet,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInPrepaidExpense,InvestmentIncomeNonoperating,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LineOfCreditFacilityCurrentBorrowingCapacity,LineOfCreditFacilityMaximumBorrowingCapacity,LiquidationBasisOfAccountingAccruedCostsToDisposeOfAssetsAndLiabilities,MinimumNetWorthRequiredForCompliance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,OperatingIncomeLoss,PaymentsOfStockIssuanceCosts,PaymentsToAcquireRestrictedInvestments,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfPrivatePlacement,ProceedsFromRelatedPartyDebt,RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,RepaymentsOfRelatedPartyDebt,RestrictedCashNoncurrent,RetainedEarningsAccumulatedDeficit,StockholdersEquity,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,TemporaryEquityAccretionToRedemptionValue,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityRedemptionPricePerShare,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,WeightedAverageNumberOfShareOutstandingBasicAndDiluted
2021-03-31,2021-06-28,10-Q,two,TWOA,CIK0001843988,USD,805823.0,370600.0,24425.0,,7194210.0,2674600.0,4000000.0,0.0,2000000.0,2000000.0,2000000.0,,519610.0,6000000.0,6000000.0,-0.02,,87906.0,737506.0,,674600.0,,7257116.0,7194210.0,7257116.0,81000.0,,,,6000000.0,-4000000.0,0.0,-87906.0,,,,4000000.0,0.0001,1000000.0,0.0,0.0,0.0,674600.0,,,6000000.0,,,,-87906.0,-62906.0,,25000.0,,,,,,,5000000.0
2021-06-30,2021-08-16,10-Q,two,TWOA,CIK0001843988,USD,66123.0,116787.0,5354415.0,11866697.0,216151723.0,1774771.0,214376952.0,0.0,1190134.0,1190134.0,,0.0,,,0.0,,,239161.0,,,,1952.0,7686035.0,216151723.0,182910.0,81000.0,,,,,,,-267209.0,1952.0,-269161.0,,,0.0001,1000000.0,0.0,0.0,,584637.0,,,,30000.0,,,-355115.0,-5909312.0,6287500.0,214375000.0,-203465680.0,11866697.0,203465680.0,,0.0,0.0,
2021-09-30,2021-11-15,10-Q,two,TWOA,CIK0001843988,USD,20715.0,170987.0,0.0,,215948873.0,1555845.0,214393028.0,0.0,1058209.0,1058209.0,,0.0,,,0.0,,,197718.0,,,,16076.0,7694827.0,215948873.0,191702.0,81000.0,,,5000001.0,,,,-211642.0,,-227718.0,,,0.0001,1000000.0,0.0,0.0,,497636.0,,,,30000.0,,,-6121553.0,-6120954.0,,,,,214375000.0,,0.0,0.0,
