end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,BankingFeesAndCommissions,BankOverdrafts,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockValue,CurrentIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossRealized,ForeignCurrencyTransactionGainLossUnrealized,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestExpenseDebt,InterestExpenseOther,InterestPaid,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LoansPayable,LoansPayableCurrent,MaintenanceCosts,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherGeneralExpense,PaymentsForLoans,PaymentsForRent,PaymentsToAcquireMineralRights,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PrepaidExpenseCurrent,ProceedsFromBankDebt,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromPaymentsForLongTermLoansForRelatedParties,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,ServicingFees,SharePrice,SharesIssuedPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesOther,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueOther,TravelAndEntertainmentExpense,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,ValuationAllowanceAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,StockIssuedDuringPeriodValueNewIssues
2008-06-30,2008-10-14,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,,,,,,,,,,,,,,,,,,,,,,,,,-6309.0,,,,,,,,,,,,,,,,,,,,,,,,,-67681.0,,,,,,,,,,,,,,,,,,,,,,,,,-7623.0,,,,,,,,,,
2009-06-30,2009-10-13,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22415.0,,,,,,,,,,,,,,,,,,,,,,,,,-30038.0,,,,,,,,,,
2010-06-30,2010-09-28,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13061.0,,,,,,,,,,,,,,,,,,,,,,,,,-43099.0,,,,,,,,,,
2010-09-30,2010-11-08,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,,,,,,,0.0,,,,-7.0,,,,,,,,,,,,0.0,,,,-8.0,,4500.0,0.0,,,,18048.0,,,1208.0,,1208.0,0.0,1500.0,0.0,,,,,,4095.0,-4102.0,-23358.0,23358.0,,,1842.0,-3075.0,,0.0,,,,,2.0,,0.0,,,6800.0,,-1018.0,,0.0,,,,,,,,,,,,,,
2010-12-31,2011-02-08,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,,,,,,,8.0,,,,,,,,,,,,,,,,0.0,,,,7.0,,4500.0,,,,,,,,1320.0,,,,1500.0,0.0,,,,,,,,-19506.0,19506.0,,,2264.0,,,0.0,,,,,,,,,,2429.0,,,,0.0,,,,,,,,,,0.0,,,,
2011-03-31,2011-05-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,,,,,,,208.0,,,,,,,,,,,,,,,,0.0,,,,-1.0,,4500.0,,,,,,,,1324.0,,,,1500.0,0.0,,,,,,,,-18881.0,18881.0,,,1819.0,,,0.0,,,,,,,,,,2237.0,,,,0.0,,,,,,,,,,0.0,,,,
2011-06-30,2011-10-11,10-K,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,62801.0,106990.0,51.0,,,,51.0,,,,44.0,0.0,100000000.0,7070000.0,,,,83000.0,,238412.0,880.0,,-0.01,0.35,,,-24.0,,18000.0,,,,-30880.0,63044.0,,0.0,5217.0,,5217.0,,6000.0,0.0,131403.0,51.0,67722.0,,,20036.0,-19992.0,-88253.0,88253.0,3500.0,,15875.0,-19156.0,,0.0,0.0,100000000.0,0.0,0.0,,,0.0,,880.0,13137.0,,,,0.0,,,,-131352.0,,,,,,0.0,30880.0,-83000.0,,
2011-09-30,2011-11-10,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,79953.0,106990.0,7.0,,,,7.0,,,,-44.0,0.0,100000000.0,7070000.0,,,,,,262598.0,0.0,,0.0,,,,-72.0,,4500.0,0.0,,,,17152.0,,,2264.0,,2264.0,0.0,15000.0,300.0,155545.0,7.0,75592.0,,,4726.0,-4770.0,-24186.0,24186.0,,,1571.0,-5606.0,,0.0,0.0,100000000.0,0.0,,0.0,,0.0,,-880.0,6479.0,,880.0,,0.0,,,,-155538.0,,,,,,,,,,
2011-12-31,2012-02-13,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,98005.0,106990.0,11.0,,,,11.0,,,,,0.0,100000000.0,7070000.0,,,,,,285966.0,0.0,,0.0,,,,-61.0,,4500.0,,,,,,,,2360.0,,,,1500.0,0.0,178917.0,11.0,80912.0,,,,,-23368.0,23368.0,,,2048.0,,,0.0,0.0,100000000.0,0.0,,,,,,,2520.0,,,,0.0,,,,-178906.0,,,,,,1893.0,,,,
2012-03-31,2012-05-15,10-Q,GOLDEN STAR RESOURCE CORP.,GLNS,CIK0001375348,USD,112575.0,106990.0,3363.0,,,,1863.0,,,,,0.0,100000000.0,7070000.0,,,,,,311739.0,0.0,,0.004,,,,-204.0,,4500.0,,,,,,,,2532.0,,,,4500.0,0.0,208042.0,3363.0,95467.0,,,,,-25773.0,25773.0,,,4082.0,,,0.0,0.0,100000000.0,0.0,1500.0,,,,,,1655.0,,,,0.0,,,,-204679.0,,,,,,0.0,,,,
