end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableCurrent,AdditionalPaidInCapital,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayable,InterestPaidNet,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingExpenses,OperatingIncomeLoss,OtherOperatingIncomeExpenseNet,ProceedsFromIssuanceOfCommonStock,ProceedsFromRelatedPartyDebt,ProfessionalFees,ProfitLoss,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,SubscriptionRevenue,TreasuryStockCommonShares,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,IncreaseDecreaseInPrepaidExpense,PrepaidExpenseCurrent,StockIssuedDuringPeriodValueOther
2018-01-31,2018-04-27,10-K,"KINDCARD, INC.",KCRD,CIK0001696025,USD,428.0,-578500.0,1786.0,1786.0,1786.0,1626.0,,0.001,200000000.0,585000000.0,585000000.0,585000.0,,4620.0,-4620.0,16856.0,0.0,0.34,-4555.0,-20252.0,,,,2860.0,428.0,,1786.0,17284.0,16500.0,,-14874.0,-20252.0,-20305.0,,,6500.0,10000.0,15750.0,,4950.0,-21998.0,53.0,-15498.0,-15498.0,,,,,,4026.0,585000000.0,,,,
2018-04-30,2018-06-04,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,678.0,,1054.0,,1054.0,-732.0,,,200000000.0,,6500000.0,6500.0,,,,18556.0,0.0,,1132.0,,,,,,250.0,,1054.0,19234.0,5150.0,,-5882.0,-7632.0,7632.0,,,,200.0,6500.0,-7632.0,1500.0,-29630.0,,-18180.0,-18180.0,,,,,,,585000000.0,,,,
2018-07-31,2018-09-11,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,898.0,-59625.0,2726.0,,2726.0,,,0.001,200000000.0,75825000.0,75825000.0,75825.0,,,,22506.0,0.0,,1861.0,,,,,,,,2726.0,23404.0,,,,-7248.0,-7311.0,,,,,5450.0,-7248.0,,-36878.0,63.0,-20678.0,,,,4750.0,,,,341244293.0,,,,
2018-10-31,2018-12-11,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,1596.0,-59625.0,2639.0,2639.0,2639.0,,,0.001,200000000.0,75825000.0,75825000.0,75825.0,,,,26010.0,0.0,,2040.0,,,,,,,,2639.0,27606.0,,,,-4290.0,-4290.0,,,,,2250.0,,,-41167.0,,-24967.0,,,,,,,,75825000.0,,,,
2019-01-31,2019-04-29,10-K,"KINDCARD, INC.",KCRD,CIK0001696025,USD,797.0,-59625.0,871.0,871.0,871.0,-915.0,,0.001,200000000.0,75825000.0,75825000.0,75825.0,,12102.0,12102.0,41500.0,0.0,0.21,19241.0,-35628.0,,,,,369.0,,871.0,42297.0,9900.0,,-10815.0,-35628.0,-35691.0,,,9700.0,200.0,16450.0,-35628.0,24444.0,-57626.0,63.0,-41426.0,-41426.0,,21825000.0,9700.0,,,-7482.0,265545000.0,,,,
2019-04-30,2019-06-12,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,2198.0,-59625.0,358.0,,358.0,-513.0,,0.001,200000000.0,75825000.0,75825000.0,75825.0,,,,48945.0,0.0,,1164.0,,,,0.0,,1401.0,0.0,358.0,51143.0,0.0,0.0,-513.0,-9359.0,9359.0,,,,0.0,8195.0,-9359.0,7445.0,-66985.0,0.0,-50785.0,-50785.0,,,,,,,75825000.0,,,,
2019-07-31,2019-09-10,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,2195.0,-59625.0,567.0,,567.0,,,0.001,200000000.0,75825000.0,75825000.0,75825.0,,,,53206.0,0.0,,914.0,,,,,,,,567.0,55401.0,,,,-4049.0,-4174.0,-4174.0,,,,3260.0,-4049.0,,-71034.0,125.0,-54834.0,,,,,,,,75825000.0,,,,
2019-10-31,2019-12-11,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,2742.0,-59625.0,450.0,450.0,450.0,,,0.001,200000000.0,75825000.0,75825000.0,75825.0,,,,56900.0,0.0,,1158.0,,,,,,,,450.0,59642.0,,,,-4358.0,-4358.0,,-4358.0,,,3200.0,,,-75392.0,0.0,-59192.0,,,,,,,,75825000.0,,,,
2020-01-31,2020-04-30,10-K,"KINDCARD, INC.",KCRD,CIK0001696025,USD,2099.0,-59625.0,478.0,,478.0,-393.0,0.0,0.001,200000000.0,75825000.0,75825000.0,75825.0,0.0,16983.0,16983.0,63048.0,0.0,0.21,5330.0,-23243.0,0.0,,0.0,,1302.0,0.0,478.0,65147.0,200.0,0.0,-593.0,-23243.0,-23485.0,,-23485.0,,200.0,18155.0,-23243.0,21348.0,-80869.0,242.0,-64669.0,,,,,,,4881.0,75825000.0,,,,
2020-04-30,2020-06-15,10-Q,"KINDCARD, INC.",KCRD,CIK0001696025,USD,3066.0,-59625.0,395.0,,395.0,-83.0,0.0,0.001,200000000.0,75825000.0,75825000.0,75825.0,,,,70728.0,0.0,,1293.0,,,,0.0,,967.0,0.0,395.0,73794.0,0.0,0.0,-83.0,-8730.0,8793.0,,-8793.0,,0.0,7500.0,,7680.0,-89599.0,63.0,-73399.0,,,,,,,,75825000.0,,,,
