end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,BankOverdrafts,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsAndShortTermInvestments,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockSharesIssued1,CurrentFederalStateAndLocalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,DeferredCompensationLiabilityCurrent,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseOther,DeferredTaxAssetsValuationAllowance,DepreciationDepletionAndAmortization,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToAffiliateCurrent,DueToAffiliateCurrentAndNoncurrent,DueToOfficersOrStockholdersCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToOtherRelatedPartiesClassifiedCurrent,DueToOtherRelatedPartiesCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,ExtinguishmentOfDebtAmount,ExtinguishmentOfDebtGainLossNetOfTax,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxEffectsAllocatedDirectlyToEquity,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpenseOther,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInBookOverdrafts,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDueToOfficersAndStockholdersCurrent,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInDueToRelatedPartiesCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInNotesPayableRelatedParties,IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,IncreaseDecreaseInPrepaidExpense,InterestAndDebtExpense,InterestExpense,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NonoperatingIncomeExpense,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OtherCostAndExpenseOperating,OtherExpenses,OtherGeneralAndAdministrativeExpense,OtherLaborRelatedExpenses,OtherLongTermDebtCurrent,OtherNonrecurringIncomeExpense,PaymentsOfDistributionsToAffiliates,PaymentsOfMergerRelatedCostsFinancingActivities,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromContributedCapital,ProceedsFromContributionsFromAffiliates,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfBankOverdrafts,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfitLoss,PropertyPlantAndEquipmentNet,RelatedPartyTransactionAmountsOfTransaction,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,ShareBasedCompensation,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted
2009-12-31,2010-04-15,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,5358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,2010-05-17,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2010-08-20,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,-11157.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,151849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-310901.0,,,,,,,310901.0,-310901.0,,,,159052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28544854.0
2010-09-30,2010-11-19,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,-11157.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,85582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-155582.0,,,,,,,155582.0,-155582.0,,,,70000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28603187.0
2010-12-31,2011-05-13,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,65300.0,,614996.0,,614996.0,,1951952.0,1049.0,,,560.0,-4798.0,560.0,,,,,28720.0,,,,,,,,,,972.0,-3825660.0,,,,,,,569741.0,-0.03,,,,,,,,,,,,,,,-46323.0,500854.0,,,,,,,,,64364.0,,,,95870.0,,20000.0,,,,,1049.0,1846037.0,323185.0,,-327983.0,-847850.0,,95870.0,396000.0,,,396000.0,751980.0,-751980.0,,,382928.0,369052.0,200000.0,,,,,,,,,,,,323185.0,,,,,,,,,488.0,10000.0,,-3825660.0,,,,,-1844988.0,,,,,,,,,,,28632354.0,
2011-03-31,2011-05-17,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,722.0,162.0,,,,,,,,,,,,,,,,2916.0,,,,,,,,166727.0,0.0,,,140000.0,55132.0,,,,,,,,,,,-3729.0,75000.0,,,,,,280000.0,,,,,,,,,,,,,,,,14400.0,,-14238.0,-85632.0,,,,,,,85632.0,-85632.0,,,,30500.0,,,,,,,,,,,,,600.0,,,,,,,200000.0,-85632.0,,,,,,,,,,,,,,,,,,,,34053187.0,
2011-06-30,2011-08-15,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,50887.0,,,,49499.0,,2263952.0,666.0,,,422.0,,422.0,,,,,36720.0,,,,,,,,,,,-4010257.0,,,,,,,153770.0,0.0,,,,68965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.0,1710251.0,,,,-98965.0,,,,,,420100.0,98965.0,-98965.0,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,244.0,,,,,,,,-1709585.0,,,,,,,,,,,36719854.0,35386520.0
2011-09-30,2011-11-21,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,41836.0,,,,94499.0,,2263952.0,638.0,,,516.0,,,,,,,36720.0,,,,,,,,,,,,,,,,,,126728.0,0.0,,,,51978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,1792201.0,,,,-81978.0,,,,,,,81978.0,-81978.0,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,122.0,,,4092235.0,,,,,-1791563.0,,,,,,,,,,,36719854.0,35830964.0
2011-12-31,2012-04-13,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,28400.0,505959.0,595959.0,595959.0,,595959.0,2384824.0,456.0,456.0,,456.0,-104.0,,,,,,36720.0,,,,270000.0,,-1505774.0,184072.0,,1321702.0,488.0,,185462.0,,243770.0,,,,325959.0,-0.01,,,160000.0,224638.0,-540350.0,,,,,,163319.0,-183719.0,20400.0,223100.0,-36900.0,-139036.0,120000.0,,,,,36528.0,,,300966.0,,,,36112.0,,,,,,1905794.0,456.0,1905794.0,40100.0,,-40204.0,-540350.0,,36112.0,1152699.0,,396000.0,,504238.0,-504238.0,,36112.0,224638.0,119600.0,200000.0,,-3036.0,,,,,,,,,,82200.0,,,,,43136.0,,,,,,-3036.0,-4326882.0,,,,,-1905338.0,,,,,,,,60000.0,,,36053187.0,
2012-03-31,2012-05-17,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,8349.0,,,670959.0,,,2423952.0,572.0,,,572.0,116.0,,,,,,36720.0,,,,,,,,,,123.0,,,,,,,,716236.0,0.0,,,160000.0,47192.0,-85634.0,,,,,,,,,,-20051.0,44999.0,30000.0,,,,,8442.0,,,,,,,-8442.0,,,,,,1991544.0,572.0,,22360.0,,-22244.0,-85634.0,,,396000.0,,,,77192.0,-77192.0,,-8442.0,,30000.0,200000.0,,-3036.0,,,,,,,,,,22360.0,,,,,22360.0,,13800.0,-85634.0,,,-3036.0,-4451644.0,,,,,-1990972.0,,,,,,,,,,,36719854.0,
2012-06-30,2012-08-20,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,21748.0,,,745959.0,230462.0,,2423952.0,1091.0,,,1091.0,,,,,,,36720.0,,,,,,,,,,,,275462.0,,303770.0,,,,303770.0,0.0,,,160000.0,70779.0,-109221.0,,,,,,,,,,,,,,,,,70359.0,,,,,,,-8442.0,,26280.0,,,,2101285.0,1092.0,,,,,-109221.0,,,,,396000.0,,100779.0,-100779.0,,-8442.0,,30000.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,4560865.0,,,,,-2100193.0,,,,,,,,,,,36719854.0,
2012-09-30,2012-11-14,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,2472.0,,,820959.0,275462.0,820959.0,2423952.0,1282.0,,,1282.0,,,,,,,36720.0,,,,,,,,,,,,320462.0,,333770.0,,,,303770.0,0.0,,,160000.0,53032.0,-91475.0,,,,,,,,,,,,,,,,,,,,,,,,-8443.0,,28075.0,,,,2192950.0,1282.0,,,,,-91475.0,,,396000.0,,,,83032.0,-83032.0,,-8443.0,,30000.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,-4652340.0,,,,,-2191668.0,,,,,,,,,,,36719854.0,
2012-12-31,2013-04-16,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,8563.0,505959.0,,,,,2384824.0,1222.0,1222.0,,1222.0,766.0,,,,,,36720.0,,,,390000.0,,-1633588.0,184072.0,,1449516.0,,-4702805.0,,,,,,,505959.0,-0.01,,,,222155.0,-375923.0,,,,,,127814.0,-127814.0,,-19839.0,-19839.0,180000.0,120000.0,,,,,180000.0,120000.0,,,,,,-33768.0,,,,,,2282483.0,1222.0,2282483.0,62760.0,,-61994.0,-375923.0,,,1215459.0,1215459.0,,1215459.0,342155.0,-342155.0,,33768.0,,120000.0,,,,,,,,,,,,,,,,,,62760.0,,,,,,,-4702805.0,,,,,-2281261.0,,,,,,,,,,,36719854.0,
2013-03-31,2013-05-15,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,2864.0,505959.0,,,,,2384824.0,1330.0,1330.0,,1330.0,108.0,,,,,,36720.0,,,,420000.0,,,,,,,-4742512.0,,,,,,,505959.0,0.0,,,,1193.0,-39707.0,,,,,,,,,,-5699.0,,30000.0,,,,,,30000.0,,,,,,-8514.0,,,,,,2322298.0,1330.0,2322298.0,7000.0,,-6892.0,-39707.0,,-8514.0,,1222459.0,,,31193.0,-31193.0,,-8514.0,,30000.0,,,,,,,,,,,,,,,,,,7000.0,,,,,,,,,,,,-2320968.0,,,,,,,,,,,36719854.0,
2013-06-30,2013-08-15,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,14442.0,505959.0,,,,,2384824.0,1252.0,1252.0,,1252.0,,,,,,,36720.0,,,,450000.0,,,,,,,-4807102.0,,,,,,,505959.0,0.0,,,,25656.0,-64590.0,,,,,,,,,,,,,,,,,,,,,,,,-8934.0,,,,,,2386810.0,1252.0,2386810.0,,,,-64590.0,,,,1236459.0,,,55656.0,-55656.0,,-8934.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2385558.0,,,,,,,,,,,36719854.0,
2013-09-30,2013-11-19,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,12653.0,505959.0,,,,,2384824.0,1277.0,1277.0,,1277.0,,,,,,,36720.0,,,,480000.0,,,,,,,-4853179.0,,,,,,,505959.0,0.0,,,,7144.0,-46077.0,,,,,,,,,,,,,,,,,,,,,,,,-8933.0,,,,,,2432912.0,1277.0,2432912.0,,,,-46077.0,,,,1245416.0,,,37144.0,-37144.0,,-8933.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2431635.0,,,,,,,,,,,36719854.0,
2013-12-31,2014-04-04,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,5402.0,505959.0,,,,,2384824.0,230.0,230.0,,230.0,-992.0,,,,,,36720.0,,,,510000.0,,-1699118.0,184072.0,,1515045.0,,-4895540.0,,,,,,,505959.0,-0.01,,,,37348.0,,,,,,,65530.0,-65530.0,,,-3162.0,,,,,,,,120000.0,,,,,,-35387.0,,,,,,2474226.0,230.0,2474226.0,37157.0,,-38149.0,-192735.0,,,,1252616.0,,1252616.0,157348.0,-157348.0,,35387.0,,120000.0,,,,,,,,,,,,,,,,,,37157.0,,,,,,,,,,,,-2473996.0,,,,,,,,,,,36719854.0,
2014-03-31,2014-05-12,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261116.0,,,,,,,,,,,,,,,,,,,,,,,,,,8500.0,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2014-08-14,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,7924.0,,,,,,2384824.0,79.0,79.0,,79.0,,,,,,,36720.0,,,,570000.0,,,,,,,-4989211.0,,,,,,,505959.0,0.0,,,,8437.0,-47374.0,,,,,,,,,,,,,,,,,,,,,,,,-8937.0,,,,,,2567746.0,79.0,2567746.0,,,,-47374.0,,,,1268100.0,,,38437.0,-38437.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2567667.0,,,,,,,,,,,36719854.0,
2014-09-30,2014-11-12,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,7836.0,-46773.0,,,,,,,,,,,,,,,,,,,,,,,,-8937.0,,,,,,,,,,,,-46773.0,,,,,,,37836.0,-37836.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36719854.0,
2014-12-31,2015-03-20,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,12166.0,,,,,,2384824.0,164.0,164.0,,164.0,-66.0,,,,,,36720.0,,,-62799.0,630000.0,,-1761916.0,,,1577844.0,,,365462.0,365462.0,43770.0,560000.0,96727.0,70000.0,505959.0,-0.01,,,,28954.0,,,,,,,62799.0,,,,6764.0,,120000.0,,,,,,,,,,,,35748.0,,,,,,2658862.0,164.0,2658862.0,24484.0,,-24550.0,-184702.0,,,,1277100.0,,,148954.0,-148954.0,,-35748.0,,120000.0,,,,,,,,,,,,,,,,,,25125.0,,,,,,-641.0,-5080242.0,,,,,-2658698.0,,,,,,,,,,,36719854.0,
2015-03-31,2015-05-15,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,,,,,,,,,,,104.0,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,22399.0,-61336.0,,,,,,,,,,13700.0,,30000.0,,,,,,,,,,,,-8937.0,,,,,,,,,5550.0,,-5560.0,-61336.0,,,,,,,52399.0,-52399.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,36719854.0,
2015-09-30,2015-10-26,10-Q,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,25438.0,,,,,,2384824.0,157.0,157.0,,157.0,,,,,,,36720.0,,,,720000.0,,,,,,,,,,,,,,505959.0,0.0,,,,2486.0,-41423.0,,,,,,,,,,,,,,,,,,,,,,,,-8937.0,,,,,,2806794.0,157.0,2806794.0,,,,-41423.0,,,,1294949.0,,,32486.0,-32486.0,,-8937.0,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,-5228181.0,,,,,-2806637.0,,,,,,,,,,,36719854.0,
2015-12-31,2016-04-13,10-K,"HST GLOBAL, INC.",HSTC,CIK0000797564,USD,29875.0,,,,,,2384824.0,195.0,195.0,,195.0,31.0,,,,,,36720.0,,,-66570.0,750000.0,,-1828487.0,,,1644415.0,,,365462.0,365462.0,43770.0,680000.0,96727.0,70000.0,505959.0,-0.01,,,,40047.0,,,,,,,66570.0,,,,17709.0,,120000.0,,,,,,,,,,,,35748.0,,,,,,2854688.0,195.0,2854688.0,17600.0,,-17569.0,-195795.0,,,,1299469.0,,,160047.0,-160047.0,,-35748.0,,120000.0,,,,,,,,,,,,,,,,,,17600.0,,,,,,,-5276037.0,,,,,-2854493.0,,,,,,,,,,,36719854.0,
