end,filed,form,Name,Ticker,CIK,Currency,Assets,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CommonStockNoParValue,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesOutstanding,GainLossOnInvestments,IncomeTaxExpenseBenefit,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentIncomeNet,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,Liabilities,LiabilitiesAndStockholdersEquity,ManagementFeePayable,NetAssetValuePerShare,NetIncomeLoss,OperatingExpenses,OtherAssets,OtherCostAndExpenseOperating,PartnersCapitalAccountExchangesAndConversions,PartnersCapitalAccountUnits,PartnersCapitalAccountUnitsConverted,RealizedInvestmentGainsLosses,RelatedPartyTransactionRate,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,UnrealizedGainLossOnInvestments,UnrecognizedTaxBenefits,AdditionalPaidInCapital,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,NonInvestmentAssetsLessNonInvestmentLiabilities,NonInvestmentAssetsLessNonInvestmentLiabilitiesPercentOfNetAssets,OtherOperatingIncome,PartnersCapitalAccountPeriodIncreaseDecrease,PartnersCapitalAccountUnitsPeriodIncreaseDecrease
2021-06-30,2021-08-13,10-Q,Bitwise 10 Crypto Index Fund,BITW,CIK0001723788,USD,698412161.0,696877179.0,80490.0,,25000.0,,-316704298.0,,5276830.0,-5277149.0,396641525.0,698329432.0,1534982.0,698412161.0,1454858.0,,-321981447.0,5277149.0,2239.0,319.0,,20115535.0,,-1574741.0,,335785.0,16463777.0,,,-315129557.0,0.0,,,,,,,,
2021-09-30,2021-11-10,10-Q,Bitwise 10 Crypto Index Fund,BITW,CIK0001723788,USD,906586435.0,904617756.0,80713.0,0.0,25000.0,20155831.0,211685471.0,,5601444.0,-5603209.0,376551286.0,906503532.0,1968679.0,906586435.0,1888555.0,44.88,206082262.0,5603209.0,2190.0,1765.0,,20155831.0,,-16578868.0,,40296.0,1658315.0,,,228264339.0,0.0,,,,,,,,
2021-12-31,2022-03-11,10-K,Bitwise 10 Crypto Index Fund,BITW,CIK0001723788,USD,976652128.0,974537662.0,18534761.0,0.0,,20241947.0,439851644.0,0.0,23059156.0,-23063075.0,365043367.0,958115187.0,2114466.0,,2034342.0,48.14,416788569.0,23063075.0,2180.0,3919.0,,20241947.0,,-9558990.0,,5109707.0,184508655.0,,,449410634.0,0.0,427764344.0,0.9832,593071820.0,,,,184508655.0,5109707.0
