end,filed,form,Name,Ticker,CIK,Currency,AccountsReceivableNet,AccountsReceivableNetNoncurrent,AccruedIncomeTaxes,AccruedLiabilitiesAndOtherLiabilities,AccruedLiabilitiesCurrentAndNoncurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AllocatedShareBasedCompensationExpense,AlternativeExcessNetCapital,AssetManagementFees1,Assets,AssetsFairValueDisclosure,AssetsHeldInTrust,AssetsOfDisposalGroupIncludingDiscontinuedOperation,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecurities,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleSecuritiesAmortizedCost,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAccumulatedLoss,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses,AvailableForSaleSecuritiesContinuousUnrealizedLossPositionFairValue,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleSecuritiesEquitySecuritiesCurrent,AvailableForSaleSecuritiesGrossRealizedGainLossNet,AvailableForSaleSecuritiesGrossRealizedGains,AvailableForSaleSecuritiesGrossRealizedLosses,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,AvailableforsaleSecuritiesInUnrealizedLossPositionsQualitativeDisclosureNumberOfPositions1,BrokerageCommissionsRevenue,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsPerShareDeclared,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractWithCustomerLiability,ConversionOfStockSharesConverted1,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtAndEquitySecuritiesRealizedGainLoss,DebtAndEquitySecuritiesUnrealizedGainLoss,DebtInstrumentFaceAmount,DebtInstrumentInterestRateStatedPercentage,DebtSecuritiesTradingAndEquitySecuritiesFvNiCost,DeferredCompensationArrangementWithIndividualEmployerContribution,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGross,DeferredTaxAssetsInvestments,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesInvestments,DeferredTaxLiabilitiesOther,DeferredTaxLiabilitiesTaxDeferredIncome,DefinedContributionPlanEmployerDiscretionaryContributionAmount,Depreciation,DepreciationAmortizationAndAccretionNet,DerivativeAssetFairValueGrossLiability,DerivativeAssetsLiabilitiesAtFairValueNet,DerivativeFairValueOfDerivativeAsset,DerivativeGainLossOnDerivativeNet,DerivativeLiabilities,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,Dividends,DividendsCommonStockCash,DividendsPayableCurrentAndNoncurrent,DividendsSharebasedCompensationStock,DueFromAffiliates,DueFromRelatedParties,DueToAffiliateCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationDeductionsDividends,EffectiveIncomeTaxRateReconciliationMinorityInterestIncomeExpense,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseCharitableContributions,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseShareBasedCompensationCost,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings,EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrentAndNoncurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationEquity,EquityMethodInvestmentSummarizedFinancialInformationLiabilities,EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,EquityMethodInvestments,EquitySecuritiesFvNi,EquitySecuritiesFvNiCost,FairValueLiabilitiesMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInEarnings1,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetGainLossIncludedInOtherComprehensiveIncomeLoss,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetPurchases,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetSales,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersIntoLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersNet,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetTransfersOutOfLevel3,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityGainLossIncludedInEarnings,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationTransfersOutOfLevel3,FeesAndCommissionsOther,FinancialInstrumentsSoldNotYetPurchasedAtFairValue,ForeignCurrencyContractAssetFairValueDisclosure,GainLossOnDerivativeInstrumentsNetPretax,GainLossOnForeignCurrencyDerivativesRecordedInEarningsNet,GainLossOnInvestments,Goodwill,GoodwillImpairmentLoss,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReceivable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInBrokerageReceivables,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDueFromAffiliatesCurrent,IncreaseDecreaseInDueToAffiliatesCurrent,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInIntangibleAssetsCurrent,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPayablesToBrokerDealers,IncreaseDecreaseInTradingSecurities,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IntangibleAssetsNetIncludingGoodwill,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeRelatedParty,InterestPaid,InterestPaidNet,InvestmentAdvisoryFees,InvestmentIncomeInterestAndDividend,InvestmentSoldNotYetPurchasedAtFairValue,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVenturesFairValueDisclosure,InvestmentsInAndAdvancesToAffiliatesAmountOfEquity,InvestmentsInAndAdvancesToAffiliatesAtFairValue,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossAdditions,InvestmentsInAndAdvancesToAffiliatesBalancePrincipalAmount,InvestmentsInAndAdvancesToAffiliatesBalanceShares,LaborAndRelatedExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,MarketableSecurities,MinimumNetCapitalRequiredForBrokerDealerSubsidiary1,MinorityInterest,MinorityInterestChangeInRedemptionValue,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,MinorityInterestDecreaseFromRedemptions,MinorityInterestOwnershipPercentageByParent,NetCapital,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NoncontrollingInterestDecreaseFromDeconsolidation,NoncontrollingInterestIncreaseFromBusinessCombination,NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,NonoperatingIncomeExpense,NumberOfForeignCurrencyDerivativesHeld,NumberOfOperatingSegments,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLossCarryforwards,OtherAssets,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeReclassificationAdjustmentsNetOfTax,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,OtherCostAndExpenseOperating,OtherIncome,OtherNotesPayable,OtherOperatingIncomeExpenseNet,OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,OtherThanTemporaryImpairmentLossesInvestmentsPortionRecognizedInEarningsNetAvailableforsaleSecurities,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBuildings,PaymentsToAcquireMarketableSecurities,PaymentsToAcquireNotesReceivable,PaymentsToAcquireTrustPreferredInvestments,PaymentsToMinorityShareholders,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromCollectionOfNotesReceivable,ProceedsFromContributionsFromParent,ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities,ProceedsFromMaturitiesPrepaymentsAndCallsOfHeldToMaturitySecurities,ProceedsFromMinorityShareholders,ProceedsFromNotesPayable,ProceedsFromPaymentsToMinorityShareholders,ProceedsFromRelatedPartyDebt,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfNotesReceivable,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ReceivablesFromBrokersDealersAndClearingOrganizations,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,ReclassificationFromAociCurrentPeriodTax,RedeemableNoncontrollingInterestEquityCarryingAmount,RepaymentsOfOtherShortTermDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RestrictedCash,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueOtherFinancialServices,Revenues,RevenuesExcludingInterestAndDividends,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSpinoffTransaction,StockIssuedDuringPeriodSharesShareBasedCompensation,StockIssuedDuringPeriodValueAcquisitions,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased,StockRepurchaseProgramRemainingNumberOfSharesAuthorizedToBeRepurchased,SubordinatedBorrowingInterestRate,SubordinatedDebt,SubordinatedLiabilitiesExtinguished,TaxCutsAndJobsActOf2017ReclassificationFromAociToRetainedEarningsTaxEffect,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TradingGainsLosses,TradingSecurities,TradingSecuritiesDebt,TradingSecuritiesDebtAmortizedCost,TransferOfInvestments,TreasuryStockAcquiredAverageCostPerShare,TreasuryStockShares,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,VariableInterestEntityEntityMaximumLossExposureAmount,VariableInterestEntityNonconsolidatedCarryingAmountAssets,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,CurrentForeignTaxExpenseBenefit,DeferredForeignIncomeTaxExpenseBenefit,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityTransfersNet
2015-09-30,2015-12-16,10-Q,"Associated Capital Group, Inc.",AC,CIK0001642122,USD,1991000.0,1991000.0,,,1846000.0,,4767000.0,0.0,,,,630000.0,,2240000.0,730869000.0,,,,,74400000.0,11748000.0,2926000.0,65578000.0,2926000.0,,37914000.0,,115046000.0,,0.0,0.0,4.0,4.0,2063000.0,,363055000.0,,,,,,,900000.0,0.0,25500000.0,-12145000.0,-464000.0,-12609000.0,,,5771000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41621000.0,,143000.0,2012000.0,,,,,,,,202000.0,202000.0,23369000.0,-0.3,-0.3,0.354,,,,,,,,,,,,5046000.0,,7000000.0,,,,,,,86703000.0,,,,-126000.0,0.0,0.0,0.0,,0.0,,1092000.0,,,,,2063000.0,5577000.0,,,,-126000.0,3254000.0,0.0,,,,-12392000.0,-12392000.0,,,,,,,-4388000.0,,,,,,,,,,,,,,,,,,,,551000.0,323000.0,,,,2240000.0,551000.0,,87200000.0,14319000.0,0.0,,,,,5079000.0,95292000.0,730869000.0,,92822000.0,,0.0,,,,0.94,,,,,,,,-7540000.0,-464000.0,,,,-11311000.0,2.0,,5771000.0,-1081000.0,,,,,882000.0,-4600000.0,,,-4605000.0,,-4605000.0,2705000.0,1436000.0,387000.0,,,150000.0,,49365000.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,-8004000.0,,,52595000.0,,,6018000.0,,,,,0.0,,387000.0,4690000.0,4690000.0,630000.0,,,629559000.0,629559000.0,,,,,,,,,,,,6018000.0,-11539000.0,,,,,,0.0,0.0,,,,,,,,,9600000.0,65800000.0,25241000.0,,24947000.0,,,,,
2015-12-31,2016-03-24,10-K,"Associated Capital Group, Inc.",AC,CIK0001642122,USD,4896000.0,4896000.0,,,1466000.0,,-1857000.0,999000000.0,,4931000.0,-46459000.0,,6900000.0,12635000.0,836748000.0,,,,,213046000.0,12940000.0,14436000.0,214542000.0,14436000.0,,176435000.0,,,25000.0,30000.0,0.0,6.0,,9927000.0,,205750000.0,-79803000.0,,,,,,,,25400000.0,-11146000.0,-780000.0,-11926000.0,,,37154000.0,4540000.0,225000.0,,,,,,12000.0,-6160000.0,,-6450000.0,9880000.0,-290000.0,6471000.0,,,6471000.0,166000.0,0.0,871000.0,77000.0,5523000.0,166000.0,3409000.0,,41000.0,0.0,12000.0,13000.0,13000.0,42687000.0,,236000.0,2720000.0,,,,,,,0.0,,7457000.0,0.0,0.17,0.17,0.654,0.34,,0.264,0.0,0.032,,0.0,0.002,,,0.016,10926000.0,7000000.0,,,1700000.0,2414000000.0,2113000000.0,301000000.0,-18000000.0,91098000.0,,,,-97000.0,0.0,11000.0,318000.0,,-370000.0,,813000.0,,,,,8397000.0,9623000.0,149000.0,264000.0,264000.0,-97000.0,3254000.0,,2000.0,,,-2576000.0,-2576000.0,,,,,,4756000.0,-1685000.0,2000.0,,,,949000.0,2191000.0,298000.0,30008000.0,,7055000.0,-4733000.0,1747000.0,,,-17568000.0,44516000.0,71552000.0,283000.0,,4720000.0,1260000.0,800000.0,1428000.0,1428000.0,12635000.0,4720000.0,,89300000.0,13953000.0,136360000.0,,,,,26343000.0,79461000.0,836748000.0,,333624000.0,250000.0,2353000.0,,,0.0,,7100000.0,9281000.0,9281000.0,-41734000.0,-41734000.0,-47350000.0,-47350000.0,4078000.0,-780000.0,0.0,,0.0,11736000.0,2.0,1.0,37154000.0,-20195000.0,,,,24900000.0,1530000.0,-11200000.0,-11157000.0,-6503000.0,,-100000.0,-11035000.0,-6434000.0,6189000.0,280000.0,-250000000.0,,200000.0,216000.0,50648000.0,44000.0,901000.0,0.0,43271000.0,,,,0.0,,,0.001,10000000.0,0.0,0.0,0.0,,,,,1036000.0,0.0,,,1013000.0,,,,-891000.0,57000.0,19000.0,56510000.0,-122000.0,69000.0,5738000.0,16000000.0,,16000000.0,,2072000.0,,,31837000.0,31837000.0,4931000.0,,,749196000.0,751549000.0,,,,,,,,,,,,5738000.0,8276000.0,,,,,,1500.0,44000.0,44000.0,-15678.0,2000.0,11000.0,83950.0,60000.0,0.0,-10347.0,9900000.0,70200000.0,25170000.0,25440000.0,24887000.0,,,,,
2016-03-31,2016-05-13,10-Q,"Associated Capital Group, Inc.",AC,CIK0001642122,USD,1463000.0,1463000.0,,,4072000.0,,12933000.0,999644000.0,,644000.0,-1472000.0,,,2068000.0,812700000.0,,,,,236076000.0,26384000.0,3641000.0,213333000.0,3641000.0,,35772000.0,,,0.0,0.0,0.0,3.0,,2438000.0,,203239000.0,-2509000.0,,,,,,,0.1,25400000.0,16383000.0,678000.0,17061000.0,,,9032000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,8165000.0,,185000.0,1261000.0,,,,,2534000.0,,49000.0,,3507000.0,673000.0,0.06,0.06,0.299,,,,,,,,,,,,4893000.0,,,6300000.0,,,,,,105566000.0,,,,-2000.0,0.0,0.0,0.0,,0.0,,811000.0,,,,,2055000.0,8014000.0,,,,-2000.0,3254000.0,0.0,,,,,2208000.0,,,,,,2181000.0,661000.0,1600000.0,,,673000.0,-3414000.0,-1038000.0,132000.0,-32535000.0,,-3951000.0,673000.0,-6032000.0,,,-628000.0,-38376000.0,-9801000.0,314000.0,,3434000.0,420000.0,,128000.0,,2068000.0,3434000.0,,96800000.0,7581000.0,162807000.0,,,,,6312000.0,44681000.0,812700000.0,,347626000.0,,2998000.0,,,0.0,,,,-2628000.0,,44000.0,,75000.0,1593000.0,-46000.0,0.0,,,6723000.0,2.0,,9032000.0,-4515000.0,,,,,1270000.0,15500000.0,15514000.0,8726000.0,15514000.0,,15514000.0,8726000.0,1802000.0,11000.0,-250000000.0,,0.0,0.0,12251000.0,2420000.0,208000.0,0.0,219000.0,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,1547000.0,,,23278000.0,,,3752000.0,,,,,1131000.0,,,4517000.0,4517000.0,644000.0,,,761269000.0,764267000.0,,,,,,,,,,,,3752000.0,3709000.0,,,,,,89778.0,2464000.0,2420000.0,,,,,,,,,,25177000.0,,24863000.0,,,,,
2016-06-30,2016-08-05,10-Q,"Associated Capital Group, Inc.",AC,CIK0001642122,USD,1562000.0,1562000.0,,,6007000.0,,1703000.0,1005150000.0,,,,,,,802927000.0,,,,,218148000.0,14169000.0,8596000.0,212575000.0,8596000.0,,179551000.0,,,,300000.0,0.0,2.0,,2672000.0,,194726000.0,,,,,,,,0.0,25500000.0,-10211000.0,486000.0,-9725000.0,,163428.0,8316000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4534000.0,,154000.0,157000.0,,,,,,,,,6064000.0,362000.0,0.04,0.04,0.194,,,,,,,,,,,,6012000.0,,,5700000.0,,,,,,112916000.0,,,,-13000.0,0.0,0.0,0.0,,0.0,,798000.0,,,,,,6570000.0,,,,-13000.0,3422000.0,0.0,,,,,1570000.0,,,,,,,305000.0,,,,,,,,,,,,,,,,,,335000.0,,3495000.0,68000.0,,,,2224000.0,3495000.0,,105400000.0,7939000.0,143960000.0,,,,4393055.0,5441000.0,44014000.0,802927000.0,,335897000.0,,0.0,,,,,,,,,,,,1019000.0,246000.0,,,,4922000.0,1.0,,8316000.0,-3352000.0,368000.0,92000.0,276000.0,,1364000.0,11000000.0,,,-10990000.0,,-10990000.0,-6181000.0,2080000.0,68000.0,,,0.0,,18972000.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,800000.0,,,,1265000.0,,,21269000.0,,,3929000.0,,,,,2150000.0,,,4964000.0,4964000.0,644000.0,,,754984000.0,754984000.0,,,,,,,,,,,,3929000.0,1495000.0,,,,,,143628.0,4044000.0,,,,,,,,,,,25189000.0,,24854000.0,,,,,
2016-09-30,2016-11-04,10-Q,"Associated Capital Group, Inc.",AC,CIK0001642122,USD,1932000.0,1932000.0,,18528000.0,6135000.0,,-7633000.0,1006502000.0,,,,,,,924811000.0,,,,,206974000.0,15925000.0,24940000.0,215989000.0,24940000.0,,128222000.0,,,,0.0,0.0,2.0,,2992000.0,,402403000.0,,,,,,,,0.0,25400000.0,-5377000.0,70000.0,-5307000.0,,163428.0,9948000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000.0,,178000.0,159000.0,,,,,,,,,7917000.0,331000.0,0.16,0.16,0.31,,,,,,,,,,,,8499000.0,,,5200000.0,,,,,,120075000.0,,,,-37000.0,0.0,0.0,20000.0,,0.0,,741000.0,,,,,,4215000.0,,,,-37000.0,3422000.0,0.0,,,,,5836000.0,,,,,,,1807000.0,,,,,,,,,,,,,,,,,,301000.0,,,66000.0,,,,2294000.0,2833000.0,,113400000.0,8123000.0,125070000.0,,,,4393055.0,6415000.0,22743000.0,924811000.0,,231542000.0,,0.0,,,,,,,,,,,,3959000.0,70000.0,,,,10333000.0,0.0,,9948000.0,-4497000.0,184000.0,92000.0,92000.0,,3368000.0,-9300000.0,,,-9336000.0,,-9336000.0,-5251000.0,2165000.0,165000.0,,,0.0,,1549000.0,,,,,,,,,,,0.001,10000000.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,4029000.0,,,19807000.0,,,3999000.0,,,,,6102000.0,,,5451000.0,,727000.0,,,898069000.0,898069000.0,,,,,,,,,,,,3999000.0,7566000.0,,,,,,237255.0,6927000.0,,,,,,,,,,,25219000.0,,24918000.0,,,,,
