end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccretionOfDiscount,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvancesToAffiliate,AreaOfLand,Assets,AssetsCurrent,BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesLongTermDebt,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesLongTermDebt,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPayableCurrent,DividendsPayableCurrentAndNoncurrent,DueFromOtherRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityIssuancePerShareAmount,ExcessStockSharesAuthorized,ExcessStockSharesIssued,ExcessStockSharesOutstanding,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeAmountPaid,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoninterestExpense,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherExpenses,PaymentForManagementFee,PaymentsForRent,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquireLeaseReceivables,PaymentsToAcquireNotesReceivable,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,ReceivablesNetCurrent,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SalesRevenueNet,SharePrice,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedDuringPeriodShares,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableTradeCurrentAndNoncurrent,AllocatedShareBasedCompensationExpense,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,DueToRelatedPartiesCurrentAndNoncurrent,WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted
2010-06-30,2010-11-23,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,1936.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4628.0,,,,,0.0,,,,940.0,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,5624.0,,-3688.0,-4628.0,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,2010-11-30,10-K,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,3500.0,,3500.0,,,,,4500.0,,,,1936.0,1936.0,,,,,,,,,,,,,1936.0,,,,0.0001,100000000.0,5000000.0,5000000.0,500.0,,,,,,,,,,,,9843.0,,,,,3279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6779.0,1936.0,6779.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,-9843.0,,,,,,-4843.0,,,,,,,,,,,,,,,,,
2010-12-31,2011-02-11,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,,,,,,,,,,,,,,,,,,,,3386.0,1450.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,1430.0,0.0,,,,0.0,,,,,,,-2700.0,,,,,,,0.0,,,,,0.0,,,,,,,5580.0,,-4130.0,-1430.0,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,580.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
2011-03-31,2011-05-16,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,,,,,,,,,,,,,,,,,,,,2227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5050000.0,,,,,
2011-06-30,2011-08-15,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,3000.0,,,,,,,9995.0,,,,2392.0,2392.0,,,,,,,,,,,,,2132.0,,,,0.0001,100000000.0,5055000.0,5055000.0,506.0,,,,,,,,,,,,,,,,,7406.0,0.0,,,,,,,,4107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2392.0,10406.0,,,,,,-4107.0,,,,,,,,,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,0.0,260.0,,,,,,,,,,,,-18514.0,,,0.0,,,-8014.0,,,,,,,,,,,,5050000.0,,,,,
2011-09-30,2011-12-19,10-K,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,4000.0,4000.0,,,,9994.0,9994.0,,,,4.0,4.0,,,,,,,,,,,4.0,,4.0,-1932.0,,,0.0001,10000000.0,5055000.0,5055000.0,506.0,,,0.0,,,,,,,,,27256.0,,,,,12760.0,0.0,,,,,,,,17413.0,0.0,,,0.0,0.0,,,,500.0,,,500.0,,,,,,,0.0,,,,,500.0,,16760.0,4.0,16760.0,,,14481.0,0.0,-16413.0,-17413.0,,,,,,,17413.0,-17413.0,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,5000.0,,,,9481.0,,15797.0,,,,,,,0.0,,,-16756.0,,,,,5000.0,500.0,5000.0,500.0,,,,5045644.0,,,,,
2011-12-31,2012-02-14,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,6800.0,,,,,9994.0,,,,84.0,84.0,,,,,,,,,,,,,84.0,80.0,,,0.0001,100000000.0,5055000.0,5055000.0,506.0,,,0.0,,,,,,,,,30576.0,,,,,13360.0,0.0,,,,,,,,3320.0,0.0,,,,0.0,,,,2800.0,,,2800.0,,,,,,,0.0,,,,,0.0,,,84.0,20160.0,,,600.0,,-520.0,-3320.0,,,,,,,,-3320.0,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,0.0,,,0.0,,,,600.0,,,,,,,,,0.0,,,-20076.0,,,,,,,,,,,,5055000.0,,,,,
2012-03-31,2012-05-08,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,5650.0,,,,,9994.0,,,21206.0,,354.0,354.0,,,,,,,,,,,,,354.0,,,,0.0001,100000000.0,5055000.0,5055000.0,506.0,,,,,,,,,,,,33756.0,,,,,17960.0,0.0,,,,,,,,3180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,354.0,23610.0,,,,,,-3180.0,,,,,,,,-3180.0,,,,,,,,,,,0.0001,10000000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,-23256.0,,,,,,,,,,,,5055000.0,,,,,
2012-06-30,2012-08-14,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,7700.0,,,,,9994.0,,,,,90.0,90.0,,,,,,,,,,,90.0,,90.0,,,,0.0001,100000000.0,5055000.0,5055000.0,506.0,,,,,,,,,,,,39316.0,,,,,21206.0,,,,,,,,,5560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,28906.0,,,,,,-5560.0,,,,,,,5560.0,-5560.0,,,,,,,,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,,,,,-28816.0,,,,,,,,,,,,5055000.0,,,,,
2012-09-30,2012-12-04,10-K,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,9790.0,9790.0,,,,,9994.0,,,,,450.0,450.0,,,,,,,,,,,,,450.0,446.0,,,0.0001,550000000.0,5055000.0,5055000.0,506.0,,,,,,,,,17929.0,16091.0,16091.0,45973.0,,,5000.0,,25683.0,0.0,,,,,,,,18717.0,,,,,,,-6551.0,6551.0,2790.0,2790.0,,,,,,,,,,,,,,,,35473.0,450.0,35473.0,,,16373.0,,-15927.0,-19817.0,,,,,,,18717.0,-18717.0,,45973.0,,,,,,,,,0.0001,25000000.0,4500000.0,4500000.0,450.0,,,,450.0,,,15923.0,,,,,,,,,,,,-35023.0,,,,,450.0,,,,,4900000.0,,5055000.0,,,,,
