end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableTradeCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccretionOfDiscount,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvancesToAffiliate,AreaOfLand,Assets,AssetsCurrent,BusinessAcquisitionEquityInterestIssuedOrIssuableValueAssigned,BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesLongTermDebt,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsPrepaidExpenseAndOtherAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesLongTermDebt,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,Cash,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConversionOfStockAmountConverted1,ConvertibleNotesPayableCurrent,CostOfGoodsAndServicesSold,DebtConversionConvertedInstrumentAmount1,DebtInstrumentConvertibleNumberOfEquityInstruments,DebtInstrumentFaceAmount,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DeferredTaxAssetsGross,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsPayableCurrent,DividendsPayableCurrentAndNoncurrent,DueFromOtherRelatedPartiesCurrent,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EquityIssuancePerShareAmount,ExcessStockSharesAuthorized,ExcessStockSharesIssued,ExcessStockSharesOutstanding,GeneralAndAdministrativeExpense,GrossProfit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedInterestReceivableNet,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestIncomeOther,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestReceivable,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeAmountPaid,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NoninterestExpense,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherExpenses,PaymentForManagementFee,PaymentsForRent,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireInterestInSubsidiariesAndAffiliates,PaymentsToAcquireLeaseReceivables,PaymentsToAcquireNotesReceivable,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,PrepaidExpenseNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,ReceivablesNetCurrent,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,RetainedEarningsAppropriated,Revenues,SalesRevenueNet,SharePrice,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedDuringPeriodShares,TreasuryStockShares,TreasuryStockValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccountsPayableTradeCurrentAndNoncurrent,AllocatedShareBasedCompensationExpense,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,DueToRelatedPartiesCurrentAndNoncurrent,WeightedAverageNumberOfLimitedPartnershipAndGeneralPartnershipUnitOutstandingBasicAndDiluted
2012-12-31,2013-02-13,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,25.0,,,,,,-178736.0,,,,,6362.0,,,,,,,,,,,,,,862.0,-450.0,,,0.0001,75000.0,15000.0,15000.0,5500.0,,,,,,,,,,89.0,89.0,263.0,,,,,1100.0,0.0,,0.34,,0.1,,,,4455.0,,,837.0,,,,,-285.0,-2196.0,-2196.0,,,,,,5500.0,2359.0,,,,,,,,,,6362.0,1125.0,1000.0,,8560.0,,-9010.0,-6814.0,,,-2359.0,,193000.0,,4455.0,-4455.0,,263.0,,,,189000.0,,,,,0.0001,10000000.0,,,,5500.0,,,10.0,5500.0,193000.0,4550.0,4550.0,7500.0,,,,,,9500.0,,,,5237.0,,,,,500.0,,,,,,,4462640.0,,,,,
2013-03-31,2013-05-15,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,8596.0,,,,,,-253626.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0001,550000000.0,1255000.0,1255000.0,125.0,,,,,,,,,,,,58523.0,,,,,34968.0,0.0,,,,,,,,1149.0,,,,,,,,,,,,,,,,,4588.0,,,,,,,,500.0,311564.0,0.0,311564.0,,,,,,-5737.0,,1149.0,-4588.0,,268000.0,,1149.0,-1149.0,,,,,,,,,,,0.0001,25000000.0,,,,,,,,,,,,,,,,,,,,,,-311564.0,,,,,,,,,,,,1798889.0,,,,,
2013-06-30,2013-08-19,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,32562.0,,,10000.0,,,50032.0,,,,,20322.0,,3482.0,,3482.0,682.0,3900.0,-1100.0,,,,,,,9822.0,,,,0.0001,,455155000.0,455155000.0,46006.0,,,,,,,,,,,,165691.0,18000.0,18000.0,,1100.0,1100.0,0.0,,,,,,,,22216.0,,,,,,,,,,,,,,,,,55982.0,,,,12781.0,,,,,,20322.0,394662.0,1045.0,1045.0,,,,-107168.0,,,-55982.0,,318000.0,25000.0,66186.0,-51186.0,,,,,,,,,,,0.0001,25000000.0,,,,500.0,,,,,,,,42925.0,,,,,,15000.0,,,,-374340.0,,,,,,,,,,,305092.0,354461593.0,,,,,
2013-09-30,2014-01-10,10-K,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,51628.0,,,,,50000.0,50032.0,,,,,8072.0,8072.0,3482.0,,,,,,682.0,3900.0,-1100.0,3482.0,,,7186.0,6736.0,,,0.0001,550000000.0,460055000.0,455155000.0,46006.0,4500.0,,,50000.0,,,,,,80556.0,80556.0,230159.0,18000.0,,,3600.0,4252.0,0.0,,0.35,,,,,,36977.0,,,,,,,-64465.0,64465.0,,37839.0,652.0,,,,,-7014.0,70003.0,,,,19531.0,,,,,446880.0,8072.0,,,,94735.0,682.0,-88681.0,-184186.0,,,-70003.0,348000.0,348000.0,25000.0,129183.0,-114183.0,,230000.0,,-3545.0,,-305092.0,,-682.0,,,0.0001,25000000.0,,,,886.0,,,10.0,,348000.0,75000.0,,88661.0,,,,-230159.0,,15000.0,,,,-438808.0,,,,50000.0,,,,,,4900000.0,305092.0,204422260.0,,,,,
2013-12-31,2014-02-19,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,86070.0,,,,,,129727.0,,,,,447375.0,111217.0,3482.0,90000000.0,,,,,682.0,3900.0,1100.0,3482.0,,,51567.0,44381.0,,,0.0001,550000000.0,160055000.0,155155000.0,16006.0,,,,,,,,,,,,398486.0,18000.0,,,1100.0,3440.0,0.0,,,,,,,,40175.0,,,,,,,,,,34261.0,,,,,,23583.0,15147.0,,,,31562.0,,292200.0,,1458.0,1004510.0,447375.0,,,,523188.0,-322200.0,-156607.0,-168327.0,,,-15147.0,348000.0,772000.0,125000.0,153180.0,-153180.0,,,,,,,,292200.0,,30000.0,0.0001,25000000.0,,,,29469.0,43958.0,,,,424000.0,100000.0,-812.0,113005.0,,30181.0,,,,,,,,-557135.0,,,,,,,,,,4900000.0,305092.0,213850650.0,,,,,
2014-03-31,2014-05-15,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,76689.0,,,,,,129727.0,,,,,461978.0,78370.0,3482.0,,,,,,682.0,3900.0,1100.0,3482.0,,,4515.0,,,,0.0001,550000000.0,160055000.0,155155000.0,16006.0,,,,,,,,,,,,505467.0,18000.0,,,3100.0,7905.0,0.0,,,,,,,,20284.0,,,,,,,,,,,,,,,,,19636.0,1280.0,,,48302.0,,340900.0,,,1126094.0,461978.0,,,,,,,-106981.0,,,-18356.0,348000.0,898500.0,125000.0,88625.0,-88625.0,,,,,,,,,,,0.0001,25000000.0,,,,12575.0,42708.0,,,,,,,68341.0,,61280.0,,,,,,,,-664116.0,,,,,,,,,,4900000.0,305092.0,155155000.0,,,,,
2014-06-30,2014-08-19,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,92024.0,,,,,,129727.0,,,,,562889.0,80531.0,3482.0,,,,,,682.0,3900.0,1100.0,3482.0,,,3016.0,,,,0.0001,550000000.0,160055000.0,155155000.0,16006.0,,,,,,,,,,,,621896.0,18000.0,,,5100.0,14910.0,0.0,,,,,,,,20727.0,,,,,,,,,,,,,,,,,23443.0,1571.0,,,66740.0,2851.0,440900.0,,,1343434.0,562889.0,,,,,,,-116429.0,,,-21872.0,,938500.0,280000.0,94557.0,-94557.0,,,,,,,,,,,0.0001,25000000.0,,,,9664.0,41458.0,,,,,,,73830.0,,65000.0,,-621896.0,,,,,,-780545.0,,,,,,,,,,4900000.0,305092.0,155155000.0,,,,,
2020-09-30,2021-04-22,10-K,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,105126.0,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0001,550000000.0,155155000.0,155155000.0,15516.0,,,,,,,,,,,,,,,,,,0.0,,,,,75000000.0,155155000.0,155155000.0,22670.0,,-22670.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,22670.0,0.0,22670.0,,,22670.0,0.0,-22670.0,-22670.0,-22670.0,,,,,22670.0,22670.0,-22670.0,,,0.0,,,,,,,,,,,,,,,,,,,22670.0,,,-22670.0,,,-144021.0,,22670.0,,0.001,,-22669.0,,,,,,,,,,,,155155000.0,,,,,
2020-12-31,2021-04-30,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,2473196.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0001,550000000.0,162255000.0,162255000.0,16226.0,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,300.0,,-2373213.0,,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,26812.0,,26812.0,,,4142.0,,-4142.0,-2373213.0,-2373213.0,,,,,26812.0,2373213.0,-2373213.0,,,,,,,,,,,,,,,,,,,,,,4142.0,,3843.0,-2373213.0,,,-2517234.0,,0.0,,,,-26812.0,,,,0.0,,,2369070.0,,,,,161637609.0,,2369070.0,-4142.0,,161637609.0
2021-03-31,2021-04-30,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,2473196.0,,,,,,,,,,,,,,,,,,,,,,,0.0001,550000000.0,162255000.0,162255000.0,16226.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1166.0,,-1166.0,,,,,,,,,,,,,,,,,,,,,,,,27978.0,,27978.0,,,,,,-1166.0,,,,,,27978.0,1166.0,-1166.0,,,,,,,,,,,,,,,,,,,,,,,,,-1166.0,,,-2518400.0,2518400.0,,,,,-27978.0,,,,,,,,,,,,162255000.0,,,,,
2021-06-30,2021-07-15,10-Q,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,2473196.0,,,,,,,,,,,,,,,,,0.0,,,,,,0.0001,550000000.0,162255000.0,162255000.0,16226.0,,,,,,,,,,,,,,,,,,0.0,,,,,75000000.0,162255000.0,162255000.0,17928.0,,-17928.0,,,,,,,,,,,,,,,,,,,,,,,,45906.0,,45906.0,,,,,,-17928.0,,,,,,45906.0,17928.0,-17928.0,,,,,,,,,,,,,,,,,,,,,,,,,-17928.0,,,-2536328.0,,,,0.001,,-45906.0,,,,,,,,,,,,162255000.0,,,,,
2021-09-30,2021-12-29,10-K,"PAN GLOBAL, CORP.",PGLO,CIK0001492617,USD,,,,,,,2519102.0,2519102.0,,,,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,,0.0001,550000000.0,162255000.0,162255000.0,16226.0,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,2392307.0,,-2392307.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,23236.0,,-23236.0,-2392307.0,-2392307.0,,,,,,2392307.0,-2392307.0,,,,,,,,,,,,,,,1000.0,,,,,,,23236.0,,,-2392307.0,,,-2536328.0,,,,0.001,,0.0,,,,,,,2369070.0,,,,,162255000.0,0.0,,,0.0,
