end,filed,form,Name,Ticker,CIK,Currency,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndOtherAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AllocatedShareBasedCompensationExpenseNetOfTax,AmortizationOfDebtDiscountPremium,AssetImpairmentCharges,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,AssetRetirementObligationLiabilitiesIncurred,AssetRetirementObligationsNoncurrent,Assets,AssetsCurrent,AssetsNoncurrent,BusinessAcquisitionSharePrice,CapitalizedCostsOilAndGasProducingActivitiesGross,CapitalizedCostsOilAndGasProducingActivitiesNet,CapitalizedCostsProvedProperties,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommercialPaper,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ConvertibleDebt,ConvertibleDebtCurrent,ConvertibleLongTermNotesPayable,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostOfServicesOilAndGas,CostsIncurredAssetRetirementObligationIncurred,CurrentIncomeTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentFairValue,DebtInstrumentUnamortizedDiscountCurrent,DebtInstrumentUnamortizedDiscountNoncurrent,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsValuationAllowance,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EquityMethodInvestmentOwnershipPercentage,FairValueAssumptionsExpectedVolatilityRate,FairValueAssumptionsRiskFreeInterestRate,FairValueOfAssetsAcquired,GainLossOnDispositionOfAssets1,GainLossOnSaleOfInterestInProjects,GainLossOnSaleOfOilAndGasProperty,GainLossOnSaleOfProperties,GainLossOnSaleOfUnprovedProperty,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,GrossProfit,ImpairmentOfOilAndGasProperties,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInLoansToFederalHomeLoanBanks,IncreaseDecreaseInMaterialsAndSupplies,IncreaseDecreaseInOtherCurrentLiabilities,IncreaseDecreaseInOtherNoncurrentLiabilities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPrepaidInterest,IncreaseDecreaseInRawMaterialsPackagingMaterialsAndSuppliesInventories,InterestAndDebtExpense,InterestExpense,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LeaseOperatingExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LoansPayable,LoansPayableCurrent,LongTermDebtNoncurrent,LongTermNotesPayable,MachineryAndEquipmentGross,MinorityInterestOwnershipPercentageByNoncontrollingOwners,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NonoperatingIncomeExpense,NotesPayableRelatedPartiesNoncurrent,OfficersCompensation,OilAndGasPropertyFullCostMethodNet,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssetsCurrent,OtherExpenses,OtherLiabilitiesCurrent,OtherNonoperatingExpense,OtherNotesPayableCurrent,PaymentsToAcquireMachineryAndEquipment,PaymentsToAcquireOilAndGasProperty,PaymentsToAcquireOilAndGasPropertyAndEquipment,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PaymentsToExploreAndDevelopOilAndGasProperties,PrepaidExpenseCurrent,ProceedsFromContributionsFromAffiliates,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfDebt,ProceedsFromLinesOfCredit,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProceedsFromRepaymentsOfNotesPayable,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfOilAndGasPropertyAndEquipment,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RepaymentOfNotesReceivableFromRelatedParties,RepaymentsOfDebt,RepaymentsOfLongTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyRevenue,SalariesAndWages,SellingGeneralAndAdministrativeExpense,SeniorLongTermNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsWeightedAverageVolatilityRate,SharePrice,ShortTermBankLoansAndNotesPayable,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesConversionOfConvertibleSecurities,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfUnits,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,Supplies,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,AdministrativeFeesExpense,StockIssuedDuringPeriodValueStockOptionsExercised
2014-09-30,2014-11-06,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,,,,,,,-800.0,,21159.0,,,,,,,,,16451.0,7886.0,8565.0,,,,,7886.0,,,,75000000.0,8360000.0,8360000.0,8360.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,15986.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9050.0,16451.0,9050.0,,,9050.0,,,,,,,,,,,,-15986.0,,,,,15986.0,-15986.0,,,,,,,,,,,,,,,,,,,,,,,,,,8565.0,,,,,-21318.0,0.0,,,15986.0,,,,,,,,7401.0,,,,,,,,,,,,95563050.0,6370870.0,,
2014-12-31,2015-01-21,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,,,100.0,,,,,,21159.0,,,,,,,,,15786.0,7221.0,8565.0,,,,,7221.0,,,,75000000.0,8360000.0,8360000.0,8360.0,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,1565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9150.0,15786.0,9150.0,,,9050.0,,,,,,,,,,,,-1565.0,,,,,1565.0,-1565.0,,,,,,,,,,,,,,,,,,,,,,,,,,8565.0,,,,,-22883.0,0.0,,,1565.0,,,,,,,,6636.0,,,,,,,,,,,,8346087.0,8346087.0,,
2015-03-31,2015-07-15,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,6000.0,400.0,400.0,,,5600.0,,28265.0,21159.0,,,,,,,,,5971.0,5971.0,,,,,,5971.0,5793.0,,0.001,300000000.0,1254781.0,1254781.0,1254.0,,,,,,,,,,,,,,,,,,,,-0.02,0.34,,,,,-8565.0,,,,,9050.0,29976.0,,0.0,0.0,,10006.0,-10006.0,6000.0,,,,5600.0,,,,,,,,,,,,,,,,6000.0,5971.0,6000.0,,,,,,,,,,29769.0,,,,-23976.0,-29491.0,485.0,,,,29976.0,-29976.0,29548.0,,,5600.0,,,,,,,,,,,23519.0,,,,6250.0,,,,,,,,,,,,-29548.0,,,,,,,,,0.01,,-29.0,,,,,35400000.0,,,,,23519.0,,,1099500.0,,,
2015-06-30,2015-08-21,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,,,2275.0,51263.0,45.0,,,,326158.0,,,,,4549.0,45.0,4504.0,4549.0,361678.0,145911.0,,,,,,145911.0,139940.0,,0.001,300000000.0,130400000.0,130400000.0,13360.0,,,,,,,4549.0,,,,,,,,,,,,,0.0,,,0.03,0.18,,,,,,,,13943.0,,,,,,,1875.0,,,,,,,4600.0,,4600.0,,,,,,,,,,2592.0,68287.0,361678.0,63738.0,,,,,,,,,,150000.0,,,,-10060.0,-16580.0,,,,,16580.0,-16580.0,,,,10200.0,,,,,,,,,,,150000.0,,,,,,,,,,,,,,,,-46127.0,,,,,,,,,,,293391.0,,15.0,160000.0,,,,,,,,,,1099500.0,,,
2015-09-30,2015-11-23,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,,10372.0,,,44.0,,,,871009.0,,,,,8986.0,,,9075.0,359561.0,62268.0,,,,,76944.0,34686.0,,,0.001,300000000.0,130550000.0,130550000.0,14510.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.03,0.18,,,,,,,,81966.0,,448500.0,,,,,,,,,,,,,,,,,,,708.0,,,708.0,,42022.0,,359561.0,20572.0,119075.0,,,,,,,0.94,,,,,,,-619477.0,-495445.0,110000.0,,,124032.0,-124032.0,,,,10200.0,,,,,,,,13078.0,,,,,,,,,,,,,,,,,,,-665604.0,,,,,,,,,,,219914.0,,,,,,,,,,,,14505.0,1302234.0,,,
2015-12-31,2016-02-22,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,,9253.0,,,18.0,1225.0,,,855872.0,,,,,8968.0,18.0,,9075.0,298358.0,27619.0,,,,,77044.0,37.0,,,0.001,300000000.0,132550000.0,132550000.0,15510.0,,,,,,,,,4020.0,,,,,,,,,,,-0.03,,,0.03,0.18,,,,,,,,28590.0,,,,,,,,,,,,,,,,,,,,,3279.0,,,,,4042.0,83673.0,298359.0,20578.0,,,,,,,,,,,,,,,-35929.0,-3279.0,54020.0,,,32650.0,,,27582.0,,10100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-656696.0,,,,,,,,,,,214686.0,,,,,,,,,,,,,1315500.0,,,
2016-03-31,2016-09-27,10-K,PETROGAS COMPANY,PTCO,CIK0001609258,USD,9552.0,,,,83580.0,,,970038.0,,,,55245.0,,83580.0,83580.0,9075.0,83580.0,,,,,53687.0,21913.0,53687.0,0.0,-5971.0,,0.001,300000000.0,1326281.0,1326281.0,1326.0,,55245.0,,,,53587.0,83580.0,,,55245.0,,,,,,,,,118433.0,-0.92,,,0.03,0.18,53687.0,,,211363.0,,,,248865.0,,1427100.0,0.0,,,,4777.0,,,,,,,,,,,,,,57023.0,,,,,59370.0,266810.0,,183230.0,83580.0,,,,,,,0.94,,322453.0,-53787.0,,,-274637.0,-1208626.0,-816811.0,,,,391815.0,,,,,,,,,,,,77044.0,,,,150000.0,,,110000.0,118433.0,,,118433.0,,,,,,,,55980.0,-1238174.0,,,,,,30600.0,,,,,-266811.0,,15.0,160000.0,,,706000.0,,,,150000.0,30600.0,,1308325.0,,,
2016-06-30,2016-10-18,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,20065.0,,,,,,,970038.0,,,,,,83580.0,,9075.0,83580.0,,,,,,,,,,,0.001,300000000.0,1326281.0,1326281.0,1326.0,,55245.0,,,,,,,,55245.0,,,,,,,,,130660.0,-0.02,,,0.03,0.18,,,,,,,,22188.0,,,,,,,10513.0,,,,,,,,,,,,,552.0,552.0,,,,,,289550.0,,205970.0,83580.0,,,,,,,,,12227.0,,,,-12227.0,-22740.0,-552.0,,,,22188.0,-22188.0,,,,,,,,,,,,,,,,,,,12227.0,,,,,,,,,,,,-1260914.0,,,,,,,,,,,-289550.0,,,,,,,,,,,,,1326281.0,,,
2016-09-30,2016-10-25,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,32317.0,,,,,,,996925.0,,,,,,,,,83580.0,,,,,,,,0.0,,,0.001,300000000.0,29684381.0,29684381.0,29684.0,,,,,,,,,,,,,,,,,,,167308.0,-2.16,,,,,,,,,,,,48862.0,,,,,,,,,,,,,,,,,,,,38.0,38.0,,,,,,283205.0,,199625.0,83580.0,,,,,,,,,,,,,,-48900.0,-38.0,,,,48862.0,-48862.0,,,,,,,,,21913.0,,,,,,,,,,,,,,,,,,,,,,-1309814.0,,,,,,,,,,,-283205.0,,,,,,,,,,,,,22670.0,,,
2016-12-31,2017-02-14,10-Q,PETROGAS COMPANY,PTCO,CIK0001609258,USD,12918.0,,,,,,,996925.0,,,,,,,,,83580.0,36207.0,14294.0,,,8723.0,21913.0,,13611.0,,,0.001,300000000.0,29684381.0,29684381.0,29684.0,,,,,,,,,,,,240683.0,,,,,,,676.0,-0.06,,,,,,,,,,,,18445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,337857.0,36207.0,13594.0,324263.0,,,240683.0,,,,,,,,,,,-18445.0,,,,21913.0,18445.0,-18445.0,,,,,,,,,,,,683.0,,,,,,,,,,,,,,,,,,,-1328259.0,,,,,,,,,,,-301650.0,,,,,,,,,,,,,296839.0,,,
